system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.5,0.11596111,0.21,0.38,7.32,0.1415,134,4.12,56.25,0.267725,0.25,23.74,0.15347223,10.45,0.27327222,0.22001944,-0.7515350674127278,0.61,180.0,253,275,"2/29/24, 12:00 AM",GONDA,100,2024-12-31T00:00:00,7.33,3.523426,358,343,389,382,0.92740995,2024-01-01T00:00:00,30.11622857142857,Chadauwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.15043865932398,26.95633063550916]}"
1_0,0.29,0.055878207,0.34,0.29,7.32,0.07309102,202,2.18,56.25,0.23631538,0.25,10.3,0.06453205,9.41,0.17853461,0.10833205,-2.4516446921251336,0.52,155.85127,246,272,"3/3/24, 12:00 AM",GONDA,98,2024-12-31T00:00:00,7.25,3.2760231,362,343,392,385,5.0689507,2024-01-01T00:00:00,30.281939393939396,Nakhara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.04479678191153,26.852305725608122]}"
2_0,0.28,0.11411447,0.22,0.35,8.87,0.13932632,134,3.04,155.25,0.3011579,0.69,12.99,0.14344342,11.72,0.269575,0.20584868,2.0324891468362303,0.48,-0.0,244,259,"2/25/24, 12:00 AM",GONDA,101,2024-12-31T00:00:00,7.37,3.5228622,330,321,426,419,0.0,2024-01-01T00:00:00,30.312193548387096,Pipri Rohua,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.01191844251275,26.983549588617983]}"
3_0,0.4,0.09381053,0.17,0.25,6.21,0.11828158,202,3.09,36,0.24153158,0.16,5.82,0.120960526,10.26,0.21506841,0.1616342,-0.864078888289677,0.93,270.0,255,281,"3/1/24, 12:00 AM",GONDA,99,2024-12-31T00:00:00,7.44,3.1003494,354,337,391,382,1.0391368,2024-01-01T00:00:00,30.111076923076926,Dant Nagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.00572006705232,26.81592395660128]}"
4_0,0.69,0.08809737,0.24,0.29,5.37,0.11190526,146,3.44,40.5,0.27416578,0.18,11.65,0.11083158,11.2,0.23438157,0.17693947,-2.4085021214053044,0.83,139.86118,227,241,"2/14/24, 12:00 AM",GONDA,109,2024-12-31T00:00:00,7.47,3.5295587,361,351,412,408,4.8413396,2024-01-01T00:00:00,30.269741935483868,Subhagpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.98416050023346,27.19833677305096]}"
5_0,0.29,0.1304683,0.24,0.44,6.83,0.16388537,112,3.72,70.75,0.2695561,0.12,21.95,0.17733659,10.81,0.28019267,0.24267317,-1.5797202712523246,0.83,330.74487,246,272,"3/1/24, 12:00 AM",GONDA,100,2024-12-31T00:00:00,7.11,2.990533,337,323,418,405,2.1251945,2024-01-01T00:00:00,30.088153846153848,Dant Nagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.99898270242143,26.79463388436765]}"
6_0,0.23,0.104235895,0.36,0.42,3.13,0.13212821,134,2.81,42.75,0.29415128,0.19,8.06,0.14281538,9.81,0.26100513,0.20240512,-1.9656321232251828,0.52,270.0,242,269,"2/27/24, 12:00 AM",GONDA,99,2024-12-31T00:00:00,7.3,3.5228622,331,314,427,417,3.1192865,2024-01-01T00:00:00,30.225533333333328,Vishunpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.00679804539327,26.98301059944751]}"
7_0,0.25,0.095186844,0.36,0.24,3.37,0.12513947,112,3.75,166.5,0.2895658,0.74,6.27,0.14229473,9.13,0.2836079,0.21301842,-0.8203490150338333,0.69,20.561378,228,245,"2/19/24, 12:00 AM",GONDA,112,2024-12-31T00:00:00,7.34,3.4304214,343,328,429,427,2.9691255,2024-01-01T00:00:00,30.24818750000001,Kurasi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.9394243990843,27.297510780417756]}"
8_0,0.38,0.11517949,0.24,0.3,6.82,0.14286155,90,3.9,40.5,0.2890282,0.18,11.2,0.15740256,13.26,0.28703076,0.22828461,2.6154853156442197,0.45,180.0,232,253,"2/27/24, 12:00 AM",GONDA,97,2024-12-31T00:00:00,7.56,3.5228622,331,317,437,430,0.92740995,2024-01-01T00:00:00,30.267799999999998,Vishunpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.00679804539327,26.98570554529987]}"
9_0,0.43,0.105857894,0.3,0.6,8,0.12728684,168,2.48,94.5,0.24737369,0.42,17.92,0.13078947,7.52,0.22826053,0.17185263,-2.1758135808551495,0.57,15.669204,243,263,"2/27/24, 12:00 AM",GONDA,98,2024-12-31T00:00:00,7.43,3.4916759,359,349,399,389,3.8473654,2024-01-01T00:00:00,30.216133333333335,Mahadewa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.1092059877829,26.970344353941424]}"
