system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.48,0.10619563,0.26,0.092,6.15,0.14022437,201.6,3.18,94.5,0.32118937,0.42,22.5,0.15033437,16,0.29031876,0.22500563,-1.444819815311704,1,-0.0,259,267,"3/9/24, 12:00 AM",HARDOI,126,2024-12-31T00:00:00,7.4,3.2521498,361,351,380,382,1.8543341,2024-01-01T00:00:00,30.252823529411764,Harraiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.06131663457562,26.972230816038078]}"
1_0,0.96,0.10619563,0.3,0.103,8.12,0.14022437,268.8,4.21,77.62,0.32118937,0.345,31.5,0.15033437,10,0.29031876,0.22500563,-1.444819815311704,1.12,-0.0,259,267,"3/9/24, 12:00 AM",HARDOI,126,2024-12-31T00:00:00,7.8,3.2521498,361,351,380,382,1.8543341,2024-01-01T00:00:00,30.252823529411764,Harraiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.06131663457562,26.972230816038078]}"
2_0,0.72,0.07115,0.33,0.103,3.8,0.1071025,257.6,4.05,91.125,0.318265,0.406,31.5,0.1127375,12,0.259445,0.19643,-1.5605207384801252,1.98,90.0,258,278,"3/9/24, 12:00 AM",HARDOI,143,2024-12-31T00:00:00,7.9,3.0387955,381,365,360,357,2.0810409,2024-01-01T00:00:00,30.286580645161287,Harraiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.92090995566774,27.003222693340202]}"
3_0,0.68,0.08928333,0.38,0.101,9.67,0.1231641,246.4,3.97,87.75,0.31553718,0.39,40.5,0.12563333,10,0.26190257,0.1984782,-1.1613062369846912,1.42,311.66812,290,298,"3/7/24, 12:00 AM",HARDOI,138,2024-12-31T00:00:00,7.6,3.1952734,325,324,386,378,1.3948362,2024-01-01T00:00:00,30.27230303030303,Baghaurha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.17746880081228,27.130424137571524]}"
4_0,0.96,0.08928333,0.36,0.092,8.9,0.1231641,212.8,4.24,74.25,0.31553718,0.33,18.5,0.12563333,15,0.26190257,0.1984782,-1.1613062369846912,1.13,311.66812,290,298,"3/7/24, 12:00 AM",HARDOI,138,2024-12-31T00:00:00,7.4,3.1952734,325,324,386,378,1.3948362,2024-01-01T00:00:00,30.27230303030303,Baghaurha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.17746880081228,27.130424137571524]}"
5_0,0.72,0.06908701,0.38,0.089,10.83,0.09383766,212.8,5.27,37.12,0.26782858,0.165,18.5,0.09185844,10,0.22601949,0.15296884,-1.1611812949106375,1.39,228.32956,255,269,"3/7/24, 12:00 AM",HARDOI,140,2024-12-31T00:00:00,7.3,3.1952734,363,354,382,377,1.3947725,2024-01-01T00:00:00,30.280727272727276,Baghaurha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.16722800657331,27.121261321673504]}"
6_0,0.72,0.07936709,0.43,0.082,9.73,0.10632911,246.4,4.51,81,0.28948608,0.36,27,0.1046557,10,0.23008227,0.17063038,0.22894073483990807,1.64,270.0,265,287,"3/7/24, 12:00 AM",HARDOI,140,2024-12-31T00:00:00,7.2,3.1952734,341,334,394,379,1.0420736,2024-01-01T00:00:00,30.310363636363636,Baghaurha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1626465986243,27.133658072594354]}"
7_0,0.56,0.1079125,0.42,0.082,6.64,0.1395825,257.6,4.24,87.75,0.2490475,0.39,27,0.15392625,15,0.26404375,0.21455126,-0.7529877240701393,1.46,180.0,245,254,"3/7/24, 12:00 AM",HARDOI,140,2024-12-31T00:00:00,7.2,3.1952734,357,353,398,393,0.92740995,2024-01-01T00:00:00,30.33781818181819,Baghaurha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.15375327731152,27.12287828918492]}"
8_0,0.56,0.09240759,0.22,0.082,8.29,0.12152152,257.6,5.16,121.5,0.2713848,0.54,22.5,0.13163544,13,0.26998103,0.19813165,3.0654833472620178,1.46,113.98982,251,263,"3/7/24, 12:00 AM",HARDOI,138,2024-12-31T00:00:00,7.2,3.1952734,353,347,396,390,2.280029,2024-01-01T00:00:00,30.33781818181819,Baghaurha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.15483125565247,27.12287828918492]}"
9_0,0.8,0.083916456,0.22,0.082,8.68,0.1158,257.6,3.97,104.62,0.27546963,0.465,22.5,0.12666455,15,0.27445948,0.21532026,1.5365611989681718,1.68,36.835938,251,263,"3/7/24, 12:00 AM",HARDOI,137,2024-12-31T00:00:00,7.2,3.1952734,353,345,396,391,3.4722888,2024-01-01T00:00:00,30.266969696969692,Baghaurha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.16156862028336,27.128268180889638]}"
10_0,0.84,0.05997237,0.24,0.101,8.68,0.08523948,257.6,4.51,101.25,0.2836171,0.45,18,0.07260921,13,0.22197631,0.12684605,-1.5835319689078264,1.46,209.3313,302,311,"3/7/24, 12:00 AM",HARDOI,139,2024-12-31T00:00:00,7.6,3.1952734,328,327,370,362,2.126779,2024-01-01T00:00:00,30.29125,Baghaurha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.17854677915322,27.14551583434473]}"
11_0,0.6,0.094225906,0.51,0.097,6.86,0.118430726,264.4,5.16,37.12,0.26441205,0.165,27,0.13031386,11,0.2740464,0.20602952,-2.1533340440427224,1.35,255.73059,252,269,"3/6/24, 12:00 AM",HARDOI,142,2024-12-31T00:00:00,7.5,3.1438124,375,368,373,363,7.483006,2024-01-01T00:00:00,30.261882352941182,Baghaurha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1400090534645,27.10805608699695]}"
12_0,0.72,0.094225906,0.59,0.079,9.73,0.118430726,235.2,5.24,74.25,0.26441205,0.33,29,0.13031386,15,0.2740464,0.20602952,-2.1533340440427224,1.21,255.73059,252,269,"3/6/24, 12:00 AM",HARDOI,142,2024-12-31T00:00:00,7.1,3.1438124,375,368,373,363,7.483006,2024-01-01T00:00:00,30.261882352941182,Baghaurha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1400090534645,27.10805608699695]}"
