system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.52,0.07842405,0.62,0.15,4.51,0.10928861,304.6,5.88,142.5,0.2636304,0.3,13.5,0.12748355,10.4,0.24492912,0.1890962,-1.6378926331172183,0.86,65.833015,192,212,"2/22/24, 12:00 AM",JALAUN,136,2024-12-31T00:00:00,7,3.5794623,372,366,435,422,4.521595,2024-01-01T00:00:00,30.42333333333333,Babai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.44956392609024,26.175065832910413]}"
1_0,0.78,0.071305126,0.75,0.21,5.21,0.10864872,434.5,5.52,142.5,0.2685077,0.3,13.5,0.1316436,18.72,0.2618872,0.19172052,-1.1493240264409172,0.39,48.110573,214,242,"3/10/24, 12:00 AM",JALAUN,133,2024-12-31T00:00:00,7.4,3.4797437,391,375,396,383,2.7760124,2024-01-01T00:00:00,30.444062499999994,Atrakhurd,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.4891796301199,26.244325941316028]}"
2_0,0.42,0.09485714,0.77,0.15,4.27,0.13361429,367.3,4.99,142.5,0.28690952,0.3,13.5,0.16184762,19.96,0.30364287,0.24160714,-1.5399447415786638,0.68,270.0,238,267,"2/18/24, 12:00 AM",JALAUN,134,2024-12-31T00:00:00,7,3.4723787,396,383,366,350,2.0595849,2024-01-01T00:00:00,30.368256410256407,Makrechha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.44174858311838,25.806397240307763]}"
3_0,1.01,0.10814359,0.58,0.15,6.84,0.1386359,300.1,6.73,169.3,0.27432564,0.37,13.5,0.15638718,24.96,0.2802846,0.22204103,-0.38227114380825955,0.79,73.322556,236,266,"3/11/24, 12:00 AM",JALAUN,134,2024-12-31T00:00:00,7.3,3.3913267,360,347,404,386,3.228442,2024-01-01T00:00:00,30.381562500000005,Kurhana Alamgir,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.72929930556505,26.00501474962659]}"
4_0,0.52,0.06752,0.5,0.21,8.55,0.0994125,327,5.08,142.5,0.2683025,0.3,13.5,0.11842,22.88,0.26836,0.196795,3.765205949871416,0.81,180.0,223,230,"3/12/24, 12:00 AM",JALAUN,136,2024-12-31T00:00:00,7.4,3.4132426,400,399,377,370,0.92740995,2024-01-01T00:00:00,30.3813125,Tarsaur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.41722457586192,26.275317818618152]}"
6_0,1.04,0.067707695,0.56,0.17,5.8,0.0947359,300.1,4.08,158.1,0.24795641,0.34,13.5,0.10799231,17.47,0.22890384,0.17053589,-0.051224636573489656,1.02,180.0,192,224,"3/1/24, 12:00 AM",JALAUN,156,2024-12-31T00:00:00,7.1,3.1415198,397,384,411,393,0.92740995,2024-01-01T00:00:00,30.554848484848485,Pajoniyan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.111078727034,26.121436410448478]}"
8_0,1.14,0.0882,0.74,0.17,7.2,0.119580485,344.9,4.42,191.3,0.25699756,0.45,13.5,0.14160244,28.7,0.26645365,0.22191708,-2.2422423642646936,1.21,48.00497,248,274,"3/17/24, 12:00 AM",JALAUN,133,2024-12-31T00:00:00,7.1,3.2984445,378,361,375,364,4.1514606,2024-01-01T00:00:00,30.4945,Bharsunda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.22776988244112,25.809361680745358]}"
9_0,0.42,0.09716585,0.4,0.11,4.6,0.1348683,309.1,6.43,184.8,0.2840122,0.42,13.5,0.15857561,27.45,0.30648294,0.2444878,-1.1439841566903501,0.77,311.9884,254,289,"3/17/24, 12:00 AM",JALAUN,134,2024-12-31T00:00:00,7,3.2984445,415,399,331,312,1.3861544,2024-01-01T00:00:00,30.414242424242424,Chhiraoli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.22507493658875,25.836850128439412]}"
10_0,0.95,0.094634145,0.56,0.17,7.45,0.12443415,376.3,4.29,184.8,0.2620244,0.42,13.5,0.14528781,24.12,0.276,0.22700489,-2.789844432483562,1.08,334.54196,245,277,"3/17/24, 12:00 AM",JALAUN,130,2024-12-31T00:00:00,7.1,3.2984445,388,369,367,353,7.153246,2024-01-01T00:00:00,30.4945,Bharsunda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.22561392575923,25.81367359410913]}"
11_0,0.49,0.096339025,0.49,0.21,6.95,0.11928292,416.6,4.15,191.3,0.24417317,0.45,13.5,0.14166097,17.47,0.27167317,0.23084635,4.19794120545576,1.05,339.68097,239,271,"3/17/24, 12:00 AM",JALAUN,131,2024-12-31T00:00:00,7.2,3.2984445,395,377,366,353,2.9644566,2024-01-01T00:00:00,30.4945,Bharsunda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.22696139868542,25.815829550791015]}"
12_0,1.04,0.065030955,0.62,0.23,4.72,0.0944619,273.2,6.23,191.3,0.25937858,0.45,13.5,0.11287619,19.13,0.27179286,0.19425476,-1.143790950655425,0.84,131.99202,245,265,"2/26/24, 12:00 AM",JALAUN,129,2024-12-31T00:00:00,7.4,3.3828115,395,386,360,349,1.3860574,2024-01-01T00:00:00,30.464055555555547,Gurha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.50966121859783,25.82202792625144]}"
13_0,0.52,0.059646152,1.11,0.11,5.35,0.09564616,430,3.81,154.3,0.2744718,0.33,13.5,0.099515386,19.97,0.24273589,0.18078205,3.292900855864451,0.77,48.11793,213,232,"2/11/24, 12:00 AM",JALAUN,138,2024-12-31T00:00:00,7.4,3.4132426,389,383,398,385,2.7764094,2024-01-01T00:00:00,30.377499999999998,Chhani Ahir,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.44094009936268,26.274509334862444]}"
15_0,0.42,0.06217342,0.49,0.23,4.91,0.095711395,309.1,5.77,154.3,0.26774684,0.33,13.5,0.10852531,18.72,0.2254038,0.16489494,-2.2660715855759253,0.78,29.119469,202,232,"2/19/24, 12:00 AM",JALAUN,142,2024-12-31T00:00:00,7,3.546413,371,360,427,408,4.2389684,2024-01-01T00:00:00,30.450124999999996,Aidalpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.45603179613589,26.15512323360296]}"
16_0,1.28,0.08391842,0.91,0.21,8.26,0.11573158,291.2,5.78,128.3,0.30514738,0.27,13.5,0.13438684,17.47,0.28037894,0.2057,-0.7457199437137525,0.92,180.0,222,250,"2/19/24, 12:00 AM",JALAUN,142,2024-12-31T00:00:00,7,3.296591,402,392,376,359,1.8543341,2024-01-01T00:00:00,30.37470588235294,Jaitpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.29783847460244,26.280438215737632]}"
17_0,0.88,0.09466428,0.68,0.15,4.39,0.1342119,434.5,3.98,187.1,0.30549762,0.43,13.5,0.15774047,26.2,0.30254048,0.23841429,-0.741737214106593,0.59,180.0,238,267,"2/18/24, 12:00 AM",JALAUN,135,2024-12-31T00:00:00,7.3,3.4723787,396,383,366,350,0.92740995,2024-01-01T00:00:00,30.368256410256407,Makrechha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.44201807770362,25.806397240307763]}"
18_0,0.59,0.081888095,0.48,0.23,7.68,0.12182381,300.1,5.23,169,0.30258572,0.37,13.5,0.14818572,27.04,0.30273095,0.23629047,-1.9490511461447142,1.42,138.3748,235,267,"2/18/24, 12:00 AM",JALAUN,129,2024-12-31T00:00:00,7.1,3.4723787,398,378,367,355,6.1798267,2024-01-01T00:00:00,30.368256410256407,Mohana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.4463299910674,25.80720572406347]}"
19_0,0.68,0.03798095,0.91,0.23,6.86,0.06462381,273.2,6.71,154.3,0.26662856,0.33,13.5,0.054628573,25.37,0.17620476,0.104230955,3.9489890317871112,0.75,180.0,217,255,"3/5/24, 12:00 AM",JALAUN,155,2024-12-31T00:00:00,7.1,3.2113535,402,383,381,362,0.92740995,2024-01-01T00:00:00,30.490625,Bilayan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.20728829396319,25.88401168085569]}"
20_0,0.45,0.03798095,1,0.17,6.61,0.06462381,304.6,5.58,191.3,0.26662856,0.45,13.5,0.054628573,16.22,0.17620476,0.104230955,3.9489890317871112,1.09,180.0,217,255,"3/5/24, 12:00 AM",JALAUN,155,2024-12-31T00:00:00,7.1,3.2113535,402,383,381,362,0.92740995,2024-01-01T00:00:00,30.490625,Bilayan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.20728829396319,25.88401168085569]}"
21_0,0.42,0.06429872,0.83,0.21,5,0.09542564,434.5,5.51,184.8,0.2759218,0.42,13.5,0.116088465,18.72,0.23168205,0.16012564,1.3074051384184062,0.79,114.177124,196,224,"3/1/24, 12:00 AM",JALAUN,152,2024-12-31T00:00:00,7.1,3.1415198,404,390,400,386,2.2634315,2024-01-01T00:00:00,30.554848484848485,Pajoniyan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.11053973786352,26.119819442937064]}"
22_0,0.92,0.059646152,0.8,0.13,6.76,0.09564616,313.6,4.62,142.5,0.2744718,0.3,13.5,0.099515386,17.47,0.24273589,0.18078205,3.292900855864451,0.68,48.11793,213,232,"2/11/24, 12:00 AM",JALAUN,138,2024-12-31T00:00:00,7.5,3.4132426,389,383,398,385,2.7764094,2024-01-01T00:00:00,30.377499999999998,Chhani Ahir,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.44094009936268,26.274509334862444]}"
23_0,0.49,0.060217284,0.97,0.21,9.4,0.087653086,300.1,6.48,169.3,0.26973456,0.37,13.5,0.09471235,16.64,0.24054198,0.16009259,-2.3307738453293494,0.81,245.8299,202,236,"3/5/24, 12:00 AM",JALAUN,147,2024-12-31T00:00:00,7.3,3.5794623,373,364,425,400,4.5210505,2024-01-01T00:00:00,30.444764705882356,Kusmara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.40994822206056,26.158087674040555]}"
24_0,0.62,0.096064106,0.73,0.15,6.56,0.13265897,353.9,5.4,191.3,0.2708872,0.45,13.5,0.15562308,22.46,0.27782565,0.22772051,0.2387163553762988,0.94,311.9221,195,233,"2/7/24, 12:00 AM",JALAUN,142,2024-12-31T00:00:00,7.3,3.5922825,389,375,416,392,1.38794,2024-01-01T00:00:00,30.467437500000006,Siharipadaya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.41938053254381,26.11092612162428]}"
25_0,0.59,0.075097434,0.49,0.21,8,0.11352821,344.9,4.7,184.8,0.31326923,0.42,13.5,0.14169231,14.97,0.26843077,0.18823333,0.5512664239789167,0.9,33.781227,213,241,"2/22/24, 12:00 AM",JALAUN,138,2024-12-31T00:00:00,7.1,3.4797437,389,374,398,384,5.5619154,2024-01-01T00:00:00,30.444062499999994,Dhamni,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.4929525543132,26.245942908827445]}"
26_0,0.95,0.07858421,1.17,0.17,5.25,0.11287895,412.1,5.23,169.3,0.27495527,0.37,13.5,0.13775264,12.89,0.26965788,0.20736316,-1.6392691892961213,0.94,65.84926,199,220,"2/12/24, 12:00 AM",JALAUN,148,2024-12-31T00:00:00,7.4,3.296591,393,386,408,394,2.2657533,2024-01-01T00:00:00,30.370363636363628,Rasoolpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.29083161538631,26.263460056867775]}"
