system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.59,0.0930881,0.67,0.39,4.62,0.13402143,220,4.36,205,0.28975,0.52,9,0.16222857,3.3,0.30390477,0.24035953,-2.2559046080799448,0.7,77.30393,286,286,"2/27/24, 12:00 AM",JHANSI,169,2024-12-31T00:00:00,7.6,3.1460552,389,385,326,329,4.2124953,2024-01-01T00:00:00,30.57848484848485,Sutta,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.14907746355225,25.690245074071107]}"
1_0,1.01,0.04347143,0.32,0.54,7.1,0.066068254,273,5.39,169,0.2715381,0.37,9,0.060544446,3.74,0.1959754,0.12025238,-1.8289326896788618,0.94,312.14075,279,299,"2/28/24, 12:00 AM",JHANSI,286,2024-12-31T00:00:00,7.6,3.5590398,406,395,315,306,2.7625496,2024-01-01T00:00:00,30.390300000000007,Prithvipur Naya Khera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.48046139758209,25.19518352099284]}"
3_0,1.01,0.079722725,0.76,0.5,6.36,0.110270455,247,5.7,176,0.29539204,0.39,18,0.12267159,5.41,0.25632727,0.19152386,-0.7401580529798488,0.76,180.0,221,245,"3/3/24, 12:00 AM",JHANSI,184,2024-12-31T00:00:00,7.2,3.1699138,460,440,319,315,0.92740995,2024-01-01T00:00:00,30.49783333333334,Chhirauna,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.80089045942752,25.615595073960776]}"
4_0,0.69,0.07301071,0.8,0.47,10.04,0.10850238,318,5.26,262,0.2791238,0.7,4.5,0.131025,3.61,0.30086786,0.23836072,-2.819765479454774,0.43,104.46072,234,248,"1/27/24, 12:00 AM",JHANSI,210,2024-12-31T00:00:00,7.7,3.474639,439,429,326,323,7.387154,2024-01-01T00:00:00,30.41278947368421,Mustra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.63353432199605,25.497825940212707]}"
5_0,0.66,0.07049535,0.98,0.37,5.92,0.098240696,251,7.96,287,0.28369883,0.82,4.5,0.113926746,3.59,0.25860813,0.19831395,-2.2392355053145017,1.36,132.05086,222,236,"1/31/24, 12:00 AM",JHANSI,201,2024-12-31T00:00:00,7.6,3.3405783,426,419,351,344,4.14699,2024-01-01T00:00:00,30.45713513513514,Gangawali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.69336211991842,25.575979369931105]}"
6_0,0.88,0.07894186,0.48,0.57,7.22,0.11586046,246,2.25,196,0.28659418,0.48,9,0.1390686,2.41,0.30751744,0.23636279,-0.9344948733207319,0.74,294.28796,242,273,"2/5/24, 12:00 AM",JHANSI,204,2024-12-31T00:00:00,7.9,3.474583,443,423,315,305,2.2537344,2024-01-01T00:00:00,30.388054054054052,Takori,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.65967529676394,25.507527745281198]}"
7_0,1.14,0.09382442,0.76,0.47,6.09,0.13109651,211,4.69,205,0.30676278,0.52,9,0.16789651,4.28,0.36821395,0.29549536,-1.8329052933737682,1.07,47.933098,240,270,"2/6/24, 12:00 AM",JHANSI,213,2024-12-31T00:00:00,7.9,3.474583,440,421,321,310,2.7664864,2024-01-01T00:00:00,30.36047368421053,Takori,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.65671085632634,25.50860572362214]}"
8_0,0.95,0.077575,1.31,0.32,6.51,0.1041675,278,3.23,191,0.24677,0.45,18,0.1161425,4.55,0.256615,0.192605,-1.1382800180298807,0.79,227.90561,250,256,"2/6/24, 12:00 AM",JHANSI,194,2024-12-31T00:00:00,7.9,3.2841125,408,404,343,341,1.3833151,2024-01-01T00:00:00,30.608432432432437,Sonak Pura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.25148540594188,25.392453557385487]}"
9_0,1.18,0.0807191,0.72,0.3,8.43,0.112711236,341,5.39,220,0.2943854,0.58,13.5,0.13453932,7.19,0.25111797,0.18523708,-1.9847775417946039,1.06,106.735054,223,239,"3/5/24, 12:00 AM",JHANSI,198,2024-12-31T00:00:00,7.2,3.1925938,427,417,349,344,3.2176669,2024-01-01T00:00:00,30.47949999999999,Mirona,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.801429448598,25.571936951152566]}"
10_0,1.01,0.0578439,0.65,0.1,5.22,0.09167561,273,4.06,180,0.2592073,0.4,13.5,0.09569024,4.27,0.23180732,0.16533902,-0.8480574092300139,0.91,270.0,211,250,"3/8/24, 12:00 AM",JHANSI,161,2024-12-31T00:00:00,7.4,3.0828333,413,395,376,355,1.0307808,2024-01-01T00:00:00,30.440363636363635,Jarha Kalan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.10380237323263,25.881586229588567]}"
11_0,0.79,0.0713875,1.02,0.1,5.25,0.10381477,260,3.24,187,0.27939433,0.43,13.5,0.1100875,7.44,0.25066024,0.18629432,-1.252655725093169,1.02,90.0,233,266,"3/5/24, 12:00 AM",JHANSI,167,2024-12-31T00:00:00,7.2,3.004901,419,402,349,332,3.0883377,2024-01-01T00:00:00,30.391085714285712,Dhaurka,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.00220291459871,25.830382258393755]}"
12_0,0.69,0.058469005,0.47,0.37,7.35,0.087810524,260,8.39,165,0.2763187,0.36,13.5,0.104169,4.23,0.23935205,0.17631812,-1.8295080379837332,0.54,227.86992,225,235,"2/7/24, 12:00 AM",JHANSI,255,2024-12-31T00:00:00,7.9,3.461071,455,447,320,319,2.7631176,2024-01-01T00:00:00,30.415277777777778,Lahar Thakur Pura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.56454370817568,25.2407281058977]}"
13_0,0.88,0.08117558,0.93,0.2,6.59,0.11977674,300,5.22,193,0.30514884,0.46,9,0.14354883,5.71,0.28173488,0.2199372,-2.2533906959263916,0.93,102.71201,237,251,"3/4/24, 12:00 AM",JHANSI,191,2024-12-31T00:00:00,7.1,3.314703,446,439,317,311,4.2073183,2024-01-01T00:00:00,30.408702702702712,Dhawani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.82972638004776,25.535285687560492]}"
14_0,0.86,0.066716,0.95,0.45,7.05,0.09613467,375,5.04,254,0.27498934,0.65,9.5,0.102682665,8.35,0.24954534,0.17569333,-1.5652557385856611,0.99,151.0335,247,257,"3/19/24, 12:00 AM",JHANSI,200,2024-12-31T00:00:00,7.5,3.1807072,424,419,329,324,2.1192474,2024-01-01T00:00:00,30.62513513513514,Berwai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.10326338406216,25.408892727084872]}"
15_0,0.52,0.066716,0.84,0.72,3.68,0.09613467,325,5.25,166,0.27498934,0.38,4.5,0.102682665,6.52,0.24954534,0.17569333,-1.5652557385856611,1.02,151.0335,247,257,"3/19/24, 12:00 AM",JHANSI,200,2024-12-31T00:00:00,7.4,3.1807072,424,419,329,324,2.1192474,2024-01-01T00:00:00,30.62513513513514,Berwai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.10326338406216,25.408892727084872]}"
16_0,0.95,0.08552159,0.68,0.42,5.88,0.12012841,273,4.18,271,0.31502956,0.75,13.5,0.1474125,5.11,0.2931875,0.22096932,-0.5985877086566339,1.14,73.265755,229,244,"1/27/24, 12:00 AM",JHANSI,198,2024-12-31T00:00:00,7.8,3.3405783,432,423,339,333,3.217817,2024-01-01T00:00:00,30.45713513513514,Ranguwan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.68905020655464,25.57813532661299]}"
17_0,0.82,0.06995349,0.55,0.52,6.54,0.10565581,255,4.05,187,0.28588372,0.43,13.5,0.13403721,2.86,0.30397093,0.23150349,0.2954109886362493,0.89,20.270788,242,273,"2/5/24, 12:00 AM",JHANSI,212,2024-12-31T00:00:00,7.8,3.474583,443,423,315,305,2.9635355,2024-01-01T00:00:00,30.388054054054052,Takori,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.65886681300823,25.507258250695962]}"
18_0,0.85,0.059332162,0.6,0.53,8.58,0.09092398,224,9.34,210,0.26722047,0.54,9,0.11794269,4.92,0.26435262,0.20678654,-1.5635695560728724,0.81,208.93294,226,236,"2/10/24, 12:00 AM",JHANSI,257,2024-12-31T00:00:00,7.8,3.461071,461,452,313,312,2.1185613,2024-01-01T00:00:00,30.415277777777778,Lahar Thakur Pura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.56454370817568,25.24126709506817]}"
19_0,1.31,0.06546932,0.7,0.5,4.61,0.09194887,278,5.82,133,0.24963978,0.28,18,0.10169204,5.94,0.22788182,0.16659318,-0.8421010393094412,1.3,270.0,221,240,"3/5/24, 12:00 AM",JHANSI,199,2024-12-31T00:00:00,6.9,3.296106,418,407,361,353,1.0276903,2024-01-01T00:00:00,30.28275000000001,Gulara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.77205453880728,25.52423640956582]}"
21_0,1.18,0.07669875,0.58,0.4,7.27,0.106955,260,7.28,220,0.26169,0.58,9,0.12275125,5.65,0.24936,0.1870375,3.3931699494584504,0.55,259.75534,249,264,"3/17/24, 12:00 AM",JHANSI,235,2024-12-31T00:00:00,7,3.2641716,429,421,322,315,5.200637,2024-01-01T00:00:00,30.429142857142864,Luhari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.90410688557286,25.35580229379341]}"
22_0,0.75,0.0617929,1.31,0.35,7.6,0.09369941,242,5.25,210,0.26317573,0.54,13.5,0.12039882,4.3,0.2981497,0.23354319,-1.9798456755855807,1.42,253.22389,226,234,"1/16/24, 12:00 AM",JHANSI,268,2024-12-31T00:00:00,7.6,3.575438,446,442,328,324,3.2100325,2024-01-01T00:00:00,30.46227777777778,Simiriya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.53328233628832,25.2587842431085]}"
