system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.76,0.07274819,0.52,0.65,4.26,0.11238554,237,14.64,103.5,0.33980843,0.46,12,0.121183135,12,0.28017953,0.21883373,-2.767184165645662,0.58,143.17041,279,287,"2/23/24, 12:00 AM",KANNAUJ,148,2024-12-31T00:00:00,7.3,3.1566403,397,385,324,328,6.9186897,2024-01-01T00:00:00,30.280387096774188,Jasaura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.8341326992218,27.102396700706997]}"
1_0,0.72,0.07274819,0.72,0.74,4.62,0.11238554,223,14.58,110.25,0.33980843,0.49,20,0.121183135,10,0.28017953,0.21883373,-2.767184165645662,1.08,143.17041,279,287,"2/23/24, 12:00 AM",KANNAUJ,148,2024-12-31T00:00:00,7.9,3.1566403,397,385,324,328,6.9186897,2024-01-01T00:00:00,30.280387096774188,Jasaura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.8341326992218,27.102396700706997]}"
2_0,0.63,0.07274819,0.56,0.73,6.92,0.11238554,194,14.72,117,0.33980843,0.52,18,0.121183135,11,0.28017953,0.21883373,-2.767184165645662,0.84,143.17041,279,287,"2/23/24, 12:00 AM",KANNAUJ,148,2024-12-31T00:00:00,6.9,3.1566403,397,385,324,328,6.9186897,2024-01-01T00:00:00,30.280387096774188,Jasaura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.8341326992218,27.102396700706997]}"
3_0,0.62,0.07274819,0.72,0.63,4.58,0.11238554,166,19.88,69.75,0.33980843,0.31,15,0.121183135,11,0.28017953,0.21883373,-2.767184165645662,0.74,143.17041,279,287,"2/23/24, 12:00 AM",KANNAUJ,148,2024-12-31T00:00:00,7.6,3.1566403,397,385,324,328,6.9186897,2024-01-01T00:00:00,30.280387096774188,Jasaura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.8341326992218,27.102396700706997]}"
4_0,0.62,0.07273563,0.76,0.73,6.52,0.10914483,190,19.28,94.5,0.3332023,0.42,18,0.11901265,12,0.27410805,0.20931838,-2.118452112046769,0.76,239.3103,274,298,"2/23/24, 12:00 AM",KANNAUJ,145,2024-12-31T00:00:00,7.7,3.0796747,395,377,331,325,3.6295888,2024-01-01T00:00:00,30.274516129032264,Jasaura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.82146645371571,27.092694895638505]}"
5_0,0.72,0.08137805,0.68,0.44,4.72,0.11901098,142,17.96,63,0.30201465,0.28,10,0.1359683,11,0.27483293,0.21429147,-0.9112761449591932,0.82,106.5276,276,294,"2/22/24, 12:00 AM",KANNAUJ,143,2024-12-31T00:00:00,6.5,3.0796747,395,379,328,327,3.2568223,2024-01-01T00:00:00,30.274516129032264,Jasaura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.82982078585802,27.09997124943987]}"
6_0,0.62,0.08137805,0.64,0.64,4.76,0.11901098,223,10.92,114.75,0.30201465,0.51,13,0.1359683,11,0.27483293,0.21429147,-0.9112761449591932,0.96,106.5276,276,294,"2/23/24, 12:00 AM",KANNAUJ,143,2024-12-31T00:00:00,7.9,3.0796747,395,379,328,327,3.2568223,2024-01-01T00:00:00,30.274516129032264,Jasaura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.82982078585802,27.09997124943987]}"
7_0,0.73,0.07279512,0.54,0.74,8.62,0.111685365,142,18.64,108,0.32259023,0.48,16,0.12615609,12,0.27945855,0.21461952,-1.3172128015037279,0.82,106.523766,286,298,"2/23/24, 12:00 AM",KANNAUJ,136,2024-12-31T00:00:00,7.9,3.1566403,423,409,292,292,3.2575564,2024-01-01T00:00:00,30.286645161290316,Jasaura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.81122565947675,27.12745969713393]}"
8_0,0.61,0.07519512,0.68,0.62,6.52,0.11413049,147,16.46,114.75,0.34865487,0.51,15,0.12296341,11,0.28062317,0.21658902,-2.2594040377779856,0.66,311.67752,272,292,"2/23/24, 12:00 AM",KANNAUJ,140,2024-12-31T00:00:00,7.6,3.0796747,393,375,335,333,4.1771483,2024-01-01T00:00:00,30.25851612903225,Jasaura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.83467168839226,27.093503379394214]}"
9_0,0.62,0.06457738,0.72,0.77,6.52,0.10115238,137,17.96,114.75,0.31492501,0.51,20,0.110803574,12,0.26078454,0.19434762,-2.4073528685869197,0.74,40.115658,286,294,"2/22/24, 12:00 AM",KANNAUJ,140,2024-12-31T00:00:00,6.9,3.1566403,394,382,320,325,4.8396974,2024-01-01T00:00:00,30.258451612903233,Jasaura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.83278522629561,27.10670861407077]}"
10_0,0.72,0.06457738,1.08,0.61,6.58,0.10115238,133,16.68,103.5,0.31492501,0.46,19,0.110803574,13,0.26078454,0.19434762,-2.4073528685869197,0.36,40.115658,286,294,"2/23/24, 12:00 AM",KANNAUJ,140,2024-12-31T00:00:00,7.9,3.1566403,394,382,320,325,4.8396974,2024-01-01T00:00:00,30.258451612903233,Jasaura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.83278522629561,27.10670861407077]}"
11_0,0.7,0.0675475,0.64,0.73,8.52,0.0998375,166,12.46,81,0.2828225,0.36,18,0.103475,10,0.24597,0.188485,0.2950358566005029,0.92,114.01455,247,263,"2/27/24, 12:00 AM",KANNAUJ,133,2024-12-31T00:00:00,7.1,3.3805232,402,389,350,347,2.2778225,2024-01-01T00:00:00,30.357931034482764,Lohamarh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.8139206053291,26.992442909930766]}"
12_0,0.39,0.079455,0.76,0.46,4.68,0.1172275,209,16.24,108,0.3032375,0.48,18,0.1354575,12,0.265725,0.2067375,-2.701248013147001,1.08,286.5423,240,257,"2/27/24, 12:00 AM",KANNAUJ,141,2024-12-31T00:00:00,7.8,3.3805232,400,385,360,357,6.4871716,2024-01-01T00:00:00,30.357931034482764,Lohamarh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.81230363781769,26.994329372027416]}"
13_0,0.4,0.0677325,0.68,0.45,4.92,0.10477,232,18.68,110.25,0.32225,0.49,14,0.11128,13,0.25422,0.1896475,0.6276902702527463,0.72,302.47525,240,257,"2/27/24, 12:00 AM",KANNAUJ,136,2024-12-31T00:00:00,7.2,3.3805232,400,385,360,357,8.572356,2024-01-01T00:00:00,30.357931034482764,Lohamarh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.81230363781769,26.99459886661265]}"
14_0,0.48,0.0972725,0.44,0.37,6.42,0.1428825,137,16.68,103.5,0.3042,0.46,13,0.1678275,12,0.3061075,0.25494,1.7582861183115102,0.92,228.29749,240,257,"2/27/24, 12:00 AM",KANNAUJ,136,2024-12-31T00:00:00,7.7,3.3805232,400,385,360,357,2.7861452,2024-01-01T00:00:00,30.31906666666667,Lohamarh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.81230363781769,26.994868361197888]}"
