system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.56,0.07700952,0.44,0.71,4.89,0.10829048,142,2.35,49.5,0.2931619,0.22,9,0.123269044,9,0.2764524,0.20454761,-1.1556085624293604,1.2,48.226574,231,243,"2/15/24, 12:00 AM",KANPUR DEHAT,137,2024-12-31T00:00:00,8.1,3.2717993,384,377,385,380,2.7822888,2024-01-01T00:00:00,30.31163636363637,Rasoolabad Dehat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.81365111074388,26.712977025041184]}"
1_0,0.62,0.07700952,0.74,0.44,4.36,0.10829048,243,2.65,56.25,0.2931619,0.25,12,0.123269044,10,0.2764524,0.20454761,-1.1556085624293604,0.68,48.226574,231,243,"2/15/24, 12:00 AM",KANPUR DEHAT,137,2024-12-31T00:00:00,7.9,3.2717993,384,377,385,380,2.7822888,2024-01-01T00:00:00,30.31163636363637,Rasoolabad Dehat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.81365111074388,26.712977025041184]}"
2_0,0.59,0.07700952,0.52,0.6,5.57,0.10829048,249,3.85,49.5,0.2931619,0.22,17,0.123269044,14,0.2764524,0.20454761,-1.1556085624293604,1.58,48.226574,231,243,"2/15/24, 12:00 AM",KANPUR DEHAT,137,2024-12-31T00:00:00,7.8,3.2717993,384,377,385,380,2.7822888,2024-01-01T00:00:00,30.31163636363637,Rasoolabad Dehat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.81365111074388,26.712977025041184]}"
3_0,0.62,0.07700952,0.68,0.69,5.79,0.10829048,153,3.32,56.25,0.2931619,0.25,19,0.123269044,12,0.2764524,0.20454761,-1.1556085624293604,1.54,48.226574,231,243,"2/15/24, 12:00 AM",KANPUR DEHAT,137,2024-12-31T00:00:00,8.1,3.2717993,384,377,385,380,2.7822888,2024-01-01T00:00:00,30.31163636363637,Rasoolabad Dehat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.81365111074388,26.712977025041184]}"
4_0,0.46,0.07700952,0.56,0.45,6.77,0.10829048,143,5.21,22.5,0.2931619,0.1,12,0.123269044,15,0.2764524,0.20454761,-1.1556085624293604,0.58,48.226574,231,243,"2/15/24, 12:00 AM",KANPUR DEHAT,137,2024-12-31T00:00:00,7.9,3.2717993,384,377,385,380,2.7822888,2024-01-01T00:00:00,30.31163636363637,Rasoolabad Dehat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.81365111074388,26.712977025041184]}"
5_0,0.96,0.080233335,0.53,0.69,6.6,0.112319045,145,2.36,90,0.29683572,0.4,10,0.11260952,16,0.22903334,0.15795,-0.7491814257175292,0.71,-0.0,247,257,"2/21/24, 12:00 AM",KANPUR DEHAT,140,2024-12-31T00:00:00,8.1,3.22307,389,382,364,361,0.92740995,2024-01-01T00:00:00,30.367933333333337,Rasoolabad Dehat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78508468470886,26.685488577347126]}"
6_0,0.72,0.15378809,0.31,0.6,4.14,0.19153096,217,1.32,36,0.3004381,0.16,19,0.22416191,14,0.31920475,0.2743905,-1.4519714752668484,0.75,352.03625,238,249,"2/15/24, 12:00 AM",KANPUR DEHAT,141,2024-12-31T00:00:00,7.7,3.22307,391,385,371,367,7.4499125,2024-01-01T00:00:00,30.357466666666664,Rasoolabad Dehat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.77726934173702,26.680907169398115]}"
7_0,0.48,0.15378809,0.48,0.62,5.74,0.19153096,248,3.36,49.5,0.3004381,0.22,19,0.22416191,13,0.31920475,0.2743905,-1.4519714752668484,0.74,352.03625,238,249,"2/15/24, 12:00 AM",KANPUR DEHAT,141,2024-12-31T00:00:00,7.9,3.22307,391,385,371,367,7.4499125,2024-01-01T00:00:00,30.357466666666664,Rasoolabad Dehat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.77726934173702,26.680907169398115]}"
8_0,0.72,0.0807,0.36,0.58,8.32,0.110995,231,2.45,54,0.2560525,0.24,15,0.1270775,16,0.24837,0.194255,-1.1540490919210808,0.58,311.80212,245,272,"2/19/24, 12:00 AM",KANPUR DEHAT,140,2024-12-31T00:00:00,7.9,3.141159,373,357,382,370,2.780733,2024-01-01T00:00:00,30.358941176470587,Alampur Khera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78400670636793,26.59817233173071]}"
9_0,0.39,0.08277,0.69,0.45,6.89,0.118255,247,3.28,40.5,0.3582875,0.18,13,0.13021,10,0.26275998,0.1966525,-1.1538889236728265,0.56,-0.0,245,272,"2/19/24, 12:00 AM",KANPUR DEHAT,139,2024-12-31T00:00:00,7.7,3.141159,373,357,382,370,2.7802885,2024-01-01T00:00:00,30.358941176470587,Alampur Khera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78400670636793,26.598441826315945]}"
