system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.53,0.091962196,1.008,0.62,12.842,0.12306707,141,12.482,49.5,0.2999317,0.22,17,0.13974147,14,0.28220245,0.2243756,-0.7460198225003771,1.442,-0.0,259,274,"2/14/24, 12:00 AM",KANPUR NAGAR,125,2024-12-31T00:00:00,7.8,2.6087797,377,370,365,356,0.92740995,2024-01-01T00:00:00,30.42974193548387,Khersa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.28607511866232,26.316819984744473]}"
1_0,0.56,0.065933734,0.882,0.58,14.784,0.10030964,176,10.79,74.25,0.31683734,0.33,12,0.090138555,11,0.22129036,0.15112409,1.6796620517540786,1.384,180.0,268,299,"2/10/24, 12:00 AM",KANPUR NAGAR,116,2024-12-31T00:00:00,8.2,2.8737812,336,326,397,375,2.7802885,2024-01-01T00:00:00,30.12994736842105,Ishwari Ganj,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.27394786232671,26.560173595212454]}"
2_0,0.57,0.11094935,1.264,0.61,14.224,0.15261558,52,11.522,49.5,0.3290896,0.22,10,0.17196493,9,0.32145324,0.24758571,-2.4455256713093294,0.714,204.03517,216,251,"1/6/24, 12:00 AM",KANPUR NAGAR,122,2024-12-31T00:00:00,7.9,2.6666753,375,359,409,389,5.0644836,2024-01-01T00:00:00,30.385200000000005,Rawatpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.28796158075897,26.242169984634142]}"
3_0,0.6,0.0896878,1.308,1.14,17.668,0.12808536,90,15.784,74.25,0.34486708,0.33,11,0.13117805,14,0.27628416,0.20891097,-1.6455526930286364,1.206,245.92314,257,304,"1/9/24, 12:00 AM",KANPUR NAGAR,132,2024-12-31T00:00:00,7.7,3.1500454,381,356,362,340,2.2722833,2024-01-01T00:00:00,30.436545454545453,Nevada Mahasaran,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.14297349390209,26.661503559261135]}"
4_0,0.56,0.09165542,0.652,0.78,16.434,0.115148194,122,12.144,83.75,0.2689012,0.37,17,0.11766024,13,0.24439156,0.18282169,-1.9590145140949229,1.168,90.0,257,285,"2/29/24, 12:00 AM",KANPUR NAGAR,133,2024-12-31T00:00:00,7.8,3.0492663,365,351,377,363,3.1089225,2024-01-01T00:00:00,30.35230303030303,Nison,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.15483125565247,26.60464020177637]}"
5_0,0.51,0.07768902,1.31,0.92,13.52,0.10827317,156,13.912,56.25,0.35344025,0.25,11,0.10749024,10,0.26795244,0.18962196,-0.7489595365883556,1.552,180.0,230,277,"1/10/24, 12:00 AM",KANPUR NAGAR,132,2024-12-31T00:00:00,7.6,3.1500454,369,350,401,373,0.92740995,2024-01-01T00:00:00,30.417999999999996,Nevada Mahasaran,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.13354118341883,26.660156086334954]}"
6_0,0.43,0.10046815,1.124,0.58,15.308,0.13496943,95,12.852,101.25,0.30267453,0.45,8,0.15078726,13,0.30101848,0.24072802,-1.4382667605338901,1.976,180.0,214,235,"1/6/24, 12:00 AM",KANPUR NAGAR,127,2024-12-31T00:00:00,8,2.6666753,352,343,434,422,3.7047918,2024-01-01T00:00:00,30.344689655172413,Rawatpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.27718179734954,26.20983063440584]}"
7_0,0.63,0.12197179,1.31,0.69,17.968,0.14746153,118,8.564,74.25,0.24541923,0.33,16,0.17265384,10,0.3112064,0.27113846,-0.8539588310074802,1.45,90.0,203,225,"2/18/24, 12:00 AM",KANPUR NAGAR,132,2024-12-31T00:00:00,7.6,2.7484539,344,336,453,439,1.0338511,2024-01-01T00:00:00,30.372689655172415,Kewadiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1626465986243,26.230312222883764]}"
8_0,0.54,0.08414286,1.468,0.69,13.69,0.11854545,53,13.646,54,0.3416104,0.24,12,0.12529221,10,0.26636365,0.19698311,2.732164739387704,1.26,-0.0,198,230,"1/8/24, 12:00 AM",KANPUR NAGAR,125,2024-12-31T00:00:00,7.8,2.6666753,353,341,449,429,0.0,2024-01-01T00:00:00,30.327310344827584,Rawatpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.28850056992945,26.225191825764284]}"
9_0,0.48,0.08383928,1.474,0.75,12.354,0.11297381,213,17.602,110.25,0.28042144,0.49,12,0.12921667,12,0.26125714,0.19956072,0.5289686011802995,1.848,90.0,227,252,"3/12/24, 12:00 AM",KANPUR NAGAR,129,2024-12-31T00:00:00,8,2.617687,344,338,429,410,1.0356084,2024-01-01T00:00:00,30.4213125,Mardanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26397656267298,26.42704327010594]}"
