system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.55,0.10848205,0.33,0.75,5.83,0.13473077,313.6,3.29,76.5,0.25823334,0.34,18,0.14383847,11.05,0.26625642,0.22195898,-1.1400551003448416,0.52,312.06137,188,212,"3/13/24, 12:00 AM",KAUSHAMBI,107,2024-12-31T00:00:00,7.6,2.6545463,359,348,453,440,1.3841982,2024-01-01T00:00:00,30.47548148148148,Tiyara Jamalpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.38561302642462,25.53205175253766]}"
1_0,0.61,0.10848205,0.3,0.62,7.78,0.13473077,268.8,2.05,81,0.25823334,0.36,18,0.14383847,10.32,0.26625642,0.22195898,-1.1400551003448416,0.37,312.06137,188,212,"3/14/24, 12:00 AM",KAUSHAMBI,107,2024-12-31T00:00:00,7.6,2.6545463,359,348,453,440,1.3841982,2024-01-01T00:00:00,30.47548148148148,Tiyara Jamalpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.38561302642462,25.53205175253766]}"
2_0,0.59,0.10848205,0.29,0.87,5.83,0.13473077,280,2.37,81,0.25823334,0.36,18,0.14383847,11.08,0.26625642,0.22195898,-1.1400551003448416,0.57,312.06137,188,212,"3/13/24, 12:00 AM",KAUSHAMBI,107,2024-12-31T00:00:00,7.7,2.6545463,359,348,453,440,1.3841982,2024-01-01T00:00:00,30.47548148148148,Tiyara Jamalpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.38561302642462,25.53205175253766]}"
3_0,0.62,0.10848205,0.11,0.62,7.78,0.13473077,280,4.12,74.25,0.25823334,0.33,13.5,0.14383847,11.08,0.26625642,0.22195898,-1.1400551003448416,0.66,312.06137,188,212,"3/13/24, 12:00 AM",KAUSHAMBI,107,2024-12-31T00:00:00,7.8,2.6545463,359,348,453,440,1.3841982,2024-01-01T00:00:00,30.47548148148148,Tiyara Jamalpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.38561302642462,25.53205175253766]}"
4_0,0.63,0.10848205,0.34,0.62,6.61,0.13473077,313.6,3.04,81,0.25823334,0.36,13.5,0.14383847,11.08,0.26625642,0.22195898,-1.1400551003448416,1.01,312.06137,188,212,"3/13/24, 12:00 AM",KAUSHAMBI,107,2024-12-31T00:00:00,7.7,2.6545463,359,348,453,440,1.3841982,2024-01-01T00:00:00,30.47548148148148,Tiyara Jamalpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.38561302642462,25.53205175253766]}"
5_0,0.62,0.10848205,0.38,0.6,6.22,0.13473077,291.2,2.47,76.5,0.25823334,0.34,18,0.14383847,12.47,0.26625642,0.22195898,-1.1400551003448416,0.54,312.06137,188,212,"3/13/24, 12:00 AM",KAUSHAMBI,107,2024-12-31T00:00:00,7.6,2.6545463,359,348,453,440,1.3841982,2024-01-01T00:00:00,30.47548148148148,Tiyara Jamalpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.38561302642462,25.53205175253766]}"
6_0,0.61,0.10848205,0.34,0.65,5.83,0.13473077,280,1.87,83.25,0.25823334,0.37,18,0.14383847,12.47,0.26625642,0.22195898,-1.1400551003448416,0.76,312.06137,188,212,"3/13/24, 12:00 AM",KAUSHAMBI,107,2024-12-31T00:00:00,7.8,2.6545463,359,348,453,440,1.3841982,2024-01-01T00:00:00,30.47548148148148,Tiyara Jamalpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.38561302642462,25.53205175253766]}"
7_0,0.58,0.0809878,0.32,0.75,7.78,0.112446345,291.2,1.87,69.75,0.2642488,0.31,13.5,0.12509269,10.75,0.26818538,0.2033439,0.8755892575925366,0.57,47.924667,211,232,"2/20/24, 12:00 AM",KAUSHAMBI,102,2024-12-31T00:00:00,7.8,2.580142,356,345,432,422,2.7660363,2024-01-01T00:00:00,30.47807142857143,Lahana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.44732728644364,25.473032438371007]}"
8_0,0.54,0.10848205,0.59,0.75,8.56,0.13473077,268.8,1.87,76.5,0.25823334,0.34,13.5,0.14383847,12.47,0.26625642,0.22195898,-1.1400551003448416,1.14,312.06137,188,212,"2/20/24, 12:00 AM",KAUSHAMBI,107,2024-12-31T00:00:00,7.7,2.6545463,359,348,453,440,1.3841982,2024-01-01T00:00:00,30.47548148148148,Lahana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.38561302642462,25.53205175253766]}"
9_0,0.58,0.10848205,0.5,0.72,4.28,0.13473077,302.4,2.05,87.75,0.25823334,0.39,13.5,0.14383847,12.47,0.26625642,0.22195898,-1.1400551003448416,0.52,312.06137,188,212,"2/20/24, 12:00 AM",KAUSHAMBI,107,2024-12-31T00:00:00,7.8,2.6545463,359,348,453,440,1.3841982,2024-01-01T00:00:00,30.47548148148148,Lahana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.38561302642462,25.53205175253766]}"
10_0,0.6,0.10848205,0.32,0.75,7.78,0.13473077,268.8,2.99,69.75,0.25823334,0.31,13.5,0.14383847,11.08,0.26625642,0.22195898,-1.1400551003448416,0.6,312.06137,188,212,"2/20/24, 12:00 AM",KAUSHAMBI,107,2024-12-31T00:00:00,7.5,2.6545463,359,348,453,440,1.3841982,2024-01-01T00:00:00,30.47548148148148,Lahana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.38561302642462,25.53205175253766]}"
11_0,0.58,0.093930766,0.58,0.7,8.56,0.11859231,313.6,2.8,78.75,0.25847435,0.35,18,0.12381795,11.09,0.25970513,0.2072923,-0.8422254287789079,0.57,270.0,188,212,"2/20/24, 12:00 AM",KAUSHAMBI,106,2024-12-31T00:00:00,7.6,2.6545463,359,348,453,440,1.0277569,2024-01-01T00:00:00,30.47548148148148,Lahana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.38534353183938,25.53205175253766]}"
12_0,0.61,0.10848205,0.32,0.78,6.61,0.13473077,324.8,3.29,81,0.25823334,0.36,13.5,0.14383847,11.08,0.26625642,0.22195898,-1.1400551003448416,1.06,312.06137,188,212,"2/20/24, 12:00 AM",KAUSHAMBI,107,2024-12-31T00:00:00,7.8,2.6545463,359,348,453,440,1.3841982,2024-01-01T00:00:00,30.47548148148148,Lahana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.38561302642462,25.53205175253766]}"
