system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.23,0.06472195,0.37,0.331,6.09,0.1036439,392,4.09,99,0.3179317,0.44,13.5,0.112446345,13.06,0.29790488,0.22465366,-2.180393641800497,0.73,15.733802,205,218,"2/25/24, 12:00 AM",MAINPURI,167,2024-12-31T00:00:00,5.2,3.3892882,453,444,342,338,3.8485813,2024-01-01T00:00:00,30.313272727272725,Timanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.90356789640238,27.452470166928375]}"
1_0,0.153,0.06358095,0.34,0.676,7.04,0.09720595,448,7.24,15.75,0.29657382,0.07,22.5,0.09622857,6.09,0.25742024,0.18364881,0.22607929244620245,0.73,270.0,203,203,"2/26/24, 12:00 AM",MAINPURI,159,2024-12-31T00:00:00,6.1,2.6640108,413,413,384,384,1.0435708,2024-01-01T00:00:00,30.310516129032262,Jasrau,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.01513865469003,27.293737856224453]}"
3_0,0.338,0.095484145,0.31,0.684,3.65,0.12531829,448,3.07,126,0.33415854,0.56,11.25,0.12393902,18.22,0.27213416,0.19878659,-1.5827596437676987,0.67,150.68413,212,215,"2/19/24, 12:00 AM",MAINPURI,156,2024-12-31T00:00:00,7,2.7977662,444,442,344,343,2.1264577,2024-01-01T00:00:00,30.267696969696967,Sothara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.83322980965582,27.07490825301294]}"
4_0,0.177,0.07504268,0.34,0.831,7.58,0.10876341,403,4.67,101.25,0.315161,0.45,22.5,0.1169561,22.57,0.2486305,0.17770122,2.0315704042190705,0.32,-0.0,207,212,"2/19/24, 12:00 AM",MAINPURI,162,2024-12-31T00:00:00,7.8,2.7977662,453,450,340,339,0.0,2024-01-01T00:00:00,30.28782352941176,Sothara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.8308043583887,27.08838298227473]}"
5_0,0.144,0.06345,0.34,0.438,3.41,0.099759996,90,3.48,117,0.32956,0.52,15.75,0.0998975,16.05,0.25303,0.1752875,0.220903527341695,0.73,131.59279,196,217,"2/25/24, 12:00 AM",MAINPURI,161,2024-12-31T00:00:00,7.5,3.232474,426,415,378,368,1.3968999,2024-01-01T00:00:00,30.295823529411763,Jakhaua,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.89009316714059,27.42471222464908]}"
6_0,0.202,0.06345,0.37,0.834,2.68,0.099759996,448,3.32,78.75,0.32956,0.35,13.5,0.0998975,11.36,0.25303,0.1752875,0.220903527341695,0.78,131.59279,196,217,"2/25/24, 12:00 AM",MAINPURI,161,2024-12-31T00:00:00,6.9,3.232474,426,415,378,368,1.3968999,2024-01-01T00:00:00,30.295823529411763,Jakhaua,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.89009316714059,27.42471222464908]}"
7_0,0.33,0.08836429,0.083,0.776,3.32,0.11948333,403,1.11,101.25,0.28992143,0.45,18,0.13347381,9.72,0.28617144,0.22654524,-0.8707817271826089,0.45,270.0,227,250,"2/25/24, 12:00 AM",MAINPURI,142,2024-12-31T00:00:00,7.6,3.2710369,392,384,381,367,1.0426518,2024-01-01T00:00:00,30.330624999999998,Nabiganj,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.38650219314503,27.195641827198603]}"
8_0,0.137,0.09021136,0.2,0.38,5.23,0.12269545,441,2.98,81,0.27836135,0.36,36,0.13299091,20.33,0.25995228,0.20110455,3.2198367542858555,0.3,131.65163,214,227,"2/25/24, 12:00 AM",MAINPURI,151,2024-12-31T00:00:00,7.4,3.155207,443,435,343,338,1.3952874,2024-01-01T00:00:00,30.237151515151524,Adhar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.21052222898602,27.195372332613367]}"
9_0,0.296,0.0798241,0.41,0.315,4.05,0.10731928,269,5.67,78.75,0.27352652,0.35,31.5,0.10569036,15.24,0.22728795,0.16145301,-1.9168395625272063,0.56,20.525272,210,217,"2/25/24, 12:00 AM",MAINPURI,150,2024-12-31T00:00:00,7.8,3.1796787,423,417,367,366,2.9684255,2024-01-01T00:00:00,30.30006451612903,Kaithauli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.41210417874244,27.083532079740486]}"
10_0,0.316,0.074802324,0.23,0.77,2.14,0.10568372,414,4.04,92.25,0.3181093,0.41,9,0.115072094,20.66,0.27860466,0.20416047,-0.06378518537572266,0.63,131.64786,200,220,"3/4/24, 12:00 AM",MAINPURI,154,2024-12-31T00:00:00,7.4,3.2501252,445,432,355,348,1.3953903,2024-01-01T00:00:00,30.290838709677427,Adhar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.21887656112834,27.209925040216103]}"
