system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.22,0.10727125,0.49,0.8,5.6,0.139055,190,3.69,108,0.27978876,0.48,38.2,0.1631725,11.51,0.30225375,0.25267,-2.0767132238274884,0.88,143.11563,283,293,"2/21/24, 12:00 AM",MATHURA,178,2024-12-31T00:00:00,7.4,2.9246354,394,387,323,320,3.4744847,2024-01-01T00:00:00,30.468764705882357,Malsarai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.75875489832046,27.32446023894134]}"
1_0,0.28,0.077835,0.08,0.2,0.38,0.109185,291,10.23,157.5,0.2884175,0.7,27,0.1129775,9.69,0.233515,0.1819575,0.4956446262114483,0.71,180.0,287,288,"2/22/24, 12:00 AM",MATHURA,184,2024-12-31T00:00:00,8.1,2.5734956,400,395,313,317,1.8543341,2024-01-01T00:00:00,30.316000000000006,Dirawali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45287854407776,27.587756448716775]}"
2_0,0.49,0.077835,0.33,0.3,2.48,0.109185,179,5.66,117,0.2884175,0.52,22.5,0.1129775,15.45,0.233515,0.1819575,0.4956446262114483,0.85,180.0,287,288,"2/22/24, 12:00 AM",MATHURA,184,2024-12-31T00:00:00,7.1,2.5734956,400,395,313,317,1.8543341,2024-01-01T00:00:00,30.316000000000006,Dirawali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45287854407776,27.587756448716775]}"
3_0,0.17,0.0735425,0.43,0.3,0.9,0.10515,235,7.92,117,0.2889875,0.52,22.5,0.1060925,9.69,0.23265749,0.1836925,-0.5619948276867048,1.24,113.90058,287,288,"2/22/24, 12:00 AM",MATHURA,184,2024-12-31T00:00:00,9,2.5734956,400,395,313,317,2.288031,2024-01-01T00:00:00,30.316000000000006,Dirawali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.453148038663,27.587756448716775]}"
4_0,0.2,0.0735425,0.16,0.1,0.66,0.10515,213,8.06,150.75,0.2889875,0.67,27,0.1060925,15.45,0.23265749,0.1836925,-0.5619948276867048,0.25,113.90058,287,288,"2/22/24, 12:00 AM",MATHURA,184,2024-12-31T00:00:00,9,2.5734956,400,395,313,317,2.288031,2024-01-01T00:00:00,30.316000000000006,Dirawali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.453148038663,27.587756448716775]}"
5_0,0.18,0.073636584,0.23,0.9,1.12,0.103241466,257,3.3,108,0.26746586,0.48,15.7,0.10472683,14.84,0.22838293,0.18254878,-0.06395316053826827,0.3,180.0,285,280,"2/21/24, 12:00 AM",MATHURA,184,2024-12-31T00:00:00,8.1,2.5734956,399,399,317,321,0.92740995,2024-01-01T00:00:00,30.311314285714285,Dirawali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46258034914626,27.58479200827918]}"
6_0,0.21,0.07344634,0.43,0.1,1.8,0.10327561,268,3.5,117,0.2407683,0.52,11.2,0.11421464,8.78,0.22944391,0.18523659,-2.079925247526751,0.53,323.04993,288,281,"2/21/24, 12:00 AM",MATHURA,187,2024-12-31T00:00:00,7.1,2.5734956,394,395,319,325,3.4774723,2024-01-01T00:00:00,30.314457142857133,Dirawali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46608377875432,27.587756448716775]}"
7_0,0.4,0.0742025,0.28,0.2,1.66,0.1039325,146,6.1,108,0.2897425,0.48,22.5,0.10761,6.36,0.2309575,0.1763975,-1.1677314625509427,0.41,311.54965,311,308,"2/21/24, 12:00 AM",MATHURA,187,2024-12-31T00:00:00,8.5,2.5734956,392,390,297,302,1.3980863,2024-01-01T00:00:00,30.316000000000006,Dirawali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.453148038663,27.591529372910074]}"
8_0,0.19,0.0742025,0.37,0.9,2.19,0.1039325,246,4.69,101.25,0.2897425,0.45,22.5,0.10761,6.66,0.2309575,0.1763975,-1.1677314625509427,0,311.54965,311,308,"2/21/24, 12:00 AM",MATHURA,187,2024-12-31T00:00:00,8.1,2.5734956,392,390,297,302,1.3980863,2024-01-01T00:00:00,30.316000000000006,Dirawali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.453148038663,27.591529372910074]}"
9_0,0.42,0.073995,0.37,1,3.29,0.1047725,313,12.01,128.25,0.2845475,0.57,11.2,0.1072475,8.48,0.23026,0.18186,-1.1676589975146292,0.8,228.44899,287,288,"2/21/24, 12:00 AM",MATHURA,185,2024-12-31T00:00:00,8.5,2.5734956,400,395,313,317,1.3980486,2024-01-01T00:00:00,30.316000000000006,Dirawali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45395652241871,27.586408975790594]}"
