system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.6,0.10259512,0.57,0.38,5.41,0.12850487,106.87,0.41,117,0.26920733,0.52,18,0.1300756,14.94,0.25467804,0.18846098,-1.6764968179351754,0.24,246.2839,234,247,"2/8/24, 12:00 AM",PILIBHIT,182,2024-12-31T00:00:00,6.7,3.3745842,334,325,433,428,2.3047714,2024-01-01T00:00:00,30.205085714285723,Goonchh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.71366861962137,28.525058616167083]}"
1_0,0.6,0.0541825,0.23,0.36,3.07,0.0777425,151.87,0.31,67.5,0.26209,0.3,13.5,0.0654925,19.01,0.18764,0.1135075,0.6163284808159538,0.31,217.19084,233,246,"2/8/24, 12:00 AM",PILIBHIT,182,2024-12-31T00:00:00,6.7,3.3745842,329,320,438,434,3.4885023,2024-01-01T00:00:00,30.205085714285723,Goonchh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.71474659796232,28.526945078263733]}"
2_0,0.87,0.09645952,0.52,0.31,1.38,0.11732143,213.2,0.34,101.25,0.24826428,0.45,31.5,0.12502381,21.82,0.2520024,0.19707143,-1.5872194114893043,0.79,270.0,265,265,"2/12/24, 12:00 AM",PILIBHIT,181,2024-12-31T00:00:00,7.1,3.5856044,325,324,410,410,2.1092072,2024-01-01T00:00:00,30.21344444444445,Sidhaura Bindhuwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.94139154414567,28.469542731608495]}"
3_0,0.62,0.08269773,0.76,0.31,2.04,0.10774545,132,1.91,58.5,0.29706365,0.26,13.5,0.110045455,15.04,0.24543183,0.16926818,-2.188234757225586,0.76,195.84492,242,249,"2/16/24, 12:00 AM",PILIBHIT,171,2024-12-31T00:00:00,7.4,2.9926848,347,340,410,411,3.850686,2024-01-01T00:00:00,30.12891891891892,Ahirpura Nagla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.80394930567537,28.255564030931225]}"
4_0,0.62,0.07983863,0.92,0.22,1.46,0.105475,237.4,1.85,87.75,0.27358636,0.39,9,0.1053,14.85,0.23705682,0.17360227,-2.275792097539781,0.7,131.37593,242,248,"2/16/24, 12:00 AM",PILIBHIT,167,2024-12-31T00:00:00,7.4,2.9926848,348,341,410,411,4.201961,2024-01-01T00:00:00,30.12891891891892,Ahirpura Nagla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.80529677860156,28.252330095908395]}"
5_0,0.64,0.1067,1.21,0.31,19.76,0.13972381,201.37,0.93,67.5,0.27606428,0.3,18,0.15637857,16.21,0.28083333,0.21677142,1.4579498772827941,0.53,48.696278,254,258,"2/7/24, 12:00 AM",PILIBHIT,180,2024-12-31T00:00:00,7,3.1989152,327,323,419,420,1.4049002,2024-01-01T00:00:00,30.224705882352943,Ujhainia Rampura Ehatmali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.77026248252089,28.521555186559016]}"
6_0,0.74,0.075671054,0.79,0.27,3.24,0.10317105,141.75,0.73,126,0.28657895,0.56,9,0.10538158,16.66,0.24418421,0.1748579,-2.2823056355463103,0.82,48.743675,235,222,"2/3/24, 12:00 AM",PILIBHIT,191,2024-12-31T00:00:00,7.5,3.3970723,331,343,434,435,4.211916,2024-01-01T00:00:00,30.188947368421065,Sandia Mugalpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.87752132744477,28.69699616154756]}"
7_0,0.55,0.1336119,0.49,0.22,10.48,0.15591905,192.6,0.74,126,0.24030477,0.56,13.5,0.17633334,13.85,0.28533572,0.25224763,-1.5984854478201629,0.32,330.3695,265,265,"2/15/24, 12:00 AM",PILIBHIT,183,2024-12-31T00:00:00,7,3.5856044,325,324,410,410,2.1330614,2024-01-01T00:00:00,30.2386111111111,Nua Nagla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.94273901707184,28.46981222619373]}"
8_0,0.52,0.08116586,0.75,0.26,12.81,0.100658536,208.12,1.63,83.25,0.21460488,0.37,22.5,0.10026585,15.95,0.21688293,0.16637316,-1.1820724505082125,0.94,228.71388,208,207,"2/22/24, 12:00 AM",PILIBHIT,169,2024-12-31T00:00:00,6.9,3.7361615,367,369,425,424,1.4053918,2024-01-01T00:00:00,30.155210526315788,Ramnagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.38201519100629,28.58704237077133]}"
9_0,0.9,0.086330235,0.48,0.24,7.38,0.11767209,229.6,2.96,47.25,0.2654093,0.21,13.5,0.12530698,16.23,0.2753,0.20940465,-1.4573993526843563,1.06,-0.0,227,248,"2/15/24, 12:00 AM",PILIBHIT,174,2024-12-31T00:00:00,7.2,3.2066197,353,340,420,411,1.8543341,2024-01-01T00:00:00,30.234342857142856,Pakria Mangli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.81419009991434,28.369560240485992]}"
10_0,0.68,0.083714634,0.52,0.2,1.82,0.11540732,130.5,2.08,83.25,0.28208536,0.37,18,0.11623658,23.25,0.20630488,0.15287317,-1.5885682274722595,0.53,90.0,227,233,"2/16/24, 12:00 AM",PILIBHIT,168,2024-12-31T00:00:00,7.4,3.6809413,373,373,400,394,2.110639,2024-01-01T00:00:00,30.11833333333334,Murainia Gandhi Nagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.37932024515393,28.541228291281232]}"
11_0,0.82,0.087871425,0.42,0.34,11.76,0.115383334,122,0.56,94.5,0.27704048,0.42,18,0.12556905,19.99,0.24974048,0.18650715,8.865327590228478,0.46,113.73292,228,240,"2/15/24, 12:00 AM",PILIBHIT,176,2024-12-31T00:00:00,7.3,3.3632917,332,324,440,436,2.303234,2024-01-01T00:00:00,30.22062857142857,Nua Nagla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.83763612882986,28.44070681098826]}"
12_0,0.48,0.0740907,0.58,0.26,16.16,0.09897907,279,1.28,150.75,0.25953025,0.67,22.5,0.09705814,18.04,0.21890464,0.15350698,4.50214026560872,0.92,-0.0,247,265,"2/11/24, 12:00 AM",PILIBHIT,189,2024-12-31T00:00:00,7.5,3.2389681,354,341,399,394,0.0,2024-01-01T00:00:00,30.233166666666666,Suswar Mustqil,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.75813522618529,28.66627377883067]}"
13_0,0.89,0.07856,0.49,0.54,18.86,0.1031975,279,1.13,135,0.240415,0.6,13.5,0.103055,15.91,0.2166975,0.1537875,0.20233730022864194,0.78,131.25157,233,227,"2/6/24, 12:00 AM",PILIBHIT,192,2024-12-31T00:00:00,6.5,3.703669,325,336,442,438,1.406357,2024-01-01T00:00:00,30.188648648648655,Chaura Khera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.92306591234963,28.71451330958789]}"
14_0,0.57,0.07267073,0.53,0.18,11.42,0.09896097,209.37,1.17,101.25,0.24136098,0.45,31.5,0.097936586,18.4,0.19858049,0.14417073,-1.183136902210646,0.83,228.73343,256,275,"2/12/24, 12:00 AM",PILIBHIT,188,2024-12-31T00:00:00,7.3,3.2389681,338,324,406,401,1.4059377,2024-01-01T00:00:00,30.233166666666666,Suswar Mustqil,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.75005038862821,28.659266919614538]}"
15_0,0.93,0.11887619,0.64,0.39,5.1,0.13804524,163.5,2.12,87.75,0.2875262,0.39,18,0.1402,13.49,0.2853405,0.21300238,-0.8900623352742506,1.14,270.0,245,268,"2/14/24, 12:00 AM",PILIBHIT,169,2024-12-31T00:00:00,7.5,3.1259935,344,329,412,404,1.0528294,2024-01-01T00:00:00,30.278228571428574,Rotapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.9454339629242,28.254755547175517]}"
16_0,0.71,0.056583334,0.31,0.33,3.2,0.08020952,129.9,1.6,63.5,0.2678095,0.28,18,0.0722,12.48,0.2006619,0.13056904,2.0210176457441635,0.38,-0.0,238,258,"2/16/24, 12:00 AM",PILIBHIT,170,2024-12-31T00:00:00,7.4,2.9926848,347,333,415,409,0.0,2024-01-01T00:00:00,30.216800000000006,Paharganj,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.84194804219364,28.259067460539292]}"
17_0,0.71,0.056583334,0.23,0.42,7.07,0.08020952,170.2,1.92,94.5,0.2678095,0.42,18,0.0722,17.28,0.2006619,0.13056904,2.0210176457441635,0.31,-0.0,238,258,"2/16/24, 12:00 AM",PILIBHIT,170,2024-12-31T00:00:00,7,2.9926848,347,333,415,409,0.0,2024-01-01T00:00:00,30.216800000000006,Paharganj,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.84194804219364,28.259067460539292]}"
18_0,0.54,0.11682619,0.59,0.28,15.93,0.13883571,174.7,0.74,110.25,0.22089523,0.49,9,0.15931904,14.3,0.2689,0.22923096,-0.8904538777760482,1.15,270.0,262,264,"2/15/24, 12:00 AM",PILIBHIT,171,2024-12-31T00:00:00,7.2,3.1259935,322,321,416,415,1.0530406,2024-01-01T00:00:00,30.23628571428572,Nawadyia Marouri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.94489497375373,28.27604561940915]}"
19_0,0.52,0.08060952,0.58,0.19,2.27,0.10608095,206.1,0.38,33.75,0.26847857,0.15,22.5,0.103609525,10.45,0.22931428,0.16258809,-0.3215296888968483,0.79,200.76598,263,265,"2/14/24, 12:00 AM",PILIBHIT,180,2024-12-31T00:00:00,7.4,3.5856044,321,319,416,415,2.9731195,2024-01-01T00:00:00,30.21344444444445,Sidhaura Bindhuwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.94004407121949,28.468734247852787]}"
20_0,0.97,0.09065952,0.44,0.35,2.75,0.11394048,147.8,0.48,83.25,0.2631357,0.37,22.5,0.11084762,17.68,0.23277381,0.16796191,-0.08173415356661165,0.66,311.31793,265,265,"2/11/24, 12:00 AM",PILIBHIT,179,2024-12-31T00:00:00,7.5,3.5856044,325,324,410,410,1.4045041,2024-01-01T00:00:00,30.21344444444445,Mahad Khas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.94112204956043,28.469003742438023]}"
