system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.52,0.1137475,0.49,0.57,7.44,0.14685,212,3.46,42,0.2793425,0.19,10.8,0.168985,9.7,0.28696,0.242065,0.18710018871919204,0.54,310.97305,252,279,"3/17/24, 12:00 AM",SAHARANPUR,255,2024-12-31T00:00:00,7.57,3.174363,393,379,355,342,2.826698,2024-01-01T00:00:00,30.086588235294123,Jhadban,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.27609009616305,29.719728112517632]}"
1_0,1.56,0.05217907,1,0.49,13.32,0.07013721,99,9.98,61,0.2630814,0.29,16.92,0.06069535,12.75,0.15856047,0.09463488,0.14852453223047418,0.82,282.1955,255,264,"2/26/24, 12:00 AM",SAHARANPUR,308,2024-12-31T00:00:00,7.37,4.3209777,413,404,332,332,4.381968,2024-01-01T00:00:00,30.05215789473684,Abdullapur-Mazra Behat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64529767793617,30.17409598322529]}"
2_0,0.55,0.097535715,0.82,0.39,8.38,0.10953333,156,6.77,54,0.23862381,0.24,8.55,0.102795236,9.4,0.17640476,0.11836905,1.0705601768004362,0.6,270.0,244,268,"3/5/24, 12:00 AM",SAHARANPUR,268,2024-12-31T00:00:00,7.55,3.7317162,371,358,385,374,3.2065384,2024-01-01T00:00:00,30.000333333333337,Bhuri Bans,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.37445561977414,29.906218365500848]}"
4_0,0.62,0.13137272,0.68,0.19,10.12,0.15048182,212,6.9,63,0.27724317,0.28,16.2,0.14573637,11.2,0.2235591,0.16426818,3.525392913139862,0.58,130.92223,266,277,"3/15/24, 12:00 AM",SAHARANPUR,262,2024-12-31T00:00:00,7.71,3.3381605,368,361,367,363,1.4156551,2024-01-01T00:00:00,30.071454545454547,Ranyala Dayalpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30573450053899,29.89894201169948]}"
5_0,0.45,0.085802324,0.28,0.38,4.53,0.104434885,175,5.84,30,0.2519465,0.14,15.53,0.10523721,10.41,0.20709303,0.15024884,4.3883416455320585,0.52,310.91306,251,263,"2/29/24, 12:00 AM",SAHARANPUR,271,2024-12-31T00:00:00,7.7,3.9221842,388,380,361,357,1.4159166,2024-01-01T00:00:00,30.075485714285723,Kolki Kalalan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64610616169188,29.931011867342544]}"
6_0,0.59,0.0882439,0.45,0.29,5.27,0.10210976,145,5.45,40,0.26855123,0.18,19.8,0.0861878,12.45,0.1698439,0.10242683,-1.8951800057264496,0.65,310.9212,243,259,"3/1/24, 12:00 AM",SAHARANPUR,273,2024-12-31T00:00:00,7.51,3.7317162,367,358,390,383,2.8296423,2024-01-01T00:00:00,29.984864864864868,Sirsala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.3787675331379,29.902445441307545]}"
7_0,0.72,0.12656666,0.44,0.45,7.74,0.15144102,178,6.52,40,0.22238205,0.18,9.45,0.17407179,9.4,0.26953846,0.2369641,-1.8920450151467776,0.99,310.9783,235,262,"3/1/24, 12:00 AM",SAHARANPUR,254,2024-12-31T00:00:00,7.27,3.174363,400,385,365,353,2.8263998,2024-01-01T00:00:00,30.096470588235295,Radaur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.28983432001007,29.70113298613636]}"
8_0,0.52,0.068595,0.5,0.62,16.5,0.0927475,167,8.84,56,0.2647275,0.25,17.1,0.0984375,12.45,0.2264,0.166115,-1.1991015687972455,1,49.02539,245,266,"3/15/24, 12:00 AM",SAHARANPUR,257,2024-12-31T00:00:00,7.57,3.174363,371,358,384,376,1.4141649,2024-01-01T00:00:00,30.079555555555558,Dubhar Kishanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.26072890480461,29.71406872622768]}"
9_0,0.65,0.076476745,0.5,0.37,8.07,0.098630235,144,4.55,101,0.27435115,0.45,12.6,0.09330465,13.86,0.20936047,0.14117675,-0.9253964177331078,0.38,329.96698,254,264,"3/2/24, 12:00 AM",SAHARANPUR,293,2024-12-31T00:00:00,7.31,3.9942534,392,381,354,355,2.1416638,2024-01-01T00:00:00,30.006,Ratanpur Kalyanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.59651915800848,30.13178533334326]}"
10_0,0.36,0.092236586,0.32,0.72,7.29,0.1120439,187,7.56,63,0.26762682,0.28,9.72,0.105665855,11.85,0.20266585,0.13698049,-1.2008734576868634,0.75,310.9423,257,272,"3/23/24, 12:00 AM",SAHARANPUR,267,2024-12-31T00:00:00,7.61,3.4311502,388,380,355,348,1.4150841,2024-01-01T00:00:00,30.10427777777778,Sadharan Sir,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.6304754757482,29.828334430367683]}"
