system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.41,0.118047364,0.39,0.49,5.46,0.14328422,212,2.87,90,0.3024184,0.4,17.11,0.15823685,9.57,0.2932579,0.22358948,-0.4777657890940496,0.77,228.509,225,231,"7/24/24, 12:00 AM",SHRAVASTI,133,2024-12-31T00:00:00,6.95,3.1863883,404,405,371,364,1.3997028,2024-01-01T00:00:00,30.273411764705884,Dondi Purwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.66400093297327,27.816557351582016]}"
1_0,0.24,0.10935789,0.41,0.41,4.8,0.13103157,96,3.1,68.83,0.27905,0.3,19.16,0.14547369,8.6,0.2783,0.21153422,-0.7592084594023253,0.78,180.0,232,239,"7/24/24, 12:00 AM",SHRAVASTI,133,2024-12-31T00:00:00,7.12,3.1863883,404,405,364,356,0.92740995,2024-01-01T00:00:00,30.272647058823537,Dondi Purwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.6718162759451,27.819252297434375]}"
2_0,0.3,0.11861579,0.39,0.48,6.04,0.1390842,193,2.4,85.1,0.2819737,0.38,19.26,0.14751315,9.57,0.28212106,0.20980527,-1.1709063237554076,0.83,131.49115,224,231,"7/24/24, 12:00 AM",SHRAVASTI,137,2024-12-31T00:00:00,6.94,3.1863883,417,416,359,352,1.3996987,2024-01-01T00:00:00,30.250470588235288,Dondi Purwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.65995851419473,27.816018362411544]}"
3_0,0.36,0.10970526,0.26,0.39,4.46,0.13006578,133,2.62,70.97,0.3021842,0.81,13.44,0.13202631,12.11,0.2718342,0.20323157,-2.684412351631536,0.9,98.38576,238,231,"7/24/24, 12:00 AM",SHRAVASTI,137,2024-12-31T00:00:00,7.11,3.1863883,414,420,349,349,6.3338437,2024-01-01T00:00:00,30.273411764705884,Dondi Purwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.65995851419473,27.812514932803477]}"
4_0,0.27,0.1262421,0.31,0.42,5.17,0.15394211,99,2.6,81.62,0.28428686,0.36,17.2,0.17555264,12.11,0.31669474,0.25672632,-1.5910358375851048,0.81,150.5187,232,239,"7/24/24, 12:00 AM",SHRAVASTI,134,2024-12-31T00:00:00,7.1,3.1863883,404,405,364,356,2.1299167,2024-01-01T00:00:00,30.272647058823537,Dondi Purwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.67208577053033,27.819791286604847]}"
5_0,0.24,0.13944359,0.24,0.46,5.9,0.16702051,212,2.8,88.65,0.31228206,0.39,9.85,0.1895359,11.92,0.33758974,0.27310255,-1.8640387058745114,0.86,131.49152,227,236,"7/24/24, 12:00 AM",SHRAVASTI,133,2024-12-31T00:00:00,6.95,3.1863883,404,403,369,361,2.7977087,2024-01-01T00:00:00,30.27799999999999,Dondi Purwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.6718162759451,27.814670889485363]}"
6_0,0.3,0.118039474,0.3,0.67,7,0.1411,113,3.1,85.055,0.29365262,0.37,17.92,0.15646316,8.4,0.28068686,0.21180263,1.9973239890627614,0.74,300.5245,236,233,"7/24/24, 12:00 AM",SHRAVASTI,133,2024-12-31T00:00:00,7.01,3.1863883,409,415,355,352,3.647275,2024-01-01T00:00:00,30.285647058823535,Dondi Purwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.66265346004708,27.818443813678666]}"
7_0,0.44,0.1164718,0.24,0.46,4.46,0.14348719,99,3.76,98.44,0.26452565,0.43,11.2,0.1544359,12.83,0.2603923,0.20510513,-2.269925584953551,0.72,311.48373,198,195,"7/21/24, 12:00 AM",SHRAVASTI,128,2024-12-31T00:00:00,6.84,3.274009,421,415,381,390,4.1930456,2024-01-01T00:00:00,30.252571428571425,Rampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.77826663711326,27.84431529386131]}"
8_0,0.24,0.11785641,0.36,0.41,6.7,0.14091025,133,2,119.53,0.25886154,0.53,10.3,0.15376154,11.33,0.28019232,0.22584616,0.774442065741328,0.4,131.48125,199,194,"7/21/24, 12:00 AM",SHRAVASTI,126,2024-12-31T00:00:00,7.15,3.161065,439,435,362,371,2.7982745,2024-01-01T00:00:00,30.24182857142857,Rampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.76667836994812,27.8540170989298]}"
9_0,0.31,0.122394875,0.28,0.76,5,0.1453359,204,3.9,105,0.28800514,0.45,15.23,0.15217435,13.4,0.27487692,0.21195897,1.9813085199896787,0.96,180.0,200,194,"7/20/24, 12:00 AM",SHRAVASTI,128,2024-12-31T00:00:00,7.11,3.161065,436,431,364,375,1.8543341,2024-01-01T00:00:00,30.24182857142857,Rampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.77152927248237,27.85266962600362]}"
