system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1.52,0.123595,0.31,0.61,15.1,0.1491025,112,18.6,56.25,0.28794,0.25,13.5,0.1517875,18,0.259625,0.2056825,6.152704918553885,0.715,-0.0,237,241,"3/18/24, 12:00 AM",SITAPUR,123,2024-12-31T00:00:00,7.4,2.7613804,376,370,386,388,0.0,2024-01-01T00:00:00,30.206727272727274,Khana Mador,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.18591753876485,27.759963488682487]}"
1_0,1.2,0.08923417,0.218,0.828,12.8,0.11861772,156,14.7,87.75,0.28052658,0.39,14.4,0.1288848,20,0.27359748,0.20680507,-0.06557932085228015,0.815,180.0,212,224,"3/4/24, 12:00 AM",SITAPUR,146,2024-12-31T00:00:00,7.2,2.9189465,357,349,430,427,2.7802885,2024-01-01T00:00:00,30.189575757575756,Jamuniha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.53266266415314,27.767239842483853]}"
2_0,1.08,0.057330158,0.315,0.312,14.15,0.08662064,168,15.12,96.75,0.2860349,0.43,16.4,0.08226349,12,0.23984604,0.15334286,-0.47194374708808423,0.518,131.59824,239,250,"3/1/24, 12:00 AM",SITAPUR,133,2024-12-31T00:00:00,7.4,2.7515335,385,376,376,374,2.7918434,2024-01-01T00:00:00,30.28806249999999,Belandapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.66821844052677,27.403691647000684]}"
3_0,1.15,0.08579036,0.218,0.438,14.16,0.1142012,168,15.18,42.75,0.23938192,0.19,17.5,0.119612046,23,0.24354939,0.1981759,-1.8571099807399158,0.608,131.61914,243,259,"3/14/24, 12:00 AM",SITAPUR,135,2024-12-31T00:00:00,7.8,2.8700836,346,337,411,404,2.790698,2024-01-01T00:00:00,30.236941176470584,Ramgarh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.62617728522997,27.322304282259456]}"
4_0,1.22,0.071284145,0.318,0.817,16.2,0.099380486,212,15.1,101.25,0.25923294,0.45,17.1,0.09924756,20,0.23601829,0.15880853,-1.6618779672641038,0.396,293.8859,247,252,"3/11/24, 12:00 AM",SITAPUR,141,2024-12-31T00:00:00,7.8,3.2087379,391,386,361,362,2.289355,2024-01-01T00:00:00,30.252424242424244,Kachuri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.40896464952988,27.66348442716805]}"
5_0,1.38,0.071284145,0.315,0.62,13.68,0.099380486,190,17.26,51,0.25923294,0.24,12.6,0.09924756,15,0.23601829,0.15880853,-1.6618779672641038,0.51,293.8859,247,252,"3/11/24, 12:00 AM",SITAPUR,141,2024-12-31T00:00:00,7.7,3.2087379,391,386,361,362,2.289355,2024-01-01T00:00:00,30.252424242424244,Kachuri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.40896464952988,27.66348442716805]}"
6_0,1.27,0.07417632,0.266,0.48,13.78,0.09953421,156,12.8,69.95,0.29606053,0.31,12.2,0.10672105,17,0.2615316,0.19675526,-1.6620815297723446,0.865,246.11649,231,250,"3/4/24, 12:00 AM",SITAPUR,142,2024-12-31T00:00:00,7.7,3.0527394,381,366,388,385,2.289569,2024-01-01T00:00:00,30.220909090909096,Taranpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.88758703290875,27.675881178088897]}"
7_0,1.52,0.06992308,0.218,0.439,11.6,0.09678718,134,14.5,33.75,0.29281282,0.15,18.2,0.099533334,12,0.24632564,0.17194359,-2.554228602088073,0.875,311.5459,218,236,"3/15/24, 12:00 AM",SITAPUR,134,2024-12-31T00:00:00,7.4,3.0989587,376,362,406,402,5.5761957,2024-01-01T00:00:00,30.203352941176462,Pakhaniyapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.95738613048485,27.606082080512813]}"
8_0,1.16,0.13324,0.325,0.662,11.86,0.1809975,168,14.68,40.5,0.29784125,0.18,13.9,0.21930125,13,0.337295,0.30507126,0.21869890099610712,0.69,48.447838,220,232,"3/13/24, 12:00 AM",SITAPUR,143,2024-12-31T00:00:00,7.3,2.7974074,396,386,384,382,1.3980169,2024-01-01T00:00:00,30.40975000000001,Gaura Arjunpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.66579298925964,27.581827567841586]}"
9_0,1.37,0.06748875,0.227,0.653,14.55,0.093395,156,16.1,60.75,0.2572625,0.27,14.3,0.09427875,19,0.21713625,0.15508126,-1.9239329861821945,0.715,339.354,235,258,"3/15/24, 12:00 AM",SITAPUR,146,2024-12-31T00:00:00,7.2,2.7850866,386,367,379,375,2.9707713,2024-01-01T00:00:00,30.236937500000007,Parsehra Sharifpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.72157836840347,27.789877387643667]}"
10_0,1.28,0.11026154,0.318,0.342,14.1,0.1409,201,14.9,87.75,0.29588717,0.39,15,0.15535128,22,0.29148462,0.23615128,0.6976851232737248,0.518,216.84721,274,288,"2/16/24, 12:00 AM",SITAPUR,128,2024-12-31T00:00:00,7.9,3.247855,336,327,390,385,3.4727998,2024-01-01T00:00:00,30.226909090909086,Anwarpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.92504678025654,27.174082260379734]}"
