system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.42,0.10344828,0.847,0.4,54.92,0.12017586,355.67,9.259,419.33,0.24273448,0.94,42.66,0.1122931,4.26,0.18780345,0.13152759,-0.8889860879340533,0.38,114.83247,348,356,"3/4/24, 12:00 AM",24 PARAGANAS SOUTH,6,2024-12-31T00:00:00,5.96,5.330315,53,46,599,597,2.207395,2024-01-01T00:00:00,30.04558620689655,Kamarpol,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.166366285544,22.255267090654883]}"
1_0,0.47,0.05694,0.623,0.5,42.45,0.06927667,225.79,8.569,349.44,0.26345,0.78,61.37,0.05084,6.24,0.14831,0.07896,2.0698084211331365,0.254,-0.0,348,347,"3/4/24, 12:00 AM",24 PARAGANAS SOUTH,11,2024-12-31T00:00:00,6.02,5.029809,63,57,589,596,0.0,2024-01-01T00:00:00,30.05690322580645,Kamarpol,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.16960022056683,22.240714383052143]}"
2_0,0.32,0.06621667,0.634,0.9,32.45,0.074543335,163.23,9.405,384.38,0.118303336,0.86,49.72,0.06057,2.18,0.08405,0.048853334,-1.5819761453688759,0.387,114.83438,355,366,"3/4/24, 12:00 AM",24 PARAGANAS SOUTH,9,2024-12-31T00:00:00,5.7,5.029809,67,59,578,575,2.2072365,2024-01-01T00:00:00,30.063379310344832,Kamarpol,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.16960022056683,22.24313983431927]}"
3_0,0.58,0.087806895,0.921,0.3,30.56,0.106272414,167.14,7.861,349.44,0.26594138,0.78,58.83,0.09345172,2.18,0.17132759,0.10924827,2.0696994535922495,0.641,-0.0,350,358,"3/4/24, 12:00 AM",24 PARAGANAS SOUTH,5,2024-12-31T00:00:00,6.11,5.330315,59,53,591,589,0.0,2024-01-01T00:00:00,30.04558620689655,Kamarpol,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.1625933613507,22.256075574410588]}"
4_0,0.37,0.09452581,0.819,0.4,74.03,0.111812904,162.38,9.894,395.02,0.24600323,0.88,33.21,0.098732255,8.41,0.17919354,0.117190324,-0.48321116122458335,0.287,65.16385,371,380,"3/2/24, 12:00 AM",24 PARAGANAS SOUTH,4,2024-12-31T00:00:00,6.22,5.1699886,80,72,549,548,2.207089,2024-01-01T00:00:00,30.067225806451617,Murigachhi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.21164137586364,22.231551567154124]}"
5_0,0.32,0.09827334,0.438,0.5,26.84,0.115956664,173.25,4.814,384.38,0.26351333,0.86,30.81,0.10999,1.82,0.21535,0.14488,-0.09886242208155263,0.192,270.0,356,356,"2/28/24, 12:00 AM",24 PARAGANAS SOUTH,2,2024-12-31T00:00:00,4.2,5.31046,52,46,592,598,1.0020628,2024-01-01T00:00:00,30.042666666666666,Khordnahala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.12863704361098,22.25796203650724]}"
6_0,0.11,0.084813796,0.513,0.9,24.81,0.09762759,333.07,5.342,279.55,0.24412069,0.62,64.72,0.08532069,4.44,0.17562069,0.12047931,-0.6359036312487176,0.639,35.767464,366,370,"3/4/24, 12:00 AM",24 PARAGANAS SOUTH,10,2024-12-31T00:00:00,6.45,5.31046,61,55,574,576,3.425156,2024-01-01T00:00:00,30.060624999999998,Chandabamuntala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.10896393888876,22.26173496070054]}"
7_0,0.68,0.10494062,0.43,0.8,16.42,0.12213437,397.58,7.609,302.4,0.25341251,0.68,83.36,0.11865625,11,0.2393375,0.16292812,-1.5787202079901503,0.337,294.87378,340,341,"4/15/24, 12:00 AM",24 PARAGANAS SOUTH,4,2024-12-31T00:00:00,6.16,5.6736307,44,39,615,620,2.2039661,2024-01-01T00:00:00,30.078774193548384,Kalicharanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.29302874060485,21.989006440441855]}"
8_0,0.58,0.09877188,1.381,0.8,12.77,0.12579063,419.57,7.609,72.05,0.28129062,0.16,89.52,0.12942187,5.18,0.28040937,0.2038625,-0.40523998089654434,0.147,312.83975,314,313,"4/15/24, 12:00 AM",24 PARAGANAS SOUTH,4,2024-12-31T00:00:00,6.91,5.6718645,43,37,643,650,1.3637992,2024-01-01T00:00:00,30.125812500000006,Belpukuria,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.22242115927307,21.982269075810958]}"
9_0,0.37,0.08234827,0.357,0.6,12.72,0.1059,487.75,7.05,420,0.23276207,0.94,89.23,0.112868965,7.32,0.24261379,0.17453103,-1.0985358927008495,0.207,47.16309,370,372,"4/15/24, 12:00 AM",24 PARAGANAS SOUTH,5,2024-12-31T00:00:00,6.44,5.6718645,68,59,562,569,1.3638724,2024-01-01T00:00:00,30.092727272727267,Belpukuria,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.22188217010259,21.996282794243225]}"
