system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.71,0.05134412,2.84,0,18.36,0.064041175,37.3,2.12,147.52,0.21373235,0.4,62.8,0.052635293,3.5,0.16757353,0.096541174,-2.1120740579737314,0.66,59.217007,267,268,"2/1/24, 12:00 AM",ALIPURDUAR,101,2024-12-31T00:00:00,6.1,6.682152,437,441,295,292,3.61969,2024-01-01T00:00:00,29.870294117647052,Madhya Satali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.35861033062743,26.673900310181985]}"
1_0,0.24,0.075451426,1.42,0,18.2,0.098262854,195,4.32,317.16,0.29310286,0.86,27.22,0.086425714,6.5,0.23127143,0.15548857,-1.4400914885259193,0.1,180.0,241,244,"2/2/24, 12:00 AM",ALIPURDUAR,46,2024-12-31T00:00:00,5.7,7.416953,471,476,288,280,1.8543341,2024-01-01T00:00:00,30.013090909090913,Majher Dabri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.82537495225594,26.42488731342405]}"
2_0,0.64,0.08190588,1.3,0.1,18.3,0.08924412,225,5.1,287.66,0.24860588,0.78,70,0.07388236,16.56,0.21965589,0.14136471,-1.2191511455706727,1.4,159.55191,254,262,"7/2/24, 12:00 AM",ALIPURDUAR,79,2024-12-31T00:00:00,5.7,7.0060644,458,451,288,287,2.9669347,2024-01-01T00:00:00,29.961411764705886,Khauchandpara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.26563469872106,26.618653920208633]}"
3_0,0.05,0.07076857,1.76,0,20.74,0.09400571,316.4,7.36,147.52,0.27691713,0.4,0.01,0.084674284,2.25,0.23609143,0.15949428,-1.0841035005828374,0.46,90.0,248,259,"1/20/24, 12:00 AM",ALIPURDUAR,84,2024-12-31T00:00:00,5.6,6.8760715,416,401,336,340,5.173981,2024-01-01T00:00:00,29.965055555555555,Dakshin Latabari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.42733144986258,26.63697955200467]}"
4_0,0.68,0.09922941,2.44,0.3,26.76,0.11785,361.05,8.42,191.77,0.22269118,0.52,100.6,0.1132,13.5,0.22249413,0.17682059,-1.4408853136651603,1.26,-0.0,268,278,"1/24/24, 12:00 AM",ALIPURDUAR,64,2024-12-31T00:00:00,4.8,7.2878604,457,454,275,268,1.8543341,2024-01-01T00:00:00,30.048342857142863,Patlakhawa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.34648307429183,26.51867142908613]}"
5_0,0.72,0.055764705,1.42,0,18.2,0.07234706,182.6,4.2,280.28,0.27085882,0.76,96,0.056141175,7,0.17915,0.100264706,-1.5762692897661574,0.44,150.8138,222,233,"2/2/24, 12:00 AM",ALIPURDUAR,53,2024-12-31T00:00:00,5.4,7.6024537,449,443,328,324,2.1237667,2024-01-01T00:00:00,30.05688235294117,Laskarpara (CT),"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.81594264177268,26.472318360425565]}"
6_0,0.641,0.043445714,1.32,0,16.2,0.056265716,33.2,5.12,247.09,0.22364572,0.67,17.5,0.042894285,5.5,0.121517144,0.066442855,3.0555885989260108,1.82,114.08543,277,285,"2/1/24, 12:00 AM",ALIPURDUAR,82,2024-12-31T00:00:00,7.5,7.280493,418,410,306,306,2.2715242,2024-01-01T00:00:00,30.028114285714285,Damsibad,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.70787531309311,26.61568947977104]}"
7_0,0.3,0.06897429,1.1,0.1,15.22,0.089002855,215.8,2.22,331.92,0.23224571,0.9,6.4,0.09297428,8.25,0.2571057,0.18693143,1.0427135556883662,1.24,48.20633,245,251,"1/30/24, 12:00 AM",ALIPURDUAR,81,2024-12-31T00:00:00,6.7,7.280493,448,438,308,310,1.3914149,2024-01-01T00:00:00,30.089411764705886,Turturi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.70302441055885,26.63185915488519]}"
8_0,0.05,0.056715153,2.4,0.1,20.4,0.07345151,99,7.4,77.44,0.25771818,0.21,30.4,0.064166665,11.75,0.20018181,0.12842727,-1.9995042107333576,0.8,73.3869,235,236,"7/2/24, 12:00 AM",ALIPURDUAR,55,2024-12-31T00:00:00,5.6,7.6024537,455,453,310,311,3.240565,2024-01-01T00:00:00,30.019142857142853,Laskarpara (CT),"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.800311955829,26.480672692567875]}"
9_0,0.3,0.06349394,2.36,0.1,26.44,0.079324245,124.5,3.24,283.97,0.24856363,0.77,72.6,0.06741818,13,0.18432121,0.113057576,-1.1553385822797628,2.8,228.22171,277,273,"3/12/24, 12:00 AM",ALIPURDUAR,92,2024-12-31T00:00:00,6.7,7.0288644,446,451,277,276,2.7820249,2024-01-01T00:00:00,30.04752941176471,Chapaguri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.1944881282188,26.6935734149042]}"
