system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.2,0.09484054,1.48,0.11,22.04,0.11862703,233,9.1,345,0.27292702,0.59,21,0.117756754,9.74,0.20675406,0.14254324,0.28459962043649517,1.74,90.0,334,341,"4/3/24, 12:00 AM",BIRBHUM,30,2024-12-31T00:00:00,5.46,4.131021,256,254,410,404,1.0132439,2024-01-01T00:00:00,30.14468571428571,Jubutia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.91950924546796,23.755543446662895]}"
1_0,0.18,0.08958857,1.72,0.2,20.18,0.111,264,10.02,293,0.29038286,0.53,24,0.10792571,6.89,0.23294571,0.15234286,-0.8139651460127971,1.86,90.0,338,346,"4/3/24, 12:00 AM",BIRBHUM,30,2024-12-31T00:00:00,5.31,4.131021,255,250,407,405,1.013218,2024-01-01T00:00:00,30.10155555555556,Jubutia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.92813307219551,23.752309511640064]}"
2_0,0.27,0.1165027,1.3,0.15,11.9,0.14011352,332,6.44,263,0.2995081,0.47,22,0.14371352,7.36,0.2907,0.2182081,-1.5489903006893526,1.32,331.35712,317,329,"2/8/24, 12:00 AM",BIRBHUM,32,2024-12-31T00:00:00,5.8,4.2899303,257,252,426,419,2.1126814,2024-01-01T00:00:00,30.154352941176466,Shibnagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.91277188083707,23.732636406917848]}"
3_0,0.2,0.12103947,1.64,0.18,20.44,0.14743158,211,11.46,283,0.31345,0.5,21,0.16291842,10.69,0.3246842,0.24027105,-2.070923075959407,1.82,301.39014,333,339,"4/4/24, 12:00 AM",BIRBHUM,32,2024-12-31T00:00:00,6.23,4.131021,244,242,423,419,3.55679,2024-01-01T00:00:00,30.145485714285716,Shibnagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.91411935376324,23.758777381685725]}"
4_0,0.31,0.12103947,1.58,0.19,21.44,0.14743158,219,11.34,388,0.31345,0.59,28,0.16291842,9.98,0.3246842,0.24027105,-2.070923075959407,1.72,301.39014,333,339,"4/4/24, 12:00 AM",BIRBHUM,32,2024-12-31T00:00:00,5.92,4.131021,244,242,423,419,3.55679,2024-01-01T00:00:00,30.145485714285716,Shibnagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.91411935376324,23.758777381685725]}"
5_0,0.19,0.11028286,1.88,0.2,21.42,0.12911429,249,16.06,280,0.29753715,0.5,46,0.11963715,8.55,0.24323714,0.16165143,-1.4185878267672607,1.98,180.0,343,356,"4/4/24, 12:00 AM",BIRBHUM,30,2024-12-31T00:00:00,5.37,4.2899303,242,236,415,408,1.8543341,2024-01-01T00:00:00,30.11105882352942,Shibnagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.92813307219551,23.749884060372942]}"
6_0,0.25,0.10172286,1.7,0.23,17.94,0.12601429,202,8.42,248,0.26736,0.44,30,0.12753429,7.84,0.20501715,0.13720572,-0.27088876002778167,1.18,227.53128,331,344,"4/2/24, 12:00 AM",BIRBHUM,31,2024-12-31T00:00:00,6.05,4.2899303,243,237,426,420,4.1139526,2024-01-01T00:00:00,30.11105882352942,Daskalgram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.92570762092839,23.747728103691056]}"
7_0,0.19,0.103165716,1.92,0.24,22.78,0.11717143,213,10.26,318,0.22951142,0.53,24,0.11279714,8.08,0.20201428,0.14666857,-0.032295406478349734,1.62,-0.0,343,356,"4/2/24, 12:00 AM",BIRBHUM,31,2024-12-31T00:00:00,5.97,4.131021,242,236,415,408,0.92740995,2024-01-01T00:00:00,30.10155555555556,Daskalgram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.92813307219551,23.750423049543414]}"
8_0,0.3,0.10172286,1.88,0.23,18.5,0.12601429,155,11.26,318,0.26736,0.53,21,0.12753429,10.93,0.20501715,0.13720572,-0.27088876002778167,1.44,227.53128,331,344,"4/2/24, 12:00 AM",BIRBHUM,31,2024-12-31T00:00:00,6.23,4.2899303,243,237,426,420,4.1139526,2024-01-01T00:00:00,30.11105882352942,Daskalgram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.92570762092839,23.747728103691056]}"
9_0,0.22,0.10436,1.68,0.21,22.86,0.12932286,216,8.66,388,0.26828286,0.59,19,0.13041429,9.74,0.20176286,0.1352,0.05961013922315189,1.68,200.01,331,344,"4/2/24, 12:00 AM",BIRBHUM,29,2024-12-31T00:00:00,5.92,4.2899303,243,237,426,420,2.9586012,2024-01-01T00:00:00,30.11105882352942,Daskalgram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.92570762092839,23.74745860910582]}"
10_0,0.25,0.10172286,1.68,0.2,23.34,0.12601429,146,11.82,230,0.26736,0.41,34,0.12753429,11.64,0.20501715,0.13720572,-0.27088876002778167,1.66,227.53128,331,344,"4/2/24, 12:00 AM",BIRBHUM,31,2024-12-31T00:00:00,5.97,4.2899303,243,237,426,420,4.1139526,2024-01-01T00:00:00,30.11105882352942,Daskalgram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.92570762092839,23.747728103691056]}"
11_0,0.28,0.10329143,1.58,0.19,20.34,0.12794,217,10.32,318,0.27310285,0.56,22,0.12814571,10.45,0.20752572,0.14120571,0.527341200924228,1.68,180.0,331,344,"4/2/24, 12:00 AM",BIRBHUM,32,2024-12-31T00:00:00,6.04,4.2899303,243,237,426,420,1.8543341,2024-01-01T00:00:00,30.11105882352942,Daskalgram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.92597711551362,23.747728103691056]}"
