system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.36,0.12125065,0.17,0.1,9.34,0.13152727,145,0.78,385.4,0.45777273,0.8,25,0.11043896,5.23,0.23606926,0.13859308,-4.363964074963235,0.45,358.26138,278,275,"4/8/24, 12:00 AM",DARJEELING,1663,2024-12-31T00:00:00,5.3,4.9671593,392,391,331,335,30.931026,2024-01-01T00:00:00,29.157589743589742,Lodhama,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.08470942621754,27.076525220524353]}"
1_0,0.26,0.24656522,0.17,0.13,8.21,0.24153478,125,0.43,381.06,0.30698696,0.76,25,0.24437392,4.12,0.27835652,0.23786522,-3.930856872364441,0.37,122.762695,269,265,"3/29/24, 12:00 AM",DARJEELING,1861,2024-12-31T00:00:00,5.3,6.232973,418,420,313,314,21.249548,2024-01-01T00:00:00,29.163277777777775,Aloobari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.20436502206226,26.99459886661265]}"
2_0,0.52,0.24656522,0.19,0.11,7.65,0.24153478,140,0.81,390.83,0.30698696,0.85,36,0.24437392,5.12,0.27835652,0.23786522,-3.930856872364441,0.64,122.762695,269,265,"3/29/24, 12:00 AM",DARJEELING,1861,2024-12-31T00:00:00,5.7,6.232973,418,420,313,314,21.249548,2024-01-01T00:00:00,29.163277777777775,Aloobari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.20436502206226,26.99459886661265]}"
3_0,0.29,0.059582144,0.19,0.08,8.65,0.080075,130,0.85,383.23,0.292775,0.78,35,0.07542143,6.32,0.23753214,0.148075,-3.951391338277317,0.63,106.56387,245,249,"3/24/24, 12:00 AM",DARJEELING,680,2024-12-31T00:00:00,5.5,6.254834,379,375,376,375,21.67669,2024-01-01T00:00:00,29.800882352941166,Selim Hill Tea Garden,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.33048848795265,26.838830996346328]}"
4_0,0.24,0.112055,0.18,0.11,9.66,0.14183,145,0.58,386.49,0.31789875,0.81,36,0.1591875,5.84,0.31497124,0.25169998,-3.958143365798523,0.39,39.614983,265,265,"6/6/24, 12:00 AM",DARJEELING,1674,2024-12-31T00:00:00,5.1,5.0976405,355,353,380,382,21.764791,2024-01-01T00:00:00,29.13661538461539,Kankibong,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.1415727837023,27.09970175485464]}"
5_0,0.31,0.08176786,0.16,0.14,8.17,0.09521607,150,0.54,397.34,0.22585893,0.91,32,0.09266072,5.43,0.21795535,0.15897143,-1.97383056609264,0.46,160.66063,261,261,"6/5/24, 12:00 AM",DARJEELING,1510,2024-12-31T00:00:00,5.5,5.224319,377,374,363,366,15.349239,2024-01-01T00:00:00,29.41794871794873,Kaijalia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.17795455270915,27.07679471510959]}"
6_0,0.25,0.101864286,0.17,0.11,10.75,0.11971964,140,0.65,390.83,0.31269643,0.85,34,0.11438572,6.01,0.26916072,0.18427858,-3.169483543477888,0.43,159.47691,224,229,"6/6/24, 12:00 AM",DARJEELING,1477,2024-12-31T00:00:00,5.3,5.224319,400,392,376,380,19.949947,2024-01-01T00:00:00,29.433699999999995,Kaijalia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.17067819890778,27.070596339649164]}"
7_0,0.34,0.24656522,0.19,0.12,8.12,0.24153478,135,0.82,386.49,0.30698696,0.81,36,0.24437392,5.23,0.27835652,0.23786522,-3.930856872364441,0.67,122.762695,269,265,"3/28/24, 12:00 AM",DARJEELING,1861,2024-12-31T00:00:00,5.5,6.232973,418,420,313,314,21.249548,2024-01-01T00:00:00,29.163277777777775,Aloobari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.20436502206226,26.99459886661265]}"
8_0,0.31,0.06353448,0.19,0.08,9.78,0.080765516,130,0.51,397.34,0.32283276,0.91,27,0.074548274,6.18,0.26668105,0.15948966,-3.8439243796766784,0.62,-0.0,268,272,"6/5/24, 12:00 AM",DARJEELING,868,2024-12-31T00:00:00,5.6,4.982311,352,344,380,384,19.602388,2024-01-01T00:00:00,29.620146341463407,Goke,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.23050599683015,27.11048153826407]}"
9_0,0.34,0.047063332,0.24,0.07,9.01,0.05971,125,0.28,390.83,0.23752,0.85,26,0.043883335,5.01,0.15042333,0.072053336,-3.600153006526637,0.37,35.803097,280,289,"3/20/24, 12:00 AM",DARJEELING,457,2024-12-31T00:00:00,5.4,5.893402,375,373,345,338,15.612093,2024-01-01T00:00:00,29.621789473684213,Sittong Khasmahal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42346411985902,26.970344353941424]}"
