system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.49,0.113076665,1.4,0.39,13.42,0.12873334,152,3.5,218.4,0.29328668,0.39,96,0.1272,16.24,0.27789667,0.20931333,2.736125914863622,1.46,-0.0,307,301,"4/15/24, 12:00 AM",DINAJPUR UTTAR,36,2024-12-31T00:00:00,5.3,5.224662,294,294,399,404,0.0,2024-01-01T00:00:00,30.09660606060606,Ratanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.18038000397627,25.75195933409012]}"
1_0,0.49,0.095809676,1.4,0.13,14.06,0.114693545,148,3.72,145.6,0.29514837,0.26,81,0.11758387,21.78,0.2711742,0.20998387,-0.04820570143533312,1.2,-0.0,300,298,"4/15/24, 12:00 AM",DINAJPUR UTTAR,39,2024-12-31T00:00:00,5,5.224662,281,284,420,418,1.8543341,2024-01-01T00:00:00,30.071062500000007,Ratanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.17310365017491,25.760583160817667]}"
2_0,0.49,0.11416667,0.9,0.18,13.72,0.13344666,150,3.7,229.6,0.26060334,0.41,79,0.12543334,21.36,0.24165332,0.17698,-0.7412801735686102,1.06,180.0,307,301,"4/15/24, 12:00 AM",DINAJPUR UTTAR,37,2024-12-31T00:00:00,5.4,5.224662,294,294,399,404,0.92740995,2024-01-01T00:00:00,30.09660606060606,Ratanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.18118848773197,25.75195933409012]}"
3_0,0.75,0.07457333,1.94,0.2,17.62,0.091806665,483,3.82,395.6,0.23220667,0.67,72,0.08805333,11.08,0.20459,0.13871667,-0.44943952441475704,1.46,312.0145,327,326,"6/24/24, 12:00 AM",DINAJPUR UTTAR,37,2024-12-31T00:00:00,6.1,5.4496717,279,282,394,392,1.3854538,2024-01-01T00:00:00,29.99084848484848,Imadpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.18091899314675,25.728243810589362]}"
4_0,0.43,0.07457333,2.14,0.06,16.64,0.091806665,195,4.18,327.6,0.23220667,0.57,52,0.08805333,15.23,0.20459,0.13871667,-0.44943952441475704,0.98,312.0145,327,326,"6/24/24, 12:00 AM",DINAJPUR UTTAR,37,2024-12-31T00:00:00,5.4,5.4496717,279,282,394,392,1.3854538,2024-01-01T00:00:00,29.99084848484848,Imadpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.18091899314675,25.728243810589362]}"
5_0,0.39,0.086336665,2.1,0.04,20.1,0.107659996,200,3.84,224,0.2733,0.4,74,0.109463334,12.31,0.25446332,0.19091333,1.1004329427127877,1.14,90.0,329,329,"6/24/24, 12:00 AM",DINAJPUR UTTAR,37,2024-12-31T00:00:00,5.5,5.4496717,279,282,392,389,1.0294385,2024-01-01T00:00:00,29.99276470588235,Imadpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.18415292816957,25.72716583224842]}"
6_0,0.27,0.11168333,1.72,0.16,11.66,0.13077334,491,4.24,162.4,0.31473666,0.29,43,0.13026,22.01,0.28778332,0.21857667,-2.058480291106707,0.72,36.51113,294,289,"4/13/24, 12:00 AM",DINAJPUR UTTAR,38,2024-12-31T00:00:00,5.5,5.0047073,319,324,387,388,3.4576974,2024-01-01T00:00:00,30.042848484848488,Mahipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.13483541907141,25.765164568766675]}"
7_0,0.42,0.11168333,1.62,0.24,14.42,0.13077334,175,4.06,224,0.31473666,0.4,37,0.13026,23.03,0.28778332,0.21857667,-2.058480291106707,1.36,36.51113,294,289,"4/13/24, 12:00 AM",DINAJPUR UTTAR,38,2024-12-31T00:00:00,5.4,5.0047073,319,324,387,388,3.4576974,2024-01-01T00:00:00,30.042848484848488,Mahipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.13483541907141,25.765164568766675]}"
8_0,0.5,0.09854333,1.72,0.12,12.72,0.11438,242,3.92,280,0.31095666,0.5,30,0.10920667,14.3,0.24703,0.17229334,-1.836216516171097,1.32,47.994423,294,289,"4/13/24, 12:00 AM",DINAJPUR UTTAR,38,2024-12-31T00:00:00,5.5,5.0047073,319,324,387,388,2.7697678,2024-01-01T00:00:00,30.042848484848488,Mahipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.13456592448618,25.76543406335191]}"
9_0,0.5,0.09854333,1.62,0.09,14.52,0.11438,205,4.5,229.6,0.31095666,0.41,57,0.10920667,18.4,0.24703,0.17229334,-1.836216516171097,0.94,47.994423,294,289,"4/15/24, 12:00 AM",DINAJPUR UTTAR,38,2024-12-31T00:00:00,5.2,5.0047073,319,324,387,388,2.7697678,2024-01-01T00:00:00,30.042848484848488,Mahipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.13456592448618,25.76543406335191]}"
10_0,0.45,0.10780333,1.54,0.15,10.62,0.12917334,243,4.06,190.4,0.31175667,0.34,61,0.12404667,18.62,0.26705334,0.19268,-2.058480291106707,1.24,36.51113,294,289,"4/13/24, 12:00 AM",DINAJPUR UTTAR,40,2024-12-31T00:00:00,5.3,5.0047073,319,324,387,388,3.4576974,2024-01-01T00:00:00,30.042848484848488,Mahipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.13456592448618,25.765164568766675]}"
11_0,0.3,0.09173548,1.72,0.18,13.06,0.10813871,365,4.06,100.8,0.31760967,0.18,42,0.09414839,24.3,0.24721935,0.1567,-1.5640606424016155,0.9,102.687805,292,287,"4/13/24, 12:00 AM",DINAJPUR UTTAR,42,2024-12-31T00:00:00,5.2,5.0047073,315,320,393,394,4.215184,2024-01-01T00:00:00,30.066705882352952,Bhagilata,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.13294895697476,25.77028496588616]}"
12_0,0.49,0.075135484,1.52,0.18,14.48,0.09034193,220,3.9,190.4,0.2956258,0.34,42,0.07506129,20.8,0.21794839,0.13121936,-2.0987109145388287,1.22,120.97899,292,287,"4/13/24, 12:00 AM",DINAJPUR UTTAR,42,2024-12-31T00:00:00,5.4,5.0047073,315,320,393,394,3.599099,2024-01-01T00:00:00,30.066705882352952,Bhagilata,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.13294895697476,25.77055446047139]}"
13_0,0.35,0.09173548,1.72,0.35,14.02,0.10813871,155,4.02,218.4,0.31760967,0.39,37,0.09414839,23.42,0.24721935,0.1567,-1.5640606424016155,1.4,102.687805,292,287,"4/13/24, 12:00 AM",DINAJPUR UTTAR,42,2024-12-31T00:00:00,5.3,5.0047073,315,320,393,394,4.215184,2024-01-01T00:00:00,30.066705882352952,Bhagilata,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.13294895697476,25.77028496588616]}"
14_0,0.43,0.08607742,1.06,0.16,12.42,0.10084194,343,4.06,224,0.28202903,0.4,54,0.08871613,24.62,0.20633548,0.12753226,-2.2572051059185005,0.98,257.3122,292,287,"4/13/24, 12:00 AM",DINAJPUR UTTAR,42,2024-12-31T00:00:00,5,5.0047073,315,320,393,394,4.215184,2024-01-01T00:00:00,30.066705882352952,Bhagilata,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.13240996780429,25.77028496588616]}"
15_0,0.59,0.090348385,1.54,0.18,10.72,0.10696774,428,4.06,207.2,0.22217096,0.37,50,0.101909675,27.61,0.20310323,0.14840968,-1.8362468114652177,1.24,227.99503,297,289,"4/13/24, 12:00 AM",DINAJPUR UTTAR,36,2024-12-31T00:00:00,5.6,5.0047073,308,310,395,401,2.7698,2024-01-01T00:00:00,30.005687500000008,Bhagilata,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.14480671872514,25.76812900920427]}"
16_0,0.27,0.090348385,1.54,0.18,13.62,0.10696774,224,3.62,224,0.22217096,0.4,21,0.101909675,28.54,0.20310323,0.14840968,-1.8362468114652177,1.02,227.99503,297,289,"4/13/24, 12:00 AM",DINAJPUR UTTAR,36,2024-12-31T00:00:00,5.2,5.0047073,308,310,395,401,2.7698,2024-01-01T00:00:00,30.005687500000008,Bhagilata,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.14480671872514,25.76812900920427]}"
17_0,0.6,0.090348385,1.98,0.1,12.44,0.10696774,242,4.08,286.8,0.22217096,0.51,48,0.101909675,21.62,0.20310323,0.14840968,-1.8362468114652177,1.32,227.99503,297,289,"4/13/24, 12:00 AM",DINAJPUR UTTAR,36,2024-12-31T00:00:00,5.3,5.0047073,308,310,395,401,2.7698,2024-01-01T00:00:00,30.005687500000008,Bhagilata,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.14480671872514,25.76812900920427]}"
18_0,0.62,0.068635486,2.06,0.12,15.852,0.08415484,198,3.14,240.8,0.2559032,0.43,70,0.07725161,12.78,0.20509355,0.12557097,-2.057899468002346,1.06,143.50078,308,309,"6/24/24, 12:00 AM",DINAJPUR UTTAR,38,2024-12-31T00:00:00,5.1,5.4496717,293,288,399,404,3.4571667,2024-01-01T00:00:00,30.054129032258068,Rautgram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.19008180904476,25.713691102986626]}"
19_0,1.02,0.07581333,1.96,0.23,15.74,0.092373334,319,2.46,240.8,0.23596667,0.43,41,0.09070333,11.23,0.21384333,0.14953667,-0.9377414334745529,1.18,65.75036,297,300,"6/24/24, 12:00 AM",DINAJPUR UTTAR,41,2024-12-31T00:00:00,5,5.4496717,304,306,399,394,2.2570767,2024-01-01T00:00:00,30.060937500000005,Bannagra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.16798325305543,25.720967456787996]}"
20_0,0.6,0.08304375,1.54,0.18,12.54,0.10578125,121,3.68,246.4,0.29347187,0.44,90,0.105782814,18.36,0.27708593,0.20426719,-2.932725481307155,0.9,96.420074,298,293,"4/15/24, 12:00 AM",DINAJPUR UTTAR,43,2024-12-31T00:00:00,5.3,5.087689,323,321,379,385,8.237489,2024-01-01T00:00:00,30.119812500000002,Basatpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.09252476918938,25.817985507472905]}"
21_0,0.42,0.08304375,1.64,0.15,12.64,0.10578125,159,3.96,162.4,0.29347187,0.29,94,0.105782814,18.94,0.27708593,0.20426719,-2.932725481307155,0.96,96.420074,298,293,"4/15/24, 12:00 AM",DINAJPUR UTTAR,43,2024-12-31T00:00:00,5.6,5.087689,323,321,379,385,8.237489,2024-01-01T00:00:00,30.119812500000002,Basatpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.09252476918938,25.817985507472905]}"
22_0,0.56,0.08304375,1.42,0.15,13.62,0.10578125,114,3.68,162.4,0.29347187,0.29,79,0.105782814,18.96,0.27708593,0.20426719,-2.932725481307155,1.02,96.420074,298,293,"4/15/24, 12:00 AM",DINAJPUR UTTAR,43,2024-12-31T00:00:00,5.3,5.087689,323,321,379,385,8.237489,2024-01-01T00:00:00,30.119812500000002,Basatpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.09252476918938,25.817985507472905]}"
23_0,0.61,0.083537094,1.42,0.15,12.64,0.107862905,160,3.92,145.6,0.28615645,0.26,89,0.11045,21.64,0.27446452,0.2045371,-1.6322652203398047,1.12,245.76668,297,289,"4/15/24, 12:00 AM",DINAJPUR UTTAR,41,2024-12-31T00:00:00,5,5.087689,315,314,388,398,2.258503,2024-01-01T00:00:00,30.089705882352945,Mallickpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.08470942621754,25.811248142842008]}"
24_0,0.6,0.083537094,1.42,0.15,12.54,0.107862905,159,4.06,240.8,0.28615645,0.43,88,0.11045,19.2,0.27446452,0.2045371,-1.6322652203398047,1.24,245.76668,297,289,"4/15/24, 12:00 AM",DINAJPUR UTTAR,41,2024-12-31T00:00:00,5.2,5.087689,315,314,388,398,2.258503,2024-01-01T00:00:00,30.089705882352945,Mallickpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.08470942621754,25.811248142842008]}"
25_0,0.62,0.083537094,1.3,0.35,14.64,0.107862905,118,4.06,218.4,0.28615645,0.39,97,0.11045,13.82,0.27446452,0.2045371,-1.6322652203398047,1.02,245.76668,297,289,"4/15/24, 12:00 AM",DINAJPUR UTTAR,41,2024-12-31T00:00:00,5,5.087689,315,314,388,398,2.258503,2024-01-01T00:00:00,30.089705882352945,Mallickpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.08470942621754,25.811248142842008]}"
26_0,0.45,0.08782258,1.44,0.16,12.72,0.11352581,243,2.9,229.6,0.2967339,0.41,59,0.11485,24.4,0.28095645,0.20416129,-1.143655527236314,1.32,311.99463,297,290,"4/13/24, 12:00 AM",DINAJPUR UTTAR,40,2024-12-31T00:00:00,5.1,5.087689,323,323,380,386,2.7703545,2024-01-01T00:00:00,30.089705882352945,Mallickpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.0844399316323,25.81097864825677]}"
27_0,0.48,0.10327742,1.42,0.15,14.28,0.12318387,119,4.04,112,0.30514517,0.2,80,0.124903224,19.82,0.28923872,0.2190258,-1.1432402889114184,1.52,312.00223,293,291,"4/15/24, 12:00 AM",DINAJPUR UTTAR,42,2024-12-31T00:00:00,5,5.0047073,316,318,391,391,1.385783,2024-01-01T00:00:00,30.07709090909091,Dhalgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.12459462483245,25.779447781784178]}"
28_0,0.42,0.08586207,1.96,0.1,15.9,0.10266207,120,3.62,307.2,0.27101725,0.54,54,0.10195862,14.53,0.2457724,0.17902759,-0.150868668629057,1.14,270.0,318,327,"6/24/24, 12:00 AM",DINAJPUR UTTAR,33,2024-12-31T00:00:00,5.5,4.6813083,274,275,408,398,1.0286852,2024-01-01T00:00:00,30.08862068965517,Chhatrapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.161784877595,25.64011908121724]}"
29_0,0.72,0.10763226,1.04,0.16,13.64,0.12773548,343,3.88,224,0.27457097,0.4,64,0.12910645,12.42,0.27462903,0.21702258,-1.1402063925212662,1.1,227.9414,333,346,"7/9/24, 12:00 AM",DINAJPUR UTTAR,30,2024-12-31T00:00:00,5.4,4.128462,234,231,433,423,2.7669306,2024-01-01T00:00:00,30.052484848484855,Cheramati,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.16151538300976,25.543640019702803]}"
30_0,0.29,0.10763226,0.72,0.2,15.28,0.12773548,242,3.92,327.6,0.27457097,0.57,49,0.12910645,18.61,0.27462903,0.21702258,-1.1402063925212662,1.16,227.9414,333,346,"7/9/24, 12:00 AM",DINAJPUR UTTAR,30,2024-12-31T00:00:00,5.9,4.128462,234,231,433,423,2.7669306,2024-01-01T00:00:00,30.052484848484855,Cheramati,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.16151538300976,25.543640019702803]}"
31_0,0.56,0.10763226,0.76,0.16,14.06,0.12773548,114,3.46,257.6,0.27457097,0.46,41,0.12910645,12.76,0.27462903,0.21702258,-1.1402063925212662,0.82,227.9414,333,346,"7/9/24, 12:00 AM",DINAJPUR UTTAR,30,2024-12-31T00:00:00,5.5,4.128462,234,231,433,423,2.7669306,2024-01-01T00:00:00,30.052484848484855,Cheramati,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.16151538300976,25.543640019702803]}"
32_0,0.61,0.10763226,0.92,0.22,12.22,0.12773548,142,4.92,240.8,0.27457097,0.43,46,0.12910645,11.12,0.27462903,0.21702258,-1.1402063925212662,0.94,227.9414,333,346,"7/9/24, 12:00 AM",DINAJPUR UTTAR,30,2024-12-31T00:00:00,5.8,4.128462,234,231,433,423,2.7669306,2024-01-01T00:00:00,30.052484848484855,Cheramati,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.16151538300976,25.543640019702803]}"
33_0,0.5,0.10763226,0.82,0.12,12.74,0.12773548,231,4.52,168,0.27457097,0.3,74,0.12910645,10.82,0.27462903,0.21702258,-1.1402063925212662,0.42,227.9414,333,346,"7/9/24, 12:00 AM",DINAJPUR UTTAR,30,2024-12-31T00:00:00,5.6,4.128462,234,231,433,423,2.7669306,2024-01-01T00:00:00,30.052484848484855,Cheramati,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.16151538300976,25.543640019702803]}"
34_0,0.26,0.09457143,1.16,0.19,12.52,0.115585715,242,4.06,224,0.26099285,0.4,70,0.120825,12.42,0.2534893,0.19839643,-0.7406052901728046,0.98,180.0,316,317,"6/1/24, 12:00 AM",DINAJPUR UTTAR,36,2024-12-31T00:00:00,5.8,5.040141,290,295,394,387,0.92740995,2024-01-01T00:00:00,30.12473333333333,Dangapara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.1865783794367,25.67003298017842]}"
35_0,0.37,0.09457143,1.28,0.15,13.78,0.115585715,231,3.74,395.6,0.26099285,0.67,74,0.120825,23.46,0.2534893,0.19839643,-0.7406052901728046,1.02,180.0,316,317,"6/1/24, 12:00 AM",DINAJPUR UTTAR,36,2024-12-31T00:00:00,5.3,5.040141,290,295,394,387,0.92740995,2024-01-01T00:00:00,30.12473333333333,Dangapara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.1865783794367,25.67003298017842]}"
36_0,0.38,0.09155,1.56,0.15,12.62,0.10775334,239,2.64,162.4,0.21835667,0.29,80,0.11051333,19.32,0.20985666,0.15804334,-1.4042105976056638,1.2,120.99889,322,324,"6/1/24, 12:00 AM",DINAJPUR UTTAR,40,2024-12-31T00:00:00,5.3,5.040141,293,296,385,380,3.597023,2024-01-01T00:00:00,30.12677419354838,Dangapara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.18496141192529,25.67703983939455]}"
37_0,0.29,0.07642069,1.24,0.1,9.64,0.091282755,119,3.76,190.4,0.2722586,0.34,56,0.07782069,10.68,0.20798965,0.14255862,2.870271001564963,1.3,-0.0,323,323,"6/1/24, 12:00 AM",DINAJPUR UTTAR,36,2024-12-31T00:00:00,5.5,5.040141,283,289,394,389,1.8543341,2024-01-01T00:00:00,30.12473333333333,Dangapara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.18684787402194,25.670841463934128]}"
38_0,0.52,0.08168667,1.52,0.06,14.08,0.09955667,128,4.06,100.8,0.26394334,0.18,88,0.091136664,23.46,0.23140334,0.16040666,-1.988310203083974,1.24,286.70575,284,285,"4/15/24, 12:00 AM",DINAJPUR UTTAR,44,2024-12-31T00:00:00,5,5.0047073,318,318,398,397,3.2231371,2024-01-01T00:00:00,30.08921212121212,Dangapara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.10788596054782,25.793192005631205]}"
39_0,0.39,0.066564515,1.39,0.32,11.23,0.08511935,242,4.61,293.6,0.28377098,0.52,76,0.0722871,10.22,0.21293871,0.13635162,-0.646828381757528,0.52,257.30624,317,321,"6/25/24, 12:00 AM",DINAJPUR UTTAR,44,2024-12-31T00:00:00,5.8,5.4221144,273,273,410,407,4.21325,2024-01-01T00:00:00,29.974129032258062,Rampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.2835964301216,25.71288261923092]}"
40_0,0.62,0.08591613,1.52,0.07,9.28,0.102435485,282,3.38,348,0.2726742,0.6,44,0.09266774,16.42,0.21370323,0.14073548,-0.9593180770212373,0.86,216.49973,316,322,"6/24/24, 12:00 AM",DINAJPUR UTTAR,42,2024-12-31T00:00:00,5.7,5.4221144,271,270,413,408,3.4571896,2024-01-01T00:00:00,29.974129032258062,Rampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.2857523868035,25.715847059668516]}"
41_0,0.59,0.09225,1.29,0.22,14.28,0.12296333,262,2.64,286.8,0.35603666,0.51,71,0.12129,10.24,0.35949,0.23910667,-0.8442984900108358,0.62,90.0,323,329,"6/25/24, 12:00 AM",DINAJPUR UTTAR,39,2024-12-31T00:00:00,5.4,5.0065145,267,268,410,403,1.0288312,2024-01-01T00:00:00,30.010709677419342,Krishnapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.32132567205463,25.65682774550186]}"
42_0,0.37,0.07592903,1.18,0.1,15.08,0.099164516,225,2.28,307.2,0.24538064,0.54,54,0.085912906,16.21,0.16130322,0.10516774,3.5633049093593807,0.42,-0.0,300,303,"6/25/24, 12:00 AM",DINAJPUR UTTAR,35,2024-12-31T00:00:00,5.8,5.0252357,284,289,416,408,0.92740995,2024-01-01T00:00:00,30.024124999999998,Beltair,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.27281664671217,25.684585687781155]}"
