system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1.45,0.0799125,0.96,0.23,68.39,0.09280313,154.56,1.56,365.112,0.1978625,0.99,17.05,0.09429687,4.28,0.19102812,0.1513,2.0354713578564283,1.05,-0.0,263,267,"3/27/24, 12:00 AM",JALPAIGURI,94,2024-12-31T00:00:00,5.78,7.5684633,393,387,344,345,0.0,2024-01-01T00:00:00,29.95345945945946,Char Charabari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.91529173791446,26.639943992442266]}"
1_0,2.26,0.098969996,0.83,0.23,70.63,0.11999333,96.64,4.15,298.728,0.25855,0.81,10.84,0.12437667,7.15,0.28031,0.21920666,-1.644625279266879,1.05,65.91225,257,261,"3/18/24, 12:00 AM",JALPAIGURI,85,2024-12-31T00:00:00,5.57,7.511642,395,399,348,340,2.2713175,2024-01-01T00:00:00,30.003235294117644,Singimari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.78916827202407,26.603023234264953]}"
2_0,1.75,0.08123226,1.35,0.16,58.65,0.104651615,75.15,2.15,287.66400000000004,0.26539034,0.78,8.42,0.104167745,7.36,0.28103548,0.1948871,-1.1528755645091175,0.88,131.82384,287,297,"3/18/24, 12:00 AM",JALPAIGURI,76,2024-12-31T00:00:00,6.35,7.528307,426,414,287,289,1.3905963,2024-01-01T00:00:00,30.013647058823533,Saptibari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.93200040219908,26.510586591529055]}"
3_0,0.53,0.07233871,1.37,0.03,63.37,0.094774194,142.16,2.44,243.41,0.29818386,0.66,8.22,0.078464516,2.44,0.21345161,0.12641935,-2.404133754107033,2.01,139.94934,260,268,"1/31/24, 12:00 AM",JALPAIGURI,135,2024-12-31T00:00:00,4.96,6.580268,404,398,336,334,4.8351016,2024-01-01T00:00:00,30.072000000000003,Tesimala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.74254570877827,26.847454823073875]}"
4_0,1.23,0.11413548,0.61,0.15,105.63,0.1379129,241.31,2.55,306.1,0.29119676,0.83,8.59,0.14115806,7.26,0.31681934,0.25905806,-1.5535068701921255,1.73,270.0,239,254,"2/1/24, 12:00 AM",JALPAIGURI,86,2024-12-31T00:00:00,5.11,7.511642,382,371,380,375,2.0737002,2024-01-01T00:00:00,29.727897435897447,Kanthalbari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.76167982433002,26.602214750509248]}"
5_0,1.25,0.0840125,1.81,0.18,86.95,0.10495625,204.1,2.29,317.2,0.22860625,0.86,9.62,0.114225,2.33,0.2894375,0.23260312,-1.5778167271294794,1.77,150.78282,268,265,"1/27/24, 12:00 AM",JALPAIGURI,90,2024-12-31T00:00:00,4.72,7.3450136,406,408,326,327,2.1244078,2024-01-01T00:00:00,30.01851428571429,Amguri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.84010274863364,26.617845436452924]}"
6_0,2.05,0.09441613,1.25,0.16,64.56,0.11796451,153.21,2.31,309.792,0.27237096,0.84,9.35,0.11258387,3.78,0.2577129,0.18843226,-1.4427913035790505,1.5,180.0,247,259,"3/28/24, 12:00 AM",JALPAIGURI,107,2024-12-31T00:00:00,5.85,6.852619,408,398,344,343,1.8543341,2024-01-01T00:00:00,29.94588235294118,Khayerkata (N),"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.91556123249968,26.738848505223825]}"
8_0,0.82,0.07166562,0.71,0.08,54.21,0.09291875,147.43,1.69,354.048,0.24934687,0.96,12.36,0.0871125,1.21,0.23672813,0.15720938,4.2633476184462635,0.57,90.0,269,266,"3/11/24, 12:00 AM",JALPAIGURI,100,2024-12-31T00:00:00,4.91,7.3592763,405,415,326,319,1.0373006,2024-01-01T00:00:00,30.101058823529407,Ambari Falakata,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.48975978782704,26.61434200684486]}"
9_0,2.66,0.08712581,1.32,0.05,81.61,0.107412905,166.65,2.45,339.29600000000005,0.275,0.92,10.23,0.09857419,4.35,0.22974516,0.1582613,0.23714508794567174,0.58,90.0,254,257,"3/4/24, 12:00 AM",JALPAIGURI,92,2024-12-31T00:00:00,6.05,7.160516,419,422,327,321,1.0377698,2024-01-01T00:00:00,29.933837837837842,Garialtari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.90316448157884,26.666084967210143]}"
10_0,2.03,0.08192,1.62,0.09,71.24,0.10565667,102.39,2.33,276.6,0.29743665,0.75,4.78,0.10135333,1.05,0.30624667,0.20841333,-2.2552118297032804,0.46,48.245075,235,245,"3/27/24, 12:00 AM",JALPAIGURI,112,2024-12-31T00:00:00,4.77,6.962505,436,432,329,323,4.1708446,2024-01-01T00:00:00,30.04960000000001,Nipuchhapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.74443217087492,26.786818541395807]}"
