system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.384,0.10295652,0.322,0.08,13.9,0.11709565,258.51,7.6,375,0.23838696,0.67,29.43,0.12782319,27.75,0.25616813,0.19326521,-0.7785059617035284,0.316,199.85652,283,272,"6/20/24, 12:00 AM",JHARGRAM,136,2024-12-31T00:00:00,5.3,4.3425584,477,481,239,248,2.955734,2024-01-01T00:00:00,30.333030303030313,Muransol,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.76822837734038,22.629595069547484]}"
1_0,0.248,0.05487164,0.686,0.14,14.8,0.07558955,269.75,8.74,358,0.2550567,0.64,23.54,0.06800895,38.25,0.20694627,0.12877612,1.4572814712226154,0.196,294.77072,274,263,"6/20/24, 12:00 AM",JHARGRAM,161,2024-12-31T00:00:00,5.7,4.3601723,475,478,251,259,2.2125452,2024-01-01T00:00:00,30.22429411764706,Astajuri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.74181790798727,22.647651206758287]}"
2_0,0.32,0.10361739,0.22,0.09,13.6,0.12054348,207.93,12.2,274.4,0.22447246,0.49,25.5,0.1372,14.25,0.26659855,0.2214913,-0.7972420014541273,0.59,270.0,281,274,"7/20/24, 12:00 AM",JHARGRAM,133,2024-12-31T00:00:00,4.5,4.3425584,477,476,242,249,1.0047123,2024-01-01T00:00:00,30.35151515151515,Karasai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.76795888275515,22.624474672428004]}"
3_0,0.99,0.10361739,0.81,0.3,17.4,0.12054348,247.27,9.2,588,0.22447246,0.98,35.31,0.1372,7.5,0.26659855,0.2214913,-0.7972420014541273,0.48,270.0,281,274,"7/20/24, 12:00 AM",JHARGRAM,133,2024-12-31T00:00:00,5.1,4.3425584,477,476,242,249,1.0047123,2024-01-01T00:00:00,30.35151515151515,Karasai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.76795888275515,22.624474672428004]}"
4_0,0.241,0.083615944,0.296,0.13,15.7,0.11082609,236.03,8.5,313.6,0.2548623,0.56,33.35,0.12522028,20.25,0.2759768,0.20171884,-2.3494596390953055,0.248,12.224584,286,278,"6/29/24, 12:00 AM",JHARGRAM,127,2024-12-31T00:00:00,6,4.3425584,472,472,242,250,4.7342443,2024-01-01T00:00:00,30.351939393939396,Chhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.76256899105043,22.61369488901857]}"
5_0,0.46,0.083615944,0.26,0.13,19.2,0.11082609,191.07,8.4,330,0.2548623,0.59,37.27,0.12522028,32.25,0.2759768,0.20171884,-2.3494596390953055,0.36,12.224584,286,278,"7/14/24, 12:00 AM",JHARGRAM,127,2024-12-31T00:00:00,4.9,4.3425584,472,472,242,250,4.7342443,2024-01-01T00:00:00,30.351939393939396,Chhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.76256899105043,22.61369488901857]}"
6_0,0.321,0.083615944,0.42,0.12,21.2,0.11082609,191.07,11.3,179.2,0.2548623,0.32,25.5,0.12522028,18,0.2759768,0.20171884,-2.3494596390953055,0.392,12.224584,286,278,"6/29/24, 12:00 AM",JHARGRAM,127,2024-12-31T00:00:00,4.9,4.3425584,472,472,242,250,4.7342443,2024-01-01T00:00:00,30.351939393939396,Chhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.76256899105043,22.61369488901857]}"
7_0,0.412,0.09185764,0.724,0.18,18.1,0.118609026,269.75,5.9,552,0.26120487,0.92,21.58,0.12497708,46.5,0.26290694,0.18593402,2.8559944365179293,0.316,65.2218,306,294,"6/18/24, 12:00 AM",JHARGRAM,131,2024-12-31T00:00:00,5.7,4.3601723,466,467,228,239,2.2119193,2024-01-01T00:00:00,30.318941176470588,Chekuapal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.74936375637387,22.600489654342013]}"
8_0,0.318,0.0825913,0.422,0.23,20.1,0.107008696,224.79,11.3,184.8,0.25826958,0.33,45.12,0.11725217,15.75,0.29173768,0.20404638,0.7619178232661658,0.596,199.85709,289,278,"6/28/24, 12:00 AM",JHARGRAM,190,2024-12-31T00:00:00,4.8,4.247438,455,460,256,263,2.9557443,2024-01-01T00:00:00,30.246764705882356,Dhangichua,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.69492585015622,22.63390698291126]}"
9_0,0.66,0.08555077,0.41,0.16,22.1,0.10784923,258.51,13.1,274.4,0.26377076,0.49,31.39,0.11718615,16.5,0.27798462,0.19382308,-2.6071226120353885,0.59,139.0771,261,257,"7/10/24, 12:00 AM",JHARGRAM,171,2024-12-31T00:00:00,4.6,4.23848,457,458,282,286,12.092234,2024-01-01T00:00:00,30.142914285714276,Gidighati,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.6984292797643,22.66112593602008]}"
