system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.29,0.12238572,1.3,0.17,23.4,0.14286286,9.9,8.8,82,0.24984857,0.22,40,0.15603714,2.7,0.27384,0.22792,-0.7388587322420886,1.4,-0.0,244,259,"6/27/24, 12:00 AM",MALDAH,33,2024-12-31T00:00:00,5.8,3.7587574,309,302,446,439,0.92740995,2024-01-01T00:00:00,30.091562500000002,Sayra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.86803577968792,25.457401752427327]}"
1_0,0.35,0.09635128,2,0.24,8.8,0.11256154,19.9,5.6,165,0.26634872,0.45,9.3,0.11002051,2.2,0.23748462,0.16005385,-0.736217031682498,2.1,180.0,271,285,"6/9/24, 12:00 AM",MALDAH,32,2024-12-31T00:00:00,7.9,3.2411854,338,339,391,376,0.92740995,2024-01-01T00:00:00,30.045953488372092,Uttar Chandipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.83380996736295,25.131852293462412]}"
2_0,0.24,0.13940556,0.32,0.59,24.6,0.16350278,9.9,6.6,82,0.23603334,0.22,44.3,0.185725,2.2,0.32088888,0.2944528,-1.9000570668370445,0.82,200.24112,259,273,"6/25/24, 12:00 AM",MALDAH,30,2024-12-31T00:00:00,6.5,3.3730233,286,289,455,438,2.9629705,2024-01-01T00:00:00,29.97227027027027,Daulat Nagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.82842007565824,25.315108611422797]}"
3_0,0.2,0.1354892,1.6,0.74,8.6,0.14841892,14.9,6.4,138,0.33621082,0.37,51.3,0.12491622,12.9,0.21823244,0.13561893,0.6657623074136975,0.86,20.226704,268,284,"5/8/24, 12:00 AM",MALDAH,28,2024-12-31T00:00:00,7.3,3.3774195,289,294,443,422,2.962696,2024-01-01T00:00:00,30.013411764705882,Jannagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.92112621297937,25.220785506590246]}"
4_0,0.31,0.08953333,1.4,0.15,10.3,0.11215454,22.4,6.7,193,0.2795,0.52,64.6,0.11079697,16.5,0.24638484,0.17814545,-1.2054707372443203,1.4,339.78314,304,316,"3/23/24, 12:00 AM",MALDAH,33,2024-12-31T00:00:00,4.3,3.487307,234,233,462,451,2.9625092,2024-01-01T00:00:00,30.052187500000002,Chengna,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.34019029302114,25.156376300718875]}"
5_0,0.13,0.07149706,1.9,0.15,17.8,0.09381471,6.6,1.9,165,0.26775,0.45,19.3,0.091447055,4.9,0.22812353,0.15906471,0.6099309078146012,1.3,164.51552,273,289,"6/22/24, 12:00 AM",MALDAH,33,2024-12-31T00:00:00,6.3,3.7715588,275,267,451,443,3.8439193,2024-01-01T00:00:00,30.17083870967742,Uttar Rampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.966401303299,25.521810958298698]}"
6_0,0.35,0.09973823,0.66,0.1,1.9,0.1212853,36.5,3.2,221,0.3113559,0.6,13.3,0.116698526,16.6,0.28824118,0.18698089,-2.4097125250720626,0.58,304.20563,269,285,"2/14/24, 12:00 AM",MALDAH,29,2024-12-31T00:00:00,7.5,2.932766,268,276,463,439,4.937311,2024-01-01T00:00:00,30.007085714285715,Mathurapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.03970383048315,24.997913484600193]}"
7_0,0.3,0.108132355,2,0.22,25.8,0.12917353,12.4,6.9,193,0.3086,0.52,51,0.13054411,4.7,0.26019704,0.19031176,-1.8323806285690578,1.7,132.07672,232,252,"6/21/24, 12:00 AM",MALDAH,31,2024-12-31T00:00:00,6.7,3.9342875,288,279,481,469,2.7659624,2024-01-01T00:00:00,30.165290322580645,Kahatta,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.9588554549124,25.467103557495818]}"
8_0,0.24,0.083396666,1.6,0.15,16.3,0.10646,4.1,3.2,110,0.26315,0.3,66.6,0.09785333,8.2,0.18805,0.12481,-0.8395863954511699,0.38,270.0,285,298,"3/2/24, 12:00 AM",MALDAH,30,2024-12-31T00:00:00,6.8,3.7283993,266,262,448,441,1.0263898,2024-01-01T00:00:00,29.97648484848484,Bhandaria,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.10707747679211,25.371702474322326]}"
9_0,0.26,0.07671892,0.78,0.2,11,0.094748646,9.1,8.4,82,0.2903784,0.22,52.6,0.08031351,2.7,0.20557837,0.11974054,-1.2028187074923995,0.81,159.82776,254,274,"7/3/24, 12:00 AM",MALDAH,27,2024-12-31T00:00:00,8.2,3.069663,283,285,463,441,2.961662,2024-01-01T00:00:00,29.98654054054054,Sultanganj (P),"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.97502513002655,24.861010235300377]}"
