system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.87,0.07888387,2.65,0.52,58.26,0.10057097,215.3,15.26,445.6,0.23539677,0.84,15.26,0.102970965,8.26,0.21682903,0.15321612,-1.0991182360288843,1.56,227.17401,435,444,"5/7/24, 12:00 AM",MEDINIPUR EAST,7,2024-12-31T00:00:00,7.26,5.008204,109,102,455,454,1.3641529,2024-01-01T00:00:00,30.016,Argara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.59153433523592,22.050451205875632]}"
1_0,0.89,0.06131,3.2,0.56,58.26,0.082276665,165.3,18.26,468.3,0.30628,0.87,15.36,0.06497333,8.26,0.20086333,0.112166665,-0.7889575339796231,1.58,90.0,407,414,"5/7/24, 12:00 AM",MEDINIPUR EAST,7,2024-12-31T00:00:00,6.25,5.0334277,107,100,485,485,1.0005238,2024-01-01T00:00:00,30.040620689655167,Argara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.58425798143456,22.04155788456285]}"
2_0,0.89,0.07888387,3.28,0.28,56.26,0.10057097,185.6,18.26,485.6,0.23539677,0.84,15.26,0.102970965,8.26,0.21682903,0.15321612,-1.0991182360288843,1.59,227.17401,435,444,"5/7/24, 12:00 AM",MEDINIPUR EAST,7,2024-12-31T00:00:00,6.56,5.008204,109,102,455,454,1.3641529,2024-01-01T00:00:00,30.016,Argara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.59153433523592,22.050451205875632]}"
3_0,1.62,0.06807143,2.13,0.29,32.16,0.09845714,152.3,12.3,446.5,0.3201357,0.85,16.32,0.08328571,18.52,0.18658571,0.110007145,-1.0989683661628116,2.05,227.17116,431,440,"6/19/24, 12:00 AM",MEDINIPUR EAST,6,2024-12-31T00:00:00,6.29,5.0334277,101,94,467,467,1.3640795,2024-01-01T00:00:00,30.05235714285715,Argara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.56458487671235,22.036437487443365]}"
4_0,1.26,0.07888387,2.05,0.23,28.65,0.10057097,132.5,12.32,465.3,0.23539677,0.84,28.15,0.102970965,18.26,0.21682903,0.15321612,-1.0991182360288843,1.35,227.17401,435,444,"6/19/24, 12:00 AM",MEDINIPUR EAST,7,2024-12-31T00:00:00,6.32,5.008204,109,102,455,454,1.3641529,2024-01-01T00:00:00,30.016,Argara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.59153433523592,22.050451205875632]}"
5_0,1.32,0.07888387,2.08,0.26,24.26,0.10057097,154.6,11.62,465.3,0.23539677,0.85,24.32,0.102970965,18.56,0.21682903,0.15321612,-1.0991182360288843,1.68,227.17401,435,444,"6/19/24, 12:00 AM",MEDINIPUR EAST,7,2024-12-31T00:00:00,7.02,5.008204,109,102,455,454,1.3641529,2024-01-01T00:00:00,30.016,Argara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.59153433523592,22.050451205875632]}"
6_0,0.77,0.07969032,2.52,0.21,64.92,0.10097097,159,22.56,477,0.3418871,0.9,27.5,0.082687095,10.2,0.20409355,0.11780322,-1.9329672751256401,1.24,72.82875,409,413,"5/21/24, 12:00 AM",MEDINIPUR EAST,6,2024-12-31T00:00:00,6.71,5.2427278,96,88,495,499,3.1384592,2024-01-01T00:00:00,30.02253333333334,Goyalda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.60231411864535,22.027274671545346]}"
7_0,0.35,0.06615667,3.92,0.17,58.72,0.08414333,143.4,29.78,254.4,0.23822667,0.48,45,0.07858667,10.2,0.18698,0.12415333,-1.4826098478882384,1.3,90.0,439,441,"5/1/24, 12:00 AM",MEDINIPUR EAST,6,2024-12-31T00:00:00,6.41,5.008204,119,114,441,445,2.0009482,2024-01-01T00:00:00,30.06471428571428,Baruipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.57886808972984,22.077670158984454]}"
8_0,0.38,0.08403667,2.96,0.15,61.76,0.10843,203.8,29.02,445.2,0.30463,0.84,35.83,0.098803334,10.6,0.20208,0.12715334,1.2326037930836833,1.4,-0.0,433,436,"5/1/24, 12:00 AM",MEDINIPUR EAST,4,2024-12-31T00:00:00,4.79,5.008204,116,110,451,454,1.8543341,2024-01-01T00:00:00,30.06471428571428,Baruipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.5748256709513,22.07901763191063]}"
9_0,0.42,0.06355714,3.88,0.11,55.16,0.08261429,116.5,30.02,349.8,0.26687858,0.66,44.17,0.073421426,10.8,0.19487143,0.120610714,-0.8862032966864714,1.16,245.13385,403,414,"5/1/24, 12:00 AM",MEDINIPUR EAST,7,2024-12-31T00:00:00,6.27,5.0334277,132,124,465,462,2.2045987,2024-01-01T00:00:00,30.045172413793104,Baruipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.55676953374049,22.03832394954002]}"
