system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.29,0.07927931,3.33,0.06,17.31,0.10696552,144.43,6.51,347,0.2994517,0.49,10.51,0.10912759,4.74,0.23391034,0.15735517,-0.8436423151709824,0.68,331.59927,248,251,"5/9/24, 12:00 AM",MEDINIPUR WEST,40,2024-12-31T00:00:00,4.51,4.2047048,384,382,369,367,2.1078389,2024-01-01T00:00:00,30.109677419354842,Andaria,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.2072350566896,22.37627015942578]}"
1_0,0.15,0.07095862,0.75,0.11,31.78,0.08706207,166.65,6.86,596,0.26542068,0.88,16.63,0.076706894,2.89,0.20198965,0.13082759,-1.1028892832640524,0.41,132.7552,214,221,"5/30/24, 12:00 AM",MEDINIPUR WEST,40,2024-12-31T00:00:00,5.11,4.2047048,380,374,406,405,1.365974,2024-01-01T00:00:00,30.088187499999993,Andaria,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.22097928053662,22.398099220829884]}"
2_0,0.32,0.0930069,1.42,0.2,31.96,0.1047069,322.19,14.42,606,0.29847932,0.87,6.13,0.07971724,5.81,0.19061725,0.11783448,-1.102853875580398,0.71,312.75583,258,267,"6/5/24, 12:00 AM",MEDINIPUR WEST,35,2024-12-31T00:00:00,5.61,4.3362393,337,329,405,404,1.3659577,2024-01-01T00:00:00,30.108437500000004,Burra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.3433298222337,22.39513478039229]}"
3_0,0.16,0.07595185,2.11,0.1,30.44,0.10135555,199.98,8.09,501,0.26185554,0.72,18.39,0.10062963,6.05,0.19233704,0.12564445,2.068716092959173,0.37,-0.0,255,264,"5/29/24, 12:00 AM",MEDINIPUR WEST,35,2024-12-31T00:00:00,5.29,4.2047048,360,353,385,383,0.0,2024-01-01T00:00:00,30.110242424242422,Shibrampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.23499299896889,22.395673769562762]}"
4_0,0.42,0.05981724,1.71,0.14,27.11,0.07970345,188.87,7.09,186,0.27696553,0.27,34.14,0.06685173,4.74,0.2015862,0.11804483,-1.1027952343515983,0.62,132.75691,244,249,"5/29/24, 12:00 AM",MEDINIPUR WEST,40,2024-12-31T00:00:00,6.38,4.3360777,368,365,388,387,1.3659297,2024-01-01T00:00:00,30.117812500000003,Narayanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.25790003871393,22.389744888687574]}"
5_0,0.56,0.06648965,1.34,0.26,30.86,0.08372414,122.21,3.19,598,0.2448931,0.85,6.13,0.072382756,5.42,0.17276207,0.10878965,1.4207524462705488,0.7,19.82306,242,253,"6/6/24, 12:00 AM",MEDINIPUR WEST,28,2024-12-31T00:00:00,5.37,4.3362393,359,350,399,396,2.9551122,2024-01-01T00:00:00,30.172529411764717,Narayanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.32446520126719,22.376539654011015]}"
6_0,0.3,0.112935714,3.19,0.06,30.74,0.12561429,55.55,7.62,675,0.25912857,0.96,9.63,0.12551428,4.47,0.25073928,0.19547857,3.046704004956626,0.82,-0.0,334,334,"4/26/24, 12:00 AM",MEDINIPUR WEST,29,2024-12-31T00:00:00,4.58,4.324017,324,320,342,346,0.92740995,2024-01-01T00:00:00,30.122562500000004,Uttarbali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.31961429873294,22.244756801830682]}"
7_0,0.3,0.0712,3.52,0.32,28.59,0.0935,222.2,21.91,511,0.28738147,0.72,8.76,0.08984074,6.31,0.23470742,0.15505555,-1.9378326723895285,1.72,107.12981,228,238,"5/9/24, 12:00 AM",MEDINIPUR WEST,36,2024-12-31T00:00:00,4.62,4.2047048,377,369,396,394,3.1458092,2024-01-01T00:00:00,30.10139393939394,Sushnia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.2358014827246,22.387588932005688]}"
8_0,0.13,0.06342414,1.63,0.31,21.61,0.08245517,44.44,7.45,485,0.27890345,0.69,28.02,0.06823448,7.63,0.19787586,0.12002069,-1.102580825915888,0.83,47.239037,245,247,"5/9/24, 12:00 AM",MEDINIPUR WEST,45,2024-12-31T00:00:00,4.91,4.2047048,392,390,363,364,1.3658254,2024-01-01T00:00:00,30.09786206896551,Sushnia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.22960310726417,22.370071783965358]}"
9_0,0.09,0.06611667,1.25,0.28,24.36,0.083796665,244.42,4.35,349,0.30056667,0.49,13.13,0.06875,6.31,0.20745334,0.12207,-0.05777095813705622,1.62,15.131844,241,246,"5/9/24, 12:00 AM",MEDINIPUR WEST,34,2024-12-31T00:00:00,4.72,4.271448,372,365,387,389,3.8374686,2024-01-01T00:00:00,30.167235294117653,Sushnia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.24765924447497,22.407262036727904]}"
10_0,0.14,0.08683846,2.44,0.16,30.96,0.11318077,33.33,14.42,308,0.29203847,0.43,6.13,0.123538464,2.1,0.28395385,0.20626923,2.8488507023438934,0.86,114.83468,361,374,"7/22/24, 12:00 AM",MEDINIPUR WEST,23,2024-12-31T00:00:00,6.9,4.3649626,298,288,341,339,2.2072115,2024-01-01T00:00:00,30.063090909090914,Nischintapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.35168415437602,22.24098387763738]}"
