system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.24,0.09654687,0.64,0.19,7.76,0.108403124,234,5.16,303,0.20474687,0.4,84,0.10289375,15.72,0.18564688,0.13648126,-1.126779510445223,0.54,132.30835,309,325,"3/4/24, 12:00 AM",MURSHIDABAD,22,2024-12-31T00:00:00,7.69,3.7384903,230,224,461,451,1.3776323,2024-01-01T00:00:00,30.10525,Mithipur (CT),"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.10114859591692,24.467548140856028]}"
1_0,0.16,0.09654687,0.74,0.38,7.74,0.108403124,206,5.18,666,0.20474687,0.77,53,0.10289375,16.92,0.18564688,0.13648126,-1.126779510445223,0.56,132.30835,309,325,"3/4/24, 12:00 AM",MURSHIDABAD,22,2024-12-31T00:00:00,7.06,3.7384903,230,224,461,451,1.3776323,2024-01-01T00:00:00,30.10525,Mithipur (CT),"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.10114859591692,24.467548140856028]}"
2_0,0.22,0.09654687,0.63,0.62,8.62,0.108403124,238,4.64,535,0.20474687,0.64,49,0.10289375,12.89,0.18564688,0.13648126,-1.126779510445223,0.47,132.30835,309,325,"3/4/24, 12:00 AM",MURSHIDABAD,22,2024-12-31T00:00:00,7.26,3.7384903,230,224,461,451,1.3776323,2024-01-01T00:00:00,30.10525,Mithipur (CT),"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.10114859591692,24.467548140856028]}"
3_0,0.12,0.09412187,0.53,0.46,8.74,0.110874996,227,4.39,517,0.25032187,0.62,82,0.1110875,16.78,0.22548437,0.16449063,-1.4241028107605296,0.43,-0.0,309,325,"3/4/24, 12:00 AM",MURSHIDABAD,23,2024-12-31T00:00:00,7.86,3.7384903,230,224,461,451,1.8543341,2024-01-01T00:00:00,30.10525,Mithipur (CT),"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.10114859591692,24.4680871300265]}"
4_0,0.28,0.104635485,0.61,0.5,8.7,0.12808387,147,5.4,784,0.22770323,0.89,21,0.14167419,8.92,0.24181935,0.2012129,-1.126557880927581,0.35,312.3125,329,340,"4/1/24, 12:00 AM",MURSHIDABAD,23,2024-12-31T00:00:00,7.91,3.6801965,216,214,454,446,1.3775227,2024-01-01T00:00:00,30.066594594594598,Kasia Danga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.14399823496943,24.44922250905999]}"
5_0,0.22,0.06080968,0.69,0.15,5.8,0.08800645,172,4.64,326,0.33700645,0.42,56,0.0710871,19.16,0.23555161,0.14760323,-1.5554750817614396,0.65,331.22818,297,312,"3/28/24, 12:00 AM",MURSHIDABAD,29,2024-12-31T00:00:00,7.48,3.6801965,237,236,466,453,2.1152844,2024-01-01T00:00:00,30.032512820512828,Kasia Danga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.11489281976395,24.417422148002156]}"
6_0,0.26,0.046941936,0.77,0.55,4.25,0.06970323,182,4.28,418,0.29205805,0.51,62,0.053264517,13.49,0.1737,0.09506129,2.171482412128496,0.55,270.0,302,315,"3/28/24, 12:00 AM",MURSHIDABAD,23,2024-12-31T00:00:00,7.75,3.6801965,249,244,449,441,1.0184805,2024-01-01T00:00:00,30.03344444444444,Kasia Danga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.11165888474113,24.416344169661215]}"
7_0,0.29,0.046941936,0.55,0.42,6.78,0.06970323,216,3.85,432,0.29205805,0.58,42,0.053264517,15.88,0.1737,0.09506129,2.171482412128496,0.72,270.0,302,315,"3/28/24, 12:00 AM",MURSHIDABAD,23,2024-12-31T00:00:00,7.9,3.6801965,249,244,449,441,1.0184805,2024-01-01T00:00:00,30.03344444444444,Kasia Danga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.11165888474113,24.416344169661215]}"
8_0,0.26,0.049909677,0.71,0.42,7.06,0.07280323,145,3.72,412,0.24591613,0.51,56,0.06063871,14.79,0.17840645,0.10847742,-1.8920518335814214,0.56,159.89357,299,307,"3/28/24, 12:00 AM",MURSHIDABAD,26,2024-12-31T00:00:00,7.44,3.6801965,249,246,453,447,2.9604168,2024-01-01T00:00:00,30.032512820512828,Kasia Danga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.11893523854249,24.41715265341692]}"
9_0,0.29,0.046941936,0.84,0.21,9.24,0.06970323,227,4.17,418,0.29205805,0.58,34,0.053264517,13.26,0.1737,0.09506129,2.171482412128496,0.83,270.0,302,315,"3/28/24, 12:00 AM",MURSHIDABAD,23,2024-12-31T00:00:00,7.55,3.6801965,249,244,449,441,1.0184805,2024-01-01T00:00:00,30.03344444444444,Kasia Danga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.11165888474113,24.416344169661215]}"
10_0,0.3,0.070275,0.9,0.14,5.36,0.091306254,276,5.78,419,0.24439375,0.52,51,0.08230625,15.75,0.1828125,0.11872187,-1.6118514153134238,0.48,114.47567,326,341,"4/23/24, 12:00 AM",MURSHIDABAD,22,2024-12-31T00:00:00,8.16,3.6801965,212,209,461,450,2.237519,2024-01-01T00:00:00,30.026421052631584,Dighir Pahar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.1302540111224,24.43547828521296]}"
11_0,0.21,0.058390625,0.7,0.16,9.12,0.07825625,214,5.28,524,0.26398125,0.68,52,0.06328125,7.58,0.16540937,0.097409375,-2.224948674351078,0.67,132.31665,336,345,"4/23/24, 12:00 AM",MURSHIDABAD,25,2024-12-31T00:00:00,8.02,3.6801965,226,224,438,431,4.1258893,2024-01-01T00:00:00,30.06326315789474,Dighir Pahar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.13348794614524,24.43089687726395]}"
12_0,0.29,0.076671876,0.77,0.29,8.56,0.10029688,145,6.69,304,0.28775623,0.41,58,0.09275625,13.96,0.20816563,0.14109688,-1.1264004308008513,0.8,227.68448,333,348,"4/25/24, 12:00 AM",MURSHIDABAD,23,2024-12-31T00:00:00,8.11,3.6801965,225,221,442,431,2.7532957,2024-01-01T00:00:00,30.026421052631584,Dighir Pahar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.13052350570764,24.435747779798195]}"
13_0,0.16,0.063909374,0.98,0.38,6.42,0.090853125,135,4.81,611,0.27180314,0.72,34,0.08465,13.82,0.21044062,0.14499062,-1.1261371279315906,0.83,132.32036,329,339,"4/1/24, 12:00 AM",MURSHIDABAD,24,2024-12-31T00:00:00,7.78,3.672828,223,221,448,439,2.7530408,2024-01-01T00:00:00,30.04502564102564,Kul Gachhi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.15289155628221,24.414457707564562]}"
14_0,0.16,0.063909374,0.77,0.11,7.84,0.090853125,144,7.12,342,0.27180314,0.45,20,0.08465,7.84,0.21044062,0.14499062,-1.1261371279315906,0.72,132.32036,329,339,"7/8/24, 12:00 AM",MURSHIDABAD,24,2024-12-31T00:00:00,6.58,3.672828,223,221,448,439,2.7530408,2024-01-01T00:00:00,30.04502564102564,Kul Gachhi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.15289155628221,24.414457707564562]}"
