system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.64,0.078182854,0.86,0.23,7.21,0.104757145,226,2.21,293,0.28973714,0.53,59.79,0.09852,18.05,0.21754572,0.14732286,0.6653852751414645,0.49,180.0,405,410,"2/7/24, 12:00 AM",NADIA,5,2024-12-31T00:00:00,7.13,4.066904,77,72,518,518,0.92740995,2024-01-01T00:00:00,30.017000000000007,Gurpara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.51913469761774,23.14055680315467]}"
1_0,0.74,0.09382,0.95,0.22,8.55,0.11537143,252,2.64,271,0.2532743,0.49,21.77,0.11065429,18.48,0.18936285,0.12596285,3.851623229088587,0.7,227.4,405,410,"2/7/24, 12:00 AM",NADIA,6,2024-12-31T00:00:00,7.21,4.066904,77,72,518,518,1.3699911,2024-01-01T00:00:00,30.017000000000007,Gurpara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.51859570844726,23.140017813984198]}"
2_0,0.6,0.096234374,1.06,0.16,7.2,0.111828126,379,3.33,226,0.27853125,0.41,146.1,0.1026375,26.97,0.19673437,0.13198438,-1.6035301225263616,0.69,65.424934,345,354,"1/29/24, 12:00 AM",NADIA,21,2024-12-31T00:00:00,7.03,3.869891,165,157,491,489,2.2290363,2024-01-01T00:00:00,30.158000000000005,Mrigi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.53422639439096,23.84824958398403]}"
3_0,0.57,0.09621515,0.9,0.17,4.62,0.123333335,425,4.37,201,0.28620303,0.32,17,0.115921214,13.73,0.22951515,0.16186364,-0.42482723132560085,0.74,312.4726,359,365,"1/28/24, 12:00 AM",NADIA,17,2024-12-31T00:00:00,7.68,4.149096,154,147,487,488,1.373314,2024-01-01T00:00:00,30.18529032258064,Chak Hanspukuria,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.47951899358807,23.729941461065486]}"
4_0,1.14,0.09189394,1.33,0.22,6.74,0.113163635,385,4.45,277,0.29933333,0.44,98.4,0.10024242,17.04,0.20055151,0.13131818,-0.7261453070787017,0.64,180.0,355,364,"1/26/24, 12:00 AM",NADIA,18,2024-12-31T00:00:00,7.37,3.869891,154,145,491,490,0.92740995,2024-01-01T00:00:00,30.190599999999996,Krishnachandrapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.54689263989704,23.84366817603502]}"
5_0,0.37,0.09962857,0.78,0.3,5.9,0.123474285,119,1.03,149,0.3171143,0.2,24.5,0.113325715,23.66,0.23109429,0.15879714,-1.3727818067559312,0.19,58.53548,368,384,"7/15/24, 12:00 AM",NADIA,12,2024-12-31T00:00:00,6.72,4.0559745,153,146,479,470,3.5492592,2024-01-01T00:00:00,30.03371428571429,Brahman Para,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.3932807263126,23.375556081480337]}"
6_0,0.28,0.09265523,0.59,0.19,6.5,0.111077614,412,1.83,422,0.27919403,0.77,105.7,0.099655226,20.06,0.21808508,0.1440179,-2.239586330703172,0.9,28.592165,391,392,"2/29/24, 12:00 AM",NADIA,14,2024-12-31T00:00:00,7.21,4.273489,160,160,450,449,4.2176037,2024-01-01T00:00:00,30.068647058823537,Pratappur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.65792440901421,23.456404457051093]}"
7_0,0.6,0.08739091,0.93,0.2,8.06,0.10314546,159,2.05,165,0.27166668,0.3,106.36,0.09199091,36.2,0.2102788,0.14544243,2.059862186616675,0.36,-0.0,367,377,"3/5/24, 12:00 AM",NADIA,17,2024-12-31T00:00:00,7.52,4.081977,156,149,477,474,0.0,2024-01-01T00:00:00,30.064787878787875,Bara Andulia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.52991448102718,23.61082485439124]}"
8_0,0.84,0.101279415,0.61,0.16,6.16,0.11414706,372,2.22,281,0.24759707,0.51,7.96,0.11123529,35.3,0.23003529,0.1696,-1.115374662810562,0.29,132.52132,364,367,"3/5/24, 12:00 AM",NADIA,15,2024-12-31T00:00:00,7.26,4.26898,151,150,485,484,1.372041,2024-01-01T00:00:00,30.112750000000005,Balibanga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.60186953528515,23.50626095531973]}"
9_0,0.64,0.097564705,1.17,0.55,10.74,0.110544115,405,10.96,276,0.26885882,0.42,21,0.10112059,30.82,0.19097647,0.11977353,-1.6048231710967473,1.23,114.55957,394,404,"3/4/24, 12:00 AM",NADIA,22,2024-12-31T00:00:00,7.42,4.014388,191,182,415,414,2.230354,2024-01-01T00:00:00,30.181411764705878,Angardaha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.67840599749213,23.940955721305162]}"
