system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.25,0.16261715,0.52,0.24,27.41,0.16961429,120,16.52,390,0.24085143,0.78,127.68,0.17386572,22.1,0.24125142,0.2001,-1.80923917912814,1.03,132.50787,327,339,"7/19/24, 12:00 AM",PURBA BARDHAMAN,22,2024-12-31T00:00:00,7.21,4.583521,183,184,490,478,2.743211,2024-01-01T00:00:00,30.090060606060604,Alampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.09845365006457,23.568244709923974]}"
1_0,0.29,0.12478285,0,0.24,29.13,0.13601714,145,17.4,380,0.21791714,0.77,103.74,0.12606858,18.7,0.16799143,0.11327143,0.2701509022090261,0.89,227.49323,323,335,"7/19/24, 12:00 AM",PURBA BARDHAMAN,13,2024-12-31T00:00:00,6.67,4.5084124,185,183,493,482,1.3724204,2024-01-01T00:00:00,30.136727272727278,Alampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.10303505801357,23.573365107043454]}"
2_0,0.27,0.12478285,0,0.22,25.13,0.13601714,40,9.77,420,0.21791714,0.8,146.3,0.12606858,22.1,0.16799143,0.11327143,0.2701509022090261,0.79,227.49323,323,335,"7/19/24, 12:00 AM",PURBA BARDHAMAN,13,2024-12-31T00:00:00,6.23,4.5084124,185,183,493,482,1.3724204,2024-01-01T00:00:00,30.136727272727278,Alampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.10303505801357,23.573365107043454]}"
3_0,0.19,0.14262813,1.18,0.06,32.18,0.15759376,50,18.6,330,0.3162875,0.72,37.24,0.16151875,15.3,0.29575312,0.22075625,-0.31908327848072265,0.68,180.0,317,330,"5/3/24, 12:00 AM",PURBA BARDHAMAN,20,2024-12-31T00:00:00,6.86,4.413104,197,195,486,475,1.8543341,2024-01-01T00:00:00,30.120470588235293,Jajigram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.09360274753033,23.631036948283928]}"
4_0,0.17,0.14262813,1.06,0.04,34.64,0.15759376,65,25.19,420,0.3162875,0.8,39.9,0.16151875,18.7,0.29575312,0.22075625,-0.31908327848072265,0.74,180.0,317,330,"5/3/24, 12:00 AM",PURBA BARDHAMAN,20,2024-12-31T00:00:00,6.66,4.413104,197,195,486,475,1.8543341,2024-01-01T00:00:00,30.120470588235293,Jajigram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.09360274753033,23.631036948283928]}"
5_0,0.1,0.08650303,0.64,0.06,35.69,0.111257575,155,12.76,285,0.26368484,0.63,119.7,0.10356364,22.1,0.21103637,0.14596666,0.9798965122131134,0.63,270.0,308,323,"6/13/24, 12:00 AM",PURBA BARDHAMAN,17,2024-12-31T00:00:00,5.78,4.4718103,182,180,509,496,3.0339081,2024-01-01T00:00:00,30.10118918918919,Khajurdihi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.1302540111224,23.613519800243598]}"
6_0,0.18,0.07569697,1.34,0.24,34.1,0.102387875,190,25.16,380,0.26890302,0.77,26.6,0.09566364,27.2,0.22116667,0.1426,-2.035548407744908,0.64,216.04103,330,342,"5/4/24, 12:00 AM",PURBA BARDHAMAN,17,2024-12-31T00:00:00,7.82,4.4718103,173,174,497,484,3.4369884,2024-01-01T00:00:00,30.09605263157895,Khajurdihi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.12971502195192,23.622143626971145]}"
7_0,0.18,0.09394839,1.2,0.14,32.14,0.11143871,145,15.61,330,0.30378386,0.72,39.9,0.100335486,23.8,0.23804516,0.14642258,-1.5065243650308897,0.68,90.0,342,350,"5/4/24, 12:00 AM",PURBA BARDHAMAN,21,2024-12-31T00:00:00,7.39,4.3083186,200,194,458,456,2.025203,2024-01-01T00:00:00,30.163999999999994,Khajurdihi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.08794336124038,23.7135022913661]}"
8_0,0.1,0.07959091,0.71,0.14,24.64,0.107569695,105,20.64,310,0.2841606,0.69,34.58,0.09334849,11.9,0.22228181,0.13984849,-0.03130080044292691,0.6,180.0,319,333,"5/6/24, 12:00 AM",PURBA BARDHAMAN,15,2024-12-31T00:00:00,7.28,4.4718103,181,180,500,487,1.8543341,2024-01-01T00:00:00,30.09605263157895,Khajurdihi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.13079300029287,23.6172927244369]}"
9_0,0.2,0.108627275,1.07,0.15,30.71,0.1351091,155,21.61,300,0.29112425,0.67,25.27,0.13110606,13.6,0.23301212,0.16249394,1.2675289223582762,0.71,90.0,313,327,"5/4/24, 12:00 AM",PURBA BARDHAMAN,15,2024-12-31T00:00:00,7.87,4.4718103,181,179,507,494,2.0237074,2024-01-01T00:00:00,30.09605263157895,Khajurdihi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.13052350570764,23.617023229851664]}"
