system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.54,0.12896211,0.98,0.17,11.98,0.14805454,301,1.28,312,0.28253636,0.52,23,0.1560303,13,0.2915909,0.21714242,-1.0975260007890935,0.86,270.0,336,333,"6/18/24, 12:00 AM",PURULIA,197,2024-12-31T00:00:00,5.9,4.049759,290,295,374,372,4.0381923,2024-01-01T00:00:00,30.25652631578947,Ganahar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.38662404464641,23.480389475137084]}"
1_0,0.32,0.07062,0.32,0.23,9.74,0.093902856,256,1.8,252,0.29838285,0.45,29,0.08868286,8,0.21980858,0.14143142,-1.8827585556328608,0.72,160.04926,359,352,"6/24/24, 12:00 AM",PURULIA,286,2024-12-31T00:00:00,5.7,3.8035347,300,306,342,342,2.9574912,2024-01-01T00:00:00,30.135210526315788,Ichag,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.92902223891592,23.32381312111505]}"
2_0,0.39,0.115157895,0.78,0.19,8.8,0.13324386,246,1.88,432,0.2618351,0.72,31,0.1386807,12,0.26213157,0.19427368,0.47388845633991883,0.9,208.48412,314,304,"6/10/24, 12:00 AM",PURULIA,174,2024-12-31T00:00:00,5.7,4.2613673,415,417,272,279,4.2132964,2024-01-01T00:00:00,30.1824705882353,Hargara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.60329769117604,22.85435355363419]}"
3_0,0.32,0.09676901,0.36,0.19,7.32,0.11920563,234,0.96,330,0.29524225,0.55,35,0.118635215,13,0.27899578,0.18380845,-1.8541541647848945,0.54,61.116295,330,343,"7/23/24, 12:00 AM",PURULIA,233,2024-12-31T00:00:00,6,3.88847,281,279,389,379,5.741123,2024-01-01T00:00:00,30.217677419354832,Shrabandi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.03089119213507,23.156995972854055]}"
4_0,0.56,0.14032121,1.04,0.16,13.64,0.1506394,256,1.12,348,0.2758,0.58,28,0.1484697,15,0.27178788,0.19218183,-2.032128584355311,0.84,144.02905,287,274,"7/1/24, 12:00 AM",PURULIA,203,2024-12-31T00:00:00,6,4.052686,394,397,319,328,3.4339418,2024-01-01T00:00:00,30.281314285714284,Paharpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.65315418944468,23.282580449573967]}"
5_0,0.6,0.12675151,0.48,0.23,5.54,0.14283636,246,1.36,258,0.26860607,0.46,20,0.14179394,16,0.2606879,0.17651819,1.3451530203489763,0.8,331.43176,336,333,"6/25/24, 12:00 AM",PURULIA,234,2024-12-31T00:00:00,6,3.84993,295,298,368,369,2.1111827,2024-01-01T00:00:00,30.232285714285712,Gobindanagar alias Kashiberia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.33892350305966,23.32462160487076]}"
6_0,0.42,0.08855676,0.96,0.16,12.6,0.103408106,367,1.58,306,0.1975054,0.51,37,0.09810541,12,0.14723784,0.09704865,-0.7571761602277203,0.98,164.782,328,342,"6/10/24, 12:00 AM",PURULIA,247,2024-12-31T00:00:00,6.1,3.6437345,303,293,369,364,3.8390293,2024-01-01T00:00:00,30.077161290322582,Tarang,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.00555870112291,23.218171243702596]}"
7_0,0.45,0.1042875,0.68,0.19,11.1,0.13110937,234,2.02,414,0.3008875,0.69,26,0.13923438,12,0.30002812,0.21095625,-1.5448973908800683,0.94,208.56155,296,285,"6/28/24, 12:00 AM",PURULIA,214,2024-12-31T00:00:00,5.7,3.8873174,345,347,358,368,2.1110487,2024-01-01T00:00:00,30.242,Anai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.44510436964259,23.287700846693447]}"
8_0,0.3,0.09122162,0.66,0.18,12.12,0.11334865,323,1.92,540,0.22221622,0.9,38,0.1361054,7,0.25901082,0.21441892,-2.1947122473883915,0.88,270.0,372,364,"7/13/24, 12:00 AM",PURULIA,265,2024-12-31T00:00:00,6,3.764153,282,290,346,347,4.035284,2024-01-01T00:00:00,30.212352941176473,Tulin,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.89129299698291,23.384718897378356]}"
9_0,0.72,0.09121945,0.78,0.18,13.64,0.11091528,223,1.68,202,0.28448194,0.36,41,0.10330417,8,0.24807778,0.15959306,-1.1131960207911875,1.12,47.438007,297,304,"7/20/24, 12:00 AM",PURULIA,150,2024-12-31T00:00:00,5.9,4.046219,385,377,319,319,1.3709803,2024-01-01T00:00:00,30.284176470588235,Kustor,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.76283848563567,23.317884240239863]}"
10_0,0.46,0.08797329,0.6,0.11,11.74,0.11237192,212,1.36,312,0.23731096,0.52,11,0.12586096,11,0.26741028,0.20354931,-2.551556924120695,0.78,241.1751,296,282,"6/27/24, 12:00 AM",PURULIA,179,2024-12-31T00:00:00,5.6,4.161845,358,363,346,355,5.751756,2024-01-01T00:00:00,30.302764705882357,Kulai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.8471902908145,23.47985048596661]}"
11_0,0.38,0.15187812,1.32,0.19,14.1,0.16472499,301,1.24,312,0.28758436,0.52,26,0.16400938,8,0.28655937,0.2104125,-1.5441876090004234,0.68,28.547527,329,328,"5/21/24, 12:00 AM",PURULIA,261,2024-12-31T00:00:00,6.2,3.7702923,354,350,318,321,4.2158213,2024-01-01T00:00:00,30.243,Gopladi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.36668144533895,23.21008640614552]}"
12_0,0.44,0.070411764,0.74,0.13,11.66,0.09207353,211,1.6,498,0.2208147,0.83,41,0.096985295,12,0.20154706,0.14400883,-0.85527357680675,1.02,28.631586,305,326,"7/23/24, 12:00 AM",PURULIA,139,2024-12-31T00:00:00,5.9,3.8159983,402,386,292,288,2.1124544,2024-01-01T00:00:00,30.04555,Kharbana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.73750599462349,23.671461136069308]}"
13_0,0.57,0.11615882,0.64,0.14,8.74,0.13184705,282,1.56,342,0.23120883,0.57,14,0.13493235,13,0.2428794,0.19541764,-0.5017877262949212,0.74,245.3874,310,323,"6/21/24, 12:00 AM",PURULIA,156,2024-12-31T00:00:00,6.2,3.907459,302,295,388,382,2.2258518,2024-01-01T00:00:00,30.152717948717946,Ichhar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.49037945996221,23.622682616141617]}"
14_0,0.61,0.09995,0.74,0.1,12.24,0.117662504,225,1.74,468,0.2486,0.78,25,0.12035625,10,0.27385,0.19685625,-1.6001044335161518,0.63,65.38395,323,336,"6/21/24, 12:00 AM",PURULIA,162,2024-12-31T00:00:00,6,3.8955839,300,294,377,370,2.2255597,2024-01-01T00:00:00,30.268277777777783,Barasalya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.55317169832217,23.601931533078456]}"
15_0,0.73,0.06754783,0.76,0.19,8.46,0.088231884,301,1.2,432,0.28662175,0.72,55,0.08506377,9,0.23947102,0.16110724,-1.879466932164318,0.78,340.10416,313,309,"7/1/24, 12:00 AM",PURULIA,149,2024-12-31T00:00:00,6.1,4.369637,430,431,256,260,2.9564657,2024-01-01T00:00:00,30.056971428571433,Shusina,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.68549353967298,22.92253568369886]}"
17_0,0.71,0.057927143,0.96,0.11,9.02,0.07983429,223,1.66,498,0.28658572,0.83,52,0.07494286,8,0.22651,0.14319286,-1.5416279700335689,0.82,28.496656,312,308,"6/29/24, 12:00 AM",PURULIA,141,2024-12-31T00:00:00,5.6,4.369637,436,435,252,257,2.1097503,2024-01-01T00:00:00,30.051444444444446,Jorobari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.68980545303675,22.92523062955122]}"
18_0,0.58,0.066687144,0.84,0.17,13.68,0.09085429,312,1.72,372,0.21905714,0.62,47,0.09315286,13,0.20807858,0.14234857,-0.11812957285322108,0.8,90.0,262,262,"7/4/24, 12:00 AM",PURULIA,147,2024-12-31T00:00:00,6.1,4.037241,441,433,297,304,1.0118437,2024-01-01T00:00:00,30.105542857142854,Bheti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.82104931604661,23.574712579969635]}"
19_0,0.36,0.09158378,0.76,0.17,13.14,0.11187838,211,1.66,426,0.28718108,0.71,21,0.10873514,14,0.24273784,0.16784324,-1.6940434198170737,0.86,55.432987,323,331,"7/12/24, 12:00 AM",PURULIA,234,2024-12-31T00:00:00,6.1,3.8517454,280,280,397,389,4.8922377,2024-01-01T00:00:00,30.169944444444454,Torang,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.83658559618003,23.267219258215523]}"
20_0,0.63,0.1883639,0.72,0.13,11.6,0.18749167,282,1.68,408,0.31473333,0.68,59,0.18573889,7,0.2814389,0.21489444,2.0615480910940636,1.14,-0.0,361,370,"2/29/24, 12:00 AM",PURULIA,299,2024-12-31T00:00:00,5.7,3.6604643,268,268,371,363,0.0,2024-01-01T00:00:00,30.186722222222222,Gutniya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.98885003683829,23.384988391963592]}"
21_0,0.68,0.07246563,0.98,0.2,12.16,0.092340626,223,1.32,252,0.26910314,0.45,25,0.084215626,8,0.2046875,0.13502188,-1.6634548900797006,0.86,347.6928,325,338,"7/9/24, 12:00 AM",PURULIA,183,2024-12-31T00:00:00,6.2,3.8272078,315,307,360,355,4.7357216,2024-01-01T00:00:00,30.32514285714287,Barda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.58658902689142,23.547224132275577]}"
22_0,0.39,0.07246563,0.86,0.11,8.66,0.092340626,211,2.02,540,0.26910314,0.9,43,0.084215626,13,0.2046875,0.13502188,-1.6634548900797006,1.12,347.6928,325,338,"7/9/24, 12:00 AM",PURULIA,183,2024-12-31T00:00:00,5.6,3.8272078,315,307,360,355,4.7357216,2024-01-01T00:00:00,30.32514285714287,Sundra Bandh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.58658902689142,23.547224132275577]}"
23_0,0.42,0.06678986,0.74,0.19,12.64,0.08592029,256,2.02,450,0.25498116,0.75,28,0.081631884,14,0.21294057,0.13181739,2.7570243819377556,0.76,-0.0,307,302,"7/2/24, 12:00 AM",PURULIA,153,2024-12-31T00:00:00,6.3,4.2333,412,416,282,282,0.0,2024-01-01T00:00:00,30.169950000000007,Bankati,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.73130761916308,23.068601748896697]}"
24_0,0.47,0.06800286,0.9,0.15,11.24,0.08574285,336,1.92,450,0.24087143,0.75,37,0.076362856,10,0.18428858,0.11769143,-1.598934230048795,0.94,294.6301,343,344,"3/27/24, 12:00 AM",PURULIA,207,2024-12-31T00:00:00,5.9,3.8503487,297,295,360,362,2.2243714,2024-01-01T00:00:00,30.336324324324323,Sanar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.5421224203275,23.51704073872916]}"
25_0,0.61,0.1402091,0.74,0.24,8.64,0.15601212,309,1.76,450,0.31484848,0.75,70,0.1571303,12,0.2882788,0.1974091,3.0157756782318565,0.82,180.0,345,350,"2/23/24, 12:00 AM",PURULIA,256,2024-12-31T00:00:00,5.8,3.7607706,301,293,354,357,0.92740995,2024-01-01T00:00:00,30.231828571428572,Tenyasi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.26184805168221,23.275573590357833]}"
26_0,0.43,0.12085672,0.92,0.19,11.74,0.13704477,212,1.62,360,0.29076716,0.6,19,0.13681194,9,0.3031567,0.23517016,-2.2115394590459347,0.84,312.567,320,332,"7/9/24, 12:00 AM",PURULIA,519,2024-12-31T00:00:00,5.9,3.6569233,335,327,346,341,4.1062894,2024-01-01T00:00:00,30.01569696969697,Mamudi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.03493361091361,23.294438211324344]}"
27_0,0.67,0.09955741,1.02,0.19,12.8,0.12167222,268,1.78,269,0.2867963,0.48,35,0.121314816,11,0.2682815,0.1795074,-1.5971655040222794,1.06,114.65132,284,280,"7/19/24, 12:00 AM",PURULIA,152,2024-12-31T00:00:00,5.7,4.238669,358,361,358,359,2.2225766,2024-01-01T00:00:00,30.212062500000005,Kusumgora Alias Ranjandi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.723222781606,23.38768333781595]}"
28_0,0.66,0.09105,1.02,0.18,10.86,0.12402647,228,1.76,207,0.26541764,0.37,69,0.14331177,12,0.30478823,0.23932059,0.26094536982395417,1.12,180.0,343,342,"3/2/24, 12:00 AM",PURULIA,242,2024-12-31T00:00:00,6.3,4.002821,342,342,314,317,2.7802885,2024-01-01T00:00:00,30.196060606060616,Motiramdih,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.35697964027047,23.00203658634344]}"
29_0,0.39,0.07657102,0.7,0.23,9.18,0.09631884,301,2.02,312,0.22353189,0.52,28,0.09888406,7,0.22855218,0.16256377,-1.41791849804664,0.92,180.0,287,289,"7/16/24, 12:00 AM",PURULIA,117,2024-12-31T00:00:00,5.8,4.1790524,374,370,340,340,1.8543341,2024-01-01T00:00:00,30.107736842105258,Hirakhun,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.85042422583732,23.66148983641558]}"
30_0,0.5,0.099117644,0.92,0.14,13.74,0.13131471,279,1.64,408,0.26194707,0.68,43,0.148,14,0.29372942,0.23807646,-1.7206370386878411,0.86,270.0,339,343,"7/9/24, 12:00 AM",PURULIA,244,2024-12-31T00:00:00,6.1,3.8302536,331,328,330,329,5.029141,2024-01-01T00:00:00,30.214685714285718,Panradda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.29769083151858,23.110912398778726]}"
31_0,0.65,0.09806774,0.94,0.241,9.46,0.119406454,282,1.28,498,0.24685161,0.83,62,0.12730323,11,0.25239354,0.17828387,2.736053183185912,0.82,312.5447,365,355,"4/8/24, 12:00 AM",PURULIA,255,2024-12-31T00:00:00,6.2,3.9174154,291,297,344,348,1.3714303,2024-01-01T00:00:00,30.33382857142857,Bhursa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.30038577737093,23.397924132054914]}"
32_0,0.54,0.08803421,1.12,0.26,9.54,0.107136846,334,2.04,258,0.26985264,0.46,21,0.108731575,9,0.25919473,0.1726921,-1.5942142616847332,1.12,294.6868,358,360,"7/16/24, 12:00 AM",PURULIA,222,2024-12-31T00:00:00,5.9,3.8279686,278,278,365,362,2.219584,2024-01-01T00:00:00,30.1740606060606,Sirkadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.95947512704758,23.170201207530614]}"
33_0,0.52,0.12675151,0.52,0.18,8.72,0.14283636,282,1.52,498,0.26860607,0.83,49,0.14179394,11,0.2606879,0.17651819,1.3451530203489763,1.12,331.43176,336,333,"4/5/24, 12:00 AM",PURULIA,234,2024-12-31T00:00:00,5.9,3.84993,295,298,368,369,2.1111827,2024-01-01T00:00:00,30.232285714285712,Gopladi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.33892350305966,23.32462160487076]}"
34_0,0.42,0.09799531,0.56,0.19,8.86,0.1148125,246,1.52,378,0.24688594,0.63,17,0.11020469,10,0.22336718,0.15100469,-1.952441198539332,0.8,252.99405,372,386,"7/8/24, 12:00 AM",PURULIA,317,2024-12-31T00:00:00,5.9,3.62114,255,247,374,367,3.16799,2024-01-01T00:00:00,30.214666666666663,Chirugara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01984191414041,23.43188044979463]}"
35_0,0.52,0.07102632,0.18,0.25,9.78,0.08598421,212,1.34,306,0.1767079,0.51,25,0.08858158,11,0.1795842,0.12692632,-1.521667606515086,0.78,132.50581,287,298,"6/26/24, 12:00 AM",PURULIA,156,2024-12-31T00:00:00,6.3,3.9594417,384,376,329,326,4.111055,2024-01-01T00:00:00,30.146882352941166,Lachhia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.76041303436854,23.57767702040723]}"
36_0,0.69,0.11024054,0.76,0.15,10.6,0.1412054,211,1.88,372,0.2893973,0.62,20,0.15677568,10,0.31522432,0.24408649,3.8069583774866897,0.9,90.0,394,386,"7/13/24, 12:00 AM",PURULIA,256,2024-12-31T00:00:00,5.7,3.715442,283,289,323,325,2.019851,2024-01-01T00:00:00,30.230363636363638,Benga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.90422873707422,23.365315287241373]}"
37_0,0.63,0.08473333,0.74,0.18,12.94,0.10445139,278,2.04,432,0.26735833,0.72,25,0.09781667,12,0.2275736,0.14947917,1.005522422250989,0.82,47.46673,296,295,"6/1/24, 12:00 AM",PURULIA,153,2024-12-31T00:00:00,5.8,4.182627,327,332,377,373,4.108915,2024-01-01T00:00:00,30.257515151515165,Dhobari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.71325148195227,23.451014565346377]}"
38_0,0.52,0.06618824,0.62,0.17,7.82,0.08105588,211,1.58,269,0.22157353,0.48,19,0.075182356,9,0.17974412,0.10959118,-2.3826883280719473,0.88,55.360325,311,305,"6/28/24, 12:00 AM",PURULIA,172,2024-12-31T00:00:00,5.2,4.2231064,404,405,284,290,4.8832965,2024-01-01T00:00:00,30.2305,Krishtapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.56745491133967,22.90259308439141]}"
39_0,0.64,0.07581111,0.72,0.15,9.64,0.09223333,246,1.8,274,0.25553334,0.49,41,0.08332916,9,0.18873194,0.123973615,-1.546428093389165,1.14,28.591963,318,312,"7/19/24, 12:00 AM",PURULIA,158,2024-12-31T00:00:00,6.1,4.032784,324,330,358,358,2.1116583,2024-01-01T00:00:00,30.258764705882353,Tilahir,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.69869877434954,23.455326478710152]}"
40_0,0.68,0.06317941,0.7,0.12,10.6,0.085976474,390,1.28,462,0.25922352,0.77,41,0.083205886,15,0.24215294,0.16243823,-1.947694750420238,0.92,107.04608,312,311,"7/19/24, 12:00 AM",PURULIA,199,2024-12-31T00:00:00,6.1,4.0607677,354,347,334,342,3.160768,2024-01-01T00:00:00,30.26082352941177,Haramdih,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.44321790754594,23.098515647857877]}"
41_0,0.7,0.11127714,0.72,0.16,13.46,0.14379428,255,1.48,516,0.29702857,0.86,43,0.15866572,16,0.29889715,0.22849715,-1.9463196567076668,0.86,287.05777,324,321,"4/9/24, 12:00 AM",PURULIA,219,2024-12-31T00:00:00,6.2,4.084337,367,365,309,314,3.1586695,2024-01-01T00:00:00,30.210685714285717,Gourdih,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.42058036238613,23.00068911341726]}"
