system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,4.51,0.130556,0.45,0.3,17.19,0.143582,80.64,12.38,272.2,0.360298,0.26,17.03,0.137106,5.72,0.272246,0.168888,-1.7093390212072253,0.69,225.5986,287,302,2024-03-01,SOUTH ANDAMANS,65,2024-06-30T00:00:00,6.9,10.780397,426,415,287,282,2.6492937,2023-07-01T00:00:00,30.11118918918919,Hobdipur (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.63997640045922,11.672484223028034]}"
1_0,2.07,0.14725511,0.12,0.7,42.31,0.16194694,100.8,16.32,356.25,0.37434897,0.24,9.29,0.15595306,4.06,0.27789795,0.1705898,-0.6207508888736762,0.98,277.96378,292,308,2024-02-27,SOUTH ANDAMANS,28,2024-06-30T00:00:00,6.8,10.780397,448,439,260,252,13.152814,2023-07-01T00:00:00,30.17948571428572,Tusnabad (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.64159336797064,11.685958952289827]}"
5_0,3.29,0.13891739,0.56,0.3,35.17,0.15029131,120.96,10.55,225.79,0.30914348,0.24,10.84,0.13766086,3.5,0.22726956,0.15914783,-0.20275339612960416,0.68,161.2076,273,285,2024-06-02,SOUTH ANDAMANS,26,2024-06-30T00:00:00,6.57,10.696287,424,416,303,300,2.9365792,2023-07-01T00:00:00,30.085513513513508,Hashmatabad (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.64240185172635,11.597025739161994]}"
7_0,3.29,0.095375,0.53,0.9,30.52,0.104625,85.12,3.69,277.22,0.32374167,0.22,12.38,0.087639585,2.39,0.18782917,0.1029,-2.4025400495692644,0.17,314.4004,287,298,2024-02-26,SOUTH ANDAMANS,36,2024-06-30T00:00:00,6.3,10.780397,444,439,270,264,5.287401,2023-07-01T00:00:00,30.163657142857137,Tusnabad (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.63835943294781,11.682186028096524]}"
8_0,0.85,0.11367,0.33,0.5,21.87,0.128714,64.96,6.98,205.72,0.356394,0.27,9.29,0.11613,4.06,0.245376,0.15035,-2.217949624768096,0.26,341.20282,287,302,2024-03-01,SOUTH ANDAMANS,58,2024-06-30T00:00:00,6.8,10.780397,426,415,287,282,8.749068,2023-07-01T00:00:00,30.11118918918919,Tusnabad (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.63943741128875,11.673023212198505]}"
9_0,3.29,0.170992,1.27,0.7,32.89,0.181484,106.62,9.77,245.86,0.40107,0.32,10.84,0.159932,1.28,0.248554,0.16834,-3.7036105123372747,0.72,-0.0,278,282,2024-02-23,SOUTH ANDAMANS,21,2024-06-30T00:00:00,5.68,10.780397,435,431,288,287,18.775116,2023-07-01T00:00:00,30.104222222222216,Manpur (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.62650167119743,11.680030071414638]}"
10_0,4.51,0.14725511,0.17,0.6,29.34,0.16194694,71.68,12.68,234.57,0.37434897,0.36,7.74,0.15595306,1.28,0.27789795,0.1705898,-0.6207508888736762,0.38,277.96378,292,308,2024-02-29,SOUTH ANDAMANS,28,2024-06-30T00:00:00,6.8,10.780397,448,439,260,252,13.152814,2023-07-01T00:00:00,30.17948571428572,Tusnabad (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.64159336797064,11.685958952289827]}"
11_0,2.07,0.13891739,0.52,0.3,36.66,0.15029131,107.52,11.08,284.75,0.30914348,0.29,9.29,0.13766086,2.39,0.22726956,0.15914783,-0.20275339612960416,1,161.2076,273,285,2024-06-02,SOUTH ANDAMANS,26,2024-06-30T00:00:00,6.82,10.696287,424,416,303,300,2.9365792,2023-07-01T00:00:00,30.085513513513508,Hashmatabad (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.64240185172635,11.597025739161994]}"
13_0,2.07,0.124000005,0.7,0.3,23.56,0.1422375,69.44,5.4,230.81,0.35250834,0.3,7.74,0.138175,2.94,0.2798625,0.187075,-1.015682976748623,0.78,45.588806,287,297,2024-03-13,SOUTH ANDAMANS,90,2024-06-30T00:00:00,6.6,6.147669,417,409,296,294,1.3251239,2023-07-01T00:00:00,30.094205128205132,Teylorabad (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.70357712257488,11.577352634439777]}"
14_0,3.29,0.0581875,0.32,0.7,37.9,0.082208335,109.76,6.18,280.99,0.34660417,0.33,9.29,0.0615875,7.94,0.19704583,0.11513333,-0.6149818400417246,0.68,76.87165,317,324,2024-05-29,SOUTH ANDAMANS,16,2024-06-30T00:00:00,6.54,9.12485,399,389,284,287,19.61351,2023-07-01T00:00:00,30.036000000000005,Wandur (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.61922531739606,11.60376310379289]}"
15_0,3.29,0.15854348,0.31,0.5,45.72,0.17180435,98.56,25.62,245.86,0.405,0.22,7.74,0.1491174,2.94,0.2254913,0.14823043,-0.3227799777160079,0.85,45.593567,348,352,2024-06-04,SOUTH ANDAMANS,10,2024-06-30T00:00:00,7.3,9.448212,363,356,288,292,1.3252363,2023-07-01T00:00:00,30.07726315789474,Chouldari (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.67797513697748,11.623705703100343]}"
17_0,4.51,0.16172917,0.16,0.7,23.17,0.17267084,73.92,17.84,163.07,0.26500833,0.19,3.1,0.1754125,4.61,0.30747083,0.26238334,-1.2210722226298039,0.68,184.17049,288,302,2024-03-10,SOUTH ANDAMANS,11,2024-06-30T00:00:00,6.66,10.696287,404,396,308,302,12.801964,2023-07-01T00:00:00,30.081459459459456,Beadnabad (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.62488470368602,11.598373212088173]}"
18_0,3.29,0.097328305,0.42,0.9,39.16,0.11629434,107.52,8.15,238.34,0.3375868,0.28,10.84,0.105056606,0.72,0.25847924,0.15031886,-0.43892384222408326,0.52,90.0,278,290,2024-02-22,SOUTH ANDAMANS,5,2024-06-30T00:00:00,5.66,10.780397,420,410,302,300,10.305967,2023-07-01T00:00:00,30.067783783783785,Colinpur (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.60548109354903,11.691887833165016]}"
25_0,4.51,0.11480851,1.12,0.3,37.92,0.13550426,105.28,5.72,301.06,0.3128234,0.33,7.74,0.12414468,2.97,0.22621277,0.15069361,-3.8707412562520873,0.84,288.80682,299,310,2024-02-22,SOUTH ANDAMANS,19,2024-06-30T00:00:00,5.32,6.8783813,378,372,323,318,21.885756,2023-07-01T00:00:00,30.105888888888884,Tirur (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.61518289861752,11.731503537194685]}"
29_0,2.07,0.1322826,0.22,0.9,36.1,0.14743479,89.6,12.35,275.97,0.31057826,0.17,3.1,0.14557827,4.61,0.22276956,0.15461738,-2.5236959944601294,0.71,219.23682,312,327,2024-03-11,SOUTH ANDAMANS,99,2024-06-30T00:00:00,7.09,6.147669,425,413,263,261,5.965727,2023-07-01T00:00:00,30.188882352941178,Teylorabad (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.71031448720578,11.589749385360626]}"
35_0,0.85,0.130556,0.39,0.6,26.09,0.143582,96.32,7.98,263.42,0.360298,0.22,9.29,0.137106,2.39,0.272246,0.168888,-1.7093390212072253,0.34,225.5986,287,302,2024-03-01,SOUTH ANDAMANS,65,2024-06-30T00:00:00,6.4,10.780397,426,415,287,282,2.6492937,2023-07-01T00:00:00,30.11118918918919,Hobdipur (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.63997640045922,11.672484223028034]}"
37_0,4.54,0.12617736,1.12,0.3,32.87,0.13015848,91.84,5.68,313.6,0.3610283,0.21,7.74,0.11223585,4.06,0.19931698,0.13763963,-1.0896868004570786,0.79,167.21465,264,276,2024-02-22,SOUTH ANDAMANS,8,2024-06-30T00:00:00,5.87,10.780397,444,432,292,292,8.496806,2023-07-01T00:00:00,30.060157894736843,Manpur (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.61248795276516,11.68568945770459]}"
38_0,2.07,0.11075686,0.43,0.6,34.12,0.13039804,109.76,7.3,313.6,0.38166863,0.22,7.74,0.11008431,2.39,0.20769411,0.12847255,-3.3662984122004467,1.29,107.47266,259,269,2024-02-21,SOUTH ANDAMANS,24,2024-06-30T00:00:00,5.32,10.780397,439,429,302,302,25.88395,2023-07-01T00:00:00,30.07291891891891,Manpur (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.6194948119813,11.678952093073693]}"
43_0,2.07,0.11498431,0.29,0.5,26.34,0.13256079,112,6.06,238.34,0.3676392,0.3,4.64,0.109064706,2.39,0.18929608,0.11055098,-3.6463517007065023,0.77,329.00766,267,268,2024-02-23,SOUTH ANDAMANS,16,2024-06-30T00:00:00,5.89,10.780397,448,445,285,287,17.797798,2023-07-01T00:00:00,30.035027027027027,Manpur (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.61841683364035,11.68245552268176]}"
44_0,3.29,0.14725511,0.27,0.8,32.68,0.16194694,89.6,15.36,193.18,0.37434897,0.27,6.19,0.15595306,4.61,0.27789795,0.1705898,-0.6207508888736762,0.06,277.96378,292,308,2024-02-27,SOUTH ANDAMANS,28,2024-06-30T00:00:00,6.7,10.780397,448,439,260,252,13.152814,2023-07-01T00:00:00,30.17948571428572,Tusnabad (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.64159336797064,11.685958952289827]}"
47_0,3.29,0.09302553,1.22,0.7,37.24,0.10886383,105.28,8.11,363.78,0.31124467,0.28,9.29,0.09310638,2.94,0.1969681,0.12035745,-2.327069861150433,0.69,275.41278,296,306,2024-02-22,SOUTH ANDAMANS,21,2024-06-30T00:00:00,5.22,6.8783813,395,391,309,303,27.240355,2023-07-01T00:00:00,30.105888888888884,Tirur (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.61518289861752,11.730425558853742]}"
51_0,3.29,0.11563913,0.25,0.3,31.84,0.13906087,91.84,4.07,238.34,0.34195217,0.17,9.29,0.12897827,9.06,0.27886087,0.18062174,-2.094847540978116,0.6,76.23937,318,322,2024-05-29,SOUTH ANDAMANS,3,2024-06-30T00:00:00,6.25,10.696287,403,396,278,281,3.8932126,2023-07-01T00:00:00,30.024684210526317,Wandur (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.61114047983898,11.59864270667341]}"
53_0,2.07,0.14725511,0.18,0.2,28.05,0.16194694,85.12,4.18,184.4,0.37434897,0.28,12.38,0.15595306,2.94,0.27789795,0.1705898,-0.6207508888736762,1.09,277.96378,292,308,2024-03-01,SOUTH ANDAMANS,28,2024-06-30T00:00:00,6.7,10.780397,448,439,260,252,13.152814,2023-07-01T00:00:00,30.17948571428572,Tusnabad (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.64159336797064,11.685958952289827]}"
59_0,4.51,0.039873913,0.16,0.2,34.55,0.059665218,120.96,12.32,179.38,0.32777393,0.14,3.1,0.03992174,4.61,0.14854783,0.07347826,-3.100439784533934,1.11,218.44914,290,310,2024-03-11,SOUTH ANDAMANS,55,2024-06-30T00:00:00,6.3,6.147669,444,429,266,261,10.538172,2023-07-01T00:00:00,30.2410303030303,Calicut (RV),"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.71247044388767,11.597564728332465]}"
