system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.23,0.093990326,4.678,0.34,8.666,0.11215484,781,11.1,233,0.2909597,0.23,40,0.11895161,63,0.28654194,0.20604193,1.221076930787298,0.646,270.0,321,296,2024-01-06,NTR,77,2024-06-30T00:00:00,8,2.4107435,371,383,308,322,0.9686784,2023-07-01T00:00:00,30.548487804878043,Peddavaram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.17127042535185,16.78614397787841]}"
1_0,2.43,0.08218182,0.594,0.31,21.74,0.112575755,351,7.54,255,0.28916666,0.36,9,0.1356212,29,0.31535757,0.23407273,2.1023002718400914,0.516,-0.0,297,279,2024-01-05,NTR,77,2024-06-30T00:00:00,7.52,2.3305223,373,384,330,337,0.0,2023-07-01T00:00:00,30.610742857142863,Balusupadu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.04326049736483,16.91550137879162]}"
2_0,1.58,0.11771111,0.68,0.15,0.582,0.1354873,290,22,182,0.3178889,0.44,4,0.12900953,15,0.25309682,0.16752222,-0.8273533614257318,0.606,295.58807,350,334,2024-01-20,NTR,62,2024-06-30T00:00:00,7.77,2.4825327,345,349,306,317,2.1464717,2023-07-01T00:00:00,30.502153846153842,Bobbellapadu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2181624831829,16.718770331569445]}"
3_0,0.7,0.083588056,2.078,0.42,11.71,0.10600299,123,5.73,240,0.2752209,0.4,20,0.112289555,13,0.28329104,0.20294328,0.04827279411993771,2.554,46.25152,342,311,2024-01-06,NTR,52,2024-06-30T00:00:00,7.88,2.4765146,349,364,309,326,1.3410408,2023-07-01T00:00:00,30.73588571428572,Somavaram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.33431464941954,16.815518887669118]}"
4_0,0.7,0.10212727,4.358,0.24,32,0.12740304,112,8.83,284,0.27145454,0.16,41,0.14953637,63,0.2946606,0.22228485,-0.6819785558125486,0.84,180.0,290,273,2024-01-02,NTR,82,2024-06-30T00:00:00,7.58,2.4442754,375,385,335,342,0.92740995,2023-07-01T00:00:00,30.629142857142863,Balusupadu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.05107584033667,16.919813292155396]}"
5_0,2.59,0.091075756,2.816,0.24,27.42,0.1097197,279,13.61,238,0.29365757,0.16,6,0.10828939,57,0.28518334,0.18747121,0.26860123741272196,1.158,295.555,272,268,2024-01-08,NTR,80,2024-06-30T00:00:00,6.73,2.6720538,373,369,356,363,2.14906,2023-07-01T00:00:00,30.601384615384625,Dabbakupalle,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23433215829704,16.999044700214736]}"
6_0,2.32,0.073122226,1.366,0.14,26.38,0.094207935,1127,3.926,233,0.3054635,0.33,75,0.09633333,8,0.24067777,0.16208254,-1.4199292685717408,3.896,90.0,302,297,2024-01-09,NTR,78,2024-06-30T00:00:00,7.5,2.6527507,363,365,335,337,1.9387146,2023-07-01T00:00:00,30.627833333333335,Vatsavai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25238829550784,16.972634230861622]}"
8_0,1.93,0.10096052,1.056,0.08,6.728,0.116060525,992,12.75,283,0.26845527,0.87,32,0.12534738,41,0.26693946,0.20077895,-2.1129210225376878,0.654,270.0,286,282,2024-02-15,NTR,72,2024-06-30T00:00:00,8.35,2.6337526,374,372,341,347,3.8726974,2023-07-01T00:00:00,30.741999999999994,Chittela,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19067403548884,16.95781202867365]}"
9_0,0.15,0.09405625,0.84,0.5,6.06,0.11264688,686,19.15,264,0.2702375,0.19,75,0.13644062,26,0.34552032,0.24631406,-1.9938558834223379,1.23,122.55535,337,338,2024-02-26,NTR,55,2024-06-30T00:00:00,6.26,2.702035,339,337,324,325,3.4430397,2023-07-01T00:00:00,30.73005405405405,Bodavada,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.37581681554586,16.73547899585407]}"
10_0,0.35,0.09365518,3.662,0.13,14.47,0.12092759,362,19.67,214,0.32387587,0.31,3,0.1320793,4,0.28620344,0.18815517,2.794901479618531,0.608,-0.0,288,279,2024-03-11,NTR,75,2024-06-30T00:00:00,7.53,2.6789007,362,362,349,359,0.0,2023-07-01T00:00:00,30.63266666666667,Kanumuru,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.5895260216379,17.019795783277896]}"
11_0,3.59,0.085090004,0.87,0.11,8.1,0.10935333,904,6.538,243,0.31445,0.36,16,0.10238,6,0.23333667,0.15242334,-2.172169185271746,1.186,109.74505,251,263,2024-03-11,NTR,76,2024-06-30T00:00:00,7.85,2.6375573,387,383,362,354,8.180144,2023-07-01T00:00:00,30.59032432432433,Pulluru,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.6256382960595,16.829532606101385]}"
