system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1.62,0.12021936,1.49,0.55,32,0.15336451,903.57,19.37,150.53,0.28812903,0.55,12.47,0.18291935,34.59,0.34981936,0.29359356,-1.0451706086486514,1.58,313.84686,325,336,2024-06-26,PRAKASAM,193,2024-06-30T00:00:00,8.62,2.0254288,424,409,252,255,1.3386425,2023-07-01T00:00:00,30.95323529411765,Pullalacheruvu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.425309413419,16.15013675672179]}"
1_0,0.47,0.1182,0.608,0.2,0.464,0.14679667,1098.6,12.4,238.34,0.32823667,0.79,18.45,0.16518667,112.69,0.36059666,0.26679,1.7419232198734507,3.842,325.2703,320,343,2024-06-15,PRAKASAM,117,2024-06-30T00:00:00,8.19,2.0524008,431,413,249,244,3.3816946,2023-07-01T00:00:00,30.859277777777784,ANNAVARAPPADU,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.5748789082249,15.903818705816215]}"
2_0,0.28,0.09502424,2.23,0.52,21.38,0.13195758,748.87,38.36,175.62,0.29990909,0.23,23.82,0.16594848,56.82,0.3443909,0.28510606,-1.7750879949235576,2.95,180.0,310,340,2024-05-27,PRAKASAM,146,2024-06-30T00:00:00,8.62,1.9151833,401,382,288,278,2.7802885,2023-07-01T00:00:00,31.068944444444444,Gobburu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.2719669944198,15.826473759853526]}"
3_0,0.23,0.07505484,2.572,0.25,0.001,0.10016452,244.2,23.98,163.07,0.28658065,0.98,70.13,0.13266128,260.42,0.32799354,0.25564837,-1.7359896690669445,0.11,313.89127,303,302,2024-06-13,PRAKASAM,146,2024-06-30T00:00:00,7.45,1.9937084,414,420,283,278,2.6736722,2023-07-01T00:00:00,30.917777777777776,Aaluru,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.60910472054985,15.839948489115319]}"
4_0,0.14,0.06938125,0.482,0.28,0.632,0.099884376,1073.6,27.84,62.72,0.30806562,0.74,113.2,0.12115,290.72,0.28631562,0.20777813,0.3022347386880551,1.732,332.53186,345,350,2024-06-19,PRAKASAM,132,2024-06-30T00:00:00,7.68,2.0263505,384,382,271,267,2.0897408,2023-07-01T00:00:00,31.105368421052635,ANNAVARAPPADU,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.5702975002759,15.888457514457771]}"
5_0,1.64,0.114746876,0.334,0.19,1.302,0.132675,368.9,20.3,213.25,0.32985938,0.83,37.75,0.13702188,127.84,0.288075,0.20135625,-0.6774603972725914,1.252,-0.0,332,339,2024-05-27,PRAKASAM,165,2024-06-30T00:00:00,7.9,2.0417588,416,402,253,259,0.92740995,2023-07-01T00:00:00,30.96988235294118,Gollavidipi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.33314226526834,16.028594698780417]}"
6_0,0.931,0.05984516,0.464,0.33,4.698,0.08429678,446.99,9.972,100.35,0.26491934,0.7,51.07,0.10870968,292.59,0.23280644,0.1734,-0.39185241681426847,1.912,152.5136,303,314,2024-05-29,PRAKASAM,195,2024-06-30T00:00:00,8.05,2.090878,433,419,264,267,2.0900874,2023-07-01T00:00:00,30.981090909090913,Yerragonda Palem,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.28247728324399,16.044494879309333]}"
7_0,2.24,0.10989167,4.05,0.4,5.35,0.13871667,1074.02,72.52,175.62,0.30785,0.71,28.17,0.171525,119.48,0.39013332,0.30523056,-2.0956514996490667,6.67,165.431,254,262,2024-06-13,PRAKASAM,341,2024-06-30T00:00:00,8.48,2.1488354,431,432,315,306,3.8275156,2023-07-01T00:00:00,30.728588235294122,Nallaguntla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.91973757151654,15.86716744222414]}"
9_0,0.18,0.12771612,2.87,0.42,11.85,0.14550322,1087.29,41.74,163.07,0.39150646,0.74,78.28,0.14281613,92.81,0.2673871,0.17500968,-1.04377707241434,0.79,313.87347,324,335,2024-06-14,PRAKASAM,107,2024-06-30T00:00:00,9.05,2.0968492,378,366,299,299,1.3379961,2023-07-01T00:00:00,30.723459459459466,Kankanala Palle,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.47166248207957,15.964993976664756]}"
10_0,1.23,0.14407188,3.15,0.31,35.1,0.17346875,662.45,47.28,100.35,0.3183625,0.05,9.7,0.19506875,29.65,0.31559062,0.25943437,-1.7384464640831043,0.34,226.15552,283,296,2024-06-29,PRAKASAM,139,2024-06-30T00:00:00,8.28,2.0833533,439,421,277,283,2.6759403,2023-07-01T00:00:00,30.805538461538454,Mutukula,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.52933432332004,16.16630643183594]}"
12_0,0.141,0.08333437,3.178,0.23,27.32,0.11594062,547.14,16.96,100.35,0.2856281,0.565,47.94,0.143075,78.6,0.32995,0.26393124,-1.4879893727105558,0.694,207.43788,361,358,2024-06-01,PRAKASAM,67,2024-06-30T00:00:00,8.15,1.7842691,371,372,269,270,2.0891685,2023-07-01T00:00:00,31.014999999999993,Amudala Palle,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.6643511105232,15.62650877760852]}"
13_0,0.61,0.09545,1.488,0.52,20.86,0.12850313,405.89,9.272,112.9,0.3170875,0.64,68.9,0.14690313,160.04,0.35205936,0.26160938,-0.8202211992325246,1.526,244.32314,323,321,2024-06-14,PRAKASAM,115,2024-06-30T00:00:00,7.6,2.043821,413,414,264,265,2.1395571,2023-07-01T00:00:00,30.79610810810811,ANNAVARAPPADU,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.45279786111305,15.941817442334472]}"
14_0,1.62,0.17625555,0.68,0.14,0,0.18969166,819.97,9.38,100.35,0.32634723,0.97,35.32,0.19143055,32.4,0.32433334,0.25470555,-1.6045664936824477,0.03,322.1119,320,335,2024-06-04,PRAKASAM,250,2024-06-30T00:00:00,7.86,1.8629541,404,392,276,273,4.690341,2023-07-01T00:00:00,30.857294117647058,Racherla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.96366518890999,15.456996683495166]}"
15_0,1.058,0.092063636,1.776,0.39,0.528,0.1251212,1185.5,35.74,175.62,0.32589698,0,92.28,0.1508697,177.8,0.33375454,0.24708484,-1.863614476022548,0.946,107.772644,305,319,2024-06-20,PRAKASAM,107,2024-06-30T00:00:00,7.92,2.0030262,436,422,260,259,3.0357118,2023-07-01T00:00:00,30.900222222222226,West Veeraya Palem,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.6080267422089,15.926456250976027]}"
16_0,1.69,0.08473437,1.1,0.82,18.26,0.108025,561.1,4.75,112.9,0.26214376,0.69,31.4,0.13317187,131.63,0.2993,0.22280625,-1.5122498931536943,0.17,244.3091,327,338,2024-05-28,PRAKASAM,55,2024-06-30T00:00:00,7.21,2.105825,394,384,280,278,2.138468,2023-07-01T00:00:00,30.876342857142852,Sankarapuram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.90959118308784,15.815424481858855]}"
17_0,0.42,0.09135946,0.74,0.42,34.54,0.12449459,1073.32,50.76,238.34,0.3248946,0.67,13.53,0.15705405,122.77,0.3320027,0.24933784,6.6126723118999235,0.22,90.0,321,328,2024-05-30,PRAKASAM,278,2024-06-30T00:00:00,8.58,2.1348772,403,398,276,274,2.8879712,2023-07-01T00:00:00,30.852000000000007,Bollu Palle,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.9337512899488,15.708165636934984]}"
18_0,1.93,0.14602353,0.34,0.24,0.001,0.1819147,815.94,20.78,125.44,0.31976175,0.85,33.27,0.22643824,54.36,0.37349707,0.2988294,-1.408260897242177,1.57,90.0,328,332,2024-06-26,PRAKASAM,136,2024-06-30T00:00:00,7.99,1.8837945,402,397,269,270,1.9273403,2023-07-01T00:00:00,31.009483870967742,Mallam Peta,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.34769497287107,15.82620426526829]}"
20_0,0.28,0.09463438,2.29,0.49,14.13,0.11980312,244.47,2.42,200.7,0.24064687,0.81,27.07,0.13965312,139.2,0.258025,0.21062812,-1.0444559475589519,4.01,46.13944,341,346,2024-06-11,PRAKASAM,115,2024-06-30T00:00:00,9.21,2.0925317,385,375,274,280,1.3383094,2023-07-01T00:00:00,30.884457142857148,Annasamudram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.5252919045415,16.05500516813353]}"
21_0,0.607,0.12833124,1.298,0.14,1.952,0.1586125,1026.61,13.96,175.61,0.25514063,0.87,77.74,0.18776876,59.42,0.31856877,0.28550625,1.0542155912798135,1.826,64.29014,330,341,2024-01-05,PRAKASAM,79,2024-06-30T00:00:00,8.39,1.7589793,388,381,282,278,2.137,2023-07-01T00:00:00,31.02483333333334,Zuvvaleru,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.6274303523459,15.643217441893142]}"
