system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.34,0.13305715,0.36,0.7,8.46,0.15443929,403,0.48,113,0.3341643,0.45,20,0.16502857,73,0.28945,0.21771072,-2.1751218177699094,0.38,27.319881,351,397,2024-04-18,SPSR NELLORE,82,2024-06-30T00:00:00,7.7,1.9359428,403,369,246,234,4.1683636,2023-07-01T00:00:00,30.616810810810815,Pathalapalle,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.33529822195023,14.554728812125518]}"
1_0,0.34,0.068452545,0.19,0.4,6.3,0.095308475,189,2.6,138,0.27263728,0.11,25,0.10004068,61,0.23856102,0.1548661,-1.4849297657098084,0.35,207.37787,284,317,2024-05-17,SPSR NELLORE,18,2024-06-30T00:00:00,6.7,1.9839622,376,348,340,335,2.0880349,2023-07-01T00:00:00,30.736864864864867,Chaki Cherla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.98963107490289,15.091562025915344]}"
2_0,0.56,0.10658448,0.08,0.2,4.3,0.12378965,338,3.8,176,0.2656069,0.36,29,0.12713276,5,0.3016569,0.20708276,-1.038667345982777,0.18,133.97102,322,344,2024-03-11,SPSR NELLORE,19,2024-06-30T00:00:00,6.8,1.9050982,393,383,285,273,2.6698167,2023-07-01T00:00:00,30.78965714285715,Palukur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.9483984033618,15.266464011733415]}"
3_0,0.19,0.07687931,0.46,0.8,4.38,0.11295862,202,6.81,226,0.28702068,0.88,17,0.13244483,19,0.29325172,0.22321379,-1.601782981056566,0.54,322.1689,293,328,2024-03-12,SPSR NELLORE,59,2024-06-30T00:00:00,8.2,1.7710247,392,372,315,301,4.686732,2023-07-01T00:00:00,30.898333333333323,Iskadamerla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.56706356525306,15.025266357947324]}"
4_0,0.11,0.091461405,0.092,0.3,9.88,0.1278386,46,5.6,188,0.3182807,0.9,4,0.14771403,64,0.3045421,0.22316842,-0.6713969076188637,0.9,180.0,325,343,2024-05-15,SPSR NELLORE,37,2024-06-30T00:00:00,8.2,2.266959,368,350,307,307,0.92740995,2023-07-01T00:00:00,30.60389743589744,Bodagudipadu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.85784822272255,14.742027548864439]}"
5_0,0.72,0.10582333,0.61,0.3,8.15,0.13091333,130,9.13,163,0.33482334,0.31,20,0.13589,21,0.28348666,0.19444667,-0.6707864097379953,0.38,180.0,352,354,2024-03-07,SPSR NELLORE,13,2024-06-30T00:00:00,7.2,2.5236228,335,334,313,312,0.92740995,2023-07-01T00:00:00,30.50516129032258,Talamanchi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.02143143596072,14.605663288735096]}"
6_0,0.3,0.12712713,0.48,0.1,5.2,0.16231357,117,2.5,100,0.29785764,0.25,11,0.20865424,50,0.4648339,0.39381525,2.0531945190560443,0.71,226.01353,266,293,2024-05-15,SPSR NELLORE,11,2024-06-30T00:00:00,6.1,1.9199188,353,340,381,366,1.3352606,2023-07-01T00:00:00,30.783837837837837,Karedu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.04352999195005,15.152737296763885]}"
7_0,0.46,0.132875,1.21,0.9,5.6,0.15789583,312,7.8,251,0.328275,0.61,36,0.1545625,130,0.29799026,0.20124862,-1.801344470191628,1.21,270.0,351,355,2024-01-22,SPSR NELLORE,7,2024-06-30T00:00:00,7.5,2.5827372,330,325,319,320,2.871675,2023-07-01T00:00:00,30.412702702702703,Somarajupalle,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.14809389102157,14.504872313856884]}"
8_0,0.38,0.11601667,0.36,0.1,8.32,0.14803,195,7.21,226,0.31208667,0.22,68,0.20893666,14,0.42469,0.32663,4.17920142448883,0.38,194.49162,287,311,2024-03-27,SPSR NELLORE,53,2024-06-30T00:00:00,7.2,2.005262,397,379,316,311,3.8261802,2023-07-01T00:00:00,30.974057142857138,Anumasamudrampeta,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.65437981086949,14.701333866493824]}"
9_0,0.08,0.122383334,0.58,0.1,8.16,0.147355,98,8.41,163,0.30082834,0.45,17,0.17788,59,0.37778333,0.27260667,-0.7067906254449013,0.63,90.0,303,331,2024-03-19,SPSR NELLORE,50,2024-06-30T00:00:00,8.3,1.9825662,376,358,321,312,1.919267,2023-07-01T00:00:00,30.826874999999998,Chodavaram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.82416139956807,14.951694336177935]}"
10_0,0.08,0.116539285,0.64,0.3,8.81,0.13677858,169,3.42,138,0.37783572,0.42,16,0.12114286,85,0.297625,0.20333214,1.6910193252252903,0.49,90.0,322,337,2024-03-05,SPSR NELLORE,136,2024-06-30T00:00:00,7.8,1.8021277,417,407,260,256,0.9599451,2023-07-01T00:00:00,30.807588235294112,Guvvadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.3253269222965,14.96112664666119]}"
11_0,0.69,0.10592963,0.18,0.7,7.3,0.1349963,202,7.2,226,0.27093703,0.38,15,0.15782222,14,0.30918148,0.25046667,-1.5030704900448595,0.3,64.194336,289,305,2024-03-27,SPSR NELLORE,74,2024-06-30T00:00:00,8.4,1.9337587,398,389,313,306,2.1296139,2023-07-01T00:00:00,30.932611111111108,Chouta Bheemavaram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.63847963034057,14.742027548864439]}"
12_0,0.04,0.08148571,0.36,0.23,5.85,0.10876428,72,8.16,88,0.262475,0.26,1,0.12558928,19,0.29940715,0.22376429,0.6289343993011537,0.51,-0.0,310,346,2024-03-23,SPSR NELLORE,87,2024-06-30T00:00:00,8.26,1.8750467,409,386,281,268,2.7802885,2023-07-01T00:00:00,30.754914285714285,Kaluvoya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.43150778887943,14.507297765124008]}"
13_0,0.46,0.1081127,0.73,0.3,6.5,0.12948413,247,8.6,163,0.33100158,0.48,20,0.13409683,61,0.27496508,0.18480635,-1.0318629907533319,0.03,45.898983,319,342,2024-05-31,SPSR NELLORE,30,2024-06-30T00:00:00,8.3,2.2775426,354,344,327,315,1.3325042,2023-07-01T00:00:00,30.7712,Kalichedu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.75031988321345,14.280113829770182]}"
14_0,0.42,0.13593167,0.55,1.3,6.12,0.16149166,33,3.44,113,0.2972375,0.21,32,0.18968166,35,0.34966582,0.27974334,-1.4813475115510695,0.272,152.69244,320,349,2024-02-22,SPSR NELLORE,44,2024-06-30T00:00:00,8.6,2.2826457,358,341,323,310,4.167902,2023-07-01T00:00:00,30.92088888888889,Thoderu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.76864551500948,14.437768162133157]}"
15_0,0.27,0.13668148,0.84,0.3,2.4,0.16627038,143,0.08,50,0.32482222,0.52,25,0.19165926,35,0.37425184,0.28874075,0.022284591495328136,0.28,180.0,363,391,2024-06-01,SPSR NELLORE,94,2024-06-30T00:00:00,8.1,2.001115,415,392,222,217,0.92740995,2023-07-01T00:00:00,30.749642857142856,Chunchulur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.29056212080107,14.622641447604954]}"
16_0,0.04,0.14444445,0.24,0.6,5.02,0.1596963,85,4.4,125,0.34037408,0.99,23,0.15771481,31,0.28084445,0.20837407,-1.1086517356850303,0.27,270.0,325,362,2024-05-20,SPSR NELLORE,65,2024-06-30T00:00:00,8.4,1.7713364,393,371,282,267,2.8723378,2023-07-01T00:00:00,30.812529411764693,Kotitheertham,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.48432872758565,14.556076285051697]}"
17_0,0.11,0.08589032,0.11,0.4,8.4,0.12124678,293,3.1,88,0.32747096,0.25,14,0.12604678,90,0.2922145,0.19161451,2.1113861989152776,0.41,-0.0,288,320,2024-05-17,SPSR NELLORE,8,2024-06-30T00:00:00,7.1,1.9418505,356,335,356,345,0.0,2023-07-01T00:00:00,30.610526315789475,Ramayapatnam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.03194172478491,15.064882061976995]}"
18_0,0.04,0.13104917,0.19,0.5,12.4,0.15004916,78,3.5,63,0.27747583,0.51,9,0.16296583,68,0.29901168,0.23128833,0.36785687995261673,0.74,283.6087,309,339,2024-03-01,SPSR NELLORE,48,2024-06-30T00:00:00,8.1,2.055313,365,350,327,311,3.935707,2023-07-01T00:00:00,30.885166666666667,Althurthi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.68806663402397,14.454746321003016]}"
