system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1.19,0.09562334,0.08,0.04,4.64,0.11146667,370,3.05,351,0.26094,0.65,22,0.109463334,9,0.25080666,0.18015,-1.0278299650793752,0.35,45.821796,314,328,2024-04-28,TIRUPATI,573,2024-06-30T00:00:00,7.4,2.5013847,410,398,276,274,1.3306563,2023-07-01T00:00:00,30.5125945945946,AMMAVARIPETA,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.14961645272273,13.659198305386766]}"
1_0,10.3,0.13465658,1.55,0.24,30.2,0.14971973,224,4.94,138,0.32967237,0.21,23,0.14054474,19,0.29866973,0.23167895,-1.0737054640897874,0.26,-0.0,345,341,2024-05-28,TIRUPATI,10,2024-06-30T00:00:00,6.7,2.342763,348,354,308,305,2.7802885,2023-07-01T00:00:00,30.573631578947367,AMMAVARIPETA,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.08934407144015,14.02328549004041]}"
2_0,2.78,0.096465625,0,0.07,1.57,0.11396875,168,4.17,376,0.27028126,0.75,49,0.11435,9,0.23318437,0.159325,-2.304840406313401,0.8,270.0,313,331,2024-04-28,TIRUPATI,556,2024-06-30T00:00:00,8.1,2.5013847,412,403,275,266,4.7614555,2023-07-01T00:00:00,30.519783783783783,AMMAVARIPETA,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.1194330591763,13.660006789142475]}"
3_0,8.73,0.088063076,1.09,0.08,16.2,0.10794616,134,33.7,326,0.25876307,0.61,3,0.12520769,19,0.31376,0.21102154,-1.4786566264223322,1.27,152.74512,361,389,2024-04-22,TIRUPATI,61,2024-06-30T00:00:00,7.9,2.1305337,388,373,252,237,2.0857234,2023-07-01T00:00:00,30.854687500000004,AMMAVARIPETA,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.73361121892881,13.925997944770264]}"
4_0,11.5,0.11215224,1.32,0.05,23.9,0.12976119,146,5.62,176,0.19151343,0.28,11,0.14373283,22,0.25567314,0.19810298,-1.722679485333189,0.27,225.85437,335,369,2024-04-22,TIRUPATI,66,2024-06-30T00:00:00,6.4,2.140745,390,368,275,263,2.6614342,2023-07-01T00:00:00,30.770060606060607,AMMAVARIPETA,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.69480399865486,13.924650471844085]}"
5_0,3.18,0.081842855,3.16,0.18,20.14,0.10100286,258,17.83,125,0.2912057,0.2,9,0.09682286,15,0.27464285,0.18443428,-0.667364332601508,2.24,-0.0,306,320,2024-03-30,TIRUPATI,30,2024-06-30T00:00:00,6.5,2.4168482,374,355,320,325,0.92740995,2023-07-01T00:00:00,30.832571428571423,AMMAVARIPETA,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.94570345750944,13.816313648579271]}"
6_0,2.78,0.10815625,1.09,0.16,2.73,0.13142501,470,9.82,188,0.30912343,0.31,22,0.123759374,15,0.28873125,0.21534374,-1.029862819043034,0.72,134.13925,331,373,2024-04-15,TIRUPATI,60,2024-06-30T00:00:00,7,1.9944739,369,353,300,275,1.331588,2023-07-01T00:00:00,30.617783783783775,BANGARUPETA,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.59077908875382,13.976123937624134]}"
7_0,2.38,0.094632305,1.28,0.18,2.18,0.12264923,605,8.14,151,0.31514,0.24,80,0.13057077,12,0.2749154,0.19324769,-0.6679753249524888,0.51,-0.0,337,366,2024-04-15,TIRUPATI,64,2024-06-30T00:00:00,7.2,2.0395038,385,370,278,264,0.92740995,2023-07-01T00:00:00,30.711235294117653,BOPPAPURAM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.6034453342599,13.961032240850926]}"
8_0,1.19,0.06413433,0.74,0.1,14.33,0.08858955,370,10.53,288,0.30138358,0.52,82,0.091380596,44,0.27368358,0.18859552,-2.1719838364225743,1.53,332.7416,338,364,2024-04-12,TIRUPATI,73,2024-06-30T00:00:00,7.3,1.9944739,378,365,284,271,4.1660643,2023-07-01T00:00:00,30.79638709677419,Lalapeta,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.5702975002759,13.96076274626569]}"
9_0,2.38,0.10760156,1.84,0.15,26.24,0.13711406,347,17.28,213,0.29763436,0.36,22,0.15090781,15,0.3296281,0.2463078,-1.4789059966220068,0.52,27.259768,354,384,2024-04-15,TIRUPATI,60,2024-06-30T00:00:00,5.1,2.0395038,372,359,274,257,2.085815,2023-07-01T00:00:00,30.659135135135145,VENKATAGIRI TOWN (U),"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.61206916098745,13.974506970112719]}"
