system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.096,0.0794377,0.464,0.12,0.89,0.10042295,419,11.52,226,0.24006312,0.39,64,0.10561803,9,0.20490819,0.15747623,-2.1315749068785617,0.146,134.08002,344,344,2023-11-16,Y.S.R.,173,2024-06-30T00:00:00,8.25,1.6176405,406,401,250,255,3.9932685,2023-07-01T00:00:00,31.04427777777778,Vellatur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.64081067579743,14.444236032178818]}"
1_0,0.928,0.1167375,1.362,0.43,5.22,0.1405125,554,2.434,188,0.27330625,0.19,32,0.16205625,4,0.2811125,0.2117375,-1.5039827916545816,0.718,295.79422,324,339,2023-11-18,Y.S.R.,187,2024-06-30T00:00:00,8.69,1.6348231,417,406,259,255,2.1304932,2023-07-01T00:00:00,30.822066666666668,Mudumala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.87311500827073,14.85252032881114]}"
2_0,0.192,0.10498033,0.464,0.2,2.234,0.1337082,405,7.786,188,0.29902786,0.15,18,0.15253033,10,0.31222704,0.23175983,-0.3827252889992242,0.076,332.6926,342,339,2023-11-21,Y.S.R.,152,2024-06-30T00:00:00,7.7,1.7203147,374,372,284,290,2.0867088,2023-07-01T00:00:00,31.102258064516125,Chinthakommadinne (Part),"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.79496157855233,14.436420689206978]}"
3_0,0.48,0.062660314,1.382,0.35,7.336,0.08703016,392,7.336,150,0.2523,0.42,32,0.084415875,14,0.19016032,0.1239619,4.209765388362785,2.058,152.77379,373,379,2023-09-28,Y.S.R.,557,2024-06-30T00:00:00,7.56,2.0797231,405,398,223,223,2.0851865,2023-07-01T00:00:00,30.794222222222224,Agraharam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.69120616323653,13.638986211494078]}"
4_0,0.608,0.14696307,0.014,0.22,3.014,0.17151077,506,0,263,0.24060154,0.23,27,0.19579692,30,0.3135354,0.28440616,-0.39587029117344696,0.158,244.08647,322,337,2023-09-24,Y.S.R.,646,2024-06-30T00:00:00,7.84,1.528275,417,406,261,257,2.1213663,2023-07-01T00:00:00,30.7094,Ranga Samudram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.26324876188198,13.655694875778702]}"
5_0,0.416,0.092725,4.048,0.06,7.806,0.121612094,29,16.11,263,0.27811694,0.27,50,0.14374033,5,0.2972758,0.23872662,5.618726744849905,0.73,225.91902,327,327,2023-11-20,Y.S.R.,151,2024-06-30T00:00:00,8.17,1.7203147,392,390,281,283,1.3329852,2023-07-01T00:00:00,31.102914285714288,Chinthakommadinne (Part),"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.77097656046634,14.436690183792214]}"
6_0,0.224,0.10265555,0.202,0.02,1.45,0.13170952,385,4.45,128,0.27822223,0.11,46,0.1669746,5,0.38597777,0.30177143,-2.3017287192501215,1.608,191.68394,374,381,2023-10-27,Y.S.R.,147,2024-06-30T00:00:00,7.82,1.3463036,353,339,273,280,4.7248383,2023-07-01T00:00:00,31.065666666666672,Chapad,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.64027168662695,14.73151726004024]}"
7_0,0.928,0.11459355,1.692,0.3,2.754,0.14364839,209,2.172,288,0.29708064,0.03,59,0.15209678,5,0.29290646,0.21569031,1.295051526434876,0.142,90.0,345,342,2023-10-26,Y.S.R.,177,2024-06-30T00:00:00,7.76,1.803684,402,401,253,257,4.787894,2023-07-01T00:00:00,30.78909090909091,Porumamilla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.03993215653173,14.911539642977793]}"
8_0,0.064,0.09119062,2.922,0.47,8.338,0.11630625,527,2.172,276,0.28372186,0.07,64,0.12783438,4,0.27781564,0.19597812,-1.0356051947310236,0.75,225.97054,349,344,2023-11-01,Y.S.R.,144,2024-06-30T00:00:00,8.06,1.6808937,365,361,286,295,1.3342239,2023-07-01T00:00:00,30.762222222222224,Madhavarayunipalle,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.9615092322281,14.831499751162744]}"
9_0,0.192,0.16080159,1.038,0.05,13.1,0.19547778,533,15.22,226,0.28812858,0.31,14,0.22891429,9,0.32730636,0.3020381,-0.7045338169505108,0.086,90.0,322,328,2023-11-03,Y.S.R.,174,2024-06-30T00:00:00,8.05,1.2428602,413,402,265,270,0.9588108,2023-07-01T00:00:00,30.738060606060614,Kalamalla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.46860363583171,14.705376285272362]}"
