system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,4.715,0.08564839,1.92,0.0658,32.43,0.11398387,234.2,0.01,560,0.3070903,0.89,12.694,0.10940322,32.75,0.25924838,0.16188064,-0.18975339633286623,0,90.0,323,328,2024-03-20,LOHIT,154,2024-06-30T00:00:00,5.55,8.066366,398,392,279,280,2.0973744,2023-07-01T00:00:00,29.889945945945936,20th Mile Chailiang,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.95017839091125,27.86695283902112]}"
2_0,15.334,0.078182146,2.93,0.0663,15.93,0.091539286,249,0.01,229,0.14641428,0.14,20.61,0.101257145,29.8,0.21053572,0.18592857,-0.8974673390497437,2.1,209.47308,297,326,2024-03-21,LOHIT,326,2024-06-30T00:00:00,5.58,6.908219,432,406,271,268,2.129744,2023-07-01T00:00:00,29.913621621621623,Gundri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.33286070194616,27.783409517598006]}"
3_0,12.822,0.044524,1.85,0.1204,14.59,0.068886,339.6,0.01,269,0.28561,0.2,25.12,0.054256,30.95,0.226552,0.140394,0.1265567324881855,3.7,228.54189,323,334,2024-03-21,LOHIT,257,2024-06-30T00:00:00,5.71,6.8064733,375,364,302,302,4.195159,2023-07-01T00:00:00,30.022342857142856,Khoraliang,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.17870979919125,27.941872333716688]}"
4_0,14.112,0.074282,1.84,0.065,14.01,0.095764,156,0.01,414,0.256218,0.39,25.837,0.092662,30.3,0.246378,0.182558,-2.4629006691968707,5.3,155.64177,342,350,2024-03-26,LOHIT,266,2024-06-30T00:00:00,5.74,6.593824,417,408,241,242,5.0772643,2023-07-01T00:00:00,29.954222222222217,Chanliang,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.22021196531757,27.931631539477728]}"
5_0,11.763,0.060820002,3.97,0.1244,15.52,0.09493333,36.6,0.01,246,0.33934,0.17,12.485,0.06869,26.575,0.231,0.14083,-0.7595734843827421,4.1,-0.0,321,322,2024-03-20,LOHIT,152,2024-06-30T00:00:00,6.34,8.066366,397,394,282,283,0.92740995,2023-07-01T00:00:00,29.951135135135136,Hati Duba,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.95152586383743,27.858868001464046]}"
6_0,8.647,0.05712,1.27,0.0461,12.82,0.078764,117.2,0.01,266,0.242522,0.19,15.92,0.0723,28.725,0.221652,0.163114,1.2322805187388748,0,102.45625,312,323,2024-03-20,LOHIT,219,2024-06-30T00:00:00,5.66,6.8064733,403,393,284,284,4.2919827,2023-07-01T00:00:00,30.017828571428577,Telluliang(Old),"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.15472478110526,27.923277207335413]}"
7_0,12.932,0.101708,2.87,0.1145,26.97,0.124556,0,0.01,560,0.27306,0.89,12.903,0.120732,30.625,0.258282,0.208626,-3.1185403258459745,3.5,311.4595,324,338,2024-03-20,LOHIT,251,2024-06-30T00:00:00,5.42,6.8064733,400,387,276,275,9.711871,2023-07-01T00:00:00,30.05091428571429,Khoraliang,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.17709283167984,27.936751936597208]}"
8_0,15.334,0.036207408,2.93,0.0663,15.93,0.053440742,249,0.01,476,0.4512222,0.34,20.61,0.030481482,29.8,0.20988518,0.09367407,-3.2123879996489944,2.1,351.60986,273,307,2024-03-21,LOHIT,383,2024-06-30T00:00:00,5.58,6.8004074,428,406,299,287,20.623657,2023-07-01T00:00:00,29.82832432432432,Gundri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.33636413155423,27.82787612416192]}"
10_0,8.862,0.06136,1.85,0.0266,9.09,0.080591425,0,0.01,134,0.28388095,0.4,12.396,0.06551619,30.3,0.21562095,0.13371809,-1.453157933448694,3.6,180.0,322,325,2024-03-21,LOHIT,190,2024-06-30T00:00:00,5.67,7.5973706,390,386,288,288,1.8543341,2023-07-01T00:00:00,30.011200000000002,Danglat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.09193254274531,27.907107532221264]}"
11_0,21.173,0.045758,2.68,0.0734,28.09,0.06923,564.9,0.01,269,0.283976,0.2,22.372,0.056024,29.3,0.21724801,0.143802,-2.3950297116968633,3.2,192.75955,295,312,2024-03-20,LOHIT,287,2024-06-30T00:00:00,5.4,6.6641703,393,382,312,306,4.7440033,2023-07-01T00:00:00,30.012181818181823,Pomiliang,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.16712153202612,27.97043875975169]}"
12_0,4.34,0.08282381,1.89,0.0263,28.64,0.10002095,192.3,0.01,318,0.26312,0.27,15.054,0.09262381,29.8,0.23271619,0.16354953,-1.8662009991316635,0,145.81815,316,325,2024-03-18,LOHIT,218,2024-06-30T00:00:00,5.98,6.912279,393,384,291,291,5.5880246,2023-07-01T00:00:00,30.060176470588242,34th Mile,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.13451268721258,27.935673958256263]}"
14_0,15.334,0.036207408,2.93,0.0663,15.93,0.053440742,249,0.01,264,0.4512222,0.2,20.61,0.030481482,29.8,0.20988518,0.09367407,-3.2123879996489944,2.1,351.60986,273,307,2024-03-21,LOHIT,383,2024-06-30T00:00:00,5.58,6.8004074,428,406,299,287,20.623657,2023-07-01T00:00:00,29.82832432432432,Gundri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.33636413155423,27.82787612416192]}"
15_0,9.834,0.07145524,1.85,0.0897,9.09,0.10100286,0,0.01,98,0.36013427,0.2,12.664,0.07548667,29.675,0.24129619,0.14654952,-2.184827036590983,3.6,195.79652,313,312,2024-03-21,LOHIT,191,2024-06-30T00:00:00,5.74,7.5973706,401,400,286,288,3.8497672,2023-07-01T00:00:00,30.021085714285714,Danglat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.08492568352918,27.909802478073622]}"
16_0,6.572,0.029844444,2.29,0.0329,9.34,0.04701111,215.4,0.01,212,0.22431481,0.11,24.075,0.031355556,29.05,0.1606,0.086207405,6.706443200263503,4.6,131.50015,347,361,2024-03-21,LOHIT,257,2024-06-30T00:00:00,6.25,7.0045276,376,362,277,278,2.7972322,2023-07-01T00:00:00,30.033828571428575,Kamlang Nagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.25821070183584,27.78179255008659]}"
18_0,7.818,0.064796664,3.75,0.0597,13.91,0.095296666,37.4,0.01,361,0.34530333,0.32,18.489,0.07108,29,0.23056333,0.13663666,-1.1715229546590704,5,228.52007,321,322,2024-03-21,LOHIT,152,2024-06-30T00:00:00,6.01,8.066366,397,394,282,283,1.4000083,2023-07-01T00:00:00,29.951135135135136,Hati Duba,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.95179535842266,27.858868001464046]}"
19_0,9.288,0.04119,1.85,0.0633,9.09,0.07077,19.2,0.01,301,0.313576,0.25,16.697,0.04753,26.4,0.21984,0.120758,1.0407148148151408,3.6,113.82298,284,301,2024-03-26,LOHIT,348,2024-06-30T00:00:00,5.02,6.6641703,417,403,299,296,4.5827384,2023-07-01T00:00:00,29.983764705882354,Loiliang,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.18841160425974,27.985799951110135]}"
20_0,0.001,0.063512,2.5,0.0544,11.31,0.07715,0,0.01,286,0.201662,0.23,30.318,0.07452,26.675,0.224678,0.16463201,-1.1730511143089941,4.6,311.4518,301,314,2024-03-20,LOHIT,272,2024-06-30T00:00:00,5.36,6.6641703,383,372,316,314,2.7998986,2023-07-01T00:00:00,30.006882352941176,Pomiliang,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.16146214573617,27.96585735180268]}"
21_0,3.683,0.058286,3.76,0.0956,17.21,0.090026,62.4,0.01,347,0.315318,0.31,16.876,0.076826,27.6,0.253358,0.1667,-0.9857478122399101,1.9,217.0406,294,307,2024-03-20,LOHIT,271,2024-06-30T00:00:00,6.62,6.593824,404,391,302,302,3.4816043,2023-07-01T00:00:00,29.94255555555556,Tafragam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.20242532269201,27.94564525790999]}"
22_0,0.45,0.047256,5.57,0.0474,11.14,0.07,189.7,0.01,483,0.254524,0.48,23.447,0.061386,31.178,0.213882,0.14531,-2.1676840562162423,7.8,255.83238,336,343,2024-03-26,LOHIT,261,2024-06-30T00:00:00,5.79,6.593824,416,407,248,250,7.535052,2023-07-01T00:00:00,29.954222222222217,Chanliang,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.22021196531757,27.928667099040133]}"
