system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.99,0.06862857,23.3,0.06,14.4,0.093266666,278.5,243.2,247.1,0.1963619,0.89,39.55,0.10764762,39.9,0.21070953,0.1675,-3.098066540408991,5.1,344.2466,293,310,2024-03-06,LOWER SUBANSIRI,1307,2024-06-30T00:00:00,5.29,4.385792,324,318,383,372,18.592451,2023-07-01T00:00:00,29.299055555555565,Deed,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.67860853195822,27.59638027544432]}"
1_0,0.98,0.021295238,11,0.05,17.6,0.04037143,275.5,178,245.3,0.3022762,0.76,37.77,0.0248,40.2,0.16188571,0.07178095,-2.4391907767208556,4.78,105.09457,288,305,2024-03-14,LOWER SUBANSIRI,1180,2024-06-30T00:00:00,5.16,4.385792,317,313,395,382,23.515474,2023-07-01T00:00:00,29.28533333333333,Deed,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.66782874854879,27.597997242955735]}"
2_0,1.67,0.044765,19,0.09,14.5,0.06062,279.4,198,248.7,0.308145,0.76,38.23,0.0482,39.7,0.19143,0.104225,-2.9638932618978693,5.12,96.320206,294,306,2024-03-13,LOWER SUBANSIRI,1492,2024-06-30T00:00:00,5.17,3.9693484,325,319,380,375,8.365285,2023-07-01T00:00:00,29.246687499999997,Dem - III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.64896412758227,27.617131358507482]}"
3_0,0.98,0.025247619,19,0.08,12.5,0.041561905,269.9,209.9,239.9,0.21478096,0.79,39.91,0.0362,38.9,0.1613,0.085276194,0.6462412053994793,6.01,61.997986,292,309,2024-03-09,LOWER SUBANSIRI,1283,2024-06-30T00:00:00,5.22,4.385792,327,317,382,375,5.9054265,2023-07-01T00:00:00,29.299055555555565,Deed,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.67726105903203,27.593415835006727]}"
5_0,1.56,0.032371428,13,0.08,16.6,0.051195238,280.1,198,245.8,0.2619286,0.79,39.56,0.046814285,31.5,0.19130476,0.1043,-0.7572530082610026,5.45,-0.0,305,328,2024-03-14,LOWER SUBANSIRI,1387,2024-06-30T00:00:00,5.78,4.1696563,323,311,372,361,0.92740995,2023-07-01T00:00:00,29.25929729729729,Deed,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.68965780995289,27.60230915631951]}"
6_0,1.89,0.017628571,18,0.07,17.7,0.027795238,275.5,197,246.7,0.20443334,0.75,37.99,0.017942857,41.7,0.11383333,0.04937143,-1.687931079491257,5.66,235.71834,303,327,2024-03-14,LOWER SUBANSIRI,1419,2024-06-30T00:00:00,5.21,4.1696563,332,320,365,353,16.034307,2023-07-01T00:00:00,29.25929729729729,Deed,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.69235275580525,27.601770167149038]}"
7_0,1.49,0.029361904,15,0.06,18.5,0.03818095,276.6,160,249.1,0.21325715,0.77,39.11,0.022904761,42.3,0.10340476,0.05079524,-3.3765460071750235,6.23,307.37924,311,323,2024-03-14,LOWER SUBANSIRI,1527,2024-06-30T00:00:00,5.2,4.385792,333,327,356,351,33.68803,2023-07-01T00:00:00,29.21064864864865,Deed,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.69558669082808,27.5977277483705]}"
8_0,2,0.03131905,19,0.06,18.4,0.046785716,279,198,252.9,0.21438095,0.74,39.47,0.04775238,32.2,0.19715714,0.11418571,-1.5652828276534723,4.89,339.3876,298,320,2024-03-14,LOWER SUBANSIRI,1311,2024-06-30T00:00:00,5.34,4.385792,330,320,372,361,19.960697,2023-07-01T00:00:00,29.285729729729734,Deed,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.68642387493006,27.59584128627385]}"
9_0,1.98,0.06204762,21,0.06,15.4,0.08522381,278.5,210,243.7,0.23174286,0.71,38.36,0.09216667,37.8,0.23809999,0.18180001,-2.502871841643765,5.89,259.94888,293,310,2024-03-14,LOWER SUBANSIRI,1301,2024-06-30T00:00:00,5.45,4.385792,325,319,383,372,5.29916,2023-07-01T00:00:00,29.299055555555565,Deed,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.67645257527633,27.596110780859085]}"
11_0,1.36,0.04837143,15,0.06,18.9,0.07577619,272.1,189.4,251.1,0.25570476,0.77,38.55,0.07992857,39.8,0.22372381,0.14684285,-2.611853702274416,5.34,61.997868,292,309,2024-03-09,LOWER SUBANSIRI,1306,2024-06-30T00:00:00,5.32,4.385792,327,317,382,375,5.905403,2023-07-01T00:00:00,29.299055555555565,Deed,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.67672206986157,27.592876845836255]}"
