system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.02,0.08128065,0.627,0.35,13.62,0.10041936,218.4,4.693,565.1,0.2427484,0.95,27.9,0.097474195,34.31,0.2133516,0.14752904,3.8108530744497786,0.82,48.15973,263,265,2024-05-26,BARPETA,45,2024-06-30T00:00:00,6.3,5.132703,403,398,334,337,1.390151,2023-07-01T00:00:00,29.96988571428572,Ghilajari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.95213181312705,26.444290923561034]}"
1_0,0.04,0.11010323,1.649,0.42,15.64,0.12729678,141.54000000000002,5.018,561.3,0.23876129,0.9,36.064,0.115006454,40.392,0.1817613,0.13242903,0.4595036720714809,1.38,48.12182,295,296,2024-05-16,BARPETA,41,2024-06-30T00:00:00,5.6,4.8702908,357,346,348,358,1.3891251,2023-07-01T00:00:00,29.978894736842108,Pathlikuchi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.95078434020087,26.290140020806124]}"
2_0,0.01,0.11641613,1.37,0.11,17,0.12688386,233.24,6.362,542,0.23284839,0.71,36.67,0.11950322,30.09,0.2229,0.18248065,-0.7465653920728753,1.22,180.0,268,271,2024-05-19,BARPETA,44,2024-06-30T00:00:00,5.22,5.3207617,386,374,346,354,0.92740995,2023-07-01T00:00:00,29.978270270270276,Kumulli Para (Kumulia Para),"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.93569264342767,26.380959696030608]}"
3_0,0.03,0.13159688,1.984,0.09,8.68,0.15104376,189.28,5.804,553.8,0.23147188,0.8,39.368,0.156725,31.32,0.26337188,0.23106563,-1.5502988395621284,0.77,90.0,280,286,2024-05-18,BARPETA,45,2024-06-30T00:00:00,6.4,5.786823,402,396,318,318,2.0703511,2023-07-01T00:00:00,30.033714285714282,Haldia Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.86858849170395,26.416263486696504]}"
4_0,0.02,0.09090185,1.175,0.23,17.15,0.10660741,178.64,4.548,510,0.18995,0.55,36.68,0.09674445,43.416,0.14551851,0.10685926,-1.574243916556909,0.52,330.85425,264,276,2024-05-25,BARPETA,41,2024-06-30T00:00:00,5.6,4.937867,362,353,375,372,2.122931,2023-07-01T00:00:00,29.992117647058823,Batikuriha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.08283668696644,26.280438215737632]}"
5_0,0.02,0.09039678,1.354,0.33,12.73,0.10101613,183.46,7.153,554.533,0.18604839,0.81,31.59,0.08974839,38.2,0.15383871,0.11303226,-1.5496807786704268,1.91,90.0,268,271,2024-05-19,BARPETA,44,2024-06-30T00:00:00,5.33,5.3207617,386,374,346,354,2.069709,2023-07-01T00:00:00,29.978270270270276,Kumulli Para (Kumulia Para),"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.93515365425719,26.380690201445372]}"
6_0,0.06,0.08203548,1.182,0.07,16.86,0.09920967,246.18,5.631,550.7555,0.2367871,0.76,25.89,0.09026129,29.25,0.17783548,0.11904839,-1.1511402334165257,1.25,48.144028,280,283,2024-05-19,BARPETA,42,2024-06-30T00:00:00,5.52,5.3207617,371,361,349,357,1.3897258,2023-07-01T00:00:00,29.978270270270276,Kumulli Para (Kumulia Para),"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.93326719216054,26.380690201445372]}"
7_0,0.03,0.090567745,1.948,0.03,9.02,0.10371935,230.84,3.481,553.022,0.2258387,0.79,22.7,0.09046452,32.02,0.18517096,0.12827097,-1.8442479138166015,1.86,131.85666,263,267,2024-05-19,BARPETA,43,2024-06-30T00:00:00,5.36,5.3207617,392,382,346,351,2.7777815,2023-07-01T00:00:00,29.97183783783784,Kumulli Para (Kumulia Para),"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.93434517050149,26.377725761007778]}"
8_0,0.06,0.118486665,1.483,0.14,11.18,0.13608667,135.51999999999998,7.902,520,0.24055,0.6,30.800000000000004,0.13090333,35.424,0.24186666,0.19808666,-1.9091250857040547,0.54,159.6056,291,295,2024-05-15,BARPETA,46,2024-06-30T00:00:00,5.7,4.9625545,361,349,347,357,2.9659016,2023-07-01T00:00:00,29.978894736842108,Bhograndha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.94916737268946,26.28852305329471]}"
9_0,0.01,0.1044125,1.695,0.18,19.02,0.116119646,255.99,7.747,534,0.24963215,0.67,28.09,0.11623214,29.7,0.22358215,0.17461428,-0.8565660197264049,1.08,90.0,277,280,2024-05-25,BARPETA,44,2024-06-30T00:00:00,7.9,5.1020007,365,357,358,363,1.0352122,2023-07-01T00:00:00,30.006117647058826,Chakir Bhitha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.06208560390328,26.382846158127258]}"
