system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.06,0.11049851,0.908,0.2,18.81,0.13108657,110.88,2.989,530,0.2919403,0.65,34.89,0.12664926,29.376,0.2642403,0.18862388,-1.8422999833696923,1.89,48.107307,298,306,2024-05-11,DHUBRI,39,2024-06-30T00:00:00,6.5,7.510912,442,436,260,258,2.7758362,2023-07-01T00:00:00,30.056171428571425,Baloker Khal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.33660618044836,26.231120706639473]}"
1_0,0.01,0.050988134,0.665,0.09,18.06,0.06684068,146.72,2.528,561.3,0.2482678,0.9,28.476000000000003,0.055428814,45.144,0.17462035,0.10647797,0.24256014446011637,0.91,170.96739,288,299,2024-05-28,DHUBRI,27,2024-06-30T00:00:00,6.6,5.964025,426,423,286,278,6.545337,2023-07-01T00:00:00,29.952947368421054,Borbila Pt.I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.91862007874755,26.018219984303144]}"
2_0,0.05,0.050988134,1.544,0.03,9.27,0.06684068,87.12,1.767,530,0.2482678,0.65,39.76,0.055428814,37.8,0.17462035,0.10647797,0.24256014446011637,1.96,170.96739,288,299,2024-05-28,DHUBRI,27,2024-06-30T00:00:00,4.6,5.964025,426,423,286,278,6.545337,2023-07-01T00:00:00,29.952947368421054,Borbila Pt.I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.91862007874755,26.018219984303144]}"
3_0,0.05,0.050988134,0.822,0.1,19.86,0.06684068,243.04,4.039,557.6,0.2482678,0.85,37.128,0.055428814,48.384,0.17462035,0.10647797,0.24256014446011637,1.16,170.96739,288,299,2024-05-28,DHUBRI,27,2024-06-30T00:00:00,4.9,5.964025,426,423,286,278,6.545337,2023-07-01T00:00:00,29.952947368421054,Borbila Pt.I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.91862007874755,26.018219984303144]}"
4_0,0.02,0.05929322,1.777,0.12,8.36,0.072462715,172.48,2.505,530,0.22278982,0.65,26.928,0.064,46.656,0.1770356,0.12005085,1.0378820594925338,1.59,200.35114,288,299,2024-05-28,DHUBRI,30,2024-06-30T00:00:00,7.2,5.964025,426,423,286,278,2.9650714,2023-07-01T00:00:00,29.952947368421054,Borbila Pt.I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.91862007874755,26.01848947888838]}"
5_0,0.04,0.058542375,1.366,0.12,14.53,0.0805322,172.48,6.669,520,0.26693898,0.6,34.944,0.06815424,40.608,0.18431187,0.118633896,0.20097198929351004,1.03,180.0,288,299,2024-05-28,DHUBRI,27,2024-06-30T00:00:00,7.3,5.964025,426,423,286,278,6.464861,2023-07-01T00:00:00,29.952947368421054,Borbila Pt.I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.91888957333278,26.018219984303144]}"
6_0,0.05,0.06525172,1.24,0.16,12.15,0.09454138,164.64,5.683,557.6,0.2675345,0.85,26.784,0.07935517,39.528,0.16703103,0.1123,1.4537504615826187,0.61,-0.0,286,297,2024-05-28,DHUBRI,26,2024-06-30T00:00:00,7.3,5.964025,424,420,290,283,0.92740995,2023-07-01T00:00:00,29.97431578947369,Borbila Pt.I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.91511664913948,26.01525554386555]}"
7_0,0.04,0.06525172,0.991,0.2,12.02,0.09454138,238.56,2.49,500,0.2675345,0.5,27.288,0.07935517,49.032,0.16703103,0.1123,1.4537504615826187,0.77,-0.0,286,297,2024-05-28,DHUBRI,26,2024-06-30T00:00:00,7.2,5.964025,424,420,290,283,0.92740995,2023-07-01T00:00:00,29.97431578947369,Borbila Pt.I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.91511664913948,26.01525554386555]}"
8_0,0.05,0.06525172,1.2,0.13,17.51,0.09454138,157.92,2.681,530,0.2675345,0.65,33.096,0.07935517,44.064,0.16703103,0.1123,1.4537504615826187,0.89,-0.0,286,297,2024-05-28,DHUBRI,26,2024-06-30T00:00:00,6.6,5.964025,424,420,290,283,0.92740995,2023-07-01T00:00:00,29.97431578947369,Borbila Pt.I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.91511664913948,26.01525554386555]}"
9_0,0.05,0.08539322,0.834,0.12,15.84,0.11128136,174.72,4.084,530,0.27784407,0.65,32.815999999999995,0.11518305,47.952,0.2776949,0.21344069,-1.6354201194678446,2,294.19608,306,313,2024-05-28,DHUBRI,30,2024-06-30T00:00:00,7.4,5.964025,407,404,287,282,2.2617676,2023-07-01T00:00:00,30.034270270270266,Borbila Pt.I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.91996755167372,26.01606402762126]}"
