system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.03,0.10052692,1.939,0.12,14.08,0.12609616,272.59,5.663,512,0.27902693,0.56,39.66,0.1274577,30.65,0.23863462,0.17130384,-1.5590371041999378,0.66,331.15726,272,276,2024-03-09,HAILAKANDI,23,2024-06-30T00:00:00,5.37,9.939843,407,404,322,320,2.1167238,2023-07-01T00:00:00,29.977312500000004,Chandipur Pt II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.58742495633823,24.784473773093396]}"
1_0,0.03,0.11329231,1.613,0.43,11.82,0.14391923,126.04,7.356,553.8,0.30894232,0.75,38.02,0.14931539,29.96,0.28090385,0.20652692,-0.4376346066904488,0.8,312.23373,279,282,2024-03-09,HAILAKANDI,22,2024-06-30T00:00:00,4.75,9.939843,406,404,315,314,1.3796065,2023-07-01T00:00:00,29.963999999999995,Chandipur Pt II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.59739625599195,24.79444507274712]}"
2_0,0.06,0.07555,1.721,0.37,16.76,0.09324231,294.57,3.677,554.533,0.2662077,0.81,20.74,0.08188077,38,0.18691154,0.12153077,-1.5595193530284361,1.07,28.852303,277,273,2024-03-09,HAILAKANDI,22,2024-06-30T00:00:00,5.89,10.090159,431,432,292,294,2.116918,2023-07-01T00:00:00,29.979393939393944,Bakri Howar Pt II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.60116918018527,24.833252293021083]}"
3_0,0.06,0.07555,1.636,0.07,16.77,0.09324231,162.39999999999998,6.348,561.3,0.2662077,0.9,17.664,0.08188077,24.192,0.18691154,0.12153077,-1.5595193530284361,1.45,28.852303,277,273,2024-03-09,HAILAKANDI,22,2024-06-30T00:00:00,4.74,10.090159,431,432,292,294,2.116918,2023-07-01T00:00:00,29.979393939393944,Bakri Howar Pt II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.60116918018527,24.833252293021083]}"
4_0,0.02,0.10745185,0.931,0.61,10.53,0.13906296,222.74,6.742,559.8215,0.29096666,0.88,18.61,0.13754074,37.56,0.28407037,0.20287777,-1.895630747778765,1.78,159.83342,270,271,2024-03-14,HAILAKANDI,16,2024-06-30T00:00:00,5.65,9.89028,432,431,298,299,2.9615548,2023-07-01T00:00:00,29.991878787878786,Uttar Kanchanpur Pt I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.5992827180886,24.82328099336736]}"
5_0,0.02,0.07555,1.962,0.02,14.68,0.09324231,125.42,6,561.3,0.2662077,0.94,28.43,0.08188077,39.72,0.18691154,0.12153077,-1.5595193530284361,0.91,28.852303,277,273,2024-03-09,HAILAKANDI,22,2024-06-30T00:00:00,4.43,10.090159,431,432,292,294,2.116918,2023-07-01T00:00:00,29.979393939393944,Bakri Howar Pt II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.60116918018527,24.833252293021083]}"
6_0,0.04,0.092876926,1.608,0.61,8.14,0.11545,127.99,6.187,540,0.31405383,0.7,16.77,0.11052692,39.46,0.27713078,0.18750769,-2.9346035005535342,1.3,282.7881,274,275,2024-03-09,HAILAKANDI,28,2024-06-30T00:00:00,4.77,9.939843,405,405,321,320,8.321461,2023-07-01T00:00:00,29.996545454545455,Chandipur Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.58499950507111,24.78285680558198]}"
7_0,0.05,0.06699286,1.09,0.1,9.95,0.089410715,178.07999999999998,3.6,562.8,0.321825,0.92,30.464,0.07037857,45.576,0.19771786,0.11907143,-2.666088601526801,0.82,286.8337,278,271,2024-03-13,HAILAKANDI,33,2024-06-30T00:00:00,4.19,9.89028,430,432,292,297,6.378947,2023-07-01T00:00:00,29.940545454545457,Dholidahar Grant,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.57314174332073,24.81330969371363]}"
8_0,0.03,0.06699286,0.536,0.05,16.69,0.089410715,176.96,3.843,561.3,0.321825,0.9,26.368,0.07037857,47.952,0.19771786,0.11907143,-2.666088601526801,1.42,286.8337,278,271,2024-03-13,HAILAKANDI,33,2024-06-30T00:00:00,5.63,9.89028,430,432,292,297,6.378947,2023-07-01T00:00:00,29.940545454545457,Dholidahar Grant,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.57314174332073,24.81330969371363]}"
9_0,0.02,0.0958,1.105,0.58,18.01,0.118783996,168.84,2.7,553.8,0.28042,0.76,19.52,0.114596,30.82,0.23272,0.157172,-1.894490664732834,0.99,159.8526,281,302,2024-03-13,HAILAKANDI,23,2024-06-30T00:00:00,4.88,9.889506,379,365,340,333,2.9611914,2023-07-01T00:00:00,30.041823529411765,Ratanpur Pt I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.63782044377734,24.694732076209853]}"
10_0,0.02,0.08778,1.9,0.05,18.85,0.103868,288.3,2.7,554.5,0.333528,0.81,38.656,0.08528,44.064,0.219996,0.135448,-1.1294188043107656,0.97,227.74084,290,300,2024-03-13,HAILAKANDI,25,2024-06-30T00:00:00,5.19,9.889506,384,377,326,323,1.3789331,2023-07-01T00:00:00,30.005,Ratanpur Pt I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.61410492027659,24.683682798215184]}"
11_0,0.04,0.10484444,1.282,0.05,16.06,0.12728518,160.16,5.538,565.1,0.26011482,0.95,47.36,0.12957408,28.512,0.24472222,0.17993703,-1.6735803418124413,1.94,167.57492,270,272,2024-03-09,HAILAKANDI,25,2024-06-30T00:00:00,5.5,9.89028,412,411,319,317,4.7378488,2023-07-01T00:00:00,29.97412121212121,Chandipur Pt I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.58985040760535,24.802799404889434]}"
12_0,0.05,0.106505714,1.738,0.05,14.84,0.13012286,171.36,3.42,530,0.18141143,0.65,39.944,0.123974286,32.616,0.13836858,0.101097144,-0.43678021196417877,0.97,132.2498,263,260,2024-03-14,HAILAKANDI,24,2024-06-30T00:00:00,4.33,9.368446,415,416,323,323,2.756765,2023-07-01T00:00:00,30.015454545454546,Sibuttar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.5383769418253,24.7243764805858]}"
13_0,0.01,0.09363461,0.92,0.05,11.13,0.12161923,109.76,4.19,562.1,0.33891922,0.91,37.02,0.10366538,41.472,0.2431,0.15653461,-0.8657893599246431,1.06,331.15924,271,278,2024-03-13,HAILAKANDI,26,2024-06-30T00:00:00,4.46,9.939843,395,392,334,331,2.1166832,2023-07-01T00:00:00,29.983375000000006,Kapnarpar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.59200636428724,24.77423297885443]}"
14_0,0.05,0.0644851,1.668,0.57,13.55,0.08011276,189.51,5.092,566.621,0.27285957,0.97,34.28,0.064912766,27.73,0.16799575,0.09951915,-2.1192796586217435,0.8,180.0,239,233,2024-03-14,HAILAKANDI,47,2024-06-30T00:00:00,4.57,9.368446,424,425,337,342,3.7047918,2023-07-01T00:00:00,29.929828571428573,Balikandi Pt I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.53110058802393,24.726532437267686]}"
15_0,0.03,0.10211905,1.528,0.05,11.15,0.12064762,237.79,1.851,540,0.28705952,0.65,35.95,0.10739048,36.93,0.23115714,0.1550619,0.6618809208852534,0.92,227.74911,251,248,2024-03-14,HAILAKANDI,25,2024-06-30T00:00:00,5.48,9.368446,416,416,333,337,1.3791519,2023-07-01T00:00:00,30.015454545454546,Sibuttar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.53029210426823,24.71979507263679]}"
16_0,0.06,0.092672,0.838,0.77,13.95,0.105183996,160.12,2.256,555.2885,0.30503199,0.82,23.72,0.088108,25.64,0.196892,0.110448,-2.9511635666300853,1.56,302.96848,259,253,2024-03-14,HAILAKANDI,36,2024-06-30T00:00:00,5.11,9.939843,426,430,315,317,8.459929,2023-07-01T00:00:00,29.94247058823529,Bansbari Pt II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.56263145449654,24.759141282081224]}"
