system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.03,0.06455,1.088,0.73,17.55,0.0803,252.01,2.405,534,0.21565333,0.67,36.46,0.08175,25.37,0.22830333,0.14893334,-1.9128879594916863,1.03,20.458088,269,271,2024-03-26,JORHAT,96,2024-06-30T00:00:00,5.83,6.797631,408,413,323,316,2.9671273,2023-07-01T00:00:00,29.936352941176466,Bajal Bari Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.20115853273055,26.679559696471937]}"
1_0,0.02,0.084183335,1.789,0.45,9.97,0.10135,260.7,5.663,508,0.25358334,0.54,31.864,0.092993334,25.44,0.21746,0.14426,1.3697032428770473,1.2,311.76517,265,281,2024-06-14,JORHAT,99,2024-06-30T00:00:00,5.54,6.321469,442,432,294,287,2.7827377,2023-07-01T00:00:00,29.912969696969697,Dulia Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.25775239563006,26.746124859025194]}"
2_0,0.05,0.071155176,1.256,0.05,11.08,0.09366207,118.71999999999998,3.142,468,0.2623724,0.46,39.49,0.09946897,41.552,0.27034482,0.17891724,1.3295997649946105,1.88,228.2213,261,269,2024-06-08,JORHAT,93,2024-06-30T00:00:00,4.7,6.629149,432,432,308,299,4.1689134,2023-07-01T00:00:00,29.925818181818183,Kumar Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.17636503088885,26.691956447392787]}"
3_0,0.06,0.08436552,0.863,0.65,12.2,0.10322069,230.92,4.132,556.044,0.23828276,0.83,20.69,0.10948966,31.09,0.24995518,0.16855173,3.293859387897511,1.11,-0.0,282,290,2024-06-08,JORHAT,95,2024-06-30T00:00:00,5.79,6.629149,425,426,293,284,0.92740995,2023-07-01T00:00:00,29.945142857142855,Kumar Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.18256340634926,26.682254642324295]}"
4_0,0.04,0.095186666,1.377,0.03,11.06,0.115943335,266.51,4.631,520,0.25356,0.6,32.71,0.12487333,36.14,0.28068668,0.20197667,4.834834395774601,1.72,180.0,263,265,2024-04-29,JORHAT,95,2024-06-30T00:00:00,7.8,6.6175256,426,426,311,309,0.92740995,2023-07-01T00:00:00,29.95583333333333,Gohain Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.18606683595733,26.621079371475755]}"
5_0,0.06,0.09302,1.476,0.04,19.12,0.114036664,224.46,5.651,520,0.26308,0.6,17.11,0.12067,25.73,0.27786666,0.19314,2.931015781770966,1.82,90.0,263,265,2024-04-29,JORHAT,98,2024-06-30T00:00:00,7.8,6.6175256,426,426,311,309,6.200512,2023-07-01T00:00:00,29.95583333333333,Gohain Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.18552784678685,26.62080987689052]}"
6_0,0.05,0.13371,1.596,0.03,13.1,0.15286666,170.08,4.264,510,0.31279,0.55,16.9,0.14532334,34.26,0.26917,0.19896667,0.16714284319806266,1.43,339.55164,260,261,2024-04-29,JORHAT,98,2024-06-30T00:00:00,7.5,6.6175256,417,418,322,320,2.96694,2023-07-01T00:00:00,29.95583333333333,Gohain Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.18633633054257,26.62027088772005]}"
7_0,0.04,0.079346664,1.502,0.29,17.7,0.09854,159.64,5.884,550,0.29108,0.75,16.1,0.08995333,32.51,0.25160334,0.16098334,-1.9125607719349758,1.65,20.452608,279,283,2024-04-29,JORHAT,97,2024-06-30T00:00:00,7.3,6.6139402,418,418,303,299,2.9670217,2023-07-01T00:00:00,29.940628571428572,Gohain Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.20978235945809,26.64614236790269]}"
8_0,0.03,0.09824,0.826,0.24,13.08,0.11597,73.91999999999999,4.782,556.044,0.21567333,0.83,35.51,0.11474334,42.336,0.19380666,0.15101333,-0.7488580084622248,0.52,180.0,271,283,2024-06-08,JORHAT,102,2024-06-30T00:00:00,5.23,6.6175256,412,410,317,307,0.92740995,2023-07-01T00:00:00,29.92694117647059,Thengal Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.19361268434393,26.64802882999934]}"
9_0,0.03,0.05889,1.957,0.46,9.55,0.074596666,142.23999999999998,2.129,542,0.28338,0.71,26.676,0.05532,22.896,0.19414333,0.10227667,-1.578394067033526,1.91,330.77124,278,289,2024-05-01,JORHAT,106,2024-06-30T00:00:00,4.22,6.629149,423,420,299,291,2.1246479,2023-07-01T00:00:00,29.92514285714286,Sonari Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.18067694425261,26.67201384808533]}"
