system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.01,0.10119074,1.082,0.06,16.12,0.12612222,247.52,5.829,540,0.29198334,0.7,34.136,0.1292611,36.072,0.25839075,0.18408148,3.411503212375737,0.89,180.0,274,290,2024-06-15,KARIMGANJ,18,2024-06-30T00:00:00,4.43,9.566651,370,357,356,353,0.92740995,2023-07-01T00:00:00,30.00702857142858,Nitainagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.43677748319139,24.556750848569095]}"
1_0,0.05,0.10644,1.68,0.07,19,0.12363091,146.72,7.65,510,0.21266364,0.55,33.22,0.13064727,37.368,0.24451818,0.20678727,-1.1277422417458476,0.75,227.70961,268,282,2024-06-14,KARIMGANJ,24,2024-06-30T00:00:00,5.2,9.570653,368,360,365,358,1.3781068,2023-07-01T00:00:00,29.943354838709677,Amarkhal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.42438073227054,24.546779548915367]}"
2_0,0.03,0.09373684,1.296,0.43,14.98,0.10684562,294.26,7.873,562.8435,0.2993123,0.92,29.27,0.09032456,31,0.18767895,0.118873686,-2.77766744876599,1.11,301.18842,268,265,2024-06-14,KARIMGANJ,36,2024-06-30T00:00:00,5.15,9.918254,439,441,293,294,7.127125,2023-07-01T00:00:00,29.91188235294118,Adarkona Pt III,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.52085979378498,24.7672261196383]}"
3_0,0.04,0.0976,0.83,0.41,9.61,0.12292,180.2,1.62,506,0.2805509,0.53,35.99,0.12162182,26.78,0.24911273,0.17154364,-1.5593212691278797,1.73,331.15155,278,279,2024-06-14,KARIMGANJ,21,2024-06-30T00:00:00,4.43,9.819925,455,452,267,269,2.1168396,2023-07-01T00:00:00,29.9944705882353,Ghatudaram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.52166827754068,24.813579188298867]}"
4_0,0.04,0.08201852,0.596,0.05,10.79,0.10074074,168,5.27,532,0.29538518,0.66,38.72,0.08926852,25.704,0.22649814,0.15466481,-1.556982687801426,0.8,151.19817,271,290,2024-06-08,KARIMGANJ,25,2024-06-30T00:00:00,5.3,9.566651,386,376,343,334,2.115893,2023-07-01T00:00:00,29.988470588235298,Dhalibil Pt II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.44755726660082,24.573729007438953]}"
5_0,0.03,0.10644909,0.777,0.22,15.99,0.13107818,195.61,1.581,568.132,0.13330728,0.99,31.94,0.11622727,28.64,0.103794545,0.078523636,-1.613907159745605,0.54,65.54891,271,293,2024-06-14,KARIMGANJ,20,2024-06-30T00:00:00,5.03,9.6615925,396,384,332,323,2.2396278,2023-07-01T00:00:00,29.982484848484845,Dhalibil Pt I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.45618109332837,24.5785799099732]}"
6_0,0.04,0.08805091,1.501,0.49,10.07,0.105807275,188.16,5.683,550,0.2861709,0.75,35.63,0.087401815,43.848000000000006,0.19957091,0.11504,-1.82320251261868,0.87,312.24738,264,260,2024-06-15,KARIMGANJ,29,2024-06-30T00:00:00,4.07,9.554608,454,455,282,285,2.756893,2023-07-01T00:00:00,29.898,Mahamadpur Pt I,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.4834000464372,24.734886769409997]}"
7_0,0.02,0.09958727,1.101,0.34,17.12,0.11439273,259.22,4.362,512,0.28047636,0.56,33.28,0.10423455,34.95,0.22167818,0.1447909,-2.379049397329977,1.37,219.54343,266,268,2024-06-06,KARIMGANJ,24,2024-06-30T00:00:00,5.83,9.554608,439,434,295,297,4.799739,2023-07-01T00:00:00,29.84994736842106,Balirbond Pt II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.46588289839686,24.712249224250186]}"
8_0,0.02,0.098622225,1.456,0.13,12.13,0.12551111,134.55,1.758,528,0.2943315,0.64,34.24,0.12113148,28.11,0.2503685,0.17533703,-1.5198759866100962,1.18,90.0,269,287,2024-06-08,KARIMGANJ,23,2024-06-30T00:00:00,4.56,9.566651,387,377,344,336,2.0388768,2023-07-01T00:00:00,29.988470588235298,Dhalibil Pt II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.44809625577129,24.57453749119466]}"
9_0,0.06,0.06401852,1.983,0.22,15.97,0.08035,207.07,1.983,561.3325,0.30515,0.9,19.79,0.06450371,31.02,0.16702777,0.09345,-1.4248558163630196,1.04,180.0,268,280,2024-06-14,KARIMGANJ,25,2024-06-30T00:00:00,5.89,9.566651,378,372,354,349,1.8543341,2023-07-01T00:00:00,29.996342857142853,Chanala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.43489102109474,24.5642966969557]}"
10_0,0.02,0.09977273,1.471,0.06,17.25,0.11404,57.11999999999999,5.492,568.132,0.29138544,0.99,39.312,0.09982909,30.024,0.23189273,0.15715091,-2.8454263798974355,1.61,212.17041,260,263,2024-06-14,KARIMGANJ,27,2024-06-30T00:00:00,4.3,9.554608,439,436,301,301,7.6246986,2023-07-01T00:00:00,29.88736842105263,Singua Pt II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.46669138215256,24.70739832171594]}"
11_0,0.03,0.096898146,1.426,0.12,9.01,0.1188537,183.07,3.387,534,0.27308518,0.67,32.7,0.11775185,29.11,0.23891297,0.16449444,-0.1336125237456084,1.62,270.0,265,279,2024-06-14,KARIMGANJ,21,2024-06-30T00:00:00,4.89,9.566651,364,356,371,365,1.0197748,2023-07-01T00:00:00,29.961454545454547,Mahadevpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.42599769978196,24.57615445870608]}"
12_0,0.03,0.062425453,1.238,0.37,13.6,0.081343636,172.48,5.699,558.3105,0.27682,0.86,39.43,0.06763091,32.616,0.18779272,0.108943634,-2.9226269393106548,1.2,132.23227,252,243,2024-06-14,KARIMGANJ,25,2024-06-30T00:00:00,4.88,9.819925,464,469,284,288,8.222555,2023-07-01T00:00:00,29.977,Mahakal Pt VI,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.52193777212592,24.80091294279278]}"
13_0,0.04,0.1002,0.751,0.32,14.43,0.1244537,129.14,1.618,548,0.2831037,0.74,31.44,0.1251926,38.14,0.23549815,0.1617963,-1.3888475670327305,1.13,301.22568,265,288,2024-06-14,KARIMGANJ,19,2024-06-30T00:00:00,4.48,9.566651,412,399,323,313,3.5735714,2023-07-01T00:00:00,29.95741935483871,Mahadevpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.41548741095775,24.584239296263153]}"
14_0,0.06,0.09485273,1.252,0.42,12.42,0.118276365,173.77,5.671,554.533,0.26198545,0.81,36.44,0.10124182,38.55,0.15726182,0.097552724,-1.9572346743900981,1.65,126.007286,261,261,2024-06-06,KARIMGANJ,26,2024-06-30T00:00:00,4.85,9.554608,434,433,305,306,6.2853284,2023-07-01T00:00:00,29.86487179487179,Balirbond Pt II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.47046430634587,24.71197972966495]}"
