system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.81,0.12538056,0.31,0.32,7.64,0.15563889,154.6,4.65,248,0.25488612,0.45,41.42,0.17597222,31.9,0.2725222,0.23243333,4.600513164983621,1.18,270.0,258,253,2024-02-20,BANKA,73,2024-06-30T00:00:00,7.4,3.2329676,337,340,405,407,2.0456452,2023-07-01T00:00:00,30.34091891891892,Bishunpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.8126949839043,24.986055722849816]}"
1_0,0.94,0.08121667,1.67,0.86,6.34,0.106775,263.1,3.43,222,0.26722223,0.37,27.22,0.11641111,20.4,0.27323613,0.2030611,-1.3892169334500417,0.66,238.77968,225,248,2024-01-30,BANKA,198,2024-06-30T00:00:00,6.5,3.441632,385,376,390,375,3.574121,2023-07-01T00:00:00,30.341948717948725,Tola Lakarma,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.89246538113412,24.610649765616266]}"
2_0,0.29,0.12642,0.59,0.36,10.61,0.14265715,64.22,3.3,270,0.2965,0.52,53.39,0.13847142,26.97,0.25723714,0.18739714,2.0480872694855092,1.93,-0.0,307,313,2024-02-13,BANKA,45,2024-06-30T00:00:00,7.1,3.1885667,289,290,404,396,0.0,2023-07-01T00:00:00,30.27194444444445,Kaitha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.73103812457784,25.125653918001987]}"
3_0,0.68,0.12145,1.65,0.28,9.06,0.14578055,143.48,3.18,228,0.31096944,0.39,20.91,0.15435556,13.46,0.28697222,0.21645278,-1.5204422704847889,0.9,90.0,265,287,2024-01-12,BANKA,215,2024-06-30T00:00:00,6.7,3.216488,361,354,373,359,2.039451,2023-07-01T00:00:00,30.334971428571432,Ghonghadabar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.72645671662883,24.60984128186056]}"
4_0,0.81,0.07779167,1.07,0.59,8.43,0.10324167,161.1,5.17,200,0.28778332,0.3,36.16,0.10479444,24.9,0.24074167,0.16627222,-1.4282072787198787,0.38,-0.0,265,262,2024-02-20,BANKA,74,2024-06-30T00:00:00,6.3,3.2329676,335,338,400,400,1.8543341,2023-07-01T00:00:00,30.34091891891892,Bishunpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.81026953263718,24.987403195775993]}"
5_0,0.9,0.08561351,0.75,0.32,15,0.10681622,227.77,5.7,232,0.28307837,0.4,36.51,0.10548919,14.6,0.22665136,0.15668648,-1.8962155628956332,1.27,339.82358,285,285,2024-01-24,BANKA,83,2024-06-30T00:00:00,7.5,3.515247,307,307,408,408,2.961741,2023-07-01T00:00:00,30.336944444444455,Telia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.97304426211963,24.88876817757967]}"
6_0,1.05,0.073697224,1.12,0.77,5.04,0.09776389,254.19,5.78,222,0.2548361,0.37,23.91,0.097625,18.65,0.22703333,0.15976945,-1.833672394576582,0.91,-0.0,265,262,2024-02-16,BANKA,72,2024-06-30T00:00:00,7.5,3.2329676,335,338,400,400,2.7802885,2023-07-01T00:00:00,30.34091891891892,Bishunpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.81026953263718,24.98767269036123]}"
7_0,0.98,0.13475715,0.2,0.35,15.6,0.15013428,162.73,3.34,257,0.23782286,0.48,38.3,0.15825428,17.8,0.24832,0.20632285,-0.9282697213042945,0.79,65.63821,316,317,2024-01-30,BANKA,48,2024-06-30T00:00:00,7.5,3.1234348,279,286,405,398,2.247326,2023-07-01T00:00:00,30.441823529411764,Shampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.99002242098949,25.091428105677036]}"
8_0,0.41,0.081491664,1.32,0.12,12.67,0.097380556,367.47,4.53,286,0.30161944,0.57,41.94,0.08184722,32.2,0.19446667,0.11872222,-2.1591709415360483,1.8,15.435815,304,310,2024-02-13,BANKA,47,2024-06-30T00:00:00,6.6,3.1885667,291,292,405,398,3.8430192,2023-07-01T00:00:00,30.268,Kaitha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.72483974911741,25.12161149922345]}"
9_0,0.6,0.07417568,1.06,0.21,4.62,0.093578376,193.9,4.35,238,0.2657865,0.42,36.77,0.09078919,16.6,0.20966215,0.14112973,-0.04248385310732807,2.16,-0.0,300,304,2024-03-01,BANKA,56,2024-06-30T00:00:00,7.2,3.1820257,283,285,417,411,0.92740995,2023-07-01T00:00:00,30.356888888888893,Kusaha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.70193270937236,25.059358250033966]}"
10_0,0.5,0.07997027,1.35,0.42,4.72,0.096937835,170.11,4.33,267,0.21127027,0.51,37.39,0.09537027,26.3,0.19133784,0.14666216,-1.9726110918061797,2.16,73.16351,247,256,2024-03-01,BANKA,131,2024-06-30T00:00:00,6.6,3.51514,343,340,410,404,3.1988764,2023-07-01T00:00:00,30.330162162162164,Simra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.98598000221095,24.79175012689476]}"
11_0,0.49,0.12627222,1.52,0.46,11.14,0.13887778,183.49,4.66,216,0.23500833,0.35,25.95,0.13845,18.4,0.21134722,0.16494444,-1.6185106639244287,0.92,245.6037,273,268,2024-01-11,BANKA,84,2024-06-30T00:00:00,7.3,3.4840314,329,334,397,399,2.2443435,2023-07-01T00:00:00,30.401736842105265,Jitwarpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.91510292629393,24.894427563869623]}"
