system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.92,0.148775,1.39,0.362,9.469,0.1612,317,4.661,190,0.31068438,0.54,43,0.14847188,20.47,0.25626874,0.17739688,1.205313322099725,0.956,-0.0,290,301,2024-04-05,BEGUSARAI,41,2024-06-30T00:00:00,7.77,3.042391,324,321,386,377,0.92740995,2023-07-01T00:00:00,30.247500000000002,Dihi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.15216375549122,25.67003298017842]}"
1_0,0.59,0.11512258,1.353,0.472,12.591,0.13448064,397,2.821,207,0.30899355,0.64,32,0.13516451,16.94,0.24475162,0.17978387,1.6906285858278047,0.851,132.01491,291,304,2024-03-28,BEGUSARAI,45,2024-06-30T00:00:00,8.21,3.1893003,325,321,385,375,2.769268,2023-07-01T00:00:00,30.231103448275864,Lakhan Patti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.11470400814343,25.72662684307795]}"
2_0,0.81,0.0708125,1.312,0.712,10.212,0.085725,259,6.085,211,0.2613875,0.66,43,0.0743125,14.47,0.177,0.1073125,-0.4399366194105861,1.546,270.0,294,300,2024-03-28,BEGUSARAI,43,2024-06-30T00:00:00,8.3,3.1893003,325,327,381,373,2.0581357,2023-07-01T00:00:00,30.22321428571429,Lakhan Patti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.13006519950187,25.722853918884645]}"
3_0,0.85,0.13986774,1.64,0.551,9.339,0.15647097,236,4.461,223,0.30338064,0.73,42,0.15492581,11.64,0.25693548,0.19594194,-1.2509036142135113,0.665,90.0,300,313,2024-03-28,BEGUSARAI,44,2024-06-30T00:00:00,7.55,3.1893003,323,321,377,367,3.0856035,2023-07-01T00:00:00,30.233857142857147,Lakhan Patti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.11982440526292,25.725009875566535]}"
4_0,0.78,0.08829677,0.671,0.582,11.248,0.104864515,154,4.424,205,0.24117742,0.63,45,0.1006,15.53,0.19029355,0.1324129,-1.6310139917441948,0.941,65.75186,290,299,2024-03-28,BEGUSARAI,46,2024-06-30T00:00:00,6.77,3.1893003,320,319,390,382,2.257208,2023-07-01T00:00:00,30.231103448275864,Lakhan Patti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.11955491067768,25.72905229434507]}"
5_0,0.78,0.09417419,1.272,0.761,8.624,0.113222584,343,4.536,195,0.2880871,0.57,45,0.10680322,14.12,0.21837097,0.15092903,-0.44944714008000725,0.926,227.9857,284,296,2024-03-28,BEGUSARAI,45,2024-06-30T00:00:00,7.58,3.1893003,323,321,392,383,1.3854592,2023-07-01T00:00:00,30.231103448275864,Lakhan Patti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.11685996482532,25.72905229434507]}"
6_0,0.52,0.11550322,0.671,0.385,9.974,0.13319032,408,4.725,186,0.29761934,0.52,47,0.1325613,17.29,0.23045161,0.16224839,-0.7410657040332519,0.654,-0.0,300,313,2024-03-28,BEGUSARAI,43,2024-06-30T00:00:00,7.45,3.1893003,323,321,377,367,0.92740995,2023-07-01T00:00:00,30.231103448275864,Lakhan Patti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.11874642692197,25.72581835932224]}"
7_0,1.15,0.11506452,1.231,0.585,12.352,0.12964515,184,3.874,186,0.28568387,0.52,39,0.122932255,16.59,0.22580646,0.15289354,-2.350499921836445,0.703,180.0,296,309,2024-03-28,BEGUSARAI,45,2024-06-30T00:00:00,7.44,3.1893003,323,321,381,371,4.6273675,2023-07-01T00:00:00,30.231103448275864,Lakhan Patti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.11632097565484,25.725009875566535]}"
8_0,0.96,0.11290938,1.394,0.685,11.322,0.126875,209,5.297,192,0.36399376,0.55,37,0.10803125,14.47,0.23844062,0.14310312,-1.14250436623616,0.966,312.01596,297,305,2024-03-28,BEGUSARAI,45,2024-06-30T00:00:00,7.36,3.1893003,324,326,378,370,1.3854146,2023-07-01T00:00:00,30.22321428571429,Lakhan Patti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.12683126447905,25.722314929714173]}"
9_0,0.89,0.103964515,0.513,0.452,12.195,0.12353871,235,5.142,226,0.2869871,0.75,31,0.12298387,13.76,0.2272742,0.16166452,2.7363683283664684,0.704,-0.0,293,304,2024-03-28,BEGUSARAI,43,2024-06-30T00:00:00,7.33,3.1893003,327,325,380,371,0.0,2023-07-01T00:00:00,30.275037037037038,Lakhan Patti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.11362602980249,25.72204543512894]}"
10_0,0.89,0.0776375,0.908,0.382,14.93,0.101900004,356,4.774,226,0.27964687,0.75,33,0.0892625,16.26,0.21894687,0.137275,-0.18213555106780113,0.89,29.02978,297,305,2024-05-21,BEGUSARAI,41,2024-06-30T00:00:00,7.43,3.1893003,324,326,378,370,2.1205437,2023-07-01T00:00:00,30.22321428571429,Lakhan Patti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.12844823199046,25.72069796220276]}"
11_0,1.07,0.101675,0.631,0.465,10.053,0.12464063,344,2.617,185,0.32142812,0.51,32,0.1164375,16.23,0.22853437,0.15397812,-1.142527021102011,1.298,227.98444,296,301,2024-03-28,BEGUSARAI,46,2024-06-30T00:00:00,6.77,3.1893003,321,323,384,376,1.3854253,2023-07-01T00:00:00,30.22321428571429,Lakhan Patti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.12925671574617,25.72393189722559]}"
