system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.98,0.17724104,0.89,0.24,8.03,0.18570672,267.34,3.19,261,0.22463208,0.49,47.84,0.1972612,18.67,0.2637418,0.23958805,0.38183880778096213,0.64,28.942593,262,274,2024-03-15,BHAGALPUR,50,2024-06-30T00:00:00,7.4,4.029401,309,305,430,421,2.1187584,2023-07-01T00:00:00,30.32875,Amanat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.42336971404875,25.289776120410625]}"
3_0,1.05,0.10736885,0.88,0.26,19.41,0.12740164,247.16,3.85,241,0.28233606,0.43,64.67,0.12715738,18.23,0.2479459,0.19176066,2.739438015648673,0.8,-0.0,283,295,2024-03-14,BHAGALPUR,37,2024-06-30T00:00:00,7.42,3.6120062,301,299,417,406,0.0,2023-07-01T00:00:00,30.195705882352936,Jagatpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.04823325140043,25.348256445406808]}"
4_0,0.88,0.08302713,0.71,0.21,9.97,0.095378295,244.52,5.17,212,0.1863372,0.34,37.53,0.09670155,24.36,0.19857055,0.15602481,-0.443147041263162,0.82,132.13132,294,307,2024-01-18,BHAGALPUR,42,2024-06-30T00:00:00,7.46,3.4106808,296,288,410,404,1.3823296,2023-07-01T00:00:00,30.313266666666667,Lailakh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.05362314310516,25.23560770877822]}"
5_0,0.6,0.12739325,0.58,0.18,14.45,0.14943513,253.11,3.87,248,0.30015406,0.45,71.52,0.15505,22.73,0.28374866,0.21780676,2.3087475290999104,1,-0.0,289,304,2024-02-29,BHAGALPUR,44,2024-06-30T00:00:00,7.03,3.71338,290,284,421,412,0.92740995,2023-07-01T00:00:00,30.33117647058823,Mahiawan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.18513650070025,25.07876186017095]}"
6_0,0.85,0.07292403,0.76,0.22,8.84,0.08717597,247.91,5.22,206,0.20822868,0.32,36.28,0.07656434,24.05,0.1522062,0.09491628,-0.4431482490625679,0.78,227.86874,294,307,2024-01-18,BHAGALPUR,43,2024-06-30T00:00:00,7.4,3.4106808,296,288,410,404,1.3823313,2023-07-01T00:00:00,30.313266666666667,Lailakh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.05335364851992,25.235877203363454]}"
9_0,1.04,0.11864,0.41,0.18,8.24,0.13999636,205.3,3.75,219,0.31808183,0.36,40.93,0.12813091,20.19,0.2546891,0.18095818,-0.4444202314652507,1.19,132.10756,281,302,2024-01-08,BHAGALPUR,35,2024-06-30T00:00:00,7.45,3.965194,278,272,441,427,1.3829634,2023-07-01T00:00:00,30.27678787878787,Tintanga (Part in Gopalpur) *,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.19402982201304,25.336668178241663]}"
10_0,0.98,0.070957355,0.69,0.26,8.06,0.087419115,199.52,7.21,248,0.24127941,0.45,38.84,0.080025,16.31,0.17946471,0.121797055,-1.205898054834496,1.22,339.77585,314,330,2024-03-11,BHAGALPUR,38,2024-06-30T00:00:00,7.48,3.2250216,296,296,389,375,2.9626477,2023-07-01T00:00:00,30.337939393939394,Rahua Chaur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.0412263921843,25.20407684230562]}"
11_0,0.92,0.12984745,0.79,0.21,7.63,0.14722542,290.37,3.16,251,0.29691017,0.46,32.98,0.1406,19.27,0.25550678,0.18879153,2.078751416831692,0.78,90.0,288,313,2024-03-11,BHAGALPUR,34,2024-06-30T00:00:00,7.31,4.0055804,305,297,407,390,2.0515466,2023-07-01T00:00:00,30.31048484848485,SAIDPUR DABRA,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.20049769205869,25.337746156582607]}"
13_0,1.16,0.08183333,1.01,0.34,9.49,0.09961111,273.43,3.56,277,0.229125,0.54,64.63,0.093036115,18.21,0.19812778,0.13105555,2.047912895363076,0.7,-0.0,321,325,2024-02-05,BHAGALPUR,39,2024-06-30T00:00:00,7.32,3.2543592,298,302,381,373,0.0,2023-07-01T00:00:00,30.455575757575758,Jagaria,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.79625581420491,25.147482979406092]}"
15_0,1.2,0.14371891,0.74,0.34,5.41,0.16039729,183.54,3.92,257,0.31450677,0.48,58.05,0.15803243,16.32,0.27943245,0.19731757,4.612389248728947,0.9,-0.0,287,306,2024-03-01,BHAGALPUR,35,2024-06-30T00:00:00,7.38,3.8056965,285,277,428,417,0.0,2023-07-01T00:00:00,30.339823529411767,Parmanandpur Khawas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.1907958869902,25.207580271913688]}"
