system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.54,0.08985513,0.85,0.303,7.182,0.11528846,207,6.184,441,0.30435127,0.74,192,0.12227051,14,0.24783975,0.17788847,-0.8429649933930725,0.761,270.0,304,309,2024-01-23,BHOJPUR,59,2024-06-30T00:00:00,7.28,1.8017665,292,290,404,401,1.0281382,2023-07-01T00:00:00,30.5133125,Pathanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.58828667736753,25.576518359101577]}"
1_0,0.88,0.08314487,0.722,0.847,7.506,0.10967692,278,4.71,429,0.31215513,0.72,180,0.11521282,13,0.25421795,0.17957307,-2.0563672517368885,0.8,36.467854,308,312,2024-01-23,BHOJPUR,60,2024-06-30T00:00:00,7.44,1.8017665,289,288,403,400,3.4557707,2023-07-01T00:00:00,30.5133125,Pathanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.58909516112325,25.57705734827205]}"
2_0,0.8,0.080028206,0.814,0.95,6.722,0.104178205,192,3.165,429,0.2980423,0.72,65,0.10688333,11,0.23441538,0.16066025,-1.5669531679037718,0.811,29.000416,308,312,2024-01-23,BHOJPUR,61,2024-06-30T00:00:00,7.41,1.8017665,289,288,403,400,2.1199417,2023-07-01T00:00:00,30.5133125,Pathanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.58909516112325,25.576787853686813]}"
3_0,0.72,0.09090257,0.772,0.702,7.165,0.11520385,303,5.17,429,0.29377437,0.72,82,0.1218,13,0.24077052,0.16856539,-1.9848507456669182,0.807,106.73447,308,312,2024-01-23,BHOJPUR,60,2024-06-30T00:00:00,7.11,1.8017665,289,288,403,400,3.2177763,2023-07-01T00:00:00,30.519749999999995,Pathanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.58936465570848,25.576518359101577]}"
4_0,0.76,0.09206795,0.689,0.872,6.519,0.116557695,428,4.314,548,0.2637577,0.92,180,0.12761667,5,0.25909102,0.19468717,-1.1406232608213576,0.65,132.05086,308,312,2024-01-23,BHOJPUR,61,2024-06-30T00:00:00,7.42,1.8017665,289,288,403,400,1.3844794,2023-07-01T00:00:00,30.519749999999995,Pathanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.58882566653801,25.575979369931105]}"
5_0,0.88,0.08358205,0.707,0.615,5.31,0.10904872,192,4.516,482,0.29295385,0.81,157,0.11873718,16,0.24662821,0.17864615,-1.1406307280804016,0.819,312.05066,308,312,2024-01-23,BHOJPUR,58,2024-06-30T00:00:00,7.85,1.8017665,289,288,403,400,1.3844846,2023-07-01T00:00:00,30.519749999999995,Pathanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.58963415029372,25.57705734827205]}"
6_0,0.64,0.08314487,0.801,0.112,8.74,0.10967692,334,6.101,262,0.31215513,0.44,101,0.11521282,14,0.25421795,0.17957307,-2.0563672517368885,0.755,36.467854,308,312,2024-01-23,BHOJPUR,60,2024-06-30T00:00:00,7.1,1.8017665,289,288,403,400,3.4557707,2023-07-01T00:00:00,30.5133125,Pathanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.58909516112325,25.57705734827205]}"
7_0,0.92,0.08384872,0.8,0.709,9.25,0.10835,315,5.311,560,0.28565,0.94,194,0.11698077,13,0.24937692,0.17914744,-1.5669537307405852,0.817,330.99954,304,309,2024-01-23,BHOJPUR,60,2024-06-30T00:00:00,7.41,1.8017665,292,290,404,401,2.119943,2023-07-01T00:00:00,30.5133125,Pathanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.58882566653801,25.57705734827205]}"
8_0,0.77,0.12312027,0.79,0.178,12.1,0.1427581,126,10.78,452,0.2929919,0.76,72,0.14525001,13,0.25955945,0.19471891,1.1022967639428043,0.87,270.0,277,288,2024-01-04,BHOJPUR,55,2024-06-30T00:00:00,7.72,1.9185691,276,272,447,441,1.0284724,2023-07-01T00:00:00,30.49838709677419,Mathaulia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.68880815766052,25.61532557937554]}"
9_0,0.86,0.10914474,1.01,0.614,6.95,0.13043684,155,10.99,464,0.27469736,0.78,78,0.13484605,7,0.23691842,0.18058947,-0.7401301336767634,0.82,-0.0,278,287,2024-01-04,BHOJPUR,58,2024-06-30T00:00:00,7.68,1.9185691,274,270,448,442,0.92740995,2023-07-01T00:00:00,30.469812500000003,Mathaulia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.69365906019476,25.61263063352318]}"
