system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.74,0.08554918,0.8,0.4,10.64,0.10473607,255,5.24,282,0.2755623,0.58,28,0.09669344,8,0.22765738,0.15149836,-2.1049910177265203,1.48,239.11325,263,271,2023-11-30,DARBHANGA,54,2024-06-30T00:00:00,7.12,2.9241946,303,307,433,422,3.6087544,2023-07-01T00:00:00,30.21746666666667,Mankauli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.73067422418234,26.199589840166876]}"
1_0,0.68,0.07011785,1.34,0.15,13.56,0.08993929,156,4.28,289,0.28598928,0.63,24,0.07632143,18,0.20857143,0.12464643,-2.6576987565294337,0.32,81.500984,254,262,2023-11-30,DARBHANGA,59,2024-06-30T00:00:00,6.74,3.083511,310,309,436,429,6.250718,2023-07-01T00:00:00,30.179437500000002,Naya Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.99154498269064,26.28528911827188]}"
2_0,0.64,0.1306,1.24,0.14,8.04,0.14886206,219,4.26,228,0.29593104,0.39,23,0.14798276,10,0.29403794,0.22302069,-0.05151526169521284,0.74,48.125366,264,253,2023-11-30,DARBHANGA,54,2024-06-30T00:00:00,7.22,3.1926336,331,334,405,413,1.3892211,2023-07-01T00:00:00,30.223733333333335,Naya Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.96405653499659,26.30469272840886]}"
3_0,0.8,0.109519355,1.04,0.18,10.24,0.13501613,161,4.82,316,0.30024517,0.73,23,0.12709032,19,0.2605516,0.19632742,-1.1498382326003045,0.42,131.8801,251,261,2023-11-30,DARBHANGA,54,2024-06-30T00:00:00,5.5,3.083511,319,316,430,423,2.776516,2023-07-01T00:00:00,30.170193548387097,Naya Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.99882133649201,26.282594172419522]}"
4_0,0.51,0.09847903,1.24,0.17,9.64,0.122532256,179,4.28,238,0.29378387,0.43,23,0.11023065,9,0.24239032,0.16828549,0.4398526909300613,0.78,65.85289,249,261,2023-11-30,DARBHANGA,54,2024-06-30T00:00:00,6.74,3.083511,323,319,429,420,2.2660735,2023-07-01T00:00:00,30.1965,Naya Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.99882133649201,26.28313316158999]}"
5_0,0.7,0.088737935,1.2,0.41,17.48,0.1030931,275,4.56,253,0.3113862,0.49,22,0.08920345,15,0.23082758,0.15073448,-0.854920767936764,0.44,90.0,244,259,2023-11-30,DARBHANGA,58,2024-06-30T00:00:00,6.9,3.083511,315,312,440,429,2.0680375,2023-07-01T00:00:00,30.179437500000002,Naya Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.99639588522489,26.286906085783293]}"
6_0,0.68,0.098837934,1.48,0.27,8.62,0.11319655,248,5.38,223,0.27382758,0.37,23,0.101831034,9,0.23627931,0.1591,-0.745950434186239,1.52,-0.0,262,251,2023-11-30,DARBHANGA,59,2024-06-30T00:00:00,7.18,3.1926336,328,334,411,414,0.92740995,2023-07-01T00:00:00,30.234709677419346,Naya Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.97214137255366,26.30792666343169]}"
7_0,0.64,0.10373793,0.94,0.13,11.38,0.12448276,406,4.32,277,0.28113103,0.58,16,0.1244,9,0.24151379,0.17487586,1.2477759464675084,1.34,228.1249,277,272,2023-11-30,DARBHANGA,54,2024-06-30T00:00:00,7.12,3.1926336,319,324,404,404,2.7767847,2023-07-01T00:00:00,30.234709677419346,Naya Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.9761837913322,26.30280626631221]}"
8_0,0.5,0.10898621,1.84,0.18,14.38,0.11987931,234,4.38,311,0.22353448,0.71,32,0.12053103,12,0.2432931,0.19095862,0.17033662514347309,0.42,180.0,276,273,2023-11-30,DARBHANGA,57,2024-06-30T00:00:00,6.64,3.1926336,318,326,406,401,1.8543341,2023-07-01T00:00:00,30.252606060606062,Naya Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.97375834006507,26.3087351471874]}"
9_0,0.7,0.113831036,0.82,0.11,13.64,0.13311034,272,3.62,283,0.28075862,0.6,23,0.13285518,15,0.2774069,0.21336551,-1.4390825944444814,0.44,-0.0,262,251,2023-11-30,DARBHANGA,59,2024-06-30T00:00:00,7.38,3.1926336,328,334,411,414,1.8543341,2023-07-01T00:00:00,30.223733333333335,Naya Gaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.96998541587178,26.306579190505513]}"
