system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1.48,0.089525,0.96,0.434,41.14,0.12115,196,23.76,318,0.30687222,0.67,17.38,0.12936667,2,0.26175278,0.19428334,-1.427596115636552,1.88,-0.0,269,268,2024-03-12,JAMUI,87,2024-06-30T00:00:00,7,2.5804558,285,292,446,440,1.8543341,2023-07-01T00:00:00,30.394324324324323,Kundhur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.30038577737093,24.910866733569012]}"
1_0,1.59,0.06942703,1.42,0.605,25.7,0.09686216,181.44,9.72,195,0.24739459,0.285,30.996,0.10574054,10.5,0.25934324,0.19203514,-1.5570854351742116,0.66,331.19614,286,299,2024-02-09,JAMUI,291,2024-06-30T00:00:00,6.9,3.1206527,368,363,346,339,2.1159344,2023-07-01T00:00:00,30.403750000000002,Tola madhopur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.50951357551396,24.584239296263153]}"
2_0,0.51,0.08035,1.48,0.443,49.86,0.115,70,18.56,238,0.24766111,0.42,13.6,0.15082222,9,0.34285554,0.268025,-1.1268540651755288,1.48,47.693035,258,264,2024-02-29,JAMUI,343,2024-06-30T00:00:00,6.87,3.2878573,424,422,317,314,1.3776689,2023-07-01T00:00:00,30.374263157894735,Tola Baljori,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.32383180628645,24.473746516316453]}"
3_0,0.84,0.07077429,1.26,0.816,56.4,0.097634286,210.56,16.2,272,0.26451144,0.525,20.412,0.105497144,13.12,0.25318,0.17537715,-2.0853391124164604,1.2,238.82376,274,280,2024-02-08,JAMUI,133,2024-06-30T00:00:00,6.56,2.7365587,302,303,424,416,3.5786529,2023-07-01T00:00:00,30.34809756097562,Tola Harhanja,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.39578686054443,24.826784422975425]}"
4_0,2.56,0.07046389,0.92,0.26,40.62,0.10198889,151,26.98,270,0.23949444,0.52,18.14,0.12714444,15.37,0.30374166,0.22943333,0.2595334984791737,1.48,132.30891,253,261,2024-03-02,JAMUI,328,2024-06-30T00:00:00,6.47,3.2878573,421,422,326,318,1.3776174,2023-07-01T00:00:00,30.36694736842105,Tola Baljori,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.32679624672404,24.465122689588906]}"
5_0,1.93,0.07084444,0.68,0.448,25.7,0.09399167,151.2,7.58,222,0.2299,0.37,35.91,0.10463611,19,0.2936,0.22499166,-0.8659429966065324,0.78,28.843836,292,287,2024-02-12,JAMUI,146,2024-06-30T00:00:00,6.94,2.8854618,293,292,414,421,2.116746,2023-07-01T00:00:00,30.468972972972974,Sokho,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.11874642692197,24.789863664798112]}"
6_0,1.76,0.082836114,1.76,0.813,42.22,0.11146945,62.4,24.18,318,0.29577222,0.67,14.36,0.119852774,19,0.24965833,0.18408889,-1.4276072080068871,2.16,180.0,280,280,2024-03-12,JAMUI,89,2024-06-30T00:00:00,7.1,2.555801,294,302,426,418,1.8543341,2023-07-01T00:00:00,30.393783783783775,Kundhur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.29472639108099,24.912483701080426]}"
7_0,1.71,0.050228573,1.26,0.248,13.62,0.060717143,207.2,16.46,176,0.16226,0.225,33.642,0.052537143,28.12,0.11214286,0.071122855,3.1500641499854316,0.92,-0.0,262,282,2024-02-08,JAMUI,166,2024-06-30T00:00:00,6.75,2.9998097,340,328,398,390,0.0,2023-07-01T00:00:00,30.41994285714286,Tola Cheraiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.14758234754221,24.704433881278344]}"
8_0,0.85,0.06665294,1.98,0.601,21.76,0.09032647,374,15.7,222,0.25896177,0.37,29.48,0.08584706,9,0.23296471,0.1691647,-0.8291795332971673,1.04,270.0,283,290,2024-02-17,JAMUI,135,2024-06-30T00:00:00,6.89,2.9667416,317,316,400,394,1.021021,2023-07-01T00:00:00,30.48876470588235,Tola Terukha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.31008758243942,24.72868839394957]}"
9_0,0.874,0.08124583,0.436,0.22,1.164,0.10781111,64.96,0.048,248,0.26979584,0.45,22.96,0.11971805,23.162,0.2956,0.20908195,-0.734347026099015,0.32,180.0,269,287,2024-01-11,JAMUI,86,2024-06-30T00:00:00,6.2,2.8062735,319,312,412,401,3.7047918,2023-07-01T00:00:00,30.318052631578954,Pakri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.06646447738622,24.8987394772334]}"
