system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.363,0.10736875,1.81,0.23,20.42,0.14375,212,6.29,186,0.35511562,0.225,109,0.1562,29.18,0.387825,0.29373437,-2.6666836782682264,1.95,125.73689,287,294,2024-05-25,MADHEPURA,49,2024-06-30T00:00:00,6.6,4.244798,338,336,376,370,6.326149,2023-07-01T00:00:00,30.170666666666666,Bhawantikthi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.72834317872548,25.91581204191352]}"
1_0,0.19,0.11080313,2.34,0.21,12.58,0.13459063,160.72,4.34,302,0.24248438,0.675,62,0.14851563,15.08,0.26694375,0.22830625,-2.243877120827766,1.62,228.03525,276,287,2024-02-07,MADHEPURA,50,2024-06-30T00:00:00,7.5,4.06123,325,321,398,392,4.153891,2023-07-01T00:00:00,30.122533333333333,Ganesh Sthan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.76795888275515,25.934946157465266]}"
2_0,0.5,0.09430328,1.91,0.08,11.43,0.11730656,171.36,8.2,263,0.31364262,0.525,96,0.11048853,12.9,0.2342377,0.16577049,0.5693397456060132,0.78,114.28533,280,285,2024-01-08,MADHEPURA,37,2024-06-30T00:00:00,6.8,4.096733,300,307,420,408,2.2539637,2023-07-01T00:00:00,30.27553333333334,Amanat Hedaetullah Subedar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.04796375681521,25.52234994746917]}"
3_0,0.78,0.08679355,0.18,0.32,40.66,0.113451615,128.82,20.56,203,0.323,0.29,58,0.10848387,4.6,0.23570323,0.16224517,8.546245477456413,1.35,294.2804,287,291,2024-01-15,MADHEPURA,34,2024-06-30T00:00:00,7,3.9743583,304,307,410,403,2.2543926,2023-07-01T00:00:00,30.183939393939397,Tilakpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.93477603101614,25.549838395163228]}"
4_0,0.89,0.116201565,0.82,0.17,18.13,0.1371203,310.24,6.65,283,0.24835312,0.6,96,0.14017813,12.9,0.25694218,0.20267813,-1.146331529947043,0.34,48.054962,244,242,2024-01-27,MADHEPURA,57,2024-06-30T00:00:00,7.8,4.51438,328,328,428,430,1.3873212,2023-07-01T00:00:00,30.04866666666666,Bahadur Singh DakhinwariChakla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.0592825293951,26.016333522206494]}"
5_0,0.45,0.10620323,1.36,0.36,7.64,0.13360968,196.44,4.54,321,0.28600323,0.75,41,0.13998388,25.92,0.26499677,0.19946451,6.3791268900127625,2.46,159.66144,318,327,2024-03-30,MADHEPURA,47,2024-06-30T00:00:00,6.7,3.739943,353,347,329,326,2.9648304,2023-07-01T00:00:00,30.15445161290323,Got Bardaha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.63914047101241,25.939527565414274]}"
6_0,0.73,0.09516129,1.72,0.32,26.08,0.11905484,225.68,4.22,310,0.27531612,0.705,64,0.12038387,21.3,0.2319387,0.1638871,-0.8426094682446584,2.93,90.0,283,280,2024-01-30,MADHEPURA,36,2024-06-30T00:00:00,7.6,4.097785,280,288,437,432,1.0279546,2023-07-01T00:00:00,30.128129032258066,Kanwanrahi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.99352585059756,25.554958792282708]}"
7_0,0.59,0.07244243,1.39,0.21,21.47,0.09773333,477.23,4.3,274,0.29541212,0.568,66,0.089218184,13.4,0.20256363,0.13038787,0.941004605001458,0.26,90.0,263,266,2024-01-22,MADHEPURA,51,2024-06-30T00:00:00,7.9,4.2247086,332,332,405,401,2.0636768,2023-07-01T00:00:00,30.089379310344828,Giddha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.84665130164402,26.04058803487772]}"
8_0,0.61,0.07683871,0.39,0.11,19.53,0.10948387,456.73,3.76,302,0.35799354,0.675,73,0.0918129,8.21,0.27803224,0.17098387,-0.045901256675990335,1.06,131.97864,258,262,2024-01-04,MADHEPURA,46,2024-06-30T00:00:00,5.6,4.256425,308,311,434,428,1.386417,2023-07-01T00:00:00,30.084363636363644,Belo,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.85770057963869,25.877543810810028]}"
9_0,0.35,0.13245,2.56,0.33,10.83,0.14637813,272,8.3,305,0.304825,0.69,85,0.13940312,12.15,0.23493437,0.1664375,-2.4426525722785497,1.25,203.98201,279,288,2024-03-30,MADHEPURA,49,2024-06-30T00:00:00,6.9,3.8967717,347,344,375,368,5.0624022,2023-07-01T00:00:00,30.155677419354838,Got Bardaha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.63806249267147,25.95030734882371]}"
10_0,0.61,0.08283871,2.44,0.27,7.68,0.10853226,487,5.35,340,0.2949258,0.825,47,0.09994516,19.61,0.21219032,0.14653225,1.3230322485622243,0.61,209.00809,254,266,2024-02-01,MADHEPURA,37,2024-06-30T00:00:00,7.2,4.258395,310,310,435,425,2.120099,2023-07-01T00:00:00,30.157034482758625,Raota,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.97681718631294,25.61451709561983]}"
12_0,0.23,0.062096875,1.39,0.36,9.55,0.08149687,187.93,8.36,317,0.2460625,0.735,36,0.07656875,19.5,0.19527812,0.12724374,-0.3798991653166681,0.88,270.0,286,286,2024-02-03,MADHEPURA,47,2024-06-30T00:00:00,6.4,4.337192,319,317,396,397,5.145374,2023-07-01T00:00:00,30.15161290322581,Sukhasan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.74720779969199,25.991001031194322]}"
13_0,0.4,0.091309376,3.81,0.1,38.66,0.1108875,42.62,2.9,360,0.28465,0.9,82,0.10300625,29.21,0.19970626,0.13727812,3.988566545888053,0.34,-0.0,239,245,2024-03-28,MADHEPURA,43,2024-06-30T00:00:00,7.4,4.0587487,307,307,454,447,0.0,2023-07-01T00:00:00,30.07446666666667,Kalyanpatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.94070491189133,25.78888009226743]}"
14_0,0.6,0.08159687,0.54,0.14,9.15,0.106168754,352.12,16.78,187,0.31615624,0.225,72,0.10116875,21.1,0.24354063,0.1682875,-0.741571196497535,1.16,180.0,241,247,2024-03-23,MADHEPURA,45,2024-06-30T00:00:00,8,4.0587487,320,321,439,432,0.92740995,2023-07-01T00:00:00,30.07161290322581,Kalyanpatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.92642169887382,25.78699363017078]}"
15_0,0.75,0.103825,0.79,0.28,31.97,0.1211375,164.3,5.25,302,0.3125344,0.675,96,0.1143,9.63,0.22831249,0.15981562,-0.8492234418732988,0.23,90.0,284,293,2024-03-30,MADHEPURA,47,2024-06-30T00:00:00,6.8,3.8967717,344,343,372,363,1.0313879,2023-07-01T00:00:00,30.135562500000002,Got Bardaha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.64911177066614,25.95111583257942]}"
16_0,0.71,0.065545164,2.03,0.28,22.12,0.08789677,476.11,5.91,347,0.29952905,0.85,111,0.08080322,17.2,0.24266775,0.15283549,-1.6294036838292738,1.18,294.26718,252,256,2024-01-15,MADHEPURA,43,2024-06-30T00:00:00,7.1,4.1385527,310,310,438,433,2.2555444,2023-07-01T00:00:00,30.138967741935488,Tilakpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.9307336122376,25.623410416932614]}"
17_0,0.81,0.08773437,0.92,0.41,39.08,0.10717187,147.13,10.69,255.76,0.20891562,0.495,126,0.11593437,11.39,0.24239375,0.20439374,-0.7437695839853886,1.14,180.0,261,263,2024-01-15,MADHEPURA,52,2024-06-30T00:00:00,5.9,4.6593037,317,318,422,419,0.92740995,2023-07-01T00:00:00,30.094000000000005,Giddha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.84341736662118,26.050020345360977]}"
18_0,0.42,0.0697,0.85,0.21,5.84,0.095165625,202.38,4.51,206,0.27145,0.3,49,0.09051563,9.63,0.19549374,0.13427188,-0.4533479066488768,0.61,311.94202,224,233,2024-02-02,MADHEPURA,49,2024-06-30T00:00:00,7.1,4.1103587,311,311,465,456,1.3874029,2023-07-01T00:00:00,30.11060606060607,Bairbana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.7976032871311,26.02899976771258]}"
