system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1.08,0.09996857,0.7,0.114,6.34,0.12799428,148,3.09,339,0.2950257,0.82,44,0.13006857,11,0.25280285,0.18795143,-1.6400380506967522,1.71,65.85832,263,258,2024-04-02,MADHUBANI,59,2024-06-30T00:00:00,7.48,3.9558015,311,318,426,424,2.2665522,2023-07-01T00:00:00,30.111933333333333,Chhojrena,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.54832079578793,26.3125080713807]}"
1_0,0.91,0.09716,0.87,0.11,4.73,0.12390571,154,2.31,247,0.2992543,0.46,42,0.12852857,10,0.25567427,0.18696,10.301226446917946,1.82,-0.0,261,255,2024-04-02,MADHUBANI,60,2024-06-30T00:00:00,6.72,3.9558015,310,317,429,428,0.92740995,2023-07-01T00:00:00,30.111933333333333,Chhojrena,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.54724281744699,26.312777565965938]}"
2_0,0.72,0.08320882,0.76,0.264,13.64,0.10890588,169,5.36,231,0.28189117,0.4,22,0.10059706,7,0.22822058,0.15993823,0.6402464543929144,0.36,-0.0,268,264,2024-04-02,MADHUBANI,62,2024-06-30T00:00:00,7.36,4.125204,307,315,425,422,0.92740995,2023-07-01T00:00:00,30.085419354838695,Chhojrena,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.56044805212353,26.319245436011595]}"
3_0,0.32,0.09251143,1.694,0.216,14.36,0.11983714,169,2.14,301,0.27125427,0.67,15,0.12141143,9,0.24114,0.17970571,-1.8446077567006935,1.36,180.0,263,258,2024-03-31,MADHUBANI,60,2024-06-30T00:00:00,6.94,4.125204,311,318,426,424,2.7802885,2023-07-01T00:00:00,30.111933333333333,Chhojrena,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.5504767524698,26.31304706055117]}"
4_0,0.74,0.10494286,0.74,0.142,1.22,0.12352857,137,6.36,298,0.2846657,0.66,25,0.11371143,13,0.23308857,0.16270857,-1.6404162500193629,0.73,114.137215,266,256,2024-04-02,MADHUBANI,64,2024-06-30T00:00:00,6.72,3.9558015,312,316,422,428,2.2669458,2023-07-01T00:00:00,30.12313333333334,Chhojrena,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.54939877412886,26.33676258405193]}"
5_0,0.28,0.098945715,1.26,0.226,13.14,0.124594286,381,7.48,329,0.2881943,0.78,14,0.12604,14,0.23992285,0.1776,-1.5745588044080747,1.13,150.84787,259,254,2024-04-04,MADHUBANI,58,2024-06-30T00:00:00,7.34,4.125204,307,314,433,432,2.1230624,2023-07-01T00:00:00,30.090967741935486,Chhojrena,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.55020725788458,26.310891103869285]}"
6_0,0.26,0.09789714,0.4,0.184,10.21,0.12255429,229,2.74,172,0.28092572,0.17,30,0.11856,15,0.22856857,0.16046858,-0.16220452766178534,0.61,270.0,265,262,2024-04-04,MADHUBANI,59,2024-06-30T00:00:00,6.84,3.9558015,307,313,428,425,2.068473,2023-07-01T00:00:00,30.111933333333333,Chhojrena,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.54616483910604,26.311430093039757]}"
7_0,0.23,0.08322286,0.78,0.375,9.21,0.108500004,232,2.11,249,0.27568,0.47,18,0.105642855,11,0.21827714,0.15138,-1.1501983372621842,0.26,311.87335,258,255,2024-04-04,MADHUBANI,59,2024-06-30T00:00:00,7.47,4.125204,314,320,428,425,1.3892561,2023-07-01T00:00:00,30.090967741935486,Chhojrena,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.5526327091517,26.310082620113576]}"
8_0,0.84,0.08914571,0.27,0.148,3.31,0.115074284,329,3.76,239,0.27664,0.43,14,0.11221143,25,0.22334857,0.15682,-0.8553224552775818,0.38,270.0,259,254,2024-04-04,MADHUBANI,58,2024-06-30T00:00:00,6.87,4.125204,307,314,433,432,1.0345638,2023-07-01T00:00:00,30.090967741935486,Chhojrena,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.55182422539599,26.310352114698812]}"
9_0,0.93,0.08372286,0.31,0.221,7.13,0.10849429,235,4.37,201,0.26210284,0.28,22,0.10599143,16,0.22641714,0.15933429,-0.16216667367558799,0.26,90.0,258,255,2024-04-04,MADHUBANI,59,2024-06-30T00:00:00,6.83,4.125204,314,320,428,425,1.0345588,2023-07-01T00:00:00,30.090967741935486,Chhojrena,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.55371068749264,26.309813125528343]}"
10_0,0.39,0.095897146,0.56,0.448,13.28,0.12696286,244,5.74,252,0.27656287,0.48,18,0.12968571,9,0.2566143,0.19117428,8.929758127544657,0.52,-0.0,263,258,2024-04-02,MADHUBANI,58,2024-06-30T00:00:00,7,4.125204,311,318,426,424,0.0,2023-07-01T00:00:00,30.111933333333333,Chhojrena,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.5504767524698,26.3125080713807]}"
