system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.44,0.10024286,1.18,0.44,9,0.11969549,184,2.33,185,0.2682173,0.51,48,0.11370752,21,0.22529022,0.16028798,-1.6384244111585153,0.48,245.83934,268,269,2023-10-25,MUZAFFARPUR,58,2024-06-30T00:00:00,8.5,2.6434617,305,308,427,423,2.26488,2023-07-01T00:00:00,30.176787878787874,Salempur Dhab,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.34799191314742,26.209561139820604]}"
1_0,0.23,0.11370149,0.21,0.25,15,0.13206418,135,2.36,122,0.29520074,0.15,25,0.12950075,20,0.25251716,0.18293805,-1.841968640232288,0.15,131.89894,265,267,2023-08-05,MUZAFFARPUR,56,2024-06-30T00:00:00,8.3,2.6434617,311,316,424,417,2.775499,2023-07-01T00:00:00,30.1625294117647,Salempur Dhab,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.34906989148837,26.205518721042065]}"
2_0,0.54,0.1036903,0.84,0.42,8.12,0.12276642,298,6,185,0.28908357,0.51,33,0.109926865,21,0.22518508,0.15807089,1.182719837345999,0.4,20.38085,268,265,2023-08-05,MUZAFFARPUR,56,2024-06-30T00:00:00,8.3,2.7302299,311,320,421,415,2.9656413,2023-07-01T00:00:00,30.1625294117647,Mustafapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.35149534275548,26.204440742701124]}"
3_0,0.39,0.10795455,1,0.45,7.9,0.12831439,262,4.44,164,0.2905712,0.39,52,0.11903258,30,0.22729848,0.16171212,-1.5467168446430835,0.36,270.0,274,273,2023-10-25,MUZAFFARPUR,56,2024-06-30T00:00:00,8.2,2.7302299,309,314,417,413,2.0666203,2023-07-01T00:00:00,30.1625294117647,Mustafapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.35419028860784,26.207135688553482]}"
4_0,0.23,0.08142612,0.76,0.29,9.74,0.09777612,248,4.36,235,0.27908507,0.8,37,0.08312388,17,0.1809903,0.11623358,-0.7445664641709602,0.66,180.0,257,277,2023-12-29,MUZAFFARPUR,56,2024-06-30T00:00:00,8.1,2.128319,315,311,428,412,0.92740995,2023-07-01T00:00:00,30.183375000000005,Sonbarsa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.32885779759567,26.144882439363997]}"
5_0,0.48,0.086087316,0.72,0.39,6.14,0.09965896,218,3.92,193,0.2687403,0.56,47,0.08532911,21,0.18305299,0.11239925,3.185971745324623,0.44,339.6286,260,279,2023-12-29,MUZAFFARPUR,55,2024-06-30T00:00:00,8.6,2.128319,318,317,422,404,2.96546,2023-07-01T00:00:00,30.209354838709686,Sonbarsa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.33182223803327,26.14542142853447]}"
6_0,0.48,0.07957985,0.84,0.41,11.5,0.10765746,261,4.08,160,0.3026291,0.37,50,0.08319179,23,0.19886641,0.117560446,-0.9443037032377862,0.72,245.82782,256,277,2023-12-29,MUZAFFARPUR,54,2024-06-30T00:00:00,8.3,2.128319,315,314,429,410,2.2638657,2023-07-01T00:00:00,30.183375000000005,Sonbarsa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.33020527052186,26.14676890146065]}"
7_0,0.34,0.08352666,0.82,0.47,10.06,0.09940222,210,3.92,202,0.23491037,0.61,53,0.09398,16,0.19381334,0.13478519,1.7593452488355097,0.52,330.882,255,276,2023-12-29,MUZAFFARPUR,56,2024-06-30T00:00:00,8.2,2.128319,320,318,425,406,2.1223588,2023-07-01T00:00:00,30.209354838709686,Panapur Khurd,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.33721212973799,26.148116374386827]}"
8_0,0.37,0.09988722,0.52,0.45,11.68,0.1180391,242,3.94,186,0.2805857,0.52,39,0.107528575,17,0.22742632,0.15920076,2.0397008113847956,0.48,-0.0,250,271,2023-12-29,MUZAFFARPUR,56,2024-06-30T00:00:00,8.5,2.128319,327,322,423,406,0.0,2023-07-01T00:00:00,30.209354838709686,Panapur Khurd,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.33451718388562,26.14353496643782]}"
9_0,0.49,0.08337218,0.86,0.42,7.66,0.106672935,193,4.5,193,0.30938798,0.56,61,0.094496995,20,0.21732631,0.140603,-1.369823924658677,0.46,36.60309,245,257,2023-10-26,MUZAFFARPUR,58,2024-06-30T00:00:00,8.5,2.4984584,296,294,460,450,3.4618049,2023-07-01T00:00:00,30.184875,Akurahan Harihar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.2283363173027,26.159974136137205]}"
10_0,0.22,0.15255564,1.26,0.62,5,0.16582406,192,2.63,183,0.2567955,0.5,54,0.16700076,24,0.24301654,0.18858497,-1.841353015687265,0.62,228.0897,242,257,2023-10-26,MUZAFFARPUR,59,2024-06-30T00:00:00,8.8,2.4984584,305,299,453,444,2.774888,2023-07-01T00:00:00,30.16048484848485,Phul Kahan Mani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.23911610071214,26.1591656523815]}"
11_0,0.23,0.08337218,0.45,0.56,5,0.106672935,146,2.36,169,0.30938798,0.42,30,0.094496995,20,0.21732631,0.140603,-1.369823924658677,0.12,36.60309,245,257,2023-10-26,MUZAFFARPUR,58,2024-06-30T00:00:00,8.7,2.4984584,296,294,460,450,3.4618049,2023-07-01T00:00:00,30.184875,Phul Kahan Mani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.2283363173027,26.159974136137205]}"
12_0,0.36,0.10692181,0.82,0.39,8.5,0.12409098,248,5,155,0.24959774,0.34,38,0.11724812,9,0.20425113,0.14915037,-1.9942378480704197,0.44,253.34337,240,256,2023-10-27,MUZAFFARPUR,57,2024-06-30T00:00:00,8.2,2.4984584,296,292,464,452,3.2323525,2023-07-01T00:00:00,30.16048484848485,Phul Kahan Mani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.2313007577403,26.15970464155197]}"
13_0,0.28,0.11665606,0.92,0.56,9.32,0.13484545,208,2.36,158,0.25713181,0.36,32,0.13040303,31,0.21383788,0.16468637,-2.330793129357797,0.92,294.16983,240,256,2023-10-27,MUZAFFARPUR,57,2024-06-30T00:00:00,8.7,2.4984584,296,292,464,452,4.5210953,2023-07-01T00:00:00,30.16048484848485,Phul Kahan Mani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.2313007577403,26.159435146966732]}"
14_0,0.44,0.12880681,0.78,0.58,8.12,0.14433257,204,4.26,204,0.27323258,0.65,47,0.14571364,23,0.2577356,0.20563182,1.0661049013163026,0.64,330.87967,240,256,2023-10-27,MUZAFFARPUR,58,2024-06-30T00:00:00,8.5,2.4984584,296,292,464,452,2.1224065,2023-07-01T00:00:00,30.16048484848485,Phul Kahan Mani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.23103126315506,26.1591656523815]}"
15_0,0.56,0.10069697,0.56,0.62,12,0.11853788,244,5.54,193,0.2843159,0.56,33,0.113494694,20,0.21951212,0.16137652,3.4258791791008556,0.44,-0.0,243,255,2023-10-27,MUZAFFARPUR,57,2024-06-30T00:00:00,8.6,2.4984584,294,293,462,452,0.0,2023-07-01T00:00:00,30.149696969696976,Phul Kahan Mani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.23049227398458,26.158087674040555]}"
16_0,0.48,0.10573985,1.14,0.48,15,0.12737294,217,2.36,179,0.2977248,0.48,12,0.12350301,12,0.23320752,0.16642706,-1.907914698999075,0.96,339.6262,240,256,2023-10-27,MUZAFFARPUR,57,2024-06-30T00:00:00,8.3,2.4984584,296,292,464,452,2.965506,2023-07-01T00:00:00,30.16048484848485,Phul Kahan Mani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.23157025232553,26.160513125307677]}"
17_0,0.44,0.14374924,0.96,0.56,6.08,0.16087879,217,7.56,193,0.267975,0.56,49,0.16127878,34,0.23681818,0.18634167,1.066104339131923,0.88,330.8796,240,256,2023-10-27,MUZAFFARPUR,56,2024-06-30T00:00:00,8.8,2.4984584,296,292,464,452,2.1224077,2023-07-01T00:00:00,30.16048484848485,Phul Kahan Mani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.23103126315506,26.159435146966732]}"
18_0,0.46,0.09687089,0.66,0.48,15,0.11908955,350,2.36,177,0.30665895,0.59,30,0.10957761,15,0.21132538,0.14182612,-1.148150535342458,0.66,311.91132,241,258,2023-10-27,MUZAFFARPUR,57,2024-06-30T00:00:00,8.5,2.4984584,294,289,465,453,1.3882307,2023-07-01T00:00:00,30.13727272727273,Phul Kahan Mani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.24450599241685,26.15512323360296]}"
19_0,0.36,0.13299546,0.55,0.44,4.22,0.15115,186,5,197,0.27338183,0.58,45,0.15312196,21,0.24439545,0.18808258,-1.6375921449547661,0.86,65.829544,246,257,2023-10-27,MUZAFFARPUR,59,2024-06-30T00:00:00,8.8,2.4984584,298,296,456,447,2.264018,2023-07-01T00:00:00,30.149696969696976,Phul Kahan Mani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.22806682271747,26.156201211943905]}"
20_0,0.21,0.12689926,0.84,0.56,9,0.14576222,156,7.44,193,0.27831408,0.56,45,0.14463925,25,0.23548815,0.17606,-1.1481734608742689,0.28,311.9109,242,259,2023-10-26,MUZAFFARPUR,59,2024-06-30T00:00:00,8.9,2.4984584,300,295,458,446,1.3882416,2023-07-01T00:00:00,30.13727272727273,Phul Kahan Mani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.24477548700209,26.156740201114374]}"
21_0,0.12,0.08386866,1.14,0.47,14.56,0.10363358,141,2.36,141,0.28131866,0.26,42,0.09426418,14,0.21303582,0.1402306,3.041440139083195,0.32,48.090256,245,256,2023-10-27,MUZAFFARPUR,56,2024-06-30T00:00:00,8.5,2.4984584,293,292,462,452,1.3882728,2023-07-01T00:00:00,30.184875,Phul Kahan Mani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.22941429564364,26.161321609063386]}"
22_0,0.49,0.09639399,0.76,0.42,10.14,0.115726314,215,3.3,242,0.28773007,0.84,41,0.11060376,7,0.22232255,0.15133308,-1.4378352335744182,0.66,-0.0,239,254,2023-10-27,MUZAFFARPUR,59,2024-06-30T00:00:00,8.5,2.4984584,300,295,460,451,1.8543341,2023-07-01T00:00:00,30.16048484848485,Phul Kahan Mani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.23372620900741,26.158896157796264]}"
23_0,0.52,0.10273459,0.48,0.41,7.04,0.1217,233,2.33,209,0.27518347,0.65,22,0.113200754,18,0.21290827,0.14503986,-0.15962325768351077,0.38,270.0,239,254,2023-10-27,MUZAFFARPUR,57,2024-06-30T00:00:00,8.2,2.4984584,300,295,460,451,1.0332326,2023-07-01T00:00:00,30.16048484848485,Phul Kahan Mani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.2342651981779,26.160513125307677]}"
24_0,0.32,0.11749333,0.82,0.32,9,0.13508667,292,2.36,179,0.2828037,0.48,57,0.1296274,12,0.22606888,0.16597408,-1.572957439578715,0.92,150.87984,238,254,2023-10-27,MUZAFFARPUR,58,2024-06-30T00:00:00,8.4,2.4984584,300,295,462,450,2.122403,2023-07-01T00:00:00,30.15115151515152,Phul Kahan Mani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.24208054114973,26.15835716862579]}"
25_0,0.52,0.11749333,0.48,0.41,7.04,0.13508667,233,3.9,209,0.2828037,0.65,22,0.1296274,18,0.22606888,0.16597408,-1.572957439578715,0.38,150.87984,238,254,2023-10-27,MUZAFFARPUR,58,2024-06-30T00:00:00,8.2,2.4984584,300,295,462,450,2.122403,2023-07-01T00:00:00,30.15115151515152,Phul Kahan Mani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.24208054114973,26.15835716862579]}"
26_0,0.56,0.100157775,0.92,0.62,4.22,0.11888148,266,3.22,204,0.28637555,0.62,66,0.107717775,19,0.23066814,0.14687185,0.23809317493799234,0.48,131.9103,258,264,2023-10-27,MUZAFFARPUR,58,2024-06-30T00:00:00,8.2,2.4984584,291,292,451,444,1.3882581,2023-07-01T00:00:00,30.15115151515152,Phul Kahan Mani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.24747043285444,26.1591656523815]}"
27_0,0.56,0.1316437,0.78,0.71,9.08,0.15679556,146,5.26,197,0.28253037,0.58,20,0.15905629,26,0.24586149,0.1905037,-1.1481613482972484,0.86,228.08897,249,258,2023-10-27,MUZAFFARPUR,59,2024-06-30T00:00:00,8.1,2.413772,291,291,460,452,1.388238,2023-07-01T00:00:00,30.138484848484854,Phul Kahan Mani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.2501653787068,26.156201211943905]}"
28_0,0.41,0.108000755,0.62,0.71,6.04,0.12681805,241,5.44,193,0.27692106,0.56,56,0.12179022,14,0.21395263,0.15374812,-1.1482154355663245,0.56,228.08992,240,256,2023-10-27,MUZAFFARPUR,58,2024-06-30T00:00:00,8.5,2.4984584,296,292,464,452,1.3882636,2023-07-01T00:00:00,30.16048484848485,Phul Kahan Mani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.2313007577403,26.159974136137205]}"
