system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.54,0.07970227,3.362,0.52,17.88,0.100384094,204,31.98,311,0.23127727,0.45,32,0.10115227,14,0.23122045,0.16599318,12.252868592095563,1.83,180.0,261,274,2024-04-26,PATNA,57,2024-06-30T00:00:00,7.2,2.6293013,319,318,420,408,0.92740995,2023-07-01T00:00:00,30.456000000000007,Kansari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.18386971073878,25.445813485262185]}"
2_0,0.51,0.08014444,0.654,0.34,2.084,0.103255555,246,3.49,401,0.23207778,0.6,44,0.110361114,15,0.23520833,0.16861944,2.941805536198268,0.852,320.31442,285,283,2024-04-25,PATNA,42,2024-06-30T00:00:00,7.6,2.7608151,280,284,435,433,4.8095593,2023-07-01T00:00:00,30.4351875,Darwe Bhadaur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.7589711556321,25.33235626487789]}"
3_0,0.35,0.07246211,1.918,0.59,8.374,0.09303292,338,5.044,514,0.29375404,0.79,48,0.0851528,17,0.22185156,0.14074038,-1.9404488785971736,1.536,90.0,282,299,2024-04-09,PATNA,65,2024-06-30T00:00:00,7.9,2.1048183,279,276,439,425,3.0800176,2023-07-01T00:00:00,30.327176470588228,Machhalpurlai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.8044213347267,25.50806673445167]}"
4_0,0.57,0.09807,1.464,0.64,6.43,0.123446874,231,5.102,425,0.2925856,0.64,48,0.1230475,16,0.24551937,0.1719875,-0.738178078043697,0.702,180.0,252,265,2024-04-09,PATNA,61,2024-06-30T00:00:00,8.1,2.335542,294,290,454,445,0.92740995,2023-07-01T00:00:00,30.4769696969697,Ichipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.92461591974188,25.374397420174684]}"
5_0,0.61,0.07753205,1.058,0.68,0.642,0.10092436,218,3.27,329,0.28196153,0.48,38,0.10616025,13,0.24345,0.17391603,6.05151851254511,1.686,-0.0,274,302,2024-05-08,PATNA,56,2024-06-30T00:00:00,6.5,2.1957495,290,288,436,410,0.0,2023-07-01T00:00:00,30.40823529411765,Daulatpur semri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.90871573921298,25.605893268892284]}"
6_0,0.41,0.0883721,2.08,0.42,16.27,0.112048835,271,12.55,554,0.22683954,0.69,29,0.119281396,15,0.2371721,0.17694418,11.426013448401637,0.95,331.026,261,274,2024-04-26,PATNA,56,2024-06-30T00:00:00,6.9,2.6293013,319,318,420,408,2.119401,2023-07-01T00:00:00,30.456000000000007,Kansari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.1846781944945,25.44608297984742]}"
7_0,0.48,0.10354625,1.432,0.26,1.022,0.12607625,271,15.54,442,0.28859624,0.67,46,0.13555938,11,0.25626126,0.1876525,-0.84369975967138,1.47,270.0,270,299,2024-05-09,PATNA,58,2024-06-30T00:00:00,7.1,2.1957495,275,276,455,425,1.0285202,2023-07-01T00:00:00,30.424352941176473,Daulatpur semri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.90116989082637,25.620715471080256]}"
8_0,0.54,0.075271614,1.036,0.72,0.642,0.10252193,257,30.58,442,0.2917787,0.67,44,0.10926968,10,0.24855806,0.1757142,2.3782018468092545,2.156,294.2703,274,302,2024-05-07,PATNA,55,2024-06-30T00:00:00,6.5,2.1957495,290,288,436,410,2.2552745,2023-07-01T00:00:00,30.40823529411765,Daulatpur semri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.9081767500425,25.60616276347752]}"
9_0,0.57,0.09481364,2.272,0.49,16.84,0.11739026,263,8.182,419,0.2838818,0.63,28,0.12036299,16,0.24377337,0.17116688,-2.3891780979836965,1.224,320.25146,270,299,2024-03-12,PATNA,58,2024-06-30T00:00:00,7.5,2.1957495,289,285,441,416,4.81393,2023-07-01T00:00:00,30.40823529411765,Daulatpur semri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.90709877170156,25.60104236635804]}"
10_0,0.45,0.07646571,1.77,0.45,24.04,0.10263143,219,6.442,263,0.29370856,0.37,48,0.101705715,14,0.24485143,0.17144571,-1.4312453001582217,0.11,180.0,260,264,2024-04-09,PATNA,46,2024-06-30T00:00:00,8.2,2.7449453,313,313,427,423,1.8543341,2023-07-01T00:00:00,30.384645161290322,Saksohara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.6942924551755,25.364426120520957]}"
