system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.18,0.08121613,1.64,0.3,1.18,0.11405806,156,1.48,244,0.28286773,0.85,22,0.12452581,14,0.25506452,0.19419354,-0.0570681661406466,0.28,-0.0,286,304,2024-04-18,PURBI CHAMPARAN,69,2024-06-30T00:00:00,7.41,3.0327747,273,261,441,434,0.92740995,2023-07-01T00:00:00,30.166000000000004,Rampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.92677187642377,26.804605184021373]}"
1_0,0.649,0.08323788,1.765,0.72,20.078,0.10492727,169,3.501,181,0.2607182,0.49,14,0.10960606,12,0.23589091,0.17503333,-1.5801733967234997,3.36,209.2641,286,268,2024-03-24,PURBI CHAMPARAN,78,2024-06-30T00:00:00,7.49,3.1353543,303,311,411,420,2.125381,2023-07-01T00:00:00,30.214774193548383,Jhanjhara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.0900855950767,26.836405545079206]}"
2_0,0.286,0.12265883,4.634,0.49,14.384,0.13922353,252,4.356,148,0.2787912,0.3,23,0.12957352,10,0.221,0.16440588,-1.1506294326227482,1.98,228.13452,262,281,2024-04-12,PURBI CHAMPARAN,68,2024-06-30T00:00:00,7.59,2.5058625,314,304,424,415,4.1618876,2023-07-01T00:00:00,30.156611111111115,Karhan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.80334335638575,26.34188298117141]}"
3_0,0.386,0.08742059,2.607,0.4,17.516,0.10985294,142,3.519,221,0.21873823,0.72,12,0.11474706,10,0.21061176,0.17069411,-0.8600989676682887,0.457,90.0,275,265,2024-04-08,PURBI CHAMPARAN,73,2024-06-30T00:00:00,7.35,2.2331164,296,294,429,441,1.0370538,2023-07-01T00:00:00,30.1654375,Sankar Saraiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.87368144313231,26.58712305373604]}"
4_0,0.488,0.0715353,3.956,0.39,8.423,0.095447056,118,4.757,174,0.28447646,0.45,24,0.086794116,21,0.19427058,0.12420882,-1.5542156206957467,1.37,90.0,270,269,2024-02-21,PURBI CHAMPARAN,74,2024-06-30T00:00:00,8.15,2.7047253,313,315,417,417,2.0744405,2023-07-01T00:00:00,30.08486486486487,Pakariya Harsidhi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.73057981837208,26.643177927465096]}"
5_0,0.599,0.11210883,1.559,0.55,5.319,0.13487352,282,3.442,166,0.26217353,0.4,25,0.1435647,18,0.23410589,0.19102941,2.736374857687289,0.533,228.22351,291,277,2024-04-06,PURBI CHAMPARAN,70,2024-06-30T00:00:00,8.15,2.8707676,302,307,406,415,1.3918818,2023-07-01T00:00:00,30.1764375,Chhapra Bahas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.78932963795349,26.70084976870557]}"
6_0,0.304,0.105482355,1.559,0.37,5.168,0.13355294,282,3.63,120,0.27652353,0.14,11,0.14452647,19,0.2535,0.2022353,3.1335784756304657,0.513,-0.0,284,280,2024-04-06,PURBI CHAMPARAN,71,2024-06-30T00:00:00,7.85,2.6210775,304,303,412,417,0.0,2023-07-01T00:00:00,30.220812500000008,Chhapra Bahas,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.79040761629443,26.698693812023684]}"
7_0,0.563,0.06397576,2.036,0.55,18.918,0.08763637,228,4.471,192,0.23481213,0.55,14,0.08052424,10,0.18774243,0.12770303,-2.0039550923888196,0.35,253.42358,278,264,2024-04-06,PURBI CHAMPARAN,71,2024-06-30T00:00:00,7.45,2.8707676,317,318,404,419,3.2475204,2023-07-01T00:00:00,30.193411764705875,Suganw,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.76938703864603,26.748011321121844]}"
8_0,0.579,0.119480595,1.021,0.54,18.568,0.13871641,202,8.556,171,0.2699582,0.43,10,0.13829403,14,0.2573418,0.2020403,-0.8578826509616817,0.197,270.0,289,287,2024-03-25,PURBI CHAMPARAN,68,2024-06-30T00:00:00,8.1,2.8626492,328,330,383,384,1.0358955,2023-07-01T00:00:00,30.18542857142857,Jogaulia Tola Kasba,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.08981610049148,26.45884363116377]}"
9_0,0.651,0.051224243,2.171,0.37,6.736,0.07418182,214,0.707,186,0.2825879,0.52,18,0.06199697,23,0.17364243,0.10970909,-0.16753355302499595,0.677,90.0,288,285,2024-03-06,PURBI CHAMPARAN,71,2024-06-30T00:00:00,7.15,2.2757957,261,260,451,455,1.037356,2023-07-01T00:00:00,30.12254545454546,Baswaria,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.94455851904934,26.620540382305283]}"
