system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.785,0.08729062,0.486,0.196,11.741,0.11004688,215.85,3.35,339,0.23395625,0.82,34.19,0.1172,16.6,0.22788125,0.1776375,-1.904626771689509,0.935,200.31828,288,293,2024-02-05,SAHARSA,47,2024-06-30T00:00:00,5.42,3.7651,298,299,413,408,2.9644425,2023-07-01T00:00:00,30.125935483870965,Patarghat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.7736182690451,25.811248142842008]}"
1_0,0.345,0.10722812,0.268,0.49,8.29,0.1248,165.03,4.75,247,0.1972,0.46,33.21,0.13762812,10.93,0.24785624,0.21685313,-0.8468101833749603,0.942,270.0,261,270,2024-02-28,SAHARSA,46,2024-06-30T00:00:00,6.99,3.7651,306,307,433,423,1.0301324,2023-07-01T00:00:00,30.082312500000004,Patarghat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.79140491167067,25.80720572406347]}"
2_0,0.283,0.0900875,0.552,0.654,9.551,0.117978126,223.43,4.26,298,0.234975,0.66,30.28,0.12481875,10.12,0.24315,0.18683125,-2.06024432030262,0.429,143.45277,262,264,2024-01-19,SAHARSA,46,2024-06-30T00:00:00,7.09,3.5960484,329,333,409,403,3.4593077,2023-07-01T00:00:00,30.104451612903226,Bara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.51894588599721,25.921201933618235]}"
3_0,0.69,0.08205161,0.368,0.387,14.111,0.10619355,139.83,2.26,231,0.2734645,0.4,31.26,0.09841613,17.82,0.2170613,0.14815484,2.04172546857096,0.746,-0.0,317,319,2024-03-14,SAHARSA,46,2024-06-30T00:00:00,7.12,3.7273011,307,311,376,369,0.0,2023-07-01T00:00:00,30.147687499999996,Madanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.56341249256113,25.901259334310783]}"
4_0,0.408,0.09160323,0.512,0.213,10.29,0.10873226,123.57,4.66,254.92,0.2796,0.48,46.89,0.099861294,11.74,0.21661612,0.14709355,-1.144752997072206,0.518,48.025715,321,318,2024-02-06,SAHARSA,45,2024-06-30T00:00:00,5.32,3.6276753,310,317,368,365,1.3865342,2023-07-01T00:00:00,30.11254545454545,Madanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.55910057919736,25.89559994802083]}"
5_0,0.408,0.049928125,0.78,0.375,10.37,0.07215,189.29,3.8,267.31,0.2639875,0.54,27.35,0.0587,12.15,0.19213438,0.10987188,-0.18430526616724732,0.943,150.92685,272,276,2024-01-18,SAHARSA,45,2024-06-30T00:00:00,6.74,3.5960484,320,328,409,396,2.121435,2023-07-01T00:00:00,30.068500000000007,Bara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.50547115673542,25.93198171702767]}"
6_0,0.314,0.0968625,0.231,0.663,5.34,0.11951875,151.21,2.27,341.7,0.2515,0.83,46.89,0.12555,7.29,0.25540626,0.20425938,-0.04819173417581086,0.683,180.0,282,286,2024-01-13,SAHARSA,43,2024-06-30T00:00:00,7.29,3.597618,308,309,411,405,0.92740995,2023-07-01T00:00:00,30.140812500000003,Lagma,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.68279859382062,25.759235687891486]}"
7_0,0.471,0.0685742,0.632,0.692,13.81,0.09255806,174.93,1.79,272.44,0.27758387,0.56,33.21,0.08506129,8.5,0.20058388,0.13285162,-1.8347085747950551,0.683,47.966625,292,295,2024-02-10,SAHARSA,39,2024-06-30T00:00:00,7.94,3.7241304,309,314,399,391,2.768279,2023-07-01T00:00:00,30.125687499999994,Sahuria,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.66393397285411,25.649551391700495]}"
8_0,0.22,0.12545624,0.447,0.845,12.43,0.14994062,165.17,2.26,216,0.26799062,0.34,32.24,0.17251875,4.45,0.27949688,0.237375,-1.2537394488719176,0.738,90.0,305,315,2024-03-01,SAHARSA,46,2024-06-30T00:00:00,7.15,3.9455543,299,297,396,388,6.162152,2023-07-01T00:00:00,30.15054545454545,Tiri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.67094083207024,25.894521969679886]}"
9_0,0.44,0.070975,0.346,0.387,10.18,0.089509375,139.83,2.26,231,0.2371625,0.4,31.26,0.08354375,16.6,0.21290626,0.14873438,-1.9055275452531457,0.917,159.66655,285,285,2024-03-19,SAHARSA,47,2024-06-30T00:00:00,7.21,3.9946454,306,308,409,407,2.9647326,2023-07-01T00:00:00,30.118060606060606,Tiri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.69950725810524,25.907188215185972]}"
10_0,0.534,0.06595937,0.435,0.843,9.462,0.0915,181.43,1.82,298,0.27677187,0.66,29.31,0.079315625,10.93,0.21949375,0.13929375,-1.8382715348794176,0.715,311.96738,281,287,2024-01-08,SAHARSA,45,2024-06-30T00:00:00,6.28,3.6326876,316,323,404,390,2.7718174,2023-07-01T00:00:00,30.07251428571429,Pokharbhinda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.48741501952462,25.924166374055833]}"
11_0,0.345,0.07977419,0.578,0.75,12.43,0.10287097,208.12,3.23,293,0.30731934,0.64,40.05,0.09318064,10.93,0.21842903,0.14830646,-1.1448087076030953,0.549,311.97314,242,248,2024-01-23,SAHARSA,48,2024-06-30T00:00:00,7.09,3.6350222,327,334,431,418,1.3865649,2023-07-01T00:00:00,30.03674285714285,Semar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.42004137321565,25.90018135596984]}"
12_0,0.565,0.07471875,0.8,0.451,14.55,0.09806562,196.88,5.7,233.97,0.28909376,0.41,32.24,0.08795937,16.2,0.18462187,0.12785313,-0.15540144891410268,0.868,270.0,260,263,2024-02-06,SAHARSA,42,2024-06-30T00:00:00,6.44,3.5960484,307,311,433,426,1.031033,2023-07-01T00:00:00,30.107548387096777,Hario,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.53861899071943,25.91069164479404]}"
13_0,0.534,0.05635,0.488,0.399,6.826,0.07775,193.22,3.71,305.78,0.24794376,0.69,34.19,0.0681,8.91,0.17788126,0.10855625,-0.15504567990166776,0.781,270.0,245,253,2024-01-18,SAHARSA,43,2024-06-30T00:00:00,6.27,3.5827055,333,337,422,410,1.0308511,2023-07-01T00:00:00,30.047777777777778,Lohaur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.46127404475675,25.889671067145642]}"
14_0,0.471,0.10184062,0.323,0.417,9.88,0.121703126,144.03,1.78,259.62,0.25120312,0.51,31.26,0.117696874,6.48,0.21018125,0.15282813,-0.046422065514550415,0.653,131.96912,257,258,2024-02-06,SAHARSA,45,2024-06-30T00:00:00,8.49,3.5960484,310,316,433,426,1.3866731,2023-07-01T00:00:00,30.122967741935486,Hario,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.54427837700939,25.916890020254463]}"
15_0,0.376,0.09194688,0.335,0.1419,12.18,0.11977813,201.48,2.42,323.74,0.29195938,0.76,25.4,0.121206254,17.41,0.26535624,0.20412813,2.7356763044067294,0.773,-0.0,260,269,2024-02-17,SAHARSA,44,2024-06-30T00:00:00,7.32,3.7651,306,307,434,424,0.0,2023-07-01T00:00:00,30.1078064516129,Patarghat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.7841285578693,25.806127745722527]}"
