system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.78,0.09605658,0.8,0.48,8.44,0.122652635,226,4.64,216,0.29927236,0.69,38,0.13166974,12,0.2526908,0.17910922,-1.4357411519007774,0.86,-0.0,233,274,2024-03-28,SARAN,60,2024-06-30T00:00:00,7.83,2.3297367,290,273,477,453,1.8543341,2023-07-01T00:00:00,30.215945945945954,Matiyar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.4594682656248,25.909613666453094]}"
1_0,0.7,0.09768026,0.96,0.68,8.4,0.13210526,205,5.27,218,0.29161185,0.7,32,0.14604211,9,0.2972671,0.217475,-2.1008434510016345,0.94,239.05235,254,286,2024-03-28,SARAN,60,2024-06-30T00:00:00,7.73,2.3297367,299,282,447,432,3.6023731,2023-07-01T00:00:00,30.319833333333335,Matiyar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.46782259776711,25.9171595148397]}"
2_0,0.66,0.1095921,0.82,0.48,9.27,0.14369605,245,5.32,223,0.28727105,0.73,37,0.15819737,12,0.27646315,0.22135264,-0.15543941706505682,0.78,90.0,254,286,2024-03-28,SARAN,58,2024-06-30T00:00:00,7.63,2.3297367,297,281,448,433,1.0310549,2023-07-01T00:00:00,30.232444444444443,Matiyar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.47159552196041,25.91311709606116]}"
3_0,0.81,0.10797632,0.7,0.48,8.47,0.13482632,245,4.64,202,0.30182633,0.61,26,0.13579342,13,0.26203948,0.19458815,2.7348223576670785,0.76,-0.0,245,272,2024-02-05,SARAN,59,2024-06-30T00:00:00,7.81,2.3297367,291,276,464,452,0.0,2023-07-01T00:00:00,30.190228571428577,Matiyar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.47968035951749,25.908266193526917]}"
4_0,0.71,0.104332894,0.72,0.37,8.32,0.12324079,262,4.68,200,0.2675908,0.6,31,0.12198947,14,0.2384171,0.17152236,-1.5703556119417443,0.68,29.06828,243,275,2024-02-05,SARAN,60,2024-06-30T00:00:00,7.87,2.3297367,294,277,463,448,2.1213346,2023-07-01T00:00:00,30.190228571428577,Matiyar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.47887187576178,25.908266193526917]}"
5_0,0.78,0.10519054,0.72,0.64,8.61,0.13073784,220,5.32,197,0.3221027,0.58,30,0.13091351,11,0.26052433,0.18982838,-1.9901603859680754,0.69,253.30966,243,275,2024-02-05,SARAN,61,2024-06-30T00:00:00,7.67,2.3297367,294,278,462,447,3.2260218,2023-07-01T00:00:00,30.24565714285714,Matiyar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.47644642449465,25.908535688112153]}"
6_0,0.57,0.10006184,0.88,0.48,9.21,0.12483553,222,5.38,185,0.35444868,0.51,31,0.122776315,6,0.27495527,0.18696184,0.3123850072594475,0.83,106.68997,247,278,2024-03-28,SARAN,61,2024-06-30T00:00:00,7.6,2.3297367,295,279,458,443,3.2260914,2023-07-01T00:00:00,30.232444444444443,Matiyar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.47213451113089,25.911500128549747]}"
7_0,0.26,0.089728944,0.74,0.37,8.36,0.118546054,206,5.36,218,0.2934184,0.7,28,0.12795,11,0.2824658,0.20475264,-0.8485757954026572,0.68,90.0,250,284,2024-03-28,SARAN,59,2024-06-30T00:00:00,8.32,2.3297367,291,275,459,441,1.0310476,2023-07-01T00:00:00,30.232444444444443,Matiyar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.47024804903424,25.912308612305452]}"
8_0,0.78,0.12966053,0.8,0.44,9.2,0.15271053,202,5.22,211,0.29525262,0.66,42,0.15962763,6,0.28100657,0.20658948,-2.1007311990007715,0.94,59.050747,247,281,2024-03-28,SARAN,62,2024-06-30T00:00:00,8.26,2.3297367,298,281,455,439,3.602205,2023-07-01T00:00:00,30.232444444444443,Matiyar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.47024804903424,25.909613666453094]}"
9_0,0.47,0.09297895,0.79,0.6,8.31,0.120230265,222,5.18,197,0.3220408,0.58,36,0.124639474,12,0.27261186,0.19285527,-1.4357673870171108,0.76,-0.0,254,286,2024-03-28,SARAN,59,2024-06-30T00:00:00,8.17,2.3297367,297,281,448,433,1.8543341,2023-07-01T00:00:00,30.232444444444443,Matiyar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.4707870382047,25.912308612305452]}"
