system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.24,0.093677774,1.61,0.273,40.12,0.110219754,287.61,26.14,213.24,0.22390123,0.78,17.024,0.12175802,18.75,0.28751606,0.20966914,-1.084047519635274,1.1,313.10962,328,340,2024-02-07,BALOD,352,2024-06-30T00:00:00,6.92,3.6963227,362,363,309,297,1.3569247,2023-07-01T00:00:00,30.353833333333327,Murramkheda F.V.,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.25975905511947,20.59356347809059]}"
1_0,0.47,0.08470123,0.53,0.2,12.47,0.108014815,297.92,20.18,275.97,0.2696457,0.74,5.38,0.11783333,10,0.26025555,0.1893,-1.5253816426627456,0.7,208.1748,398,409,2024-01-28,BALOD,308,2024-06-30T00:00:00,7.35,3.8476546,307,308,294,283,2.103375,2023-07-01T00:00:00,30.539611111111114,Achholi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.17405977701448,21.015861493155178]}"
2_0,0.53,0.104249366,1.01,0.17,0.53,0.12221012,7.17,37.9,175.62,0.26134178,0.36,16.13,0.1335557,11,0.2663076,0.19079368,-0.012705565716548248,0.86,-0.0,417,432,2024-01-25,BALOD,315,2024-06-30T00:00:00,6.91,3.6454296,274,269,309,299,0.92740995,2023-07-01T00:00:00,30.59751351351352,Achaud,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.17513775535542,20.97597629454027]}"
3_0,0.8,0.059554055,0.9,0.25,28.05,0.08441351,424.25,31.57,376.25,0.23035136,0.79,12.554,0.0964054,7.5,0.2199892,0.15467837,2.0786135335349476,0.5,-0.0,386,400,2024-03-11,BALOD,311,2024-06-30T00:00:00,6.38,3.6745818,253,247,361,353,0.0,2023-07-01T00:00:00,30.522702702702695,Ranitarai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.10048775524508,20.943097955141496]}"
4_0,1.4,0.082701266,1.73,0.14,29.18,0.09789747,401.74,29.72,188.16,0.25383925,0.56,23.29,0.09984683,35,0.2481595,0.1673405,-2.033516855428236,0.75,301.95108,349,354,2024-02-15,BALOD,354,2024-06-30T00:00:00,6.63,3.4840248,343,345,308,302,3.5009255,2023-07-01T00:00:00,30.42815,Bhaisbor,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.10803360363168,20.687078099167433]}"
5_0,0.46,0.08721125,1.82,0.14,15.92,0.10718,121.87,5.92,125,0.27373,0.51,3.21,0.1095575,4.45,0.22708125,0.15675,0.04277060803457495,0.81,58.096527,427,438,2024-02-29,BALOD,315,2024-06-30T00:00:00,6.4,3.6454296,273,268,300,294,3.5055861,2023-07-01T00:00:00,30.491999999999997,Dudia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.17217331491783,20.965735500301307]}"
6_0,1.5,0.067438036,1.32,0.18,39.37,0.08528773,314.6,25.78,376.32,0.20580307,0.77,41.21,0.092209205,15,0.24956748,0.17701289,-0.07406835735363977,2.29,270.0,374,383,2024-03-02,BALOD,381,2024-06-30T00:00:00,7.25,3.7079978,363,358,263,259,0.98961425,2023-07-01T00:00:00,30.482789473684203,Pusawad,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.09186392851754,20.424859867732945]}"
7_0,1.8,0.08119231,0.49,0.108,41.48,0.10279295,427.39,19.7,363.77,0.26004872,0.88,9.856,0.109889105,8.75,0.23491025,0.16389103,-0.7045760911858797,0.54,180.0,362,372,2024-02-09,BALOD,316,2024-06-30T00:00:00,6.98,3.7620883,316,310,322,318,0.92740995,2023-07-01T00:00:00,30.460722222222234,Tamora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.37752818886754,20.779784236488567]}"
8_0,0.48,0.080233335,0.98,0.124,8.23,0.10359935,186.2,13.96,439.12,0.30108824,0.83,23.29,0.097926795,13.5,0.19768561,0.12720196,-0.2708139216365564,0.3,151.86076,444,442,2024-02-16,BALOD,321,2024-06-30T00:00:00,6.68,3.5255954,256,254,300,305,4.1997046,2023-07-01T00:00:00,30.271428571428565,Jagnnathpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.18942096837291,20.79191149282418]}"
9_0,1.87,0.070875324,1.97,0.45,7.66,0.09384415,606.25,30.08,163,0.25153247,0.62,3.29,0.09847273,9.66,0.24951299,0.17317662,-2.0089521722718238,0.65,35.49549,379,397,2024-03-04,BALOD,316,2024-06-30T00:00:00,6.8,3.748162,290,287,331,316,3.41355,2023-07-01T00:00:00,30.444666666666663,Siyanmara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.4012437123683,20.80619470584168]}"
