system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.345,0.07167108,0.51,0.659,4.6,0.09426747,357.72,6.52,163,0.2633795,0.585,32.04,0.09296265,12.3,0.21708795,0.14666145,-1.0984417922398493,0.29,312.83865,371,379,2024-02-12,BEMETARA,289,2024-06-30T00:00:00,7.1,4.127721,186,182,443,440,1.363828,2023-07-01T00:00:00,30.46388888888889,Jangalpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.54084190752047,21.987658967515674]}"
1_0,0.313,0.08178261,1.34,0.49,5.12,0.10531014,348.76,5.94,338.6,0.22374202,0.283,15.23,0.11718261,8.5,0.23909566,0.17618261,-2.043901998728898,0.48,301.79453,366,368,2024-02-07,BEMETARA,285,2024-06-30T00:00:00,7.1,4.245368,197,200,438,432,3.516307,2023-07-01T00:00:00,30.441631578947362,Adar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.27242530062556,21.58988495970755]}"
2_0,0.371,0.07357571,1.28,0.438,4.65,0.095215715,430.64,6.98,238.3,0.24215,0.679,31.15,0.100455716,10.9,0.21861857,0.15188286,-1.153277761705056,0.19,104.87797,366,368,2024-01-20,BEMETARA,284,2024-06-30T00:00:00,7.36,4.245368,197,200,438,432,7.186614,2023-07-01T00:00:00,30.441631578947362,Adar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.27242530062556,21.59069344346326]}"
3_0,0.265,0.06531899,0.97,0.436,3.46,0.08763291,278.88,6.4,125.4,0.21001646,0.666,20.6,0.09553924,11.5,0.20742026,0.15243544,-1.4029015478184432,0.77,180.0,385,401,2024-01-05,BEMETARA,270,2024-06-30T00:00:00,7.48,4.2762256,208,199,407,400,1.8543341,2023-07-01T00:00:00,30.480800000000006,Achholi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.60740707007373,21.559701566161134]}"
4_0,0.519,0.08345443,0.85,0.369,3.94,0.105355695,273.95,6.92,225.7,0.25898102,0.78,14.33,0.111168355,8.1,0.24511519,0.16793925,-1.9314230300897295,0.64,72.81563,386,400,2024-01-09,BEMETARA,276,2024-06-30T00:00:00,6.59,4.23028,177,174,437,426,3.1361396,2023-07-01T00:00:00,30.324342857142852,Agri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.71709136626473,21.911930989064402]}"
5_0,0.269,0.061115,0.71,0.432,3.19,0.08751125,396.7,6.59,163,0.2267675,0.432,13.35,0.09645125,7.2,0.22639625,0.17005625,-2.737005602529121,0.43,277.5679,389,399,2024-01-08,BEMETARA,267,2024-06-30T00:00:00,6.8,4.2762256,206,199,405,402,7.0072484,2023-07-01T00:00:00,30.476514285714288,Achholi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.60228667295425,21.56401347952491]}"
6_0,0.296,0.07637625,0.65,0.468,5.96,0.09841,333.31,6.33,200.7,0.22965375,0.794,28.67,0.10109625,14.5,0.21019125,0.149315,-0.3226923490350526,0.94,245.08661,402,392,2024-01-24,BEMETARA,284,2024-06-30T00:00:00,7.22,4.02589,205,211,393,396,4.394902,2023-07-01T00:00:00,30.46635294117647,Adar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.47993613125718,21.730291638615434]}"
7_0,0.408,0.06676892,1.44,0.48,4.58,0.092566215,482.04,5.81,326.1,0.23875676,0.358,23.29,0.104183786,8,0.23145135,0.16476756,-1.4030764658896635,0.45,-0.0,371,375,2024-02-07,BEMETARA,288,2024-06-30T00:00:00,7.01,4.245368,191,194,438,431,1.8543341,2023-07-01T00:00:00,30.453589743589745,Adar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.27673721398934,21.58611203551425]}"
8_0,0.288,0.08345443,1.61,0.399,4.71,0.105355695,296.8,6.99,213.24,0.25898102,0.75,34.94,0.111168355,11.9,0.24511519,0.16793925,-1.9314230300897295,0.43,72.81563,386,400,2024-01-24,BEMETARA,276,2024-06-30T00:00:00,7.23,4.23028,177,174,437,426,3.1361396,2023-07-01T00:00:00,30.324342857142852,Achholi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.71709136626473,21.911930989064402]}"
9_0,0.371,0.08345443,1.13,0.496,3.88,0.105355695,309.56,5.84,200.7,0.25898102,0.502,20.6,0.111168355,7.7,0.24511519,0.16793925,-1.9314230300897295,0.51,72.81563,386,400,2024-01-09,BEMETARA,276,2024-06-30T00:00:00,7.25,4.23028,177,174,437,426,3.1361396,2023-07-01T00:00:00,30.324342857142852,Agri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.71709136626473,21.911930989064402]}"
10_0,0.391,0.076989874,0.53,0.344,4.27,0.10324177,348.43,7.14,188.1,0.24517342,0.642,32.04,0.113513924,15.6,0.23929493,0.16922659,1.0890430118474894,0.15,270.0,377,383,2024-01-20,BEMETARA,282,2024-06-30T00:00:00,6.81,4.245368,188,188,435,429,1.9941862,2023-07-01T00:00:00,30.42666666666667,Adar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.28536104071688,21.593388389315617]}"
11_0,0.271,0.089468114,1.77,0.496,4.4,0.11846232,220.47,5.29,213.24,0.27818117,0.747,34.94,0.1375029,12.8,0.28954348,0.22405942,-1.096805135526304,0.37,312.8694,375,399,2024-01-25,BEMETARA,307,2024-06-30T00:00:00,7.15,4.1128983,199,192,426,409,1.3630395,2023-07-01T00:00:00,30.467250000000014,Kopedabri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.32632421767273,21.834316548516473]}"
12_0,0.291,0.081644446,0.65,0.336,4.63,0.10092716,455.07,6.51,175.61,0.24751852,0.543,25.98,0.10611358,6.5,0.22514568,0.16055803,0.8496078118814875,0.36,47.12085,440,445,2024-02-02,BEMETARA,298,2024-06-30T00:00:00,7.02,4.011855,252,252,308,303,1.3627896,2023-07-01T00:00:00,30.46768421052632,Darri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.36890436214,21.785538028588782]}"
13_0,0.277,0.1257218,0.73,0.236,4.71,0.15123077,286.27,6.1,163.07,0.2381641,0.744,27.77,0.17663333,12.3,0.29452822,0.25773847,-0.0897196000417697,0.36,90.0,401,398,2024-02-03,BEMETARA,274,2024-06-30T00:00:00,7.3,4.1198106,182,183,417,419,0.9974564,2023-07-01T00:00:00,30.358400000000003,Taksiwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.48101410959812,21.6022817106284]}"
14_0,0.278,0.054991025,1.07,0.557,3.35,0.07897692,252.11,6.27,175.61,0.23703974,0.518,20.6,0.07722692,9.1,0.16897692,0.10728077,-1.7111495909148813,0.6,336.72348,384,385,2024-02-03,BEMETARA,265,2024-06-30T00:00:00,7.06,4.2195177,184,184,432,431,5.0353436,2023-07-01T00:00:00,30.357657142857143,Taksiwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.47858865833099,21.590154454292787]}"
15_0,0.362,0.08807674,0.9,0.379,5.7,0.11426279,377.1,6.15,188.16,0.23250465,0.525,17.02,0.13402559,7.5,0.27391627,0.21428604,0.3873993741275336,0.37,-0.0,360,364,2024-02-01,BEMETARA,250,2024-06-30T00:00:00,7.39,4.3029943,189,191,451,445,1.8543341,2023-07-01T00:00:00,30.259459459459464,Amaldiha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.81195346026774,21.77394976142364]}"
16_0,0.265,0.0797481,1.21,0.257,4.72,0.09853671,342.04,6.55,213.2,0.24756835,0.682,18.87,0.09625063,11.5,0.21142279,0.14494683,-2.530555361612277,0.24,299.11655,366,384,2024-02-06,BEMETARA,258,2024-06-30T00:00:00,7.46,4.1313934,191,189,442,427,5.6994615,2023-07-01T00:00:00,30.441611111111108,Ghoghrali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.68367403769548,21.830813118908406]}"
17_0,0.484,0.08202716,0.87,0.258,3.57,0.10437901,466.92,6.26,263.42,0.25802964,0.736,26.88,0.10772222,12.1,0.23733456,0.16898395,-0.0921739410115176,0.49,90.0,422,426,2024-02-03,BEMETARA,296,2024-06-30T00:00:00,7.14,4.011855,256,255,322,319,0.9986918,2023-07-01T00:00:00,30.477736842105262,Darri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.38130111306084,21.780687126054538]}"
18_0,0.301,0.054432467,1.31,0.208,4.15,0.07973896,334.32,7.41,235.7,0.2766091,0.473,11.64,0.0758948,8.5,0.20705454,0.124876626,2.767362875551079,0.36,-0.0,374,373,2024-02-03,BEMETARA,267,2024-06-30T00:00:00,6.85,4.1022406,194,197,432,431,0.0,2023-07-01T00:00:00,30.33394594594594,Taksiwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.44975273771075,21.602012216043164]}"
