system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.5,0.09193158,0.97,0.23,5.5,0.12258421,442.48,3.71,188.16,0.19590789,0.97,16.64,0.15012895,10,0.24486843,0.20848948,10.393351587205832,0.88,244.6689,351,363,2024-02-12,BIJAPUR,110,2024-06-30T00:00:00,6.12,3.5147069,329,322,319,314,2.1667686,2023-07-01T00:00:00,30.461888888888886,Kesaiguda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.4798417254469,18.78660228408417]}"
1_0,0.3,0.10503742,0.5,0.322,5.16,0.12848903,148.217,3.67,175.61,0.28172,0.7,11.48,0.14304581,8.56,0.3078342,0.21166903,3.4095149404052094,0.81,270.0,346,353,2024-02-26,BIJAPUR,296,2024-06-30T00:00:00,5.12,3.3986878,335,336,319,311,0.98073304,2023-07-01T00:00:00,30.37511764705883,Gudma,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.83180165376494,18.982255352965403]}"
2_0,0.6,0.077705555,0.15,0.36,4.62,0.10245,249.62,2.36,159.84,0.2504222,0.69,15.62,0.121369444,11.35,0.28600833,0.20255278,-0.37433589928933714,0.34,313.42288,310,325,2024-03-14,BIJAPUR,114,2024-06-30T00:00:00,6.23,3.536377,350,336,341,338,1.3490684,2023-07-01T00:00:00,30.51075675675676,Minur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.40734768201847,18.842387663227996]}"
3_0,0.6,0.1008,0.23,0.61,5.32,0.123046756,241.36,3.26,153.62,0.26458701,0.84,10.66,0.14071688,11.32,0.3408974,0.25512856,-1.5082627536256634,0.26,332.16336,307,309,2024-03-01,BIJAPUR,179,2024-06-30T00:00:00,6.32,3.299657,386,381,307,310,2.0967886,2023-07-01T00:00:00,30.464705882352945,Modakpal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.71376302543163,18.761269793072003]}"
4_0,0.5,0.07290406,0.35,0.54,6.25,0.09061081,374.55,4.25,241.62,0.24997027,0.99,10.35,0.08738784,8.62,0.2481446,0.166,-0.6912182857100795,0.36,-0.0,308,307,2024-03-06,BIJAPUR,204,2024-06-30T00:00:00,6.84,3.3750844,365,365,326,328,0.92740995,2023-07-01T00:00:00,30.39645714285714,Aawapalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.76658396413787,18.603615460709026]}"
5_0,0.6,0.07000676,0.16,0.28,3.25,0.086905405,186.35,2.55,158.58,0.24146757,0.49,8.59,0.08348784,9.54,0.24060945,0.15998648,-0.7448829428690505,0.31,270.0,308,307,2024-03-06,BIJAPUR,204,2024-06-30T00:00:00,6.35,3.3750844,365,365,326,328,0.97852904,2023-07-01T00:00:00,30.39645714285714,Aawapalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.76658396413787,18.60334596612379]}"
6_0,0.5,0.08168684,0.66,0.78,4.57,0.10553421,254.12,3.33,200.7,0.26945263,0.35,10.75,0.11646842,9.2,0.29658157,0.20269474,1.650730509485,0.57,90.0,342,352,2024-02-07,BIJAPUR,115,2024-06-30T00:00:00,6.56,3.5147069,349,343,309,305,0.9796471,2023-07-01T00:00:00,30.52822222222222,Kesaiguda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.49789786265771,18.7965735837379]}"
7_0,0.7,0.07407692,0.75,0.22,5.27,0.093412824,201.05,3.37,213.24,0.2639859,0.46,11.28,0.08952692,10.9,0.26199102,0.16763204,-1.0980768066648692,0.32,-0.0,331,343,2024-03-01,BIJAPUR,319,2024-06-30T00:00:00,6.5,3.2700582,391,381,278,276,2.7802885,2023-07-01T00:00:00,30.471117647058833,Dhanora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.778172231303,18.843196146983704]}"
8_0,0.5,0.099868834,0.27,0.33,6.2,0.12022078,182.41,4,188.16,0.2583909,0.67,14.24,0.13516234,9.6,0.29463246,0.20718442,0.350264847028231,0.4,90.0,312,317,2024-02-29,BIJAPUR,309,2024-06-30T00:00:00,6.72,3.3800273,344,339,344,344,1.9599075,2023-07-01T00:00:00,30.464742857142852,Naimed,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.84096446966295,18.898442536957052]}"
9_0,0.6,0.09468378,0.68,0.12,4.25,0.12295946,193.53,4.66,188.16,0.2926054,0.33,12.22,0.15205406,12.1,0.36933514,0.26602972,6.090003549036402,0.86,180.0,283,294,2024-02-14,BIJAPUR,114,2024-06-30T00:00:00,6.4,3.536377,353,341,364,365,1.8543341,2023-07-01T00:00:00,30.537611111111104,Sandrapalli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.44157349434342,18.829451923136673]}"
