system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
1_0,8,0.1231923,1.138,0.1,33.67,0.15894872,449,20.29,263,0.31457436,0.7,21.5,0.18549743,3.75,0.4001564,0.29641026,-2.071100022261251,0.212,204.9727,441,452,2024-02-22,GAURELLA PENDRA MARWAHI,479,2024-06-30T00:00:00,6.91,3.4840374,148,147,412,401,7.1250644,2023-07-01T00:00:00,30.39526315789475,Usarh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.13372999503936,23.041921784958348]}"
2_0,9,0.12294615,0.284,0.1,2.008,0.16132563,361,9.61,225,0.30741283,0.61,10.12,0.18591025,6.25,0.3879359,0.2886923,-1.0910684241795232,0.438,270.0,435,445,2024-01-29,GAURELLA PENDRA MARWAHI,475,2024-06-30T00:00:00,6.02,3.4840374,151,149,414,406,4.025093,2023-07-01T00:00:00,30.39526315789475,Usarh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.13076555460177,23.045694709151647]}"
3_0,8,0.080513924,0.218,0.1,11.02,0.10761582,131,4.888,263,0.268069,0.72,9.81,0.12247405,6.25,0.28112277,0.20376962,-1.5918429790144,0.446,245.28465,387,399,2024-01-30,GAURELLA PENDRA MARWAHI,559,2024-06-30T00:00:00,5.55,3.6500437,196,193,417,408,2.217184,2023-07-01T00:00:00,30.348666666666666,Pandri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.97823161935827,22.993951748786365]}"
4_0,9,0.0719975,0.326,0.1,5.652,0.09738875,130,27.19,313,0.262455,0.9,10.12,0.10573625,5,0.27129376,0.19072,-2.8082471648446936,0.224,317.8989,399,409,2024-01-17,GAURELLA PENDRA MARWAHI,638,2024-06-30T00:00:00,5.31,3.9382422,197,194,404,398,7.457894,2023-07-01T00:00:00,30.30452631578947,Newsa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.85561158307596,22.745208246613668]}"
5_0,7,0.04346795,0.271,0.16,6.593,0.061701283,261,2.736,263,0.22303846,0.72,27.85,0.056748718,3.75,0.18442307,0.11454359,-2.209897006683052,0.179,77.008514,403,411,2024-02-14,GAURELLA PENDRA MARWAHI,593,2024-06-30T00:00:00,5.2,4.1671844,199,198,398,391,4.1186266,2023-07-01T00:00:00,30.24210256410256,Gourkheda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.88552548203714,22.654119076803948]}"
6_0,8,0.06605,2.16,0.11,3.485,0.090371795,388,5.118,313,0.2423718,0.87,13.04,0.10505256,8.75,0.28411666,0.20504615,-3.111560437121005,0.918,117.1442,394,404,2024-02-08,GAURELLA PENDRA MARWAHI,597,2024-06-30T00:00:00,5.93,4.1671844,186,185,420,411,10.060025,2023-07-01T00:00:00,30.24210256410256,Gourkheda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.88929840623044,22.652232614707298]}"
7_0,8,0.09397174,0.584,0.15,27.66,0.11770761,425,19.46,288,0.2719587,0.84,33.75,0.13408369,7.5,0.31637827,0.23659565,-1.5409030232523218,2.142,28.482254,364,373,2024-02-27,GAURELLA PENDRA MARWAHI,596,2024-06-30T00:00:00,6.84,3.9683843,202,199,434,428,2.1094627,2023-07-01T00:00:00,30.370216216216207,Majhganwan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.9814655543811,22.84384326480999]}"
8_0,6,0.110065214,0.598,0.15,30.22,0.13785653,432,19.49,301,0.28422284,0.78,8.1,0.16822392,11.25,0.36633152,0.2866326,-1.6888203175205008,1.38,304.6513,364,373,2024-02-27,GAURELLA PENDRA MARWAHI,600,2024-06-30T00:00:00,6.94,3.9683843,202,199,434,428,4.8818703,2023-07-01T00:00:00,30.370216216216207,Majhganwan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.98173504896634,22.843573770224754]}"
9_0,5,0.104211904,0.488,0.17,18.94,0.13580237,318,4.379,275,0.2672595,0.81,14.08,0.16287857,3.75,0.35858572,0.28259763,0.10559142088744328,1.6,235.30585,424,432,2024-03-03,GAURELLA PENDRA MARWAHI,676,2024-06-30T00:00:00,6.27,4.2904167,201,199,374,369,4.87662,2023-07-01T00:00:00,30.273,Amgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.20891898432016,22.625013661598476]}"
10_0,9,0.07998414,0.561,0.11,4.309,0.10839512,3.75,5.811,301,0.25692928,0.85,10.75,0.11956097,10,0.30457562,0.22673537,-1.800912493685282,0.304,47.33622,396,409,2024-02-06,GAURELLA PENDRA MARWAHI,563,2024-06-30T00:00:00,6.1,3.9719234,178,176,426,415,2.7351136,2023-07-01T00:00:00,30.288324324324314,Bisesara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.04452728732629,22.838453373105274]}"
11_0,7,0.0756963,0.922,0.14,13,0.100625925,205,5.889,275,0.29426298,0.81,30.7,0.102760494,2.5,0.26513457,0.18664815,-2.1397810837084026,1.252,344.83276,386,393,2024-03-04,GAURELLA PENDRA MARWAHI,655,2024-06-30T00:00:00,6.42,3.9506743,204,204,411,403,3.8381085,2023-07-01T00:00:00,30.298102564102564,Newsa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.84025039171752,22.744669257443196]}"
12_0,7,0.09841395,0.696,0.18,16.64,0.13154884,368,4.524,263,0.28975582,0.73,16.42,0.17137443,5,0.38673022,0.31816047,-1.8770928186045737,1.582,340.14377,426,434,2024-03-04,GAURELLA PENDRA MARWAHI,695,2024-06-30T00:00:00,5.8,4.2904167,200,198,373,368,2.9557285,2023-07-01T00:00:00,30.248631578947364,Amgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.21269190851346,22.6274391128656]}"
13_0,7,0.06629125,0.343,0.1,39.81,0.0898975,338,21.29,313,0.240755,0.9,4.59,0.11208625,2.5,0.27138376,0.21690625,-0.7188784474923262,0.332,-0.0,354,365,2024-02-26,GAURELLA PENDRA MARWAHI,580,2024-06-30T00:00:00,6.79,3.8150334,196,195,450,439,0.92740995,2023-07-01T00:00:00,30.336599999999994,Gummatola,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.85345562639407,22.8627078857765]}"
14_0,8,0.1033875,0.802,0.1,30.99,0.1296375,540,19.26,263,0.29661,0.73,24.19,0.1426525,3.75,0.3319375,0.2316125,0.9827927691922048,0.426,124.61071,440,458,2024-02-23,GAURELLA PENDRA MARWAHI,468,2024-06-30T00:00:00,6.71,3.4840374,143,139,417,403,4.8868556,2023-07-01T00:00:00,30.395736842105265,Usarh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.14558775678974,23.04865914958924]}"
15_0,8,0.0855381,0.56,0.15,25.26,0.11555,352,12.78,288,0.2735619,0.82,32.4,0.14033334,6.25,0.33764762,0.2547643,-2.816192591103051,1.428,248.42029,393,409,2024-02-19,GAURELLA PENDRA MARWAHI,666,2024-06-30T00:00:00,6.02,4.4407735,185,183,422,408,7.521765,2023-07-01T00:00:00,30.167675675675675,Amgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.18331699872276,22.649807163440176]}"
16_0,9,0.068991564,1.492,0.17,16.76,0.08931566,280,20.46,275,0.21477951,0.81,9.67,0.101218075,3.75,0.22071807,0.16223976,-0.7989967617041412,1.942,90.0,397,409,2024-02-29,GAURELLA PENDRA MARWAHI,744,2024-06-30T00:00:00,5.96,3.9506743,226,221,377,369,1.0056002,2023-07-01T00:00:00,30.131449999999994,Chuktipani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.8003651931026,22.745477741198904]}"
17_0,6,0.08296709,1.809,0.14,27.125,0.10718228,260,18.41,250,0.22650823,0.66,35.84,0.12312152,7.5,0.2554057,0.19555,-0.41638209159618184,0.471,132.6306,389,401,2024-02-20,GAURELLA PENDRA MARWAHI,553,2024-06-30T00:00:00,7.09,3.6500437,196,192,416,406,1.3691965,2023-07-01T00:00:00,30.330820512820512,Pandri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.98200454355157,22.995838210883015]}"
18_0,6,0.0779475,0.617,0.1,47.65,0.0932325,293,22,275,0.20762,0.79,10.42,0.112801254,6.25,0.26704374,0.22863625,-1.540999844859676,0.872,28.484215,366,378,2024-02-24,GAURELLA PENDRA MARWAHI,593,2024-06-30T00:00:00,6.7,3.815849,201,198,434,424,2.1095018,2023-07-01T00:00:00,30.31065,Gummatola,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.83378252167185,22.854892542804663]}"
19_0,9,0.06668902,2.846,0.1,9.362,0.087403655,489,4.824,213,0.19556463,0.46,17.29,0.08560366,6.25,0.1906939,0.12609391,-2.6392627449859143,1.462,331.5227,387,408,2024-01-09,GAURELLA PENDRA MARWAHI,568,2024-06-30T00:00:00,7.31,4.001717,186,183,427,409,6.305374,2023-07-01T00:00:00,30.262512820512818,Sakola,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.06393089746327,22.815815827945464]}"
20_0,8,0.07492727,0.377,0.1,7.035,0.09982879,390,2.801,238,0.26062274,0.63,15.03,0.10737879,7.5,0.23150606,0.16289546,-1.1127043167209116,0.294,282.98227,412,420,2024-02-18,GAURELLA PENDRA MARWAHI,595,2024-06-30T00:00:00,6.11,4.0031333,188,185,400,395,4.1214895,2023-07-01T00:00:00,30.21620512820513,Bhadoura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.9461617637152,22.754640557096923]}"
21_0,8,0.082648836,1.77,0.1,45.87,0.114402324,412,27.9,288,0.29589766,0.67,8.23,0.14103721,2.5,0.39378372,0.28502324,-1.8971118682247492,0.348,270.0,383,396,2024-03-29,GAURELLA PENDRA MARWAHI,606,2024-06-30T00:00:00,6.025,4.1011662,188,187,428,416,3.013575,2023-07-01T00:00:00,30.30772972972973,Sonbacharwar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.04803071693436,22.711521423459185]}"
22_0,8,0.06324634,0.9,0.15,11.75,0.08852073,226,9.791,263,0.26647925,0.72,23.29,0.087912194,3.75,0.2553378,0.17990243,-2.027500902333077,0.636,144.12395,410,419,2024-02-15,GAURELLA PENDRA MARWAHI,579,2024-06-30T00:00:00,6.42,3.9719234,183,184,407,398,3.4298334,2023-07-01T00:00:00,30.267135135135128,Bisesara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.04506627649677,22.813120882093106]}"
23_0,5,0.10612195,1.272,0.19,11.04,0.13817196,240,26.49,288,0.2932012,0.79,17.21,0.15913048,5,0.3402,0.25822073,-0.4422727324007008,0.569,208.48201,392,408,2024-02-15,GAURELLA PENDRA MARWAHI,554,2024-06-30T00:00:00,6.09,3.9719234,183,178,425,414,2.109458,2023-07-01T00:00:00,30.286432432432424,Bisesara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.03536447142827,22.842495791883813]}"
24_0,9,0.085269764,0.916,0.1,69.936,0.12131279,369,39.71,275,0.22605233,0.75,18.07,0.14847675,5,0.28934652,0.23533954,3.6129983176803133,0.201,180.0,415,428,2024-02-12,GAURELLA PENDRA MARWAHI,604,2024-06-30T00:00:00,6.74,4.1011662,186,184,399,388,0.92740995,2023-07-01T00:00:00,30.30772972972973,Sonbacharwar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.04776122234912,22.70855698302159]}"
25_0,7,0.069359526,0.488,0.15,5.002,0.099361904,333,29.88,288,0.27443573,0.85,7.78,0.1271619,15,0.33950475,0.25029525,-2.6010643592239053,0.486,261.25574,393,409,2024-02-28,GAURELLA PENDRA MARWAHI,668,2024-06-30T00:00:00,5.47,4.268595,185,183,422,408,6.078024,2023-07-01T00:00:00,30.113513513513514,Bagra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.18331699872276,22.650076658025412]}"
26_0,6,0.08737619,0.035,0.12,16.81,0.12190476,373,21.65,313,0.2577,0.88,34.96,0.14533572,11.25,0.32067618,0.24602857,3.9343004983773726,1.776,214.10544,379,394,2024-02-28,GAURELLA PENDRA MARWAHI,655,2024-06-30T00:00:00,6.11,4.4407735,206,204,415,401,8.8891735,2023-07-01T00:00:00,30.2547027027027,Bagra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.1843949770637,22.641452831297862]}"
27_0,7,0.07049012,0.342,0.16,39.58,0.096220985,412,10.97,275,0.24011852,0.82,20.92,0.11108642,7.5,0.2663605,0.18942717,7.057243245918961,1.17,312.67508,395,406,2024-03-02,GAURELLA PENDRA MARWAHI,596,2024-06-30T00:00:00,6.85,3.9924965,202,201,403,393,1.3680438,2023-07-01T00:00:00,30.264,Jhagra Khand,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.87932710657671,22.784554456058103]}"
28_0,8,0.08205682,2.238,0.1,23.48,0.10984318,365,6.09,263,0.28125226,0.54,5.52,0.13214773,12.5,0.34764886,0.2572966,-1.2490319709672204,0.886,107.092834,413,416,2024-01-10,GAURELLA PENDRA MARWAHI,621,2024-06-30T00:00:00,6.24,4.1011662,185,186,402,398,3.152396,2023-07-01T00:00:00,30.290052631578952,Sonbacharwar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.0348254822578,22.70424506965782]}"
