system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,5.66,0.07315,2.12,0.16,27.8,0.10261,178.38,34.75,144.3,0.3073825,0.37,18.82,0.123477496,7.5,0.3028175,0.2034375,-2.238117216241616,0.97,28.563063,393,404,2024-01-18,KOREA,585,2024-06-30T00:00:00,6.5,3.0328445,176,170,431,426,4.216441,2023-07-01T00:00:00,30.29765853658536,Urumdunga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.59591320871886,23.296055178835758]}"
1_0,6.54,0.081005,0.158,0.12,66.62,0.11114,70.45,41.58,187.5,0.2684275,0.39,9.86,0.125975,13.75,0.282155,0.19978,4.148631169108546,1.34,270.0,394,404,2024-01-17,KOREA,577,2024-06-30T00:00:00,6.6,3.0328445,179,174,427,422,2.0188088,2023-07-01T00:00:00,30.29765853658536,Urumdunga,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.59860815457121,23.29659416800623]}"
2_0,9.45,0.09404524,1.564,0.24,59.18,0.12964047,75.4,35.6,187.5,0.29539287,0.54,12.55,0.16376905,7.5,0.37142143,0.2852,-0.7212860740000913,2.66,-0.0,380,394,2024-01-24,KOREA,514,2024-06-30T00:00:00,6.3,3.159387,172,171,448,436,0.92740995,2023-07-01T00:00:00,30.407526315789465,Jharnapara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.61369985134442,23.192838752690427]}"
3_0,6.73,0.0824561,1.585,0.14,61.25,0.10806585,210.94,15.02,173.1,0.26734146,0.18,14.92,0.12588048,8.75,0.33945608,0.24520731,-2.4316199926902984,2.1,79.583244,382,392,2024-01-22,KOREA,502,2024-06-30T00:00:00,5.7,3.159387,180,178,438,430,5.116096,2023-07-01T00:00:00,30.378684210526313,Jharnapara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.61935923763437,23.19310824727566]}"
4_0,7.65,0.09539268,3.84,0.1,20.1,0.12782195,507.92,19.35,188.2,0.2933805,0.39,11.65,0.14995854,10,0.33357072,0.24141708,3.0113856582741407,1.04,331.48666,447,451,2024-03-01,KOREA,475,2024-06-30T00:00:00,5.7,3.28448,147,141,406,407,2.1100838,2023-07-01T00:00:00,30.383076923076924,Baima,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.53473793787032,23.019284239798534]}"
5_0,5.42,0.07487805,3.915,0.28,69.1,0.107658535,205.3,15.93,187.5,0.2839195,0.82,14.32,0.14258537,7.5,0.3505195,0.26885122,-2.3924038870794044,1.16,55.51692,385,402,2024-02-10,KOREA,559,2024-06-30T00:00:00,6.5,2.6165304,178,170,437,428,4.902615,2023-07-01T00:00:00,30.313105263157894,Natwahi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.38355147555299,23.6811629411378]}"
6_0,5.16,0.09494147,1.968,0.12,36.46,0.119702436,139.33,29.78,173.1,0.29074392,0.14,19.71,0.13252927,7.5,0.2825317,0.2131439,-1.414963928550151,3.63,180.0,392,407,2024-02-14,KOREA,539,2024-06-30T00:00:00,6.8,3.0385153,151,151,457,441,3.7047918,2023-07-01T00:00:00,30.301578947368423,Tenduwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.71664678290452,23.263985323192692]}"
7_0,5.94,0.048607316,2.296,0.11,43.18,0.06917805,436.69,21.77,144.3,0.26691952,0.59,26.88,0.061612196,8.75,0.19841951,0.122743905,-0.20949164050593008,2.54,114.668,401,409,2024-01-30,KOREA,571,2024-06-30T00:00:00,6,2.9374619,178,170,421,421,2.2211692,2023-07-01T00:00:00,30.334947368421055,Jagatpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.39648721564431,23.285814384596797]}"
8_0,7.74,0.091960974,1.046,0.07,28.89,0.1199439,186.91,30.78,144.3,0.29685855,0.75,10.75,0.13247804,10,0.30834877,0.22216341,-1.8821948678043625,1.09,19.941387,401,417,2024-02-14,KOREA,539,2024-06-30T00:00:00,5.1,3.0385153,149,149,450,434,2.9573162,2023-07-01T00:00:00,30.301578947368423,Tenduwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.72041970709782,23.256169980220854]}"
9_0,6.5,0.0860439,3.026,0.15,33.22,0.115568295,185.25,36.46,259.6,0.2884,0.42,16.13,0.13353902,13.75,0.2967927,0.21209268,1.7206311965032102,0.42,227.42615,393,406,2024-01-04,KOREA,538,2024-06-30T00:00:00,7,3.0385153,148,149,459,445,1.3706715,2023-07-01T00:00:00,30.30918918918919,Tenduwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.71934172875687,23.26263785026651]}"
