system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1,0.05647907,1.02,0.24,8.85,0.08505349,246,20.13,125.44,0.26061627,0.64,17.92,0.095744185,12.5,0.2546465,0.18072559,0.32148798267458345,0.77,90.0,379,393,2024-01-27,RAIPUR,298,2024-06-30T00:00:00,7,4.1042085,232,234,390,373,0.9945706,2023-07-01T00:00:00,30.57040000000001,Palaud-1 (Palaud),"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.82488920035907,21.1783667280524]}"
1_0,1,0.05647907,1.23,0.23,12.24,0.08505349,122,22.19,150.53,0.26061627,0.64,9.86,0.095744185,15,0.2546465,0.18072559,0.32148798267458345,0.73,90.0,379,393,2024-01-27,RAIPUR,298,2024-06-30T00:00:00,7.1,4.1042085,232,234,390,373,0.9945706,2023-07-01T00:00:00,30.57040000000001,Palaud-1 (Palaud),"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.82488920035907,21.1783667280524]}"
2_0,1,0.061559524,1.02,0.4,16.19,0.089028575,194.8,19.16,150.52,0.27876428,0.66,9.86,0.08431905,16.25,0.2023881,0.13028571,-1.090182338971665,0.82,227.00603,399,411,2024-01-27,RAIPUR,295,2024-06-30T00:00:00,7.1,4.1116943,239,237,362,352,1.3598586,2023-07-01T00:00:00,30.39070270270271,Palaud-1 (Palaud),"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.82057728699529,21.200734778626973]}"
3_0,1,0.05647907,1.02,0.29,26.25,0.08505349,136.6,22.19,112.89,0.26061627,0.65,9.86,0.095744185,12.5,0.2546465,0.18072559,0.32148798267458345,0.8,90.0,379,393,2024-01-27,RAIPUR,298,2024-06-30T00:00:00,6.5,4.1042085,232,234,390,373,0.9945706,2023-07-01T00:00:00,30.57040000000001,Palaud-1 (Palaud),"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.82488920035907,21.1783667280524]}"
4_0,1,0.05647907,1,0.24,12.17,0.08505349,161.2,20.14,150.53,0.26061627,0.66,9.86,0.095744185,12.5,0.2546465,0.18072559,0.32148798267458345,0.81,90.0,379,393,2024-01-27,RAIPUR,298,2024-06-30T00:00:00,6,4.1042085,232,234,390,373,0.9945706,2023-07-01T00:00:00,30.57040000000001,Palaud-1 (Palaud),"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.82488920035907,21.1783667280524]}"
5_0,1,0.061559524,1.23,0.39,16.31,0.089028575,194.8,29.25,175.62,0.27876428,0.62,9.86,0.08431905,23.75,0.2023881,0.13028571,-1.090182338971665,0.82,227.00603,399,411,2024-01-27,RAIPUR,295,2024-06-30T00:00:00,7.2,4.1116943,239,237,362,352,1.3598586,2023-07-01T00:00:00,30.39070270270271,Palaud-1 (Palaud),"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.82057728699529,21.200734778626973]}"
7_0,1,0.05647907,1.46,0.29,16.19,0.08505349,95.2,24.11,150.53,0.26061627,0.64,8.06,0.095744185,17.5,0.2546465,0.18072559,0.32148798267458345,0.74,90.0,379,393,2024-01-27,RAIPUR,298,2024-06-30T00:00:00,7.1,4.1042085,232,234,390,373,0.9945706,2023-07-01T00:00:00,30.57040000000001,Palaud-1 (Palaud),"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.82488920035907,21.1783667280524]}"
8_0,1,0.08078139,1.34,0.29,20.16,0.10903954,212.8,20.17,163.07,0.31361163,0.66,12.54,0.12132093,26.25,0.29367673,0.2027814,-1.5268069567649676,0.64,331.79703,368,386,2024-02-06,RAIPUR,299,2024-06-30T00:00:00,7.1,4.1042085,240,241,392,373,2.1039288,2023-07-01T00:00:00,30.634114285714286,Palaud-1 (Palaud),"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.81599587904628,21.191032973558485]}"
9_0,1,0.08078139,1.49,0.16,18.19,0.10903954,114.2,19.49,150.53,0.31361163,0.44,14.34,0.12132093,21.25,0.29367673,0.2027814,-1.5268069567649676,0.8,331.79703,368,386,2024-02-06,RAIPUR,299,2024-06-30T00:00:00,6.6,4.1042085,240,241,392,373,2.1039288,2023-07-01T00:00:00,30.634114285714286,Palaud-1 (Palaud),"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.81599587904628,21.191032973558485]}"
21_0,1,0.09140238,1.02,0.39,24.26,0.12855953,157.9,22.14,137.98,0.28664762,0.39,6.27,0.1695381,20,0.37857857,0.30699047,-0.767168487435492,0.84,340.3316,377,399,2024-02-07,RAIPUR,303,2024-06-30T00:00:00,6.7,4.1042085,243,245,381,356,5.8889165,2023-07-01T00:00:00,30.67017647058824,Tandul,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.82273324367718,21.15869362333018]}"
22_0,1,0.06827619,1.16,0.19,18.75,0.09594048,88.18,20.94,100.35,0.25349286,0.64,9.86,0.10978095,13.75,0.26237857,0.19036429,4.068200640278925,1.05,208.19589,388,412,2024-01-19,RAIPUR,295,2024-06-30T00:00:00,7.1,4.1848655,228,229,385,359,2.1037896,2023-07-01T00:00:00,30.61305555555556,Tandul,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.82165526533623,21.14710535616504]}"
23_0,1,0.07049048,1.02,0.36,17.38,0.0983881,293.44,20.86,125.44,0.25400713,0.39,3.58,0.11727857,15,0.26948094,0.19816428,2.0772832499802525,0.84,-0.0,370,389,2024-01-19,RAIPUR,296,2024-06-30T00:00:00,7,4.1848655,237,237,393,374,0.0,2023-07-01T00:00:00,30.61305555555556,Tandul,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.8243502111886,21.144679904897917]}"
