system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.36,0.07201429,0.76,0.23,12.54,0.093671426,215,9.76,214,0.27662382,0.67,28,0.09921667,62.11,0.2438119,0.17562144,2.3021827113259414,0.88,65.00888,361,382,2024-03-18,BHAVNAGAR,16,2024-06-30T00:00:00,7.68,2.0146186,336,325,303,293,2.194287,2023-07-01T00:00:00,30.607729729729733,Reliya Gadhula,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.09317023290706,21.213670518718295]}"
1_0,0.51,0.067135714,0.58,0.16,12.82,0.092019044,190,7.86,166,0.26888096,0.36,28,0.10415714,35.18,0.25621668,0.1917262,0.8556316541262101,0.92,47.008015,358,375,2024-03-18,BHAVNAGAR,17,2024-06-30T00:00:00,7.47,2.0146186,336,327,306,298,1.3599092,2023-07-01T00:00:00,30.607729729729733,Reliya Gadhula,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.09209225456611,21.210975572865937]}"
2_0,2.04,0.14796117,0.02,0.17,11.08,0.16349295,264,0.98,161,0.25951177,0.33,31,0.19061883,48.71,0.29681882,0.24225764,-2.190477679045957,0.58,76.88177,344,347,2024-03-14,BHAVNAGAR,31,2024-06-30T00:00:00,7.5,1.9800899,346,343,310,311,4.079652,2023-07-01T00:00:00,30.852294117647055,Gadhesar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.95923142404483,21.224180807542496]}"
3_0,0.34,0.13379887,0.26,0.17,3.12,0.1573591,357,6.14,202,0.2504909,0.59,10,0.19960114,51.34,0.32109204,0.29022387,-0.3999560267087726,1.16,132.93909,264,266,2024-03-20,BHAVNAGAR,73,2024-06-30T00:00:00,7.4,1.5049943,431,424,305,309,1.3612574,2023-07-01T00:00:00,31.007444444444445,Rajpara No.2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.11472979972592,21.48262611478368]}"
4_0,0.28,0.054072093,0.38,0.23,6.94,0.08150465,370,5.18,255,0.3320279,0.93,21,0.07194651,51.34,0.21150465,0.13830698,-0.4724731360436873,0.96,114.966415,327,326,2024-03-21,BHAVNAGAR,26,2024-06-30T00:00:00,7.61,1.8099241,376,374,297,301,2.1963167,2023-07-01T00:00:00,30.764944444444446,Piparla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.09290073832182,21.37914019405311]}"
5_0,0.89,0.054072093,0.9,0.35,6.52,0.08150465,173,5.4,180,0.3320279,0.45,52,0.07194651,55.29,0.21150465,0.13830698,-0.4724731360436873,1.28,114.966415,327,326,2024-03-21,BHAVNAGAR,26,2024-06-30T00:00:00,7.52,1.8099241,376,374,297,301,2.1963167,2023-07-01T00:00:00,30.764944444444446,Piparla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.09290073832182,21.37914019405311]}"
6_0,0.06,0.064414285,0.22,0.21,3.78,0.08998571,211,5.3,205,0.30343333,0.61,17,0.09159524,20.82,0.21470714,0.13964762,0.774223475783615,0.74,151.76668,321,323,2024-03-21,BHAVNAGAR,28,2024-06-30T00:00:00,7.64,1.8099241,375,370,304,306,2.104526,2023-07-01T00:00:00,30.764944444444446,Piparla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.08993629788422,21.37806221571217]}"
7_0,0.2,0.058360975,0.46,0.26,4.3,0.08274634,80,4.74,219,0.2030744,0.7,31,0.10555366,35.54,0.1802756,0.14270365,-1.0919824120989046,0.88,312.96008,320,311,2024-03-21,BHAVNAGAR,28,2024-06-30T00:00:00,7.58,1.8973497,377,380,303,310,1.3607221,2023-07-01T00:00:00,30.753257142857137,Piparla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.11041788636214,21.37536726985981]}"
8_0,0.77,0.089911625,1.22,0.31,6.72,0.11714884,367,10.42,224,0.2294907,0.73,70,0.15317674,46.31,0.31913024,0.27405116,-2.130203217753054,0.4,344.9641,279,287,2024-03-20,BHAVNAGAR,53,2024-06-30T00:00:00,7.56,1.596677,380,373,342,340,3.835742,2023-07-01T00:00:00,30.961885714285714,Neshiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.00154207392686,21.458910591282926]}"
9_0,0.97,0.08046047,1.34,0.24,9.76,0.109751165,496,11.82,222,0.25497442,0.72,35,0.13437442,57.44,0.24818373,0.1826,-0.399520793963725,1.2,227.0528,280,293,2024-03-19,BHAVNAGAR,39,2024-06-30T00:00:00,7.47,1.7430372,375,366,345,341,1.3610504,2023-07-01T00:00:00,30.818941176470585,Neshiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.02498810284239,21.44112394865736]}"
10_0,0.81,0.17565349,0.62,0.2,6.22,0.1953,270,1.94,178,0.30888838,0.44,28,0.2301,32.47,0.33570465,0.26065117,-1.3219609335968892,0.4,144.37822,268,273,2024-03-14,BHAVNAGAR,99,2024-06-30T00:00:00,7.83,1.5089146,432,423,300,303,3.41892,2023-07-01T00:00:00,31.00566666666667,Hamirpara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.08400741700903,21.496100844045472]}"
11_0,2.12,0.08589302,1.28,0.15,12.64,0.11998372,452,1.52,202,0.31113023,0.59,28,0.14016512,95.49,0.24596278,0.18505348,-1.786491624228756,0.46,132.93445,287,298,2024-03-21,BHAVNAGAR,84,2024-06-30T00:00:00,7.8,1.6636773,408,399,305,303,2.7212162,2023-07-01T00:00:00,30.996162162162154,Nesvad,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.05436301263309,21.5060721436992]}"
12_0,2.1,0.089911625,1.22,0.19,0.66,0.11714884,635,1.5,148,0.2294907,0.25,7,0.15317674,19.19,0.31913024,0.27405116,-2.130203217753054,1.72,344.9641,279,287,2024-03-13,BHAVNAGAR,53,2024-06-30T00:00:00,7.87,1.596677,380,373,342,340,3.835742,2023-07-01T00:00:00,30.961885714285714,Kundheli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.00154207392686,21.458910591282926]}"
13_0,0.87,0.08691818,0.82,0.24,15.1,0.11227045,367,3.52,211,0.27675,0.65,17,0.124437496,42.8,0.26810455,0.1941091,-2.67091724605981,0.4,114.95157,335,338,2024-03-13,BHAVNAGAR,26,2024-06-30T00:00:00,7.73,1.7592909,343,342,322,320,6.566943,2023-07-01T00:00:00,30.656526315789478,Jaspara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.23249893347399,21.47804470683467]}"
14_0,0.48,0.090312794,0.84,0.27,17.62,0.116225585,319,7.72,172,0.22695349,0.4,45,0.13528953,42.36,0.21732326,0.16652791,-1.0925683717916241,2.8,227.05089,292,302,2024-03-19,BHAVNAGAR,34,2024-06-30T00:00:00,7.83,1.7719967,390,390,318,308,1.3610018,2023-07-01T00:00:00,30.618512820512823,Sonsiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.1837204135463,21.43142214358887]}"
15_0,0.42,0.090312794,1.08,0.37,12.32,0.116225585,250,7.3,159,0.22695349,0.32,94,0.13528953,36.26,0.21732326,0.16652791,-1.0925683717916241,2.76,227.05089,292,302,2024-03-19,BHAVNAGAR,34,2024-06-30T00:00:00,8.18,1.7719967,390,390,318,308,1.3610018,2023-07-01T00:00:00,30.618512820512823,Sonsiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.1837204135463,21.43142214358887]}"
16_0,0.44,0.07780843,1.06,0.35,13.02,0.098122895,272,7.88,182,0.24523133,0.46,49,0.10273012,105.19,0.21421084,0.15308796,1.2835488693814783,2.58,180.0,344,359,2024-03-19,BHAVNAGAR,23,2024-06-30T00:00:00,8.03,1.7719967,340,337,316,303,2.7802885,2023-07-01T00:00:00,30.57915789473684,Sonsiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.19584766988191,21.428457703151274]}"
17_0,0.67,0.07913864,1.48,0.18,5.04,0.1086,237,7,170,0.3486818,0.39,10,0.10722273,23.62,0.25149545,0.1729909,-2.3407369631086987,1.28,167.87573,274,280,2024-03-13,BHAVNAGAR,30,2024-06-30T00:00:00,7.47,1.8996692,385,380,341,340,4.732465,2023-07-01T00:00:00,30.831705882352942,Dantrad,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.98995380676172,21.410132071355235]}"
18_0,0.73,0.107638635,2.46,0.29,7.4,0.12988864,338,11.02,176,0.32,0.43,59,0.13052273,59.59,0.25124547,0.18140227,-1.7856900660122152,0.88,227.0504,275,284,2024-03-19,BHAVNAGAR,50,2024-06-30T00:00:00,7.67,1.698822,410,400,315,316,2.7204444,2023-07-01T00:00:00,30.913485714285706,Umarla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.07376662277007,21.428996692321746]}"
19_0,0.51,0.19065952,0.86,0.43,4.02,0.20846191,377,3.26,238,0.27341428,0.82,10,0.2287381,55.35,0.30344287,0.26645714,-0.7800749984870698,1.9,90.0,345,343,2024-03-12,BHAVNAGAR,43,2024-06-30T00:00:00,7.6,1.8099241,355,353,300,303,0.99605185,2023-07-01T00:00:00,30.853942857142854,Bapasara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.07538359028149,21.397196331263913]}"
