system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
1_0,0.36,0.12792104,0.32,0.56,5,0.14981842,404.8,7.58,235.4,0.24875526,0.47,59.8,0.17176315,9,0.2535684,0.22617368,-1.4985260693620743,0.65,90.0,223,247,2024-04-05,MAHISAGAR,145,2024-06-30T00:00:00,7.57,2.717796,410,398,367,356,2.0170586,2023-07-01T00:00:00,30.454972972972975,Zab (West),"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.89501102979399,23.180711496354814]}"
2_0,0.3,0.17659743,0.33,1.2,0.89,0.20420256,361,6.45,201.3,0.28941795,0.58,31.2,0.22399487,4,0.26662052,0.21303846,2.688873793715675,0.37,121.482124,215,226,2024-04-03,MAHISAGAR,111,2024-06-30T00:00:00,7.57,2.916829,410,403,375,371,3.547483,2023-07-01T00:00:00,30.31611111111111,Budhpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.83922565065016,23.283927922500144]}"
3_0,0.3,0.17659743,0.44,0.55,9.45,0.20420256,317.3,7.32,198.1,0.28941795,0.56,41.6,0.22399487,15,0.26662052,0.21303846,2.688873793715675,0.62,121.482124,215,226,2024-04-04,MAHISAGAR,111,2024-06-30T00:00:00,8.05,2.916829,410,403,375,371,3.547483,2023-07-01T00:00:00,30.31611111111111,Ladpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.83922565065016,23.283927922500144]}"
6_0,0.37,0.076234214,0.21,0.92,5.2,0.102573685,322.7,7.12,179.8,0.25742632,0.24,49.4,0.12521316,8,0.32444736,0.24530263,-2.835632515283451,0.62,164.7955,213,227,2024-04-01,MAHISAGAR,107,2024-06-30T00:00:00,7.57,2.6744611,411,403,377,370,7.64341,2023-07-01T00:00:00,30.472444444444452,Ora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.71741409812356,23.093395250738396]}"
7_0,0.39,0.06311892,0.56,0.91,3.2,0.08812162,377.4,8.43,268.8,0.2838865,0.6,46.8,0.0993027,2,0.24581352,0.16787568,-1.8813780870541392,0.63,19.92776,223,234,2024-04-04,MAHISAGAR,147,2024-06-30T00:00:00,7.42,2.5798216,381,376,396,390,2.9570615,2023-07-01T00:00:00,30.500055555555562,Chhayan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.76592312346601,23.156995972854055]}"
8_0,0.31,0.06848421,0.56,0.41,4.15,0.09775263,339.1,7.81,213.2,0.31191316,0.38,49.4,0.10687368,16,0.31107894,0.21356052,-1.0454004671992425,0.96,344.77432,201,213,2024-03-21,MAHISAGAR,109,2024-06-30T00:00:00,8.19,2.6531067,387,383,413,405,3.839169,2023-07-01T00:00:00,30.427944444444442,Mota Khanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.6861527262362,23.288509330449155]}"
9_0,0.29,0.055655263,0.43,0.76,4.36,0.080689475,300.9,4.98,190.2,0.29963946,0.33,28.6,0.07741053,15,0.23773947,0.15098421,-0.8513068149078112,1.09,28.552782,236,249,2024-04-16,MAHISAGAR,101,2024-06-30T00:00:00,6.95,2.7775679,358,349,405,402,2.1108727,2023-07-01T00:00:00,30.375028571428576,Govindpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.75029243752233,23.239191821350992]}"
10_0,0.4,0.055655263,0.5,0.95,3.98,0.080689475,322.7,7.24,204.5,0.29963946,0.4,57.2,0.07741053,8,0.23773947,0.15098421,-0.8513068149078112,0.63,28.552782,236,249,2024-04-29,MAHISAGAR,101,2024-06-30T00:00:00,7.57,2.7775679,358,349,405,402,2.1108727,2023-07-01T00:00:00,30.375028571428576,Vechatana Muvada,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.75029243752233,23.239191821350992]}"
11_0,0.31,0.18895526,0.5,0.44,3.25,0.21302895,465,4.05,252.1,0.31913948,0.53,49.4,0.23969474,7,0.3335421,0.2819921,-0.8508159223186399,1.11,28.54303,208,218,2024-03-18,MAHISAGAR,105,2024-06-30T00:00:00,7.96,2.5047443,392,389,399,393,2.1106775,2023-07-01T00:00:00,30.430114285714282,Kheroli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.47459947682606,23.185023409718585]}"
12_0,0.26,0.18895526,0.45,0.46,4.49,0.21302895,404.8,7.34,274.4,0.31913948,0.62,7.8,0.23969474,4,0.3335421,0.2819921,-0.8508159223186399,0.65,28.54303,208,218,2024-03-17,MAHISAGAR,105,2024-06-30T00:00:00,7.86,2.5047443,392,389,399,393,2.1106775,2023-07-01T00:00:00,30.430114285714282,Asundariya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.47459947682606,23.185023409718585]}"
