system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.758,0.11922093,3.42,0.69,7.16,0.12928024,399,8.32,252.1,0.23151745,0.53,40,0.13480581,10,0.23047441,0.18104535,-2.126838196282089,3.56,194.9899,410,407,2024-03-11,NAVSARI,12,2024-06-30T00:00:00,7.4,4.101388,292,292,297,301,3.834919,2023-07-01T00:00:00,30.582941176470595,Sagra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89707258066561,20.985678099608762]}"
1_0,0.626,0.057818606,1.7,0.72,8.02,0.08332093,360,6.48,224.3,0.2022,0.42,35,0.09481977,14,0.21203953,0.15681744,-1.0884251230093849,2.48,46.97285,358,378,2024-03-13,NAVSARI,3,2024-06-30T00:00:00,7.4,4.3887677,282,272,360,350,1.3590152,2023-07-01T00:00:00,30.555657142857147,Parsoli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.80032402456594,21.028527738661264]}"
2_0,0.638,0.09061023,1.26,0.82,6.06,0.11215909,328,5.96,235.4,0.25661364,0.47,40,0.109379545,12,0.20775455,0.1452625,3.0707011806126436,2.5,226.96785,388,387,2024-03-11,NAVSARI,8,2024-06-30T00:00:00,8.3,4.3227057,309,311,303,302,1.3588881,2023-07-01T00:00:00,30.48811428571429,Chhinam,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8841368405743,21.002386763893384]}"
3_0,0.698,0.06561975,0.96,0.96,5.02,0.09065432,344,7.32,179.8,0.23584074,0.24,32,0.10490123,19,0.21852963,0.15822592,-0.7718042746017084,1.08,270.0,418,437,2024-02-16,NAVSARI,6,2024-06-30T00:00:00,7.7,4.9441695,278,269,304,294,0.9919069,2023-07-01T00:00:00,30.56277777777777,Kalamtha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.94558160600806,20.77762827980668]}"
5_0,0.734,0.048509758,2.72,0.59,8.46,0.07623903,382,7.04,191,0.25878048,0.29,35,0.06172439,12,0.16130976,0.097287804,1.9342130999261213,2.98,270.0,348,349,2024-02-23,NAVSARI,20,2024-06-30T00:00:00,7.3,4.4754558,349,348,303,303,0.99291843,2023-07-01T00:00:00,30.563294117647054,Munsad,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.00945182270897,20.930970698805883]}"
6_0,0.686,0.14259,1.36,0.88,5.14,0.175605,393,5.18,241,0.2645725,0.49,48,0.215935,16,0.293105,0.255795,-1.9188215832905724,0.74,107.29227,354,355,2024-02-23,NAVSARI,24,2024-06-30T00:00:00,7.2,4.4754558,355,352,291,292,3.1172016,2023-07-01T00:00:00,30.545878787878788,Vasar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.00756536061232,20.940672503874374]}"
7_0,0.638,0.047386046,2.46,0.69,7.18,0.075067446,328,10.2,241,0.25286627,0.49,43,0.07690116,14,0.18562442,0.12592559,-2.1856621751736993,0.98,226.94705,349,350,2024-02-21,NAVSARI,30,2024-06-30T00:00:00,7.2,4.5790377,373,372,277,278,4.06899,2023-07-01T00:00:00,30.467882352941174,Bhunwadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.08679676867166,20.893510951458097]}"
8_0,0.602,0.042234883,1.76,0.92,7.3,0.06367093,333,8.8,224.3,0.23779187,0.42,37,0.05322442,12,0.15305814,0.09065581,-1.0874146670255955,1.42,46.953884,388,397,2024-03-07,NAVSARI,6,2024-06-30T00:00:00,7.8,4.3963637,310,300,301,303,1.3585336,2023-07-01T00:00:00,30.524540540540546,Karadi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84020922318085,20.929353731294466]}"
9_0,0.734,0.06902791,1.04,0.44,5.44,0.08795814,333,8.2,252.1,0.24395348,0.53,43,0.09268139,12,0.21168372,0.1456907,-2.1247086282596683,1.12,345.0391,375,362,2024-03-05,NAVSARI,167,2024-06-30T00:00:00,7.3,4.373671,373,378,252,260,3.8344014,2023-07-01T00:00:00,30.589485714285715,Khata Amba,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.35332691346991,20.680340734536536]}"
10_0,0.758,0.08507561,1.44,0.88,7.18,0.10308049,377,8.52,246.6,0.2356122,0.51,40,0.11348293,13,0.22535366,0.1680805,-0.011724113064662317,0.96,-0.0,364,370,2024-02-17,NAVSARI,12,2024-06-30T00:00:00,7.3,4.992127,336,327,300,303,0.92740995,2023-07-01T00:00:00,30.451294117647052,Kotha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.95097149771279,20.82505932680819]}"
