system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.05,0.07462368,1.33,0.66,10.91,0.09801842,207.4,9.9,141.9,0.25281844,0.85,24.8,0.10507631,14.96,0.27072895,0.20046578,2.0877965950275708,0.43,270.0,240,258,2024-04-03,PANCH MAHALS,141,2024-06-30T00:00:00,7.7,2.5092742,383,378,377,364,6.022868,2023-07-01T00:00:00,30.56072222222222,Bhotava,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.62767240124002,22.991256802934004]}"
1_0,0.06,0.06081111,2.14,0.2,3.76,0.08665278,362.9,9.22,233.4,0.28541666,0.99,40.5,0.09088334,13.12,0.25205556,0.18076111,4.706083185783896,1.1,-0.0,342,350,2024-03-05,PANCH MAHALS,104,2024-06-30T00:00:00,7.6,2.7035332,277,280,381,370,0.0,2023-07-01T00:00:00,30.529314285714282,Alali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.54278160689073,22.63202052081461]}"
2_0,0.26,0.07044118,1.34,0.22,10.36,0.09237941,425,13.06,196.1,0.32757354,0.54,49.5,0.08462941,9.11,0.23827353,0.16095588,-1.5389188020423614,0.35,208.44295,331,334,2024-03-02,PANCH MAHALS,78,2024-06-30T00:00:00,6.8,2.5919676,282,287,387,379,2.1086793,2023-07-01T00:00:00,30.52547058823528,Khandoli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.43067185943261,22.619893264478996]}"
3_0,0.27,0.075988315,1.82,0.67,10.8,0.09586753,499.8,8.66,185.4,0.29218832,0.6,22.5,0.091355845,2.53,0.20317273,0.13856624,-1.4453027423308147,0.49,344.85098,353,352,2024-02-14,PANCH MAHALS,115,2024-06-30T00:00:00,7.1,3.028533,285,290,362,358,3.8377786,2023-07-01T00:00:00,30.502571428571432,Labadadhara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.63521824962662,22.571653733721778]}"
4_0,0.25,0.06317568,1.72,0.46,15.52,0.08631621,127.6,4.7,419.1,0.27133512,0.97,20.3,0.091872975,4.45,0.23019189,0.15731892,-0.8016298833271979,0.7,90.0,337,345,2024-04-02,PANCH MAHALS,93,2024-06-30T00:00:00,7.9,2.5738714,263,260,400,395,1.0069374,2023-07-01T00:00:00,30.34485714285714,Tarsanag,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.48052835770125,22.926308607892164]}"
5_0,0.18,0.082709305,1.16,0.22,4.42,0.10323489,182.5,4.34,100.5,0.2638093,0.82,24.8,0.107272096,2.06,0.22396046,0.16304418,-1.5366782231841112,1.07,28.398422,351,362,2024-03-07,PANCH MAHALS,105,2024-06-30T00:00:00,7.7,3.1069052,293,293,356,345,2.1077933,2023-07-01T00:00:00,30.435111111111105,Kharedivav,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.72684640860682,22.363064924749224]}"
6_0,0.3,0.056654055,1.99,0.73,9.98,0.07985135,241.6,6.8,195,0.3023784,0.57,27,0.07967838,9.43,0.25374323,0.17314054,-0.0263753961844072,0.78,-0.0,264,268,2024-04-02,PANCH MAHALS,113,2024-06-30T00:00:00,7.7,2.4990706,345,346,391,386,0.92740995,2023-07-01T00:00:00,30.582171428571435,Aniad,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.55922077659011,22.9513716043191]}"
7_0,0.3,0.07402093,0.46,1.01,4.48,0.087086044,151.4,12.42,216.5,0.22941628,0.44,36,0.089544185,2.6,0.22231628,0.14779767,0.8422203517904612,1.8,47.259773,313,309,2024-03-21,PANCH MAHALS,128,2024-06-30T00:00:00,7.9,2.8252661,333,336,355,354,1.3663601,2023-07-01T00:00:00,30.519485714285715,Palanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.55221391737398,22.470862758843566]}"
8_0,0.73,0.10466,0.78,0.26,8.06,0.13383715,198.5,4.94,294,0.27056858,0.9,38.3,0.16697429,7.59,0.34178856,0.28806287,-1.8769669377022726,0.61,19.85416,339,346,2024-03-02,PANCH MAHALS,108,2024-06-30T00:00:00,7.8,2.773913,275,280,386,374,2.95569,2023-07-01T00:00:00,30.470882352941175,Vejalpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.55922077659011,22.611808426921918]}"
9_0,0.3,0.07676977,4.54,0.2,10.18,0.09636047,610.8,1.48,245.2,0.24700698,0.53,65.3,0.0947,24.39,0.22596279,0.14009768,-1.1025425788386647,0.91,312.76166,326,323,2024-03-07,PANCH MAHALS,109,2024-06-30T00:00:00,7.4,3.1069052,331,335,343,342,1.3658079,2023-07-01T00:00:00,30.382666666666676,Dhanpuri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.71795308729403,22.36656835435729]}"
